WORS CUP WORS #6 in Merrimac WI Results

07/17/2005 Cross Country Men SP Junior 1-18
Place,License #,First,Last,City,State,Time,Team
1,0,Jesrin,Gaier,,,1:21:35.4,Riverbrook Bikes & Ski
2,207074,Dallas,Fowler,Green Bay,WI,1:25:12.5,GMAC / Team 2
3,0,Dan,Hanson,,,1:28:14.1,
4,0,Sam,Wellskopf,,,1:29:02.7,Team Pedal Moraine
5,229145,Cody,Shaide,Rice Lake,WI,1:30:46.1,Adventure Racing
6,0,Derrick,Martini,,,1:32:28.2,Riverbrook
7,0,Jason,Roelse,,,1:32:43.9,PCW Cycling
8,225382,Mitch,Gantz,Green Bay,WI,1:33:25.7,Bellin Health / InCompetition
9,0,Brian,Braun,,,1:46:21.8,Team East
10,0,Matthew,Limberg,,,,PCW Cycling
11,0,Dillon,Bera,,,,Bellin Health
12,0,Aristotle,Peters,,,,LaPerla Racing
13,0,Jason,Shong,,,,Bike Doctor
14,226098,Joshua,Rupnow,Cedarburg,WI,,Team Extreme
15,0,Brad,Wagner,,,,PCW Cyclingtires-n-beer
16,0,Joshua,Heinecke,,,,
17,0,Taylor,Knutson,,,,Adventeurs Racing
18,0,Billy,French,,,,New Moon
19,0,Andrew,Ignasiak,,,,Wheel & Sprocket
20,0,Jonathan,Davis,,,,Bellin Health
21,0,Warren,Lyman,,,,Team WIsconsin
22,0,Ryan,Wenzlick,,,,GMAC Mortgage / Team 2
23,0,Ian,Klosowiak,,,,Smart Cycling
24,0,Cory,Mayer,,,,Bike Doctor
25,0,Scott,Hollowell,,,,
26,0,Evan,Harris,,,,Team East
DNF,0,Jon,Schmidt,,,,Team NORDIK
DNF,209173,Mitchel,Kauppila,Winthrop Harbor,IL,,Hayes on Track
DNF,0,Erik,Meier,,,,Moosejaw
DNF,0,Michael,Heifner,,,,Recyclist
DNF,0,Tom,Shaide,,,,Adventures Racing
DNF,0,Benjamin,Overeem,,,,Bellin Health
DNF,0,Nick,Darcy,,,,Darcy / SRAM Cycling Team
DNF,0,Richie,Miller,,,,Hayes Disc Brakes RPM
DNF,0,Dylan,Weigel,,,,Hayes
DNF,0,Theodore E.,Peters,,,,LaPerla Racing
DNF,218493,Kenneth,Smith,North Oaks,MN,,Gopher Wheelmen

07/17/2005 Cross Country Men SP Senior 19-24
Place,License #,First,Last,City,State,Time,Team
1,0,Nathan,Moenck,,,1:18:26.8,
2,0,Tim,Pacholski,,,1:24:50.7,Hayes Disc Brakes
3,0,Phil,Ott,,,1:29:08.5,Michael's Cycles Racing
4,0,Dylan,Maho,,,1:30:56.4,GMAC Mortgage / Team 2
5,0,William,Street,,,1:32:39.7,PCW Cycling
6,0,Andrej,Merthik,,,1:34:10.3,
7,0,Brandon,Klos,,,1:34:49.0,Pedal Moraine
8,199053,Kelson,Danielson,Brooklyn,NY,1:35:36.4,Chainsmokers
9,0,Jacob,Huot,,,1:36:56.6,The Route
10,0,Adam,Feltz,,,1:39:08.7,SRAM
11,0,Mitch,Dreher,,,1:40:30.0,Pedal Moraine
12,224800,Dana,De Met,Madison,WI,1:42:11.2,Ramrod
13,0,Zack,Rielley,,,1:43:57.3,
14,0,Andrew,Hanson,,,1:46:50.7,Michael's Cycles
15,0,Jared,Suster,,,1:49:27.6,Bike Hub
16,0,Shawn,Hoppe,,,1:55:08.8,Fond du Lac Cyclery
17,0,Darek,Dudzinski,,,,Polska Jolka
18,0,Joe,Hicks,,,,
19,0,Kyle,Martinelli,,,,Hayes Disc Brakes
20,0,Christopher,Magyar,,,,Bike Doctor
21,0,Marc,Mayer,,,,Bike Doctor
22,0,Justin,Dhein,,,,Team Lollipop
23,0,Matthew,Yerke,,,,University of Iowa
24,0,John,Beck,,,,
25,0,Jim,Cuhel,,,,
26,0,John,Pemberton,,,,University of Iowa
27,0,Travis,Melin,,,,
28,0,Ryan,Krueger,,,,G-Unit
29,0,Taylor,Bogdanske,,,,
30,0,Dan,Hendricks,,,,UW-Whitewater
31,0,Nick,Sabel,,,,Fond du Lac/Oshkosh Cyclery
32,0,Andrew,Czechanski,,,,
33,0,Ben,Cleveland,,,,Fat Tires & Beer
34,0,Chad,Hoppe,,,,FDL/Oshkosh Cyclery
DNF,0,Matt,Bair,,,,
