Kewaunee XC Adventure WORS #10 in Bruemmer Park Kewaunee WI Results

09/11/2005 Cross Country Men SP Junior 1-18
Place,License #,First,Last,City,State,Time,Team
1,0,Dan,Hanson,,,1:33:12.8,
2,0,Sam,Wellskopf,,,1:34:12.3,Team Pedal Moraine
3,207074,Dallas,Fowler,Green Bay,WI,1:34:17.6,GMAC/Team 2
4,0,Derrick,Martini,,,1:36:57.4,Riverbrook
5,229145,Cody,Shaide,Rice Lake,WI,1:41:42.2,Adventure Racing
6,225382,Mitch,Gantz,Green Bay,WI,1:45:45.1,Bellin Health / InCompetition
7,0,Dillon,Bera,,,1:51:58.1,Bellin Health
8,0,Nathan,Johnson,,,1:54:51.1,Bike Doctor
9,0,Brian,Braun,,,1:59:00.5,Team East
10,0,Billy,French,,,,New Moon
11,0,Joshua,Heinecke,,,,
12,0,Tony,Lemke,,,,Fond du Lac Cyclery
13,0,Matthew,Limberg,,,,PCW Cycling
14,0,Jason,Shong,,,,Bike Doctor
15,0,Dylan,Weigel,,,,Hayes
16,226098,Joshua,Rupnow,Cedarburg,WI,,Team Extreme
17,0,Andrew,Ignasiak,,,,Wheel & Sprocket
18,0,Jonathan,Davis,,,,Bellin Health
19,0,Brad,Wagner,,,,PCW Cyclingtires-n-beer
20,0,Aristotle,Peters,,,,LaPerla Racing
21,0,Scott,Hollowell,,,,Mountain Outfitters
22,0,Ryan,Wenzlick,,,,GMAC Mortgage/Team 2
23,0,Michael,Heifner,,,,Recyclist
24,0,Zach,Geyer,,,,Stadium Bike
25,0,Evan,Harris,,,,Team East
26,0,Rob,Reindl,,,,Bike Hub
27,0,Tom,Shaide,,,,Adventures Racing
28,0,Theodore E.,Peters,,,,LaPerla Racing
29,0,Lee,Suring,,,,Team 2
DNF,207813,Ryan,Baumann,Green Bay,WI,,GMAC Mortgage / Team 2
DNF,0,Jason,Roelse,,,,PCW Cycling
DNF,0,Jon,Schmidt,,,,Team NORDIK
DNF,0,Warren,Lyman,,,,Team Wisconsin
DNF,0,Benjamin,Overeem,,,,Bellin Health

09/11/2005 Cross Country Men SP Senior 19-24
Place,License #,First,Last,City,State,Time,Team
1,0,Tim,Pacholski,,,1:31:23.4,Hayes Disc Brakes
2,229174,Ken,Statz,Wisconsin Rapids,WI,1:35:23.3,
3,0,Scott,Golomski,,,1:36:02.9,
4,0,Ted,Hanes,,,1:37:22.9,
5,148404,Peter,Hurst,Boulder,CO,1:38:37.3,Skinny's
6,199053,Kelson,Danielson,Brooklyn,NY,1:40:25.0,Chainsmokers
7,0,Tim,Jahn,,,1:44:22.2,Mountain Outfitters
8,227380,Phil,Ott,Marquette,MI,1:45:33.5,Michael's Cycles Racing
9,0,Erik,Carlson,,,1:45:34.8,
10,204671,Tony,Wagner,Plymouth,WI,1:48:18.1,pcwcycling.org
11,0,Constantine,Peters,,,1:50:14.6,La Perla Racing
12,0,William,Street,,,1:50:57.4,PCW Cycling
13,0,Ben,Dubay,,,1:51:22.3,
14,0,Andrew,Hanson,,,1:52:51.4,Michael's Cycles
15,0,Allan,Schimberg,,,2:00:16.5,
16,0,Zack,Rielley,,,2:07:11.5,Turin
17,0,John,Beck,,,,
18,0,Ian,Mevis,,,,
19,0,Carl,Morse,,,,Wheel & Sprocket
20,0,Christopher,Magyar,,,,Bike Doctor
21,0,Chad,Kilawee,,,,
22,0,Aaron,Halfman,,,,FDL Cyclery
23,0,Andreas,Nickhorn,,,,Team Extreme
24,0,Nicholas,Hardrath,,,,Hampshire Cycle Club
25,0,Nick,Sabel,,,,Fond du Lac/Oshkosh Cyclery
26,216962,Justin,Lund,Tomahawk,WI,,Big Ring Racing
27,0,Joe,Hicks,,,,
28,0,Andrew,Czechanski,,,,
29,0,Ben,Cleveland,,,,Fat Tires & Beer
DNF,206676,Matt,Waite,Madison,WI,,UW-Madison
DNF,0,Charlie,Lukas,,,,UW Cycling
DNF,0,Thomas,Hanlon,,,,

09/11/2005 Cross Country Men SP Senior 25-29
Place,License #,First,Last,City,State,Time,Team
1,0,Joshua,Probst,,,1:32:49.7,Gear N Up
2,0,Doug,Bailey,,,1:36:52.8,Alterra Coffee
3,0,Sanjay,Ganju,,,1:40:05.7,Alterra CoffeeBean Classic
4,223072,Cory,Gwin,Madison,WI,1:41:50.2,Michael's Cycles
