Tri-Peaks Challenge in Russellville AR Results

05/22/2005 Road Race Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,0,Scott,Moninger,,,3:58:16,Health Net presented by Maxxis
2,0,Ivan,Stevic,,,3:58:27,Aerospace
3,18224,Michael,Jones,Endicott ,NY,3:58:44,Health Net presented by Maxxis
4,73305,Danny,Pate,Colorado Springs,CO,3:58:44,JellyBelly
5,48408,John,Lieswyn,Davis,CA,3:58:52,Health Net presented by Maxxis
6,9007,Carl,Decker,Bend,OR,3:59:11,Broadmark Capital
7,0,Dustin,MacBurnie,,,3:59:14,Broadmark Capital
8,127087,Eric,Murphy,Athens,GA,3:59:27,Aerospace
9,0,Nathan,Miller,,,3:59:32,Monex
10,52790,Christopher,Wherry,Durango,CO,3:59:36,Health Net presented by Maxxis
11,177122,Carlos,Vargas,Humble ,TX,3:59:39,Monex
12,0,David Sojo,Diego,,,3:59:47,Team tyson
13,119285,Ben,Raby,Boulder,CO,3:59:53,Bianchi/Grand Performance
14,0,Richard,England,,,4:00:04,Advantage Benefits-Endevour
15,184181,Justin,England,Boulder,CO,4:00:08,Health Net presented by Maxxis
16,126190,Brian,Dziewa,Saint Louis,MO,4:00:13,Mercy
17,1829,Andrew,Applegate,Los Angeles,CA,4:00:20,Honeystinger/Spinergy
18,0,Greg,Henderson,,,4:00:23,Health Net presented by Maxxis
19,18152,Brice,Jones,Fort Smith,AR,4:00:31,JellyBelly
20,173639,Garrett,Peltonen,Fort Collins,CO,4:00:34,Advantage Benefits-Endevour
21,199458,Janne,Hamalainen,Tulsa,OK,4:00:36,Tulsa Wheelmen
22,117328,Jeremy,Powers,Southampton,MA,4:00:45,JellyBelly
23,164362,Frank,Pipp,Longmont,CO,4:00:49,Advantage Benefits-Endevour
24,56772,Josh,Horowitz,Los Angeles,CA,4:01:13,Kahala LaGrange
25,0,Douglas,Ollerenshaw,,,4:01:14,Health Net presented by Maxxis
26,179203,Jason,Woods,Boulder,CO,4:01:35,Dogfish
27,0,Eddy,Hilgen,,,4:02:24,Advantage Benefits-Endevour
28,164271,Owen,Gue,Missoula,MT,4:03:51,Broadmark Capital
29,0,Michael,Sayers,,,4:05:58,Health Net presented by Maxxis
30,0,Clemente,Cavaliere,,,4:06:19,Aerospace
31,0,Karl,Menzies,,,4:06:20,Advantage Benefits-Endevour
32,141654,Chad,Cagle,Tulsa,OK,4:19:16,Mercy
33,31700,James,Schneider,Henderson,NV,4:19:42,AG Edwards
34,222300,Solomon,Woras,Winthrop,WA,4:19:55,Broadmark Capital
35,9437,Duane,Dickey,Cokato,MN,4:20:04,Bianchi/Grand Performance
36,29781,David,Richter,Seattle,WA,4:20:12,Subway Pro Cycling Team
37,151694,Blake,McMahon,Tulsa,OK,4:20:15,Team Power Train
38,0,Glenn,Faut,,,4:20:23,Monex
39,189143,Bain,Foote,Madison,MS,4:20:32,Herring Gas
40,91005,Eddy,Kwon,Tucson,AZ,4:20:41,Mercy
41,0,Viktor,Laza,,,4:20:53,Aerospace
41,180136,Hugh,Moran,Asheville,NC,4:20:53,Aerospace
43,145867,Mathew,Ankney,Tulsa,OK,4:20:56,Mercy
44,178970,Mat,Stephens,Dallas,TX,4:21:12,Mercy
45,76788,Remi,McManus,Boise,ID,4:21:22,Subway Pro Cycling Team
46,32038,Dale,Sedgwick,St Paul,MN,4:21:28,Bianchi/Grand Performance
47,198898,Andrew,Daane,Clemson,SC,4:21:33,AG Edwards
48,69834,Jeremy,Sartain,St Paul,MN,4:21:42,Bianchi/Grand Performance
