Early Bird Criterium in Fremont CA Results

01/30/2005 Criterium Men Pro/Cat 1/2/3
Place,License #,First,Last,City,State,Time,Team
1,86200,Ken,Carpenter,Lafayette,CA,,Tailwind Enterprises Inc.
3,4838,Patrick,Briggs,Santa Barbara,CA,,California Giant Cycling
4,197734,Roger,Bennett,San Carlos,CA,,Valley Spokesmen
5,20154,Brian,Laird,Menlo Park,CA,,Klein Real Estate
6,46815,Scott,McKinley,Mill Valley,CA,,AMD Masters Cycling Team
7,52491,Gen,Kogure,Asheville,NC,,3BRT
8,201811,Matthew,Courtney,St. Helena,CA,,Davis Bike Club
9,187194,Randy,Bramblett,Oakland ,CA,,McGuire Cycling
10,195220,Clint,Rogers,Sacramento,CA,,McGuire Cycling
11,32485,Takumi,Shimomura,Berkeley,CA,,3BRT
12,180566,Billy,Clark,Livermore,CA,,Morgan Stanley Cycling Team
13,40703,Brian,Bosch,Fresno,CA,,Central Valley Cycling
15,187149,Jason,Reynolds,Yucaipa,CA,,Unattached
16,52412,William,Innes,Menlo Park,CA,,Six Fifty Racing
19,67041,Dean,LaBerge,Napa,CA,,Six Fifty Racing
20,118797,Sergei,Badeka,Fremont,CA,,McGuire Cycling
21,158304,Kyle,Stock,Sonora,CA,,Golden Chain Cyclists
22,135047,Stephen,Gregorios,Torrance,CA,,Morgan Stanley Cycling Team
24,197002,Clark,Scheffy,Cambridge,MA,,Cycle Sports/Trumer Pils
25,186029,Eric,Walle,Boise,ID,,Solano Avenue Cyclery Racing
26,136970,Robert,Pasco,Belmont,CA,,Valley Spokesmen
27,25151,Thomas,Morris,Sonoma,CA,,Team Spine
28,62314,Darwin,Farrow,Hayward,CA,,Solano Avenue Cyclery Racing
30,190591,Sean,McBride,Oakland,CA,,Six Fifty Racing
31,119180,Giovanni,Rey,Los Gatos,CA,,Team Walthour
32,60730,Shaun,Bagley,Visalia,CA,,Southern Sierra Cyclists
33,207747,Luca,Ortolani,San Francisco,CA,,Six Fifty Racing
34,156048,Michael,Hutchinson,San Jose,CA,,Team Spine
35,198376,Mike,Turkovich,Pittsburgh,PA,,Unattached
36,156883,Karta Purkh,Atehortua-Khalsa,San Leandro,CA,,Delta Velo
37,45370,Warren,Geissert,San Jose,CA,,Webcor/Alto Velo
38,198452,Daniel,O'Sullivan,San Francisco,CA,,McGuire Cycling
39,0,Marten,Van Dyk,,,,San Jose BC
40,190797,Nate,Rogers,Seattle,WA,,Webcor/Alto Velo
41,22166,Rob,Maheu,Hollister,CA,,Garden City Cyclists
42,130080,Michael,Audley,Berkeley,CA,,McGuire Cycling
43,12965,Clint,Gaver,San Jose,CA,,Team Spine
44,47616,Paul,Sumner,San Anselmo,CA,,Six Fifty Racing
45,41709,Demian,Bigelow,Martinez,CA,,Team Spine
46,568,Alden,Tanaka,San Mateo,CA,,Velo Europa Cycle Sport
47,0,Nicholas,Webe,,,,Alto Velo
48,196313,Ueyn,Block,Menlo Park,CA,,Stanford U Cycling
50,64860,James,Weinstein,Bellbrook,OH,,Travis Hawks Cycling Club
51,160366,Aaron,Gallardo,Woodland Hills,CA,,Unattached
52,58642,Paul,Carter,Pleasant Hill,CA,,Contra Costa Cycling Club
53,50708,Greg,Freyberg,Aptos,CA,,White Jersey Sports
54,195430,Bryan,Pro,Davis,CA,,Team Bicycles Plus/NorthRim/SierraNevada
55,116501,Robert,Britt,Larkspur,CA,,California Road Club
57,89029,Stephen,Alfred,Capitola,CA,,
58,187522,John,Bergmann,Albany,CA,,McGuire Cycling
59,50273,William,Dolphin,Upland,CA,,Solano Avenue Cyclery Racing
60,196276,Bo,Hebenstreit,Campbell,CA,,Webcor/Alto Velo
63,32832,Raymond,Sisson,Castro Valley,CA,,Mako/Galaxy Granola
64,195296,Robbie,Robertson,Danville,CA,,Contra Costa Cycling Club
65,187959,Devin,Flaherty,Topanga,CA,,ACT
66,195652,Max,Spirin,Davis,CA,,McGuire Cycling
67,211026,Jason,King,Napa,CA,,Team Spine
68,134895,Irving,Arguello,Millbrae,CA,,McGuire Cycling
69,51292,Ted,Burns,Madison,WI,,Webcor/Alto Velo
70,126286,Chris,Crawford,Napa,CA,,Club One/PMax Racing
71,140575,Erick,Le,Hayward,CA,,Peninsula Velo Cycling Club
72,176198,Tyler,Hester,Stanford,CA,,Club One/PMax Racing
73,47564,Vaughn,Van Note,Walnut Creek,CA,,Contra Costa Cycling Club
75,196267,Doran,Mori,Oakland,CA,,Solano Avenue Cyclery Racing
76,132946,Andrew,Touchstone,San Francisco,CA,,Six Fifty Racing
77,201250,Douglas,Northcott,Costa Mesa,CA,,Team Taylor
79,72054,Kent,Lourenzo,Discovery Bay,CA,,Contra Costa Cycling Club
81,48416,Robert,Parker,San Jose,CA,,Webcor/Alto Velo
82,69533,Herve,Guinard,Novato,CA,,Unattached
83,196337,Alexander,Wick,Davis,CA,,Davis Bike Club
84,197005,Edward,Abeleven,Campbell,CA,,Webcor/Alto Velo
86,144966,Daniel,Plummer,Redwood City,CA,,Team Spine
87,195435,Rupert,Brauch,San Jose,CA,,Webcor/Alto Velo
88,196249,Nathan,Shaw,Oakland,CA,,Garden City Cyclists
89,71941,David,Yeung,Palo Alto,CA,,Six Fifty Racing
90,57309,robbie,Brennan,Austin,TX,,Six Fifty Racing
91,48203,Manuel,Rodriguez,San Mateo,CA,,UC - Berkeley Cycling
92,133336,Jason,Fernschuss,Menlo Park,CA,,Unattached
93,97504,Darin,Divine,Fairfax,CA,,Six Fifty Racing
94,26205,Lawrence,Nolan,Fremont,CA,,AMD Masters Cycling Team
95,25843,Dave,Nelson,San Jose,CA,,Six Fifty Racing
96,69571,John,Fowlkes,Mountain View,CA,,Six Fifty Racing
97,169945,Sassan,Golafshan,Palo Alto,CA,,Form Fitness/Niko Ventures
98,142606,Akira,Wong,San Francisco,CA,,
102,67169,Bernhard,Stonas,Hayward,CA,,Webcor/Alto Velo
103,98315,David,Pierce,Mansfield Center,CT,,Club One/PMax Racing

01/30/2005 Criterium Men Master MR 35-99
Place,License #,First,Last,City,State,Time,Team
1,23803,Joseph,McNerney,Colorado Springs,CO,,
2,219614,Nelson,Willhite,Sunnyvale,CA,,Sierra Express/TONC
3,226231,Charlie,Castro,San Francisco,CA,,Squadra Ovest
4,220316,Joel,Robertson,San Leandro,CA,,Unattached
5,207419,Radboud,Bruinsma,Santa Clara,CA,,Alto Velo Racing Club
6,219012,Lorie,Holte,New Roads,LA,,Berkeley Bicycle Club (BBC)
7,220082,Anthony,Barbarite,Clovis,CA,,Central Valley Cycling
11,221222,Tom,Bandoni,San Jose,CA,,Unattached
12,29558,Dave,Reseigh,San Mateo,CA,,Unattached
13,207662,Philippe,Azoulay,San Jose,CA,,Willow Glen Bicycles
14,220821,Paul,Saari,Waukesha,WI,,Unattached
15,221444,Ross,Parkerson,Mill Valley,CA,,Team Taylor
16,0,Stuart,Kron,,,,Unattached
17,224155,Mark,Robertson,Pleasanton,CA,,Unattached
18,205888,Edward,Brennan,Benicia,CA,,Unattached
19,219331,Robin,Rolles,Sacramento ,CA,,Davis Bike Club
20,220645,Paul,Mitchell,Sacramento,CA,,Cycling-Training.Com/ARPT
21,220007,Paul,Wenz,San Francisco,CA,,Unattached
23,0,Robert,Reyes,,,,Unattached
25,206539,William,Salefski,San Jose,CA,,Webcor/Alto Velo
26,175058,Marvin,Zauderer,San Rafael,CA,,Mako/Galaxy Granola
27,229030,Daniel,Brewer,Cerritos,CA,,Unattached
28,90582,Joseph,Pritchard,Benicia,CA,,Valley Spokesmen
29,207588,Peter,Van Slyke,Vallejo,CA,,Unattached
30,0,Richard,Kiser,,,,Unattached
31,0,Gary,Crank,,,,Unattached
32,197735,Mark,Tamanaha,San Francisco,CA,,Unattached
33,31801,Mark,Schroeder,Mountain View,CA,,Unattached
34,203737,William,Youngman,Rocklin,CA,,Unattached
35,209395,Raleigh,Kay,Tracy,CA,,Unattached
