Deer Creek State Park in Mt. Sterling OH Results

04/17/2005 Road Race Men Cat 1/2/3
Place,License #,First,Last,City,State,Time,Team
1,186474,Peter,Bauer,Snoqualmie,WA,,Revolution / Bio-wheels
2,11991,O'Brien,Forbes,West Chester,OH,,Team Revolution Fitness
3,194766,Abraham,McNutt,Riverside,OH,,Team Dayton
4,53838,Jon,Sulentic,Middletown,OH,,Bandwidth.com Cycling Team
5,32168,Albert,Senft,Albuquerque,NM,,Commenwealth Eye Surgery
6,184145,Brian,Alfermann,Washington,MO,,Revolution Fitness
7,168607,Brian,Nieport,San Diego,CA,,UC Cycling
8,56440,Colin,Vogt,Loveland,OH,,Montgomery Cyclery
9,79097,Brad,Davis,Cincinnati,OH,,Revolution Fitness

04/17/2005 Road Race Men Cat 5
Place,License #,First,Last,City,State,Time,Team
1,221134,Shane,Brenner,Tipp City,OH,,
2,219427,Bryan,Hellard,West Chester,OH,,Team Dayton
3,230552,Justin,Anderson,Fairfield,OH,,
4,222950,Brian,Milligan,New York,NY,,Unattached
5,204273,Alex,Hasse,Cincinnati,OH,,
6,168454,Michael,Malmer,Louisville,CO,,
7,218586,Joshua,Morrow,Dublin,OH,,Central Ohio
8,220562,Robert,Thomas,Northport,AL,,For Rent
9,220012,Shawn,Jonas,Lancaster,OH,,Savage Hill Cycling Team
10,206826,Kenneth,Bunn,Apex,NC,,Breakaway
11,220506,Tim,Williams,Brookville,OH,,Team Dayton
12,197030,Mark,Corroto,Delaware,OH,,
13,193034,Maurice,Bustos,Centerville,OH,,iPro
14,223202,Gregory,Swartz,Newport,KY,,UDF/RESERbicycle
15,226300,Lloyd,Pfaff,Brookville,IN,,Unattached
16,215024,Alan,Martin,Galena,OH,,Savage Hill Cycling
17,225926,Todd,Ashby,Loveland,OH,,
18,0,Scott,Zimmerman,,,,None
19,0,Grant,Gorham,,,,UDF/RESER

04/17/2005 Road Race Men Cat 4
Place,License #,First,Last,City,State,Time,Team
1,165732,Todd,Otanicar,Scottsdale,AZ,,Unattached
2,60978,James,Matson,Redmond,WA,,Savage Hill
3,206246,Jim,Parker,Cincinnati,OH,,Darkhorse - Smitty's Cyclery
4,160098,Firmon,Hardenbergh,Tucker,GA,,Bandwidth.com
5,216039,Frank,Hollenkamp,Cincinnati,OH,,UC/Reser
6,221570,Anthony,Patrick,Huntington,WV,,None
7,163165,William (Bill),Hoffman,Cincinnati,OH,,Dark Horse - Smitty's Cyclery
8,191902,Carl (Fred),Parks,Caledonia,OH,,
9,188148,Michael,van Lierop,Boise,ID,,Revolution Fitness
10,189291,David,Groen,Powell,OH,,Central Ohio Bicycle Club
11,118852,George,Conti,Powell,OH,,Breakaway Cycling
12,195585,Michael,Canestaro,Dayton,OH,,Team Dayton Cycling
13,117544,Peter,Hills,Westmoreland ,NH,,Team Dayton
14,205546,Stephen,Brown,,,,Revolution Fitness
15,142880,Michael,Rea,Columbus,OH,,www.team-cobc.com
16,218557,Brett,Brevoort,Cincinnati,OH,,Darkhorse-Smitty's Cyclery
17,197572,Anthony,D'Varga,Middletown,OH,,Bandwidth.com Cycling Team
18,192210,Clifford,Heaberlin,Portland,OR,,Midwest Flyers
19,197625,Tracy,Segar,Cincinnati,OH,,

04/17/2005 Road Race Men Cat 3
Place,License #,First,Last,City,State,Time,Team
1,222437,Mike,Stubna,Philadelphia,PA,,Savage Hill Cycling
2,68028,Andys,Burns,,,,www.Team-COBC.com
3,30235,Scott,Robison,Athens,OH,,CES - Promotion Cycling
4,52012,Jeffrey,Ensman,Lebanon,OH,,Bandwidth.com
5,186699,Scott,Stanford,Mason,OH,,Bio Wheels Racing
6,16694,Mark,Hooton,Cincinnati,OH,,Midwest Flyers
7,131291,Todd,Creek,Bellbrook,OH,,Team Ipro
8,118329,Adam,Fuson,Cincinnati,OH,,Uc/reser
9,51774,Doug,McConaha,Galena,OH,,Mid-state Velo/Unizan Bank - Baer Wheels
10,193258,Pete,Inglin,Belle Center,OH,,Team-COBC
11,111750,Daniel,Rhule,Delaware,OH,,Breakaway
12,51661,Douglas,Cravener,Dublin,OH,,Unizan Bank Baer Wheels
13,83942,Jason,Reser,Park Hills,KY,,Udf Reser
14,53782,J Todd,Lee,Gahanna,OH,,Savage Hill Cycling
15,220988,Edward,Walker,,,,Midwest Express
16,33586,Scott,Spees,St. Johns,FL,,Team I-pro
17,172505,Chris,Anderson,Westport,CT,,Biowheels
18,59765,Todd,Turner,Yellow Springs,OH,,Ipro

04/17/2005 Road Race Women Cat 1/2/3/4
Place,License #,First,Last,City,State,Time,Team
1,220976,Missy,Kuck,Dayton,OH,,Bandwidth.com
2,159671,Katherine,Kakis Graham,Granville,OH,,Savage Hill
3,221318,Kelly,O'Hara,Westerville,OH,,Savage Hill
4,200960,Krystal,Lacy,Germantown,OH,,Team Dayton
5,183474,Sara,Hickey,Germantown,OH,,Dayton
6,203359,Rachel,Bellante,Cincinnati,OH,,Revolution Fitness
7,188193,Anne,Conroy,Xenia,OH,,Revolution Fitness
8,188076,Candace,Stone,Cincinnati,OH,,Revolution Fitness
9,221977,Pascale,Lercangee,Powell,OH,,Cobc
10,223866,Laura,Osgood,Cincinnati,OH,,Revolution-fitness
11,189377,Wendy,Smith,Cleveland,OH,,Savage Hill
12,198234,Kirsten,Hansen,Cincinnati,OH,,Revolution-fitness
13,213648,Jen,Peck,Hilliard,OH,,
14,0,Melinda,Corroto,,,,
15,215956,Brooke,Crum,Westerville,OH,,Savage Hill
