Turtle Pond Circuit Race in Loudon/Concord NH Results

04/30/2005 Road Race Men Pro/Cat 1/2/3
Place,License #,First,Last,City,State,Time,Team
1,23101,Mark,McCormack,Foxboro,MA,20:45:52,Colavita Olive Oil/Sutter Home
2,135389,Michael,Barton,Hanover,NH,20:45:52,Boston Scientific
3,174967,Daniel,Vaillancourt,Saco,ME,20:45:52,Giant/Gorham Bike
4,138580,Alessandro,Ferrero,Hopkinton,NH,st,CRCA/ Sakonnet Technology
5,129914,Alec,Donahue,Easthampton,MA,st,Louis Garneau Racing
6,28263,Scott,Plante,Manchester,NH,st,Trek/VW/Doriti Gelati
7,182648,Christopher,Green,Portland ,ME,st,Mechanical Services/Cycle Mania
8,18524,Chris,Karam,Scarborough,ME,st,Mechanical Services/Cycle Mania
9,17237,Johannes,Huseby,Boulder,CO,st,FiordiFrutta
10,13955,David,Gray,Portsmouth,NH,20:45:52,9to5athlete.com/Milford Healing Arts
11,106563,Noah,Taylor,Peterborough,NH,st,Trek/VW/Doriti Gelati
12,184178,Toby,Walch,Scarborough,ME,st,Mechanical Services/Cycle Mania
13,25187,Samuel,Morse,Cohasset,MA,st,Bicycle Link/MBRC
14,135256,Mathew,Moon,Westbrook,ME,st,Louis Garneau Racing
15,41540,Christopher,Kueter,Belmont,MA,st,NAV/Pedros
17,117383,Jonathan,Bold,Marstons Mills,MA,st,Corner Cycle
18,76474,Christopher,Benoit,Beverly,MA,st,VeloEuropa Cycle Sport
19,151038,Benjamin,Peters,Salt Lake City,UT,st,VeloEuropa Cycle sport
20,138681,Kirk,Carlsen,Orinda,CA,20:45:52,Peerless/Papa Wheelies
20,32650,Ben,Silberfarb,Norwich,VT,20:45:52,Velo Europa
21,133791,Darby,Thomas,E Montpelier,VT,20:45:52,Onion River Sports
23,61873,Neil,Fitch,Portland,ME,20:45:52,Mechanical Services/Cycle Mania

04/30/2005 Road Race Men Cat 4/5
Place,License #,First,Last,City,State,Time,Team
1,222604,Andrew,Boone,Bend,OR,20:45:52,NEBC/Cycle Loft
2,191643,Richard,Sturim,Charlotte,VT,20:45:52,Louis Garneau Racing
3,82626,Anthony,Laskaris,Chelmsford,MA,st,NEBC/CYCLELOFT
4,169536,Richard,Brown,Danville,NH,st,NHCC/Team NH
5,182240,Darren,Bernard,Haymarket,VA,st,Putney/West Hill
6,197469,Luciano,Pavan,Fitchburg,MA,st,Ciclismo Sportivo Ardagna
7,183993,Nicholas,Smith,Surry,ME,st,
8,189995,Scott,Brooks,Westford,MA,st,NEBC/Cycle Loft
9,174018,Greg,Zysk,Melrose,MA,st,ECV
10,197955,Clayton,Dennis,Westport,MA,st,Scottees Westport Bicycle
11,222014,Bryan,Borgia,Weston,CT,st,Tokeneke Road Club
12,213304,Anthony,Graupera,Hillsboro,OR,st,NEBC/Cycle Loft
13,0,Will,Cromwell,,,st,
15,222665,Anthony,Elgort,New York,NY,st,
17,225762,Bob,Gagnon,Epping,NH,st,
18,142718,Glen,Fraser,Hudson,NH,st,NHCC/Team NH
19,202478,Talbott,Ingram,Asheville,NC,st,Team Harborside Cycle
20,225529,James,Walker,Lake Placid,NY,st,
21,205912,Brandon,Baker,Ashburnham,MA,st,Essex County Velo/ O'neil's
22,215184,Tom,Neumann,Berwyn Heights,MD,st,GMBC/Catamount
23,193333,Spencer,Skerry,Shirley,MA,st,Gearworks Cyclery
24,0,Drew,Davis,,,st,Quad Cycles
25,209391,Jesse,Chebot,Somerville,MA,st,NEBC
27,133412,Michael,Cole,Hopkinton,MA,st,Minuteman Road Club
28,144992,John,Buser,Bellows Falls,VT,st,putney/westhill
29,208560,Brian,Buettner,Brattleboro,VT,st,Putney West Hill
30,0,Leo,Patnode,,,st,Harborside Cycles
31,174494,Kyle,Foley,Clinton,MA,st,Cuevas/Mike Fraysse Sports
32,208593,Brian,Palmer,Milford,MA,st,MinuteMan Road club
33,205058,Joseph,Jussaume,Nashua,NH,st,NEBC/Cycle Loft
34,174497,Anthony,Giguere,Winslow,ME,st,mathieus cycle
34,0,Bradley S,Roberts,,,st,putney westhill
35,199148,Peter,Arnold,Goffstown,NH,st,
36,225480,Jason,Holden,Nashua,NH,st,
37,159968,Christofer,Curven,Walpole,NH,st,NAV/Pedros
38,203563,John,Brady,Westford,MA,st,BRC/ATA CYCLES
39,0,Steven,Senne,,,20:45:52,
41,201223,Damian,Bolduc,South Burlington,VT,st,GMBC/CATAMOUNT
