BMW River Gorge Challenge in Chattanooga TN Results

09/09/2006 Road Race Men Pro/Cat 1/2/3
Place,License #,First,Last,City,State,Time,Team
1,178591,Eddy,Hilger,Lookout Mountain,GA,20:45:52,Priority Health
2,206929,Daniel,Karnis,Atlanta,GA,20:45:52,Aarons / L5Flyers
3,133375,Michael,Olheiser,Huntsville,AL,20:45:52,MMW
4,202063,Andrew,Adams,Holly Springs,NC,20:45:52,Georgia Cycling Club
5,177599,Matt,Shelburne,Christiansburg,VA,20:45:52,Virginia Tech Cycling
6,208605,Joseph,Carpisassi,Winston Salem,NC,20:45:52,Bicycle Post
7,216386,Shane,Maddox,Bogart,GA,20:45:52,Unattached
8,137731,Chris,Chotas,Atlanta,GA,20:45:52,Pacesetter Steel Service
9,114589,Travis,Hagner,Blowing Rock,NC,20:45:52,Pacesetter Steel Service
10,220179,Christian,Parrett,Tallahassee,FL,20:45:52,MAX Cycling Club
11,115644,Matt,Winstead,Huntsville,AL,20:45:52,TriStar Cycling Team
12,214976,Travis,Maddox,Dacula,GA,20:45:52,Unattached
13,140044,Sam,Linhoss,Chattanooga,TN,20:45:52,Outdoor Chattanooga / SCV
14,73791,Jason,Jeansonne,Knoxville,TN,20:45:52,Southern Cycling Operations (SCO)
15,189356,Shawn,Altizer,Cedar Bluff,VA,20:45:52,Bear Naked / Cannondale
16,0,GW,Wenzel,,,20:45:52,Velo Vodoo
17,205551,Andrew,Howe,Chattanooga,TN,20:45:52,Knox Velo Club
18,188123,Nathan,Brown,Austin,TX,20:45:52,Team MOAB / Middle TN Velo
19,216288,Geoffrey,Mina,Boulder,CO,20:45:52,Camp Highland Racing Team
20,180012,Sam,Silvey,Chattanooga,TN,20:45:52,TriStar Cycling Team
21,153776,Ryan,Pumpian,Marietta,GA,20:45:52,OTR / Strenflex
22,69819,Josh,Beckham,Austin,TX,20:45:52,Team Allanti
23,209255,Mike,Moore,Brentwood,TN,20:45:52,Team MOAB / Middle TN Velo
24,23686,John,McLauchlin,Collierville,TN,20:45:52,Amateur Cycling Club of Memphis
25,179499,D Tyler,Grahovec,Atlanta,GA,20:45:52,Pacesetter Steel Service
26,251443,Roger,Troyer,Monterey,TN,20:45:52,Unattached
27,212326,Jason,Guzak,Austin,TX,20:45:52,Team MOAB / Middle TN Velo
28,203279,Michael,Steimle,Savannah,GA,20:45:52,OTR / Strenflex
29,210723,Matthew,Espey,Meridian,MS,20:45:52,Motorwerks/CARVE
30,221975,Oscar,Clark,Athens,GA,20:45:52,Fulton Flyers Cycling Club
31,106264,Tom,Watson,Smyrna,GA,20:45:52,Unattached
32,212325,Jason,Tatum,Nashville,TN,20:45:52,TriStar Cycling Team
33,222436,Paul,Koehn,Macon,MS,20:45:52,Pro Bike/ Regions Bank
34,228310,Zach,Crane,Taylors,SC,20:45:52,Land Rover
35,89358,Erik,Ostergaard,Asheville,NC,20:45:52,Asheville Bicycle Racing Club
36,48223,Daniel,Thompson,Collinsville,MS,20:45:52,Amateur Cycling Club of Memphis
37,208932,Stephen,Omilianowski,Franklin,TN,20:45:52,Team MOAB / Middle TN Velo
38,0,Arthur,Crister,,,20:45:52,Spring City Cycling Club
39,228591,Stefan,Swecker,Asheville,NC,20:45:52,YMCA / Knox Velo
40,215107,David,Howe,Marietta,GA,20:45:52,
41,137467,David,Farabaugh,Franklin,TN,20:45:52,Cycleworks p/b Meehan's
42,210712,Joel,Price,Boulder,CO,20:45:52,Pacesetter Steel Service
43,210554,Chris,Hurst,Smyrna,GA,20:45:52,OTR / Strenflex
44,179482,Stuart,Lamp,Decatur,AL,20:45:52,MMW

09/09/2006 Road Race Men Master MR 30-49
Place,License #,First,Last,City,State,Time,Team
1,212538,Andrew,Clarke,Medina,OH,20:45:52,Scenic City Velo
2,223527,Jason,Sprouse,Asheville,NC,20:45:52,Smith Barney
3,82946,Terry,Duran,Park City,UT,20:45:52,TriStar / BBC
4,241356,Jeff,Terry,Charlotte,NC,20:45:52,GC Cycling
5,145965,Ron,Swope,East Ridge,TN,20:45:52,Outdoor Chattanooga / SCV
6,155267,Bradley,Price,Blountville,TN,20:45:52,SCV
7,103698,Michael,Hurley,Mountain Brook,AL,20:45:52,Unattached
8,163511,Jay,Westbrook,Greeneville,TN,20:45:52,Outdoor Chattanooga / SCV
9,160098,Firmon,Hardenbergh,Tucker,GA,20:45:52,all3sports.com
10,178931,Paul,VanKooten,Red Bank,TN,20:45:52,Scenic City Velo
11,21638,Andy,Lougher,Atlanta,GA,20:45:52,all3sports.com
12,133226,Tab,Tollett,Lookout Mountain,TN,20:45:52,Scenic City Velo
13,148545,James,Everts,Harvest,AL,20:45:52,Spring City Cycling Club
14,210351,Glenn,Douglas,Nashville,TN,20:45:52,TriStar Cycling Team
15,127338,Lynn,Hicks,Talladega,AL,20:45:52,TriStar Cycling Team
16,102889,Will,Scruggs,Chickamauga,GA,20:45:52,Scenic City Velo
17,107057,J Kevin,White,Birmingham,AL,20:45:52,GC Cycling
18,228079,Marek,Lipold,Bogart,GA,20:45:52,Unattached
19,144533,David,Sprinkle,Cisco,GA,20:45:52,Scenic City Velo
20,224049,Patrick,Harkins,Nashville,TN,20:45:52,TriStar Cycling
21,203321,David,Randolph,Rocky Face,GA,20:45:52,Outdoor Chattanooga / SCV
22,186828,Greg,Morgan,Simpsonville,SC,20:45:52,West End Coffee GSBRT
23,58771,Homer,Patterson,Watkinsville,GA,20:45:52,all3sports.com
24,177110,Eddie,Hudspeth,Bonaire,GA,20:45:52,Scenic City Velo
25,195909,Edgardo,Beltran,Woodstock,GA,20:45:52,NARC-Free Flite
26,4911,Jim,Brock,Birmingham,AL,20:45:52,Unattached
27,168397,Tim,Heard,Birmingham,AL,20:45:52,Birmingham Bicycle Company
28,216195,Brian,Farris,Homewood,AL,20:45:52,TriStar / BBC
29,131936,G Turner,Howard,Knoxville,TN,20:45:52,Unattached
30,181020,Lewis,Moore,Huntsville,AL,20:45:52,Spring City Cycling Club
31,100981,Donald,York,Huntsville,AL,20:45:52,Spring City Cycling Club
32,158649,Morris (Mo),Wright,Auburn,AL,20:45:52,Alabama Masters Cycling
33,228178,Jay,Young,Signal Mountain,TN,20:45:52,Outdoor Chattanooga / SCV
34,144611,David,McNeal,North Hollywood,CA,20:45:52,TriStar Cycling Team
35,177493,John,Fillyaw,Atlanta,GA,20:45:52,NARC-Free Flite
36,74121,Douglas,Van Cleef,Oliver Springs,TN,20:45:52,YMCA / Knox Velo
37,55034,Dale,Hair,Dalton,GA,20:45:52,Outdoor Chattanooga / SCV
38,181319,Stephen,Collins,Austin,TX,20:45:52,TriStar Cycling
39,227183,John,Dement,Meridian,MS,20:45:52,Meridian Athletic Association
40,57051,Andy,Meyer,Dalton,GA,20:45:52,Scenic City Velo
DNF,195703,Gregory,McCreless,Meridianville,AL,,Spring City Cycling Club
DNF,127462,Miroslav,Novak,Huntsville,AL,,Alabama Masters Cycling
204552,61732,Charles,Cerny,Knoxville,TN,Bike Zoo / SCO,664

09/09/2006 Road Race Men Master MR 50-99
Place,License #,First,Last,City,State,Time,Team
1,220746,Pete,Dolan,Maryville,TN,20:45:52,Knoxville Velo
2,67235,Curtis,Cadwell,Cookeville,TN,20:45:52,Upper Cumberland Wheelmen
3,70672,Craig,Horn,Greenville,SC,20:45:52,Greenville Spinners Bicycle Racing Team
4,46278,Ted,Manley,Avondale Estates,GA,20:45:52,R B M
5,181466,Charles,Weber,Knoxville,TN,20:45:52,Bike Zoo / SCO
6,206560,Thomas,Bennett,Maryville,TN,20:45:52,YMCA / Knox Velo
7,213960,Howard,Taylor,Nashville,TN,20:45:52,TriStar Cycling
8,13000,Thomas,Gee,Paris,TN,20:45:52,Jackson Spokes
9,70151,Ralph,Schmook,Evensville,TN,20:45:52,Outdoor Chattanooga / SCV
10,135190,David,Thomas,Knoxville,TN,20:45:52,Bike Zoo / SCO
11,46705,S Durward,Higgins,Chattanooga,TN,20:45:52,Scenic City
12,168609,Rick,Watson,Ooltewah,TN,20:45:52,Scenic City Velo
13,122901,Maurice,Malone,Meridian,MS,20:45:52,Meridian Athletic Association
14,50605,Robert,Frederick,Asheville,NC,20:45:52,Unattached
15,244819,John,Disterdick,Hixson,TN,20:45:52,Unattached

09/09/2006 Road Race Men Junior JR 39008
Place,License #,First,Last,City,State,Time,Team
1,242839,Huey,Mathews,Madison,AL,20:45:52,SCCC
2,186220,Bennett,Farkas,Franklin,TN,20:45:52,TriStar Cycling Team
3,223543,Luke,Farkas,Franklin,TN,20:45:52,TriStar Cycling Team
4,223542,Aubrey,Moore,Nashville,TN,20:45:52,TriStar Cycling
5,0,Jeff,Reid,,,20:45:52,
6,248156,Samuel,Lamb,Cookeville,TN,20:45:52,Upper Cumberland Wheelmen
7,225634,Jonathan,Craig,Brentwood,TN,20:45:52,TriStar Cycling Team
8,248481,Robert,Terry,Charlotte,NC,20:45:52,GC Cycling
9,250979,Dane,Van Ryckeghem,Franklin,TN,20:45:52,TriStar Cycling
10,0,Patrick,Smith,,,20:45:52,
11,248795,Jenks,Parker,Lookout Mountain,GA,20:45:52,Outdoor Chattanooga / SCV
12,230419,Jason,Els,Ooltewah,TN,20:45:52,Outdoor Chattanooga / SCV
13,244949,Evan,Powell,Primm Springs,TN,20:45:52,TriStar Cycling
14,248797,Robert,Parker,Lookout Mountain,GA,20:45:52,Outdoor Chattanooga / SCV

09/09/2006 Road Race Men Cat 5
Place,License #,First,Last,City,State,Time,Team
1,0,Olaf,Wasternack,,,20:45:52,Team Burns
2,251156,Anders,Swanson,Chattanooga,TN,20:45:52,Outdoor Chattanooga / SCV
3,0,Jonathan,McLaughlin,,,20:45:52,Scenic City
