2006 USA Cycling Cyclo-cross Nationals in Providence RI Results

12/17/2006 Cyclo-cross Men Super Cup
Place,License #,First,Last,City,State,Time,Team
1,0,Tim,JOHNSON,,,0:59:55,Cannondale/cyclocrossworld.com
2,0,Mark,MCCORMACK,,,1:01:09,Clif Bar
3,0,Jonathan,BAKER,,,1:01:12,Harshman Wealth Management / Primus Moot
4,0,Ben,JACQUES-MAYNES,,,1:01:38,cyclocrossworld.com/SRAM
5,136658,Ryan,TREBON,Bend,OR,1:01:54,Kona
6,52534,Adam,MYERSON,Dorchester,MA,1:01:59,Nerac-OutdoorLights.com Pro Cycling
7,35742,Erik,TONKIN,Portland,OR,1:02:00,Kona
8,145071,Tristan,SCHOUTEN,Plymouth,WI,1:02:33,Trek/VW/Michelin
9,0,Steve,TILFORD,,,1:02:38,Verge/Shimano
10,121888,Taylor,CARRINGTON,Denver,CO,1:02:38,Turin - Powerbar
11,206349,Molly,CAMERON,Portland,OR,1:02:40,Vanilla bicycles!
12,0,Matt,KRAUS,,,1:02:40,Alan Factory Team
13,28646,Brent,PRENZLOW,Carlsbad,CA,1:03:22,Celo Pacific/Salsa
14,0,Mathieu,TOULOUSE,,,1:03:30,Team Maxxis Cyclocross
15,16401,Todd,HOEFER,Aptos,CA,1:03:44,Cal Giant/Specialized
16,198394,Bryan,FAWLEY,Denton,TX,1:03:50,Wheels In Motion/Giant
17,128164,Nicholas,WEIGHALL,Santa Cruz ,CA,1:04:07,Alan Factory Cyclocross Team
18,188711,Matt,WHITE,Navarre,FL,1:04:14,FiordiFrutta
19,0,Joshua,SNEAD,,,1:04:49,HRS-Rock Lobster
20,52268,Henry,KRAMER,Menlo Park,CA,1:04:49,Cal Giant/Specialized
21,42403,Daniel,COADY,Easthampton,MA,1:05:11,NCC / BikeReg.com
22,0,Ian,BROWN,,,1:05:20,River City/Tonicfab.com
23,0,Justin,ROBINSON,,,1:05:39,California Giant Strawberries/Specialize
24,29688,Nathan,RICE,Durham,NC,1:05:40,Big Shark Racing/Ridley
25,183803,Chance,NOBLE,Camarillo,CA,1:06:01,California Giant Strawberries/Specialize
26,211474,Mark,KUTNEY,Earlysville,VA,1:06:05,Van Dessel Factory Team
27,0,Unknown,Unknown,,,1:06:13,
28,146710,Mark,GUNSALUS,Dudley,MA,1:06:25,BikeBarnRacing.com
29,153981,Andrew,WULFKUHLE,Lancaster,PA,1:06:32,ADG/Joe's Bike Shop/C3
30,0,Mark,NOBLE,,,1:07:01,California Raisins Masters Cycling Team
31,0,Sam,MORSE,,,1:07:06,Bicycle Link/MBRC
32,119862,John,BEHRENS,San Diego,CA,1:07:07,Celo Pacific/ProBikeSupport.com
33,16266,Kevin,HINES,East Wareham,MA,1:07:37,Gear Works / Spin Arts
34,0,Anthony,WILHELM,,,1:07:46,Trek/ VW midwest MRRC
35,175603,Ethan,GILMOUR,Ludlow,VT,1:07:52,K2 Bike - Okemo - Coyote Hill
36,0,Danny,SUMMERHILL,,,1:07:52,TIAA-CREF/CLIF BAR
37,6406,Todd,CASSAN,Boulder,CO,1:07:56,NYC  Velo
38,80580,Shawn,HARSHMAN,Boulder,CO,1:07:56,Harshman Wealth / Primus Mootry
39,0,Kyle,JACOBSON,,,1:08:10,Team Beans and Barley
40,0,Scott,CARLILE,,,1:08:44,Sunnyside Sports
41,135419,Kurt,REFSNIDER,Prescott,AZ,1:08:44,All9Yards.com Cylcing Team
42,205717,Justin,Lindine,North Ogden,UT,1 lap,Windham Mountain Outfitters
43,0,Gary,HANSON,,,1 lap,Amgen
44,0,Dan,NEYENS,,,1 lap,Hagens-Berman LLP Cycling
