MAXXIS Georgia Cup [Gainesville] Downtown Gran Pri in Gainesville GA Results

04/09/2006 Road Race Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,0,Thad,Dulin,,,,Nerac/OutdoorLights.com Pro Cycling
3,0,Oscar,Henao,,,,UCL
4,0,Tim,Henry,,,,Subaru-Deutsche Bank
5,191403,Zac,Lake,Ware Shoals,SC,,Cheerwine
6,228341,Tiago,DePaula,Kennesaw,GA,,locos
7,188717,Malachi,Peacock,Athens,GA,,
8,0,Travis,Hagner,,,,Pacesetter Steel Service
10,0,Andrew,Adams,,,,Locos Deli & Pub
11,139857,Ryan,Robinson,Anderson,SC,,
12,206929,Daniel,Karnis,Atlanta,GA,,Aaron's/L5 Flyers
13,144020,Cleve,Blackwell,Greenville,SC,,Myogenesis Nutrition pb Landmark Dodge
14,175041,Rich,Harper,Raleigh,NC,,Abercrombie & Fitch
15,70876,Travis,Sherman,Pelham,AL,,Myogenesis Nutrition pb Landmark Dodge
17,79833,Jacob,Rubelt,Tucson,AZ,,AEG
18,2039,Jonathan,Atkins,Peachtree City,GA,,Myogenesis Nutrition pb Landmark Dodge
19,204541,Aaron,Boyleston,Simi Valley,CA,,unattached
20,72192,Mark,Hekman,Winston Salem,NC,,
21,118908,John,Allison,Atlanta,GA,,Aaron's/L5 Flyers
22,193544,Jered,Gruber,Monroe,LA,,
23,222005,Casey,Magner,Greenville ,SC,,Myogenesis Nutrition pb Landmark Dodge
24,0,Neal,Arnett,,,,Downtown Bikes
25,179499,D Tyler,Grahovec,Atlanta,GA,,Pacesetter Steel Service
26,144524,Brady,Rogers,Ellenwood,GA,,Myogenesis Nutrition pb Landmark Dodge
27,88262,Robert,Gable,Decatur,GA,,Subaru-Deutsche Bank

04/09/2006 Road Race Men Cat 5
Place,License #,First,Last,City,State,Time,Team
1,241446,William,Harrison,Charlotte,NC,,
2,0,Nick,Sparler,,,,Clemson
3,0,John,Martin,,,,Privateer
4,0,Brian,Miele,,,,Clemson
5,0,Andrew,Diffenderffer,,,,
6,210391,Bobby,Thrash,Braselton,GA,,Addictive Cycles
8,235090,James,Viar,Locust Grove,GA,,
10,240804,Jeffrey,Stewart,Asheville ,NC,,Locos Cycling
11,181762,Andrew,Hackler,Pueblo,CO,,cross creek cycling club
12,243036,Ken,Mulligan,Carbondale,IL,,
13,238420,Marcus,Seymour,Gainesville,GA,,GTC-Addictive Cycles
14,195298,Robert,Jordan,Monticello,GA,,MAX Cycling Club
15,241937,David,Hicks,Atlanta,GA,,Aaron's/L5Flyers
16,244246,Matthew,Williams,Evans,GA,,
17,237603,Ryan,Puckett,Boone,NC,,Addictive Cycles/Cannondale
18,244892,Joseph,Collins,Mt Airy,GA,,Springer Mountain Farms
20,237656,Curtis,McIlvain,Fort Collins,CO,,Gwinnett Touring Club
21,0,Trey,Bailey,,,,Siemons/Land Rover
22,244498,Jacob,Collins,Conyers,GA,,Springer Mountain Farms
23,0,Travis,Cross,,,,OTR Racing
24,239730,Paul,Saunders,Atlanta,GA,,Velo Voodoo
25,221450,Stanley,White,Mountain City,GA,,
26,218219,Joe,Greenfeld,Roswell,GA,,Taco Mac
27,0,Jeff,Valek,,,,
28,0,Kyle,Emerson,,,,
29,240270,Dave,Spangler,Watkinsville,GA,,Velo Voodoo
30,0,Stephen,Jansa,,,,
31,238849,Tadd,Peck,Oakwood,GA,,Addictive Cycles-Cannondale
32,107679,Joey,Brown,Clarkesville,GA,,
33,0,Simon,Coughlin,,,,
34,236019,Alex,Harrod,Dacula,GA,,
35,170835,Joshua,Boggs,Greenville,SC,,Cherokee Velo
36,184163,Frank,Dement,Warner Robins,GA,,
37,240210,John,Holtzclaw,Macon,GA,,UGA
38,246477,William,Powers,Brunswick,GA,,
39,131534,Christopher,Griggs,Snellville,GA,,GTC - Gwinnett Touring Club
40,237020,Josesph,Gasser,Atlanta,GA,,
41,243327,Mike,Zimmerman,Woodstock,GA,,
42,191592,Matthew,Staras,Gainesville,FL,,GTC (Gwinnett Touring Club)
43,236941,Tim,Millwood,Alpharetta,GA,,
44,16962,Eddie,Hsu,Buford,GA,,Addictive Cycles/Cannondale
46,238007,William,Whidden,Gainesville,GA,,Addictive Cycles-Cannondale
47,227605,Brandon,Davis,Winder,GA,,
48,19016,James,Kessler,Atlanta,GA,,avxbikes.com
49,0,Chris,Hoback,,,,
50,243910,Nicholas,Conroy,Gunnison,CO,,
51,239733,Richard,Gregor,Gainesville,GA,,
52,0,teddy,duncan,,,,
53,244583,Eric,Robidou,Conyers,GA,,
54,237659,Chris,Deyton,Flowery Branch,GA,,Addictive Cycles-Cannondale
55,213321,Lee,Honeycutt,Tifton,GA,,
56,209694,Darren,Triplett,Atlanta,GA,,Aaron's/L5Flyers
57,0,Lisa,Henderson,,,,
58,0,David,Shailey,,,,
DNF,241071,Doug,Gilfillan,Atlanta,GA, GA,Atlanta
DNF,89039,Mark,Goffi,Mcdonough,GA, GA,McDonough
DNF,0,Brian,Breedlove,,, GA,newnan

04/09/2006 Road Race Men Cat 4
Place,License #,First,Last,City,State,Time,Team
1,243353,Eric,Watson,Gainesville,GA,,addictive cycles/cannondale
2,221683,Ty,Tagami,Decatur,GA,,Aaron's/L5Flyers
3,0,John,Compton,,,,Colivita
4,230019,Jeff,Wright,Elberton,GA,,OutSpoken
5,217897,Eric,Hollifield,Dacula,GA,,Addictive Cycles Cannondale
6,164411,Starling,Bridges,Clarkesville,GA,,Troll Tavern
7,137710,Jeremy,Wadkins,Columbus,GA,,
8,0,Eric,Tweedy,,,,Meehan's/cycleworks
9,224566,Thomas,Shaffer,Kennesaw,GA,,Land Rover / Siemens
10,195909,Edgardo,Beltran,Woodstock,GA,,
11,172090,Joshua,Stinger,Seattle,WA,,Velo Voodoo
12,148361,Jason,Crosby,Decatur,GA,,Georgai Spinal/Atlanta Pro Bikes
13,106264,Tom,Watson,Smyrna,GA,,Bicycle Link
14,219548,Justin,Dozier,Bloomingdale,GA,,Bicycle Link
15,0,Todd,Daprano,,,,Columbus Bike Racing
16,237683,Jack,Howland,Ooltewah,TN,,Addictive Cycles/Cannondale
17,139174,Steve,Hatfield,Atlanta,GA,,Aaron's L5 Flyers
18,206695,Darren,Sorrells,Alpharetta,GA,,Columbus Bike Racing
19,167945,Brian,Lynn,Atlanta,GA,,Velo Voodoo
20,0,Jeff,Smock,,,,
21,4666,Ronnie,Bratcher,Cumming,GA,,Aarons/L5Flyers
22,55466,Erik,Eidsvik,Decatur,GA,,Aarons/L5Flyers
23,221565,Scott,Blanck,Decatur,GA,,GTC
24,226657,Kevin,Hertzberg,Hopkins,MN,,
25,194542,Joseph,Stukes,Smyrna,GA,,@ The Hub/Terrapin Brewing
26,199023,Kyle,Cochran,Spartanburg,SC,,Siemans / Land Rover
27,108129,Reid,Baker,Phoenix,AZ,,RBM - Velo Voodoo
28,232952,Kelly,Bazemore,Marietta,GA,,
29,0,Adam,Lawrence,,,,S. Ga Cycling
30,224465,David,Grant,Duluth,GA,,
31,0,Patrick,Vrana,,,,
32,235305,Dustin,Mealor,Alto,GA,,Habersham Flyers
