Peter Teeuwen Memorial Omnium Time Trials in Chesapeake VA Results

08/12/2007 Individual Time Trial Men Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,211712,Keck,Baker,New Kent,VA,0:50:14,Seigler/Axley USA
2,108975,B (Gene),Fowler,Boone,NC,0:50:19,SR Racing
3,211359,Daniel,King,Richmond,VA,0:50:20,Team Natures Path/3SPORTS
4,205055,Michael,Hosang,Virginia Beach,VA,0:50:22,TRIPOWER
5,203973,Stephen,De Lisle,Gloucester,VA,0:50:38,Hilton Cycling Club
6,47734,William,Malone,Mechanicsville,VA,0:52:03,Team Natures Path/3SPORTS

08/12/2007 Individual Time Trial Men Cat 5
Place,License #,First,Last,City,State,Time,Team
1,237748,Jacob,Tremblay,Chesterfield,VA,0:50:35,Conte's/Cycor
2,0,Mike,Fawell,,,0:52:07,Team Nature's Path / 3 Sports
3,253558,Cory,Scott,Richmond,VA,0:52:29,Team Natures Path/3 Sports
4,235412,Anthony,Sanders,Virginia Beach,VA,0:52:53,Fat Frogs Racing
5,243897,Shelton,Clough,Virginia Beach,VA,0:54:20,Fat Frogs
6,243391,Robert,Riek,Chesapeake,VA,0:54:27,All About Bikes
7,0,James,Harvey,,,0:55:31,Final Kick
8,211374,Alan,Thompson,Destin,FL,0:55:40,Fat Frogs Racing
9,0,George,Lowe,,,0:56:00,Unattached
10,0,Russ,Bruns,,,0:56:04,Unattached
11,0,Dave,Smith,,,0:56:19,Final Kick
12,0,Cris,Miller,,,0:56:22,FINAL KICK
13,260376,Martin,Snyder,Virginia Beach,VA,0:56:28,Fat Frogs Racing
14,264684,Andrew,Miller,Williamsburg,VA,0:56:39,Unattached
15,232204,Chris,Logan,Virginia Beach,VA,0:56:51,Fat Frogs Racing
16,266087,Mark,Horton,Suffolk,VA,0:56:53,BCS Voice and Data/VBV
17,241893,Kendal,Felix,Hampton,VA,0:57:54,Hilton Cycling Club
18,0,Martin,Ortiz,,,0:58:56,Unattached
19,237619,Keith,Mercure,Chesapeake,VA,0:58:59,Fat Frogs Racing
20,260970,Richard,Godsey,Southern Shores,NC,0:59:28,G.S. Kitty Hawk/KHCC
21,192922,James,Bradley,Yorktown,VA,0:59:34,Colonial Racing Team
22,260344,Malcolm,Lively,Virginia Beach,VA,1:00:39,TriPower
23,31555,Edward,Schiavoni,Virginia Beach,VA,1:00:54,Coastal Racing
24,229879,Michael,Brown,Chesapeake,VA,1:01:08,All About Bikes Racing
25,0,Michael,Grimm,,,1:04:07,Hilton Cycling Club
26,0,Lee,Cooper,,,1:06:46,Fat Frogs Racing

08/12/2007 Individual Time Trial Men Cat 4
Place,License #,First,Last,City,State,Time,Team
1,148126,Michael,Lirette,Elizabeth City,NC,0:51:02,All About Bikes Racing
2,199585,William,Gilmer,Va. Beach,VA,0:51:03,tri-power
3,205807,Tim,Starkey,Virginia Beach,VA,0:51:09,Tri-power
4,147116,Jordan,Whiley,Farmville,VA,0:51:20,Blackwater Bike Shop
5,242866,Andres,DeMarchena,Virginia Beach,VA,0:52:03,Fat Frog's Racing
6,104437,Mitch,Hunt,Suffolk,VA,0:52:25,all about bikes racing
7,191264,Cappy,Sinclair,Virginia Beach,VA,0:52:33,coastal racing
8,208527,John,Musante,Virginia Beach,VA,0:53:08,Tri-Power
9,122052,James,Bender,Seattle,WA,0:53:12,Virginia Beach Velo
10,198645,Thomas,Houff,Richmond,VA,0:53:19,Richmond Ciclismo
11,204687,Ben,Warren,San Jose,CA,0:54:23,Blackwater Bike Shop
12,214269,Max,Fryar,Virginia Beach,VA,0:54:33,Fat Frogs Racing
13,88568,Chuck,Talbott,Virginia Bch,VA,0:56:00,Tri Power
14,54443,Charles,Alt,Chesapeake,VA,0:56:49,All About Bikes Racing
15,255658,Albe,Rodenas,Chesapeake,VA,0:57:39,All About Bikes Racing
16,221792,Christopher,Burns,Glen Allen,VA,0:59:53,Team Nature's Path/3Sports

08/12/2007 Individual Time Trial Men Cat 3
Place,License #,First,Last,City,State,Time,Team
1,215529,Elliot,Van Patten,Buford,GA,0:00:00,Team Simple Green
2,209071,Scott,Sheble,Richmond,VA,0:51:05,Richmond Ciclismo
3,221836,Jeffrey,Craddock,Virginia Beach,VA,0:51:20,Fat Frogs Racing
4,138242,William,Evans,Fredericksbsurg,VA,0:51:52,BikeWorks Racing
5,249070,Daniel,Craft,Indianapolis,IN,0:52:09,Fat Frogs Racing
6,63512,Wayne,Dowd,Boxford,MA,0:52:29,Tri-Power
7,203275,Nicholas,Blend,Richmond,VA,0:53:00,Team Nature's Path/3 Sports
8,8933,Frank,Deal,Salem,VA,0:53:28,JRVS/Casey Auto Group
9,58274,Joshua,Goyet,Virginia Beach,VA,0:53:56,Virginia Beach Wheelmen
10,48697,Ted,Hopkins,Wake Forest,NC,0:55:52,Cycles Veloce Simple Green
11,209373,Chris,Shaw,Opelika,AL,0:57:33,

08/12/2007 Individual Time Trial Men JR 10-12
Place,License #,First,Last,City,State,Time,Team
1,0,Patrick,Ribble,,,0:20:15,JRVS/Casey Auto Group
2,264735,Sterling,Hinkle,Virginia Beach,VA,0:21:20,FAT FROGS RACING
3,261359,Devon,Adamchuk,Virginia Beach,VA,0:23:28,Fat Frogs Racing

08/12/2007 Individual Time Trial Men JR 13-14
