Ironhill Twilight Criterium in West Chester PA Results

07/07/2007 Criterium Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,0,Emile,Abraham,,,1:20:23,Priority Health
2,194569,Evan,Fader,Boulder,CO,1:20:23,Battley Harley-Davidson/Hudson
3,37157,Kyle,Wamsley,Alburtis,PA,1:20:34,navigators
4,0,peter,dawson,,,1:20:34,
5,0,Frank,Travieso,,,1:20:34,AEG-TOSHIBA-JetNetwork
6,0,Yosvany,Falcon,,,1:20:34,AEG-TOSHIBA-JetNetwork
7,105456,Russell,Langley,Gaithersburg,MD,1:20:34,Battley Harley-Davidson/Hudson
8,52534,Adam,Myerson,Dorchester,MA,1:20:34,Nerac Pro Cycling
9,212905,Michael,Stoop,Richmond,VA,1:20:34,
10,63559,Daniel,Holt,Atlanta,GA,1:20:34,Nerac Pro Cycling
11,169492,Brian,Butts,Alexandria,VA,1:20:34,Battley Harley-Davidson/Hudson
12,0,David,Duncan,,,1:20:34,Time Developmental Team
13,0,Ryan,DeWald,,,1:20:34,Rite Aid
14,220775,Thomas,Soladay,Minnetonka,MN,1:20:34,
15,131248,Scott,Zwizanski,West Chester,PA,1:20:34,Priority Health
16,0,Chris,Monteleone,,,1:20:34,Time Developmental Team
17,122482,Craig,Dodson,Richmond,VA,1:20:34,Nature's Path Cycling
18,0,Amaurys,Perez,,,1:20:34,
19,120470,Clayton,Barrows,Denver,CO,1:20:34,Rite Aid
20,65819,Bobby,Lea,Mertztown,PA,1:20:34,Toyota-United
21,47769,John,Loehner,New York,NY,1:20:34,
22,0,darron,harry,,,1:20:34,Alliance Environmental
23,0,Paul,Ward,,,1:20:34,Nature's Path Cycling
24,104840,Todd,Yezefski,Medford,MA,1:20:34,Nerac Pro Cycling
25,74291,Michael,Norton,Beloit,WI,1:20:34,Rite Aid
26,47232,William,Elliston,Easton,PA,1:20:34,Rite Aid
27,58428,Marco,Aledia,Worthington,OH,1:20:34,A&F Pro Developmental
28,166664,Taylor,Brown,Fleetwood,PA,1:20:34,
29,33370,Jason,Snow,Tallahassee,FL,1:20:34,Cycle Science
30,72192,Mark,Hekman,Winston Salem,NC,1:20:34,A&F Pro Developmental
31,177933,Joseph,Whitman,State College,PA,1:20:34,Team Alliance Environmental
32,204958,Daniel,Zmolik,New York,NY,1:20:34,
33,0,Brandon,Gavic,,,1:20:34,A&F Pro Developmental
34,0,Johnny,Hayes,,,1:20:34,CRCA/Sakonnet Technology U25
35,164040,Jermaine,Burrowes,Brooklyn,NY,1:20:34,team united
36,0,Matt,Sherwin,,,1:20:34,CRCA/Sakonnet Technology U25
37,211475,Phillip,Gaimon,North Hollywood,CA,1:20:34,CRCA/Sakonnet Technology U25
38,0,Gerardo,Castro,,,1:20:52,Nature's Path Cycling
39,97020,David,Wiswell,New York,NY,1:24:58,Nerac Pro Cycling
40,166662,Tucker,Brown,Fleetwood,PA,1:24:58,
41,198408,Sean,Barrie,Washington,DC,1:24:58,Battley Harley-Davidson/Hudson
42,185428,Joseph,Thompson,Durango,CO,1:24:58,Rocky Mtn. Chocolate Factory

07/07/2007 Criterium Men Cat 3/4
Place,License #,First,Last,City,State,Time,Team
1,215937,Euri,Madera,Hartsdale ,NY,42:30:00,
2,238360,Barton,Kirk,Pittsburgh,PA,42:51:00,
3,0,Glenroy,Griffith,,,42:51:00,
4,221287,Adam,Kahler,Bakersfield,CA,42:51:00,
5,251027,Henrik,Weible,West Chester,PA,42:51:00,VCRC Factory Team
6,206468,Todd,Dowling,Lake Placid,NY,42:51:00,
7,172784,Daniel,Greene,Pittsburgh,PA,42:51:00,
8,210930,Andy,Munas,Bethlehem,PA,42:51:00,
9,206466,Charles,Alexander,Sacramento,CA,42:51:00,
10,226918,Jonathan,Gdowik,Baltimore,MD,42:51:00,
11,197509,Chris,McCunney,Wilmington,DE,42:51:00,
12,226753,Martin,Mrugal,West Chester,PA,42:51:00,Chester Country Velo/Iron Hill
13,130453,Jason,Schiltz,Chester Springs,PA,42:51:00,
14,184317,Christopher,Shaw,Pipersville,PA,42:51:00,
15,252598,Michael,Niemi,Gainesville,FL,42:51:00,
16,0,Justin,Brown,,,42:51:00,
17,0,Matt,Perry,,,42:51:00,
18,223455,Kyle,Centrella,Paoli,PA,42:51:00,
19,245036,Richard,MacLaughlin,West Chester,PA,42:51:00,
20,197894,Tim,Gresh,West Chester  Pa,PA,43:01:00,

07/07/2007 Criterium Women Pro/Cat 1/2/3
Place,License #,First,Last,City,State,Time,Team
1,36345,Laura,Van Gilder,Cresco,PA,1:02:04,cheerwise
2,231296,Theresa,Cliff-Ryan,Cedar Springs,MI,1:02:04,Verducci/Breakaway Racing
3,196453,Brooke,Miller,Sebastopol,CA,1:02:04,Tibco
4,199998,Sarah,Caravella,Boulder,CO,1:02:04,Aarons Pro Cycling Team
5,91806,Rebecca,Larson,Norman,OK,1:02:04,Aarons Pro Cycling Team
6,143297,Jenette,Williams,Proctorville,OH,1:02:04,Hub Racing
7,120497,Heidi,Woolever,Brooklyn,NY,1:02:04,Annapolis BRT
8,195966,Jennifer,Bodine,Torrance,CA,1:02:04,ABRT/Latitude
9,221431,Kacey,Manderfield,Orefield,PA,1:02:04,Verducci/Breakaway Racing
10,185441,Jacquelyn,Crowell,Atlanta,GA,1:02:04,Cycle Science
11,101329,Beth,Mason,Easthampton,MA,1:02:09,C3/ADG/Joes
12,0,Veronica,Martinez,,,1:02:09,Orbea Argentina
13,0,Arielle,Filiberti,,,1:02:09,Targetraining
14,196134,Katherine,Lambden,Fort Lee,NJ,1:02:14,Team TIBCO
15,0,Jessie,Maclean,,,1:03:54,Verducci/Breakaway Racing
16,0,Leeanne,Manderson,,,1:04:23,Hub Racing
17,240239,Arley,Kemmerer,Palmerton,PA,1:04:23,
18,185381,Lisa,Jellett,Warren,NJ,1:04:23,Verducci/Breakaway Racing
19,241032,Bianca,Grecu,Philadelphia,PA,1:04:23,Human Zoom
20,68760,Michele,Bote,Lancaster,PA,1:14:25,Hub Racing
21,132499,Nonnie,Howard,Exton,PA,1:14:25,Verducci/Breakaway Racing
22,250385,Andrea,Luebbe,Plymouth Meeting,PA,1:14:25,
23,180423,Colleen,Gulick,Spring City,PA,1:14:25,
24,142023,Kristine,Church,Philadelphia,PA,1:14:25,
25,0,Yordan,Golin,,,1:14:25,Targetraining
26,177177,Reem,Jishi,Skaneateles,NY,1:14:25,Advil/Chapstick
27,115696,Lynda,Maldonado,Little Rock,AR,1:14:25,Tri State Velo/Amoroso's/Victor
28,131390,Christine,Saraceni,Scottsdale,AZ,1:14:25,Verducci/Breakaway Racing
29,0,Nina,Santiago,,,1:14:25,Targetraining
30,123316,Alane,Ballweg,Charlottesville,VA,1:14:25,Cycle Science
31,203391,Netana,Hotimsky,Grand Junction,CO,1:14:25,
32,0,Rebeca,Jones,,,1:14:25,Hub Racing
