Cascade Cycling Classic in Bend OR Results

07/15/2007 Circuit Race Men Pro/ Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,56910,Kirk,O'Bee,Ada,MI,3:05:55,Health Net presented by Maxxis
2,257489,Ricardo,Escuela,Santa Monica,CA,3:05:55,Successful Living.com P/B Parkpre
3,23057,Benjamin,Jacques-Maynes,Corralitos,CA,3:05:55,Priority Health Bissell
4,0,Darren,Lill,,,3:05:55,Navigators Insurance Cycling Team
5,21636,Jeff,Louder,Slc,UT,3:05:58,Health Net presented by Maxxis
6,231701,Micheal,Grabinger,Phoenix,AZ,3:05:58,Successful Living.com P/B Parkpre
7,0,Chris,Baldwin,,,3:05:58,Toyota-United Pro Cycling
8,52790,Christopher,Wherry,Durango,CO,3:05:58,Toyota-United Pro Cycling
9,46244,Scott,Moninger,St Louis,MO,3:05:58,BMC Pro Cycling Team
10,0,David,Vitoria,,,3:05:58,BMC Pro Cycling Team
11,237681,Glen,Chadwick,Denville,NJ,3:05:58,Navigators Insurance Cycling Team
12,184181,Justin,England,Boulder,CO,3:06:13,Toyota-United Pro Cycling
13,0,Ryder,Hesjedal,,,3:06:27,Health Net presented by Maxxis
14,194687,Corey,Collier,Grand Junciton ,CO,3:06:27,Team Einstein's Cycling
15,172573,Ian,McKissick,Seattle,WA,3:06:27,BMC Pro Cycling Team
16,0,Ben,Day,,,3:06:27,Navigators Insurance Cycling Team
17,51227,T Burke,Swindlehurst,Salt Lake City,UT,3:06:27,Toyota-United Pro Cycling
18,161043,Brian,Sheedy,Horse Shoe,NC,3:06:27,Priority Health Bissell
19,138067,Douglas,Ollerenshaw,Atlanta,GA,3:06:27,Health Net presented by Maxxis
20,238182,Christian,Valenzuela,Pasadena,CA,3:06:27,Successful Living.com P/B Parkpre
21,0,Heath,Blackgrove,,,3:06:33,Toyota-United Pro Cycling
22,164362,K Frank,Pipp,Longmont,CO,3:06:38,Health Net presented by Maxxis
23,220711,Jonathan,Garcia,Fort Collins,CO,3:06:39,BMC Pro Cycling Team
24,191416,Ryan,Hamity,Boulder,CO,3:07:31,Team Einstein's Cycling
25,200988,Jarred,Berger,Lincoln,NE,3:07:31,Team Einstein's Cycling
26,136696,Stefano,Barberi,Newbury Park,CA,3:07:31,Toyota-United Pro Cycling
27,42023,Jackson,Stewart,San Jose,CA,3:07:31,BMC Pro Cycling Team
28,172961,Ben,Kneller,Durango,CO,3:07:31,Rocky Mountain Chocolate Factory
29,153790,Roman,Kilun,Oakland,CA,3:07:31,Health Net presented by Maxxis
30,0,Ivan,Domiguez,,,3:07:43,Toyota-United Pro Cycling
31,242562,Ian,Gray,Fort Collins,CO,3:08:01,Nebraska Medical Center/Team Kaos
32,54612,Aaron,Olson,Santa Barbara,CA,3:08:01,T-Mobile Pro Team
33,171671,Joseph,Saperstein,Boulder,CO,3:08:22,Team Einstein's Cycling
34,0,Aaron,Tuckerman,,,3:08:22,Team Rubicon
35,205020,Scott,Nydam,Window Rock,AZ,3:08:22,BMC Pro Cycling Team
36,257488,Alessandro,Bazzana,Oxnard,CA,3:08:22,Successful Living.com P/B Parkpre
37,182602,Edward,King,Brentwood,NH,3:09:27,Priority Health Bissell
38,190900,Matthew,Cooke,Boulder,CO,3:10:44,Navigators Insurance Cycling Team
39,132598,Ben,Brooks,Corvallis,OR,3:10:44,Navigators Insurance Cycling Team
40,54591,Michael,Sayers,Fair Oaks,CA,3:11:28,BMC Pro Cycling Team
41,187300,Christopher,Jones,Bend,OR,3:13:13,Nerac Pro Cycling
42,171819,Bernard,VanUlden,San Mateo,CA,3:17:23,Navigators Insurance Cycling Team
43,102604,Charles,Coyle,Boulder,CO,3:17:23,Successful Living.com P/B Parkpre
44,173639,Garrett,Peltonen,Fort Collins,CO,3:17:23,Priority Health Bissell
45,168259,Robbie,King,New York,NY,3:20:57,Priority Health Bissell
46,190844,Shawn,Howard,Colbert,WA,3:26:21,WAR
47,212667,Adam,Jensen,Missoula,MT,3:26:21,Hagens Berman LLP
48,0,Dan,Bryant,,,3:26:21,Specialized/Sierra Nevada
49,197844,Jonathan,Eropkin,Fresno,CA,3:26:21,Central Valley Cycling
50,212580,David,Rodriguez,Fremont,CA,3:26:21,Navigators Insurance Cycling Team
51,267159,Matt,Lieto,Bend,OR,3:29:47,Therapeutic Associates
52,153684,Mitchell,Trux,San Francisco,CA,3:29:47,DBC Elite
53,227593,Justin,Rose,Middleton ,ID,3:29:47,Team Bobs-Bicycles.com
54,159582,Matt,Landen,Denver,CO,3:29:47,Nebraska Medical Center/Team Kaos
55,189912,Benjamin,Thompson,Bend,OR,3:36:26,Bend Elite
56,166423,Ben,Rhodes,Centralia,WA,3:45:05,Recycled Cycles/Raleigh
57,219970,Chris,Swan,Portland,OR,3:45:05,Lombardi Sports
DQ,90090,Philip,Zajicek,Tucson,AZ,3:05:58,Navigators Insurance Cycling Team
DNF,88582,Patrick,Caro,Claremont,CA,,Schroeder Iron/Incycle
