Gran Prix of Gloucester in Gloucester MA Results

08/11/2007 Cyclo Cross Men Master MR 55-99
Place,License #,First,Last,City,State,Time,Team
1,0,Jim,LAIRD,,,0:41:51,TI Cycle Racing
2,111633,Phillip,Bannister,Putney,VT,0:43:49,Putney/West Hill
3,158018,Douglas,Adams,W Harwich,MA,0:44:37,MosaicSmalti.com
4,195095,David,Beals,Niskayuna,NY,0:44:55,CBRC
5,132655,Terry,Cowman,Manchester,MA,0:45:02,Essex County Velo - MCRA
6,45884,Richard,Sachs,Deep River,CT,0:46:26,RGM Watches- RICHARD SACHS
7,145763,Craig,Walton,Richmond,MA,0:46:39,Housatonic
8,233901,Edward,Hamel,Southampton,MA,0:46:39,Joe's Garage/Reynolds Composites
9,71270,Jerry,White,Auburn,NH,0:47:24,Unattached
10,28943,James,Quinn,Weymouth,MA,0:39:37,The Bicycle Link/MBRC
11,58697,Joseph,Hepp,Arundel,ME,0:39:38,Southern Maine Cycling Club
12,24537,Garabed,Minasian,Nashua,NH,0:39:40,BOB cycling/stoneyfield
13,102843,James,Dowling,Buckfield,ME,0:39:41,Maine Cycling Club/Rainbow
14,164594,Richard,Costa,Brimfield,MA,0:39:53,Cyclonauts Racers Inc.
15,91637,James,Themig,Niantic,CT,0:40:20,Mystic Velo MCRA
16,215502,Bob,Ludecke,Milldale,CT,1 lap,laurel bike club
17,0,Hunt,BARROWS,,,1 lap,
18,152513,Jack,Chapman,Auburn,NH,1 lap,NAULTS CYCLERY/naults.com

08/11/2007 Cyclo Cross Men Junior JR 10-14
Place,License #,First,Last,City,State,Time,Team
1,234696,Curtis,White,Delanson,NY,0:14:22,CBRC/Capital Bicycle Racing Club
2,219424,Tom,Goguen,Hopedale,MA,0:14:38,Minuteman Road Club
3,235297,James,Mucci,Pittsfield,MA,0:14:56,Berkshire Bike & Board
4,254656,Wes,Dunn,Gloucester,MA,0:15:03,Team Harborside Cycle
5,235572,Nate,Morse,Cohasset,MA,0:15:45,CLNoonan/Coast to Coast
6,226301,Austin,Vincent,Simsbury,CT,0:15:58,Unattached
7,0,Mike,SAMPSON,,,0:16:10,
8,253356,Andrew,Frothingham,Wolfeboro,NH,0:16:18,CCB/Volkswagen
9,269224,Sean,Suprenant,Milford,NH,0:16:23,CCB/Volkswagen
10,0,Emily,SENNING,,,0:18:07,
11,270402,Ian,KEOGH,Sandwich,MA,0:18:35,Corner Cycle Cycling Club
12,0,Richard,VINCENT,,,0:19:15,Unattached
13,268861,Colin,Vincent,Weatogue,CT,0:19:51,Unattached
14,0,Spencer,PENDLETON,,,0:19:51,
15,235572,Nate,Morse,Cohasset,MA,1 lap,CLNoonan/Coast to Coast
16,226301,Austin,Vincent,Simsbury,CT,1 lap,Unattached

08/11/2007 Cyclo Cross Men Junior JR 15-18
Place,License #,First,Last,City,State,Time,Team
1,229135,Luke,Keough,Colorado Springs,CO,0:38:25,CLNoonan/Coast to Coast/KAM
2,218736,Gavin,Mannion,Austin,TX,0:38:26,Hot Tubes Junior Development Team
3,0,Simon,LAMBERT LEMAY,,,0:38:48,HOTTUBES CYCLING
4,0,Jeff,BAHNSON,,,0:39:20,C2S/Henry's Bikes
5,210129,Connor,Sallee,Dallas,TX,0:39:44,CRCA JrDev/Orbea
6,397697,Mitch,BAILEY,,,0:39:49,Epic Ride / Jetpower
7,219955,Patrick,Bradley,Richwood,NJ,0:40:04,Cape Atlantic Racing/Team Beacon
8,0,Patrick,CHARTRAND,,,0:40:15,CVM Val-David
9,238479,Zachary,HUGHES,Newburgh,IN,0:40:29,The Hub Bicycle Shop
10,243924,Collin,Huston,Kennebunk,ME,0:40:39,Cape Able Bike Shop/Trek Bikes
11,0,Tom,SAMPSON,,,0:40:40,Rhino Bike Works
12,229606,Jesse,Keough,Sandwich,MA,0:41:55,CLNoonan/Coast to Coast/KAM
13,211959,Paul,Lynch,Colchester,CT,0:42:51,Mystic Velo Club
14,234154,Ryan,Packard,Arlington,MA,0:43:10,QuadCycles
15,241095,Ross,Gordon,Galloway,NJ,0:43:35,Cape Atlantic Racing/Team Beacon
16,0,Gabe,ANTHONY,,,0:46:03,Essex County Velo
17,255382,Christopher,Opie,Arlington,MA,1 lap,QuadCycles
18,0,Connor,ADAMICH,,,1 lap,

08/11/2007 Cyclo Cross Men Cat 3/4 Master 35-54
Place,License #,First,Last,City,State,Time,Team
1,143626,Mitchell,Medeiros,New Bedford,MA,0:40:32,scottee's westport bicycle
2,230842,Gary,Jasdzewski,Cambridge,MA,0:40:57,Boston Scientific Cycling
3,147640,Roger,Goulart,New Bedford,MA,0:40:57,Scottee's Westport Bicycle
