Quad Knopf Sequoia Cycling Classic Exeter TT in Excter CA Results

03/17/2007 Criterium Men pro
Place,License #,First,Last,City,State,Time,Team
1,0,Ivan,Dominguez,,,,toyota-united pro cycling team
2,0,Ivan,Stevic,,,,toyota-united pro cycling team
3,0,Henk,Vogels,,,,toyota-united pro cycling team
4,0,Alejandro,Acton,,,,Colavita/ Sutter Home presented by Cooki
5,0,Charles,Dionne,,,,Colavita/ Sutter Home presented by Cooki
6,42023,Jackson,Stewart,San Jose,CA,,BMC Professional Cycling Team
7,0,Alessandro,Bazzana,,,,Successful Living.com P/B Parkpre
8,0,keven,Lacombe,,,,Volkswagen/Trek
9,31615,Daniel,Schmatz,Brighton,CO,,BMC Professional Cycling Team
10,0,Dusan,Ganic,,,,Successful Living.com P/B Parkpre
11,0,Emile,Abraham,,,,Priority Health
12,194969,Kenneth,Hanson,San Diego,CA,,BMC Professional Cycling Team
13,70612,Andrew,Crater,Greenville ,SC,,Team Wheel & Sprocket
14,126996,Chad,Hartley,Milwaukee,WI,,BMC Professional Cycling Team
15,0,Devon,Vigus,,,,California Giant/Specialized
16,173639,Garrett,Peltonen,Fort Collins,CO,,Priority Health
17,34666,Jonathan,Sundt,Austin,TX,,Kelly Benefit Strategies/Medifast
18,0,Kirk,Carlsen,,,,Team Rubicon
19,0,Martin,Gilbert,,,,Kelly Benefit Strategies/Medifast
20,231701,Micheal,Grabinger,Phoenix,AZ,,Hagens-Berman LLP
21,0,Peter,Hatton,,,,Colavita/ Sutter Home presented by Cooki
22,177906,David,Guttenplan,Clearwater,FL,,CRCA/Sakonnet Technology U25
23,200386,Nicholas,Clayville,Lake Tapps,WA,,Hagens-Berman LLP
24,0,Davide,Frattini,,,,Colavita/ Sutter Home presented by Cooki
25,238294,Paul,Che,Torrance,CA,,Team 5 Star
26,182602,Edward,King,Brentwood,NH,,Priority Health
27,189913,Brian,Buchholz,San Francisco,CA,,BPG/ Montano Velo
28,17590,Andy,Jacques-Maynes,Watsonville,CA,,California Giant/Specialized
29,177088,Jamiel Reza,Danesh,San Jose,CA,,Kodak Gallery P/B Sierra Nevada Brewing
30,52790,Christopher,Wherry,Durango,CO,,toyota-united pro cycling team
31,0,KEN,AKITA,,,,NA
32,30417,Thurlow,Rogers,San Diego,CA,,Sonance-Specialized
33,190569,Alexi,Martinez,Costa Mesa,CA,,Successful Living.com P/B Parkpre
35,90607,Patrick,Dunaway,Oakland,CA,,California Giant/Specialized
36,220711,Jonathan,Garcia,Fort Collins,CO,,BMC Professional Cycling Team
37,231367,Dean,Peters,Burlingame,CA,,Unattached
38,204739,Jesse,Moore,Sacramento,CA,,California Giant/Specialized
39,53327,Robert,Newman,Los Gatos,CA,,pacific state bank/ anderson homes
40,195652,Max,Jenkins,Davis,CA,,California Giant/Specialized
41,128575,Eric,Wohlberg,San Jose,CA,,Symmetrics
42,118320,Anthony,Colby,Dedham,MA,,Colavita/ Sutter Home presented by Cooki
43,16294,Christopher,Hipp,Redwood City,CA,,Labor Power
44,0,Ulrich,DeYoung,,,,Hagens-Berman LLP
45,0,Curtis,Gunn,,,,Successful Living.com P/B Parkpre
46,52843,Dirk,Copeland,Santa Clara,CA,,California Giant/Specialized
47,98315,David,Pierce,Mansfield Center,CT,,Stanford
48,131248,Scott,Zwizanski,West Chester,PA,,Priority Health
49,0,Christian,Valenzuela,,,,Successful Living.com P/B Parkpre
50,121621,Tyler,Wren,Burlington,VT,,Colavita/ Sutter Home presented by Cooki
51,47616,Paul,Sumner,San Anselmo,CA,,Adobe/Schwalbe/Lombardi Sports
52,0,TAKAAKI,OTA,,,,NA
53,0,Christian,Kearny,,,,BPG/ Montano Velo
54,211475,Phillip,Gaimon,North Hollywood,CA,,CRCA/Sakonnet Technology U25
55,58572,Daniel,Larson,Norman,OK,,Cycle Science
56,179451,Gavriel,Epstein,Englewood,NJ,,CRCA/Sakonnet Technology U25
57,172961,Ben,Kneller,Durango,CO,,Rocky Mountain Chocolate Factory
58,0,Josh,Tack,,,,Hagens-Berman LLP
59,209022,Daniel,Harm,Seattle,WA,,Team Rubicon
60,0,Chad,Nikolz,,,,Hagens-Berman LLP
61,63342,Todd,Hancock,Indianapolis,IN,,HerbaLife-BikeAm.com p/b Potters
62,203965,Ryan,Morris,Sausalito,CA,,Team Rio Grande
63,178193,Andrew,Cornelison,Fort Bragg,NC,,CRCA/Sakonnet Technology U25
64,88995,Jacob,Rosenbarger,Boulder,CO,,BMC Professional Cycling Team
65,17154,John,Hunt,Fairfax,CA,,California Giant/Specialized
66,0,Adrian,Hegyvery,,,,Hagens-Berman LLP
67,124130,Kevin,Bouchard-Hall,Wadhams,NY,,Kelly Benefit Strategies/Medifast
68,189622,Matthew,Willinger,San Mateo,CA,,BPG/ Montano Velo
69,0,Omer,Ken,,,,Priority Health
70,0,Javier,Pimental,,,,SouthBay Wheelmen
71,98357,Ryan,Yee,Ventura,CA,,Successful Living.com P/B Parkpre
72,172541,Osvaldo,Olmos,San Luis Obispo,CA,,California Giant/Specialized
73,0,Keith,Miller,,,,California Giant/Specialized
74,90253,Benjamin,Stafford,La Jolla,CA,,Page Mill Racing
75,0,Caleb,Manion,,,,toyota-united pro cycling team
76,0,Daniel,Ramsay,,,,Successful Living.com P/B Parkpre

03/17/2007 Criterium Women
Place,License #,First,Last,City,State,Time,Team
1,0,Suzanne,de Goede,,,,T-Mobile Team - Women
2,36345,Laura,Van Gilder,Cresco,PA,,Cheerwine
3,91806,Rebecca,Larson,Norman,OK,,Aaron's Pro Cycling Team
4,100972,Nichole,Wangsgard,Cedar City,UT,,Bicycle John's Serious Cycling
5,167107,Anna,Lang,La Jolla,CA,,Karl Strauss/SDBC
6,0,Laura,Yoisten,,,,Webcor Builders
7,126306,Natalie,Klemko,Bristol,WI,,Advil ChapStick
8,206044,Amber,Rais,Mansfield Center,CT,,Webcor Builders
9,0,Alex,Wrubleski,,,,Colavita/ Sutter Home presented by Cooki
10,234660,Stacy,Marple,Oakland,CA,,Team TIBCO
11,177141,Taitt,Sato,Oakland,CA,,ValueAct Capital Cycling Team
12,145511,Liza,Rachetto,Boise,ID,,Team TIBCO
13,0,Helen,Kelly,,,,Webcor Builders
14,226087,Shelley,Olds,Gilroy,CA,,PROMAN/Paradigm
15,0,Naomi,Williams,,,,Felt
16,0,Rachel,Heal,,,,Webcor Builders
17,180905,Sarah,Tillotson,Boise,ID,,Colavita/ Sutter Home presented by Cooki
18,225263,Sally,Annis,Nashua,NH,,Wachovia / International Bicycle Centers
19,179385,Betina,Hold,El Dorado Hills,CA,,Cheerwine
20,211821,Heather,Labance,Vernon,NJ,,Advil ChapStick
21,212327,Katharine,Carroll,Fairfax,CA,,Aaron's Pro Cycling Team
22,0,Leigh,Hobson,,,,Cheerwine
23,0,Chantal,Beltman,,,,T-Mobile Team - Women
24,0,Helene,Drumm,,,,PROMAN/Paradigm
25,0,Mary,Morgan,,,,Unattached
26,229392,Caitlyn,McCullough,Durango,CO,,TeamTIBCO
27,0,Catherine,Powers,,,,Aaron's Pro Cycling Team
28,0,Anke,Wichmann,,,,T-Mobile Team - Women
29,199307,Laura,Bowles,Asheville,NC,,Advil ChapStick
30,229709,Carmen,McNellis,Durango,CO,,Aaron's Pro Cycling Team
31,0,Felicia,Gomez,,,,Aaron's Pro Cycling Team
32,121590,Sarah,Uhl,Manitou Springs,CO,,Cheerwine
33,244160,Samantha,van Gerbig,Cambridge,MA,,Wachovia / International Bicycle Centers
34,190817,Andrea,Dvorak,Crozet,VA,,Colavita/ Sutter Home presented by Cooki
35,75728,Laurel,Green,Windsor,CA,,Team Mack Paper Company
36,199987,Mackenzie,Dickey,Cambridge,MA,,Colavita/ Sutter Home presented by Cooki
37,98704,Alison,Powers,Pinecliffe,CO,,Colavita/ Sutter Home presented by Cooki
38,89430,Sandra,Kolb,Nashville,TN,,Bicycle John's Serious Cycling
39,176754,Elizabeth (Betsy),Galenti,Anaheim,CA,,America's Dairyland
40,33201,Kimberly,Anderson,Santa Barbara,CA,,T-Mobile Team - Women
41,0,Caroline,Dahllof,,,,Helen's Orbea
42,0,Kirstin,Robbins,,,,Advil ChapStick
43,0,Emily,Zell,,,,PROMAN/Paradigm
44,184788,Kelly,Benjamin,Whiteman Afb,MO,,Cheerwine
45,144338,Bonnie,Bourque,Belle Chasse,LA,,Karl Straus/SDBC
46,185441,Jacquelyn,Crowell,Atlanta,GA,,Cycle Science
47,179772,Sarah,Bamberger,Quincy,CA,,Cheerwine
48,0,Chrissy,Ruiter,,,,Cheerwine
49,167904,Sharon,Allpress,Denver,CO,,ValueAct Capital Cycling Team

03/17/2007 Individual Time Trial Men Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,23057,Benjamin,Jacques-Maynes,Corralitos,CA,,Priority Health
2,2384,Christopher,Baldwin,Boulder,CO,,toyota-united pro cycling team
3,118320,Anthony,Colby,Dedham,MA,,Colavita/ Sutter Home presented by Cooki
4,52790,Christopher,Wherry,Durango,CO,,toyota-united pro cycling team
5,128575,Eric,Wohlberg,San Jose,CA,,Symmetrics
6,209308,Tom,Zirbel,Boulder,CO,,Priority Health
7,0,Sean,Sullivan,,,,toyota-united pro cycling team
8,0,Ivan,Stevic,,,,toyota-united pro cycling team
9,189913,Brian,Buchholz,San Francisco,CA,,BPG/ Montano Velo
10,184181,Justin,England,Boulder,CO,,toyota-united pro cycling team
11,42023,Jackson,Stewart,San Jose,CA,,BMC Professional Cycling Team
12,220711,Jonathan,Garcia,Fort Collins,CO,,BMC Professional Cycling Team
13,0,Alejandro,Acton,,,,Colavita/ Sutter Home presented by Cooki
14,172961,Ben,Kneller,Durango,CO,,Rocky Mountain Chocolate Factory
15,0,christian,meier,,,,Symmetrics Cycling
16,17154,John,Hunt,Fairfax,CA,,California Giant/Specialized
17,0,Burke,Swindlehurst,,,,toyota-united pro cycling team
18,173639,Garrett,Peltonen,Fort Collins,CO,,Priority Health
19,131248,Scott,Zwizanski,West Chester,PA,,Priority Health
20,231701,Micheal,Grabinger,Phoenix,AZ,,Hagens-Berman LLP
21,88995,Jacob,Rosenbarger,Boulder,CO,,BMC Professional Cycling Team
22,204739,Jesse,Moore,Sacramento,CA,,California Giant/Specialized
23,30417,Thurlow,Rogers,San Diego,CA,,Sonance-Specialized
24,0,Peter,Hatton,,,,Colavita/ Sutter Home presented by Cooki
25,0,Charles,Dionne,,,,Colavita/ Sutter Home presented by Cooki
26,0,Curtis,Gunn,,,,Successful Living.com P/B Parkpre
27,25407,Jonathan,Mumford,Baltimore,MD,,Kelly Benefit Strategies/Medifast
28,17590,Andy,Jacques-Maynes,Watsonville,CA,,California Giant/Specialized
29,182602,Edward,King,Brentwood,NH,,Priority Health
30,0,Daniel,Ramsay,,,,Successful Living.com P/B Parkpre
31,0,Logan,Hunn,,,,Team Rubicon
32,121621,Tyler,Wren,Burlington,VT,,Colavita/ Sutter Home presented by Cooki
33,0,Caleb,Manion,,,,toyota-united pro cycling team
34,176666,John,Hayes,Cleveland,TN,,CRCA/Sakonnet Technology U25
35,156048,Michael,Hutchinson,San Jose,CA,,Team Spine
36,34666,Jonathan,Sundt,Austin,TX,,Kelly Benefit Strategies/Medifast
37,203965,Ryan,Morris,Sausalito,CA,,Team Rio Grande
38,1688,Robert,Anderson,Mill Valley,CA,,AMD-Discovery Channel Masters
39,0,Ryan,Roth,,,,Kelly Benefit Strategies/Medifast
40,123885,Marco,Hellman,San Francisco,CA,,AMD-Discover Channel Masters
41,209022,Daniel,Harm,Seattle,WA,,Team Rubicon
42,0,Davide,Frattini,,,,Colavita/ Sutter Home presented by Cooki
43,211475,Phillip,Gaimon,North Hollywood,CA,,CRCA/Sakonnet Technology U25
44,0,Adrian,Hegyvery,,,,Hagens-Berman LLP
45,0,Christian,Valenzuela,,,,Successful Living.com P/B Parkpre
46,172541,Osvaldo,Olmos,San Luis Obispo,CA,,California Giant/Specialized
47,31615,Daniel,Schmatz,Brighton,CO,,BMC Professional Cycling Team
48,0,Henk,Vogels,,,,toyota-united pro cycling team
49,52843,Dirk,Copeland,Santa Clara,CA,,California Giant/Specialized
50,194969,Kenneth,Hanson,San Diego,CA,,BMC Professional Cycling Team
51,0,Omer,Ken,,,,Priority Health
52,58572,Daniel,Larson,Norman,OK,,Cycle Science
53,126996,Chad,Hartley,Milwaukee,WI,,BMC Professional Cycling Team
54,0,Ulrich,DeYoung,,,,Hagens-Berman LLP
55,0,Chad,Nikolz,,,,Hagens-Berman LLP
56,189622,Matthew,Willinger,San Mateo,CA,,BPG/ Montano Velo
57,215131,Brad,Cole,Fort Collins,CO,,Team Rio Grande
58,0,Alessandro,Bazzana,,,,Successful Living.com P/B Parkpre
59,195652,Max,Jenkins,Davis,CA,,California Giant/Specialized
60,177906,David,Guttenplan,Clearwater,FL,,CRCA/Sakonnet Technology U25
61,179451,Gavriel,Epstein,Englewood,NJ,,CRCA/Sakonnet Technology U25
62,0,Jose-Manuel,Garcia,,,,toyota-united pro cycling team
63,200386,Nicholas,Clayville,Lake Tapps,WA,,Hagens-Berman LLP
64,174108,Guy,East,Chula Vista,CA,,CRCA/Sakonnet Technology U25
65,0,keven,Lacombe,,,,Volkswagen/Trek
66,0,Josh,Tack,,,,Hagens-Berman LLP
67,0,Keith,Miller,,,,California Giant/Specialized
68,0,Ivan,Dominguez,,,,toyota-united pro cycling team
69,0,Richard,Speer,,,,Team Rubicon

03/17/2007 Individual Time Trial Men Cat 5
Place,License #,First,Last,City,State,Time,Team
1,198078,Jens,Heycke,Honolulu,HI,,Unattached
2,259001,Nicholas,Ree,San Francisco,CA,,Dolva Vita Cycling
3,254019,Jim,Huebner,Clovis,CA,,Action Sports/SSC Cycling Team
4,0,mike,boeckeler,,,,NA
5,250996,Ben,Woodard,Mill Valley,CA,,Unattached
6,0,Benjamin,Weaver,,,,Unattached
7,0,Stuart,Thompson,,,,Unattached
8,0,Bryan,Salazar,,,,NA
9,0,Jordan,Perry,,,,NA
10,0,Johnny,Bairos,,,,Unattached
11,0,Peter,Amend,,,,Visialia Cycling
12,0,Travis,Griffith,,,,NA
13,0,david,duran,,,,NA
14,0,Joesph,Fronteras,,,,Unattached
15,0,David,Lucas,,,,NA
16,0,Paul,Deming,,,,Unattached
17,0,Robert,Caldeira,,,,Unattached
18,0,Damiel,Torres,,,,C-Dub Racing
19,0,Dale,Handley,,,,Unattached
20,121394,Richard,White,Folsom,CA,,NA
22,0,Ted,Macauly,,,,Southern Sierra Cyclists
23,0,Stan,Dillion,,,,Unattached
