Chicago Criterium in Chicago IL Results

07/27/2008 Criterium Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,103032,Adam,Bergman,Saint Paul,MN,1:44:02,
2,0,Dominique,Rollin,,,1:44:02,
3,0,DAVID,VEILLEUX,,,1:44:02,
4,50330,Christopher,Horner,Bend,OR,1:44:02,
5,0,Graham,Howard,,,1:44:02,
6,187710,Hilton,Clarke,Los Angeles,CA,1:44:02,
7,83014,Alexander,Candelario,Kamuela,HI,1:44:02,
8,164362,K Frank,Pipp,Longmont,CO,1:44:02,
9,30322,Freddie,Rodriguez,Berkeley,CA,1:44:02,
10,207549,Paul,Martin,North Royalton,OH,1:44:02,
11,27066,Jonathan,Page,Park City,UT,1:44:02,
12,70612,Andrew,Crater,Greenville ,SC,1:44:02,
13,197162,Robert,White,Cedarburg,WI,1:44:02,
14,131248,Scott,Zwizanski,West Chester,PA,1:44:02,
15,0,Peter,Dawson,,,1:44:02,
16,210212,Benjamin,King,North Garden,VA,1:44:02,
17,0,Stefan,Rothe,,,1:44:02,
18,270977,Benjamin,Day,Boulder,CO,1:44:02,
19,0,Steven,Howard,,,1:44:02,
20,148481,Frank,Dierking,Madison,WI,1:44:02,
21,195634,Jacob,Keough,Sandwich,MA,1:44:02,
22,122674,Chad,Burdzilauskas,Indianapolis,IN,1:44:02,
23,193086,Ben,Renkema,Greenville,SC,1:44:02,
24,0,Stephan,Kincaid,,,1:44:02,
25,201060,Kevin,Attkisson,Louisville,KY,1:44:02,
26,185066,Daniel,Chavez,Spring Hill,FL,1:44:02,
27,147512,Shawn,Milne,Beverly,MA,1:44:02,
28,13554,Clayton,Goldsmith,Debary,FL,1:44:02,
29,35598,Stephen,Tilford,Topeka,KS,1:44:02,
30,117483,Daniel,Carruthers,Owego,NY,1:44:02,
31,238311,Christopher,Uberti,Cincinnati,OH,1:44:02,
32,57709,James,Flora,Beecher,IL,1:44:02,
33,15584,Michael,Heagney,Libertyville,IL,1:44:02,
34,119288,Cory,Hickman,Orland Park,IL,1:44:02,
35,0,Daniele,DeFranceschi,,,1:44:02,
36,153619,Ivan,Dominguez,Las Vegas,NV,1:44:02,
37,0,Kris,Koke,,,1:44:02,
38,41398,Karim,Abdelkader,Bloomington,IN,1:44:02,
39,133501,Jacob,Rytlewski,Avon,IN,1:44:02,
40,200724,Isaac,Neff,Madison,WI,1:44:02,
41,186412,Gregory,Christian,Bryan,TX,1:44:02,
42,227840,Nat,Thompson,Middletown,MD,1:44:02,
43,161263,Ryan,Knapp,Bloomington,IN,1:44:02,
44,34815,Jason,Swiatlowski,Grand Rapids,MI,1:44:02,
45,201290,Ryan,White,Milwaukee ,WI,1:44:02,
46,180160,Dan,Ajer,Austin ,TX,1:44:02,
47,210769,Pat,Lemieux,Saint Paul,MN,1:44:02,
48,178739,Frank,Rowley,Channahon,IL,1:44:02,
49,204317,Cesar,Correa,San Francisco,CA,1:44:02,
50,190250,Vincent,Roberge,Dearborn,MI,1:44:02,
51,227850,Michael,Woell,Minneapolis,MN,1:44:02,
52,66761,Andrew,Kerr,Saint Charles,IL,1:44:02,
53,102695,Derek,Graham,Cedar,MI,1:44:02,
54,84441,Gregory,Bauer,Houston,TX,1:44:02,
55,229325,Mark,Santurbane,San Luis Obispo,CA,1:44:02,
56,57145,Robert,Springer,Kenosha,WI,1:44:02,
57,194993,Charles,Crouse,Carmel,IN,1:44:02,
58,246306,Kevin,Berger,Madison,WI,1:44:02,
59,213385,Steven,Holeczy,Mundelein,IL,1:44:02,
60,109946,Delfino,Parra,Libertyville,IL,1:44:02,
61,207876,Sasha,Land,Bloomington,IN,1:44:02,
62,21508,Patrick,Loney,Madison,WI,1:44:02,
63,52765,Robert,Kelley,Geneva,IL,1:44:02,
64,193060,James,Holton,Crested Butte,CO,1:44:02,
65,47277,Michael,Lantz,Grandview ,MO,1:44:02,
66,202981,Brian,Boyle,Chicago,IL,1:44:02,
67,173347,Derek,Laan,Bloomington,IN,1:44:02,
68,210384,Dave,Galvin,Menlo Park,CA,1:44:02,
69,198158,Matthew,Welch,Phoenix,AZ,1:44:02,
70,232977,Mike,Sherer,Boulder,CO,1:44:02,
71,129295,Eric,Wiecek,Mission Viejo,CA,1:44:02,
72,54434,Aaron,Hubbell,Durham,NH,1:44:02,
73,209784,Randy,Reichardt,Des Moines,IA,1:44:02,
74,188599,Hendricus,Vogels,Boulder,CO,1:44:02,
75,14390,Daniel,Guilfoil,Madison,WI,1:44:02,
76,148168,Andrew,Lister,Springfield,IL,1:44:02,
77,141654,Chad,Cagle,Tulsa,OK,1:44:02,
78,0,Kevin,Hazzard,,,1:44:02,
79,0,Richard,English,,,1:44:02,
80,64334,John,Dapkus,Westville,IN,1:44:02,
81,163046,Ariel,Herrmann,San Francisco,CA,1:44:02,
82,156958,David,Sachs,Boulder,CO,1:44:02,
83,184406,Jens,Brabbit,Lacrosse,WI,1:44:02,
84,0,bryson,bowers,,,1:44:02,
85,58272,Kayle,Leo Grande,Upland,CA,1:44:02,
86,229951,Brock,Curry,San Marcos,CA,1:44:02,
87,66615,Jeffrey,Schroetlin,Argenta,IL,1:44:02,
88,226733,Jonathan,Jacob,Indianapolis,IN,1:44:02,
89,206762,Brett,Stewart,Indianapolis,IN,1:44:02,
90,104953,Ian,Dille,Austin,TX,1:44:02,
91,179015,John,Minturn,State College,PA,1:44:02,
92,219373,John,Meyers,Chicago,IL,1:44:02,
93,94132,Paul,Harrison,Minneapolis ,MN,1:44:02,
94,249006,Chris,Zenthoefer,Tulsa,OK,1:44:02,
95,232049,Steven,Vandeven,Chicago,IL,1:44:02,
96,235288,James,Skeen,Winfield,VA,1:44:02,
97,110443,Joshua,Carter,Saint Charles ,MO,1:44:02,
98,173639,Garrett,Peltonen,Fort Collins,CO,1:44:02,
99,105456,Russell,Langley,Gaithersburg,MD,1:44:02,
100,165869,Bryce,Mead,Sterling,IL,1:44:02,
101,47693,Stephen,Spencer,Lombard,IL,1:44:02,
102,227165,Gregg,Brandt,Winona,MN,1:44:02,
