Iron Mike Time Trial in Wilmington DE Results

05/16/2008 Individual Time Trial Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,0,Russ,LANGLEY,,,00:16:04,Battley HARLEY-DAVIDSON/Sonoma
2,0,David,VILLEUEX,,,00:16:36,
3,0,Keven,LECOMBE,,,00:16:52,
4,0,Martin,GILBERT,,,00:17:06,Kelly Benefit Strategies/LSV Amateur Cyc
5,34666,Jonathan,Sundt,Austin,TX,00:17:16,KBS/Medifast
6,177933,Joseph,Whitman,State College,PA,00:17:37,Kelly Benefit Strategies/LSV Amateur Cyc

05/16/2008 Individual Time Trial Men Cat 3/4
Place,License #,First,Last,City,State,Time,Team
1,168201,Ethan,Townsend,Wilmington,DE,00:18:24,C3-Sollay.com
2,58634,Robert,Collins,Landenberg,PA,00:18:28,Henry's Bikes
3,81136,Marc,Vettori,Elkton,MD,00:18:38,C3-Sollay.com !!!
4,233260,Michael,Kolb,Palo Alto,CA,00:18:40,FSVS/Christiana Care PT+
5,86409,John,Miller,Glen Mills,PA,00:19:03,Guys Racing Club
6,173644,Jason,Mulveny,Washington,DC,00:19:04,NCVC/Inova Health System
7,212535,Michael,Retzlaff,Baltimore,MD,00:19:15,Kelly Benefit Strategies/LSV Amateur Rac
8,76271,Mike,Connair,Elkton,MD,00:19:30,First State Velo/Christiana Care Plus
9,189369,Daniel,Ryan,,,00:19:32,Christiana Care PT+/FSVS
10,186546,Joseph,Zorn,Denver,CO,00:19:34,Christiana Care PT+ / FSVS
11,207830,Matthew,Neugebauer,Wilmington,DE,00:19:39,Christiana Care PT+/FSVS
12,52803,Henry,Tremper,Edgemoor,DE,00:20:11,First State Velo Sport
13,156959,Benjamin,Anemone,Wilmington,DE,00:20:45,FSVS
14,216822,Richard,Bilson,River Hills,WI,00:20:56,Bean's Bikes
15,18274,David,Jordan,Wilmington,DE,00:21:47,Team DRT/Deep Blue
16,64588,Donald,Hunter,Newark,DE,00:22:22,Christiana Care PT+/FSVS

05/16/2008 Individual Time Trial Men Cat 5
Place,License #,First,Last,City,State,Time,Team
1,0,Jeff,BAHNSON,,,00:18:16,Secret Henry's Team
2,261219,stephen,mikulcik,Hockessin,DE,00:19:54,Team DRT - Deep Blue
3,0,Chris,CHAMPMAN,,,00:19:55,Team DRT - Deep Blue
4,0,Joshua,LOREN,,,00:19:59,FFBS
5,261260,Stephen,Correale,Yorklyn,DE,00:20:19,Team DRT - Deep Blue
6,0,Francis,FETIZANAN,,,00:20:31,Deep Blue
7,259084,Barry,Baird,Landenberg,PA,00:20:37,Team DRT/Deep Blue
8,128337,Jeffrey,Garvey,Newark,DE,00:20:41,Team DRT/Toscana
9,174788,Bill,Carpenter,Middletown,DE,00:21:02,Carpenter's Hammer
10,268018,Doug,Morris,New Castle,DE,00:21:15,
11,255713,Daniel,Conlin,Wilmington,DE,00:21:16,Team DRT/Deep Blue
12,254492,Andrew,Urion,Wilmington,DE,00:21:23,First State Velo
13,0,Joe,SWITZER,,,00:21:42,Delaware running Company
14,0,Mark,SOLBERG,,,00:22:01,
15,28779,Jay,Prudente,Kennet Sq,PA,00:22:17,Guy's Bicycle Racing
16,0,John,BREAKEY,,,00:22:28,Team DRT/Deep Blue
17,276040,Gregory,Zielinski,Wilmington,DE,00:22:36,Team DRT - Deep Blue
18,0,Karim,ABUBAKAR,,,00:23:03,Team Deep Blue
19,272064,John,Leonhardt,Cherry Hill,NJ,00:23:18,Pro Pedals
20,264983,Patrick,Adams,Middletown,DE,00:23:33,Team DRT-Deep Blue
21,0,Peter,BORROMEO,,,00:23:35,Team DRT/Deep Blue
22,265613,Jay,Paulding,Wilmington,DE,00:23:46,Team DRT/Deep Blue
23,173710,Ryan,Burke,Egg Harbor Township,NJ,00:23:55,Pro Pedals/Team Express
24,0,Chuck,HALL,,,00:25:30,Deep Blue
25,261395,Jamie,Mack,Magnolia,DE,00:26:12,Christiana Care PT+/FSVS
26,0,Harry,LANGDON,,,00:35:19,Guy's Bicycles

05/16/2008 Individual Time Trial Men MR 45-99
Place,License #,First,Last,City,State,Time,Team
1,51369,Keith,Davies,Wilmington,DE,00:18:29,Mambo Kings Racing/D&Q
2,193282,Paul,Drees,Avondale,PA,00:19:10,Morgan Stanley Market Edge
3,0,Tom,CHERNEY,,,00:19:16,
4,0,Randy,INGLIS,,,00:19:29,Team DRT/Deep Blue
5,177120,Michael,Czupryna,Newark,DE,00:19:49,Christiana Care PT+/FSVS
6,79508,Bruce,Petrovick,Wilmington,DE,00:20:36,Main Line Cycling - BiKyle
7,208383,Murray,Davis,Havre De Grace,MD,00:20:37,Kelly Benefit Strategies/LSV Amateur Cyc
8,192230,Mark,Cowin,Frederica ,DE,00:20:37,Pro Pedals /Team Express
9,122022,Robert,Jaggard,Franklinville,NJ,00:21:20,Pro Pedals
10,49351,Bill,Hitz,Wilmington,DE,00:21:29,
11,130527,James,Diffendall,Mountville,PA,00:21:51,Spinners Cycling
12,0,Michael,MARTIN,,,00:22:27,
