Nalley Historic Roswell Criterium in Roswell GA Results

05/04/2008 Criterium Men Pro Pro
Place,License #,First,Last,City,State,Time,Team
1,0,Caleb,Manion,,,19:29:01.56,Toyota United Pro Cycling Team
2,273268,Cody,Stevenson,La Mesa,CA,19:29:01.56,The Jittery Joes Pro Cycling Te
3,188578,Kyle,Gritters,Corona,CA,19:29:01.56,Health Net Professional Cycling
4,182602,Edward,King,Brentwood,NH,19:29:01.57,Bissell Pro Cycling Team
5,194969,Kenneth,Hanson,San Diego,CA,19:29:01.66,California Giant Berry Farms/Sp
6,0,Oscar,Henao,,,19:29:03.08,Clinica Union
7,187710,Hilton,Clarke,Los Angeles,CA,19:29:07.91,Toyota United Pro Cycling Team
8,0,Jonathan,Cantwell,,,19:29:08.03,The Jittery Joes Pro Cycling Te
9,0,Karl,Menzies,,,19:29:08.07,Healthnet Maxis
10,0,Richard,England,,,19:29:09.68,Bissell Pro Cycling Team
11,164362,K Frank,Pipp,Longmont,CO,19:29:09.70,Health Net Professional Cycling
12,30322,Freddie,Rodriguez,Berkeley,CA,19:29:10.18,Rock Racing
13,0,Domininque,Rollin,,,19:29:10.18,Toyota United Pro Cycling Team
14,17590,Andy,Jacques-Maynes,Watsonville,CA,19:29:10.50,California Giant Berry Farms/Sp
15,153638,John,Murphy,Horse Shoe,NC,19:29:12.09,Health Net Professional Cycling
16,177906,David,Guttenplan,Clearwater,FL,19:29:12.13,TIME Pro Cycling
17,126996,Chad,Hartley,Milwaukee,WI,19:29:12.32,The Jittery Joes Pro Cycling Te
18,168259,Robbie,King,New York,NY,19:29:14.40,Rite-Aid Pro Cycling Presented
19,162120,Nicholas,Reistad,Madison,WI,19:29:14.62,Jelly Belly Cycling Team
20,173639,Garrett,Peltonen,Fort Collins,CO,19:29:14.89,Bissell Pro Cycling Team
21,153619,Ivan,Dominguez,Las Vegas,NV,19:29:15.56,Toyota United Pro Cycling Team
22,47232,William,Elliston,Easton,PA,19:29:16.43,Rite-Aid Pro Cycling Presented
23,0,Fabrio,Calabria,,,19:29:17.26,Team Type I
24,50640,Joao,Correia,Mill Valley,CA,19:29:18.06,
25,131248,Scott,Zwizanski,West Chester,PA,19:29:18.98,Bissell Pro Cycling Team
26,170399,Matthew,Crane,Richmond,VA,19:29:19.37,Health Net Professional Cycling
27,0,Mark,Hinnen,,,19:29:25.89,Kelly Benefit Strategies/Medifa
28,198022,Matthew,Belcher,Carmel,IN,19:29:29.79,Turin Bicycle/Barker+Nestor
29,186412,Gregory,Christian,Bryan,TX,19:29:30.55,Turin Bicycle/Barker+Nestor
30,0,Carlos,Savvedra,,,19:29:32.05,Clinica Union
31,127993,Timothy,Henry,Franklin,TN,19:29:34.37,The Jittery Joes Pro Cycling Te
32,35753,Brian,Toone,Birmingham,AL,19:29:36.35,
33,189913,Brian,Buchholz,San Francisco,CA,19:29:42.80,Kelly Benefit Strategies/Medifa
34,0,Diego,Garavito,,,19:29:43.13,Latino Cycling
35,229774,Luke,Servedio,Knoxville,TN,19:29:43.97,Krystal
