Settlers Life Omnium in Elizabethtown/Bristol TN Results

06/08/2008 Criterium Men Pro Cat/1/2
Place,License #,First,Last,City,State,Time,Team
1,171977,Brent,Bookwalter,Asheville,NC,,BMC Racing Team
2,145551,Chris,Ernst,Fairview,NC,,Industry Nine
3,61757,Matthew,DeCanio,Rapidan,VA,,Unattached
4,205871,John,Parks,Warrenton,VA,,Haymarket Bicycles
5,187757,Bruce,Humphries,Gaffney,SC,,Hincapie / Coca-Cola presented by Barkle
6,127087,Eric,Murphy,Athens,GA,,Team Myogenesis
7,67702,Christopher,Harkey,Mt Pleasant,NC,,Hincapie / Coca-Cola presented by Barkle
8,161043,Brian,Sheedy,Horse Shoe,NC,,Tx Tough/Team Hotel San Jose
9,205083,Scott,Stewart,Highland,MI,,VMG
10,51532,Dirk,Pohlmann,Knoxville,TN,,Texas Roadhouse Cycling Team
11,93133,Scottie,Weiss,Radford,VA,,Hincapie / Coca-Cola presented by Barkle
12,200885,David,Forkner,Pisgah Forest,NC,,Carolina Triathlon-Metro Reprographics
13,70660,Christopher,Larsen,Asheville,NC,,Industry Nine
14,0,Garavito,Barragan,,,,
15,228591,Stefan,Swecker,Asheville,NC,,TriStar Cycling Team
16,186767,Gonzalo,Escobar,Pittsburgh,PA,,Haymarket Bicycles
17,204222,William,Messenger,Asheville,NC,,MOB Cycling
18,179788,Tim,Hall,Beech Mountain,NC,,NashvilleCyclist.com
19,73791,Jason,Jeansonne,Knoxville,TN,,Tristar Cycling Team
20,221018,Reid,Beloni,Pisgah Forest,NC,,Hincapie / Coca-Cola presented by Barkle
21,231949,Tyler,Stanfield,Houston,TX,,Unattached
22,81356,Robert,McConville,Salt Lake City,UT,,Latino Cycling Team
23,237597,Landen,Wark-Acebo,Brookline,MA,,Inside Out Sports; Presented by Zaytoun
24,138184,Geri,Mewett,Knoxville,TN,,Hincapie / Coca-Cola presented by Barkle
25,108366,Jacob,McGahey,Asheville,NC,,Industry Nine
26,224401,Steven,Gordon,Lexington,KY,,Haymarket Bicycles/ Function Drinks
27,198609,Boykin,Lucas,Clemson,SC,,Black Sheep Cartel
28,0,Alejandro,Padilla,,,,NashvilleCyclist.com p/b Bike Pedlar
29,165535,Adam,Ray,Asheville,NC,,Industry Nine
30,181996,Ross,Bowden,Durham,NC,,Inside Out Sports; Presented by Zaytoun
31,211480,Adam,Little,Mount Pleasant,NC,,Hincapie / Coca-Cola presented by Barkle
32,253478,Keith,Gerarden,Chapel Hill,NC,,Triangle Velo
33,91941,Luke,Winger,Ramsey,MN,,Lees-McRae College
34,202082,Alder,Martz,Charlotte,NC,,Hot Tubes Development Cycling Team Inc
35,46911,Chris,Knetsche,Concord,NC,,Greenville Spinners Bicycle Club
36,111496,Andrew,Raab,Charlotte,NC,,Bicycle Sport/Carolina Cyclone
37,264546,Jose,Seminario,Gatlinburg,TN,,Unattached
38,205301,Andrew,Erskine,Asheville,NC,,Industry Nine
39,229479,Samuel,Keesler,Huntersville,NC,,Unattached

06/08/2008 Criterium Men Handcycle
Place,License #,First,Last,City,State,Time,Team
1,0,Fain,Grogg,,,,
2,61732,Charles,Cerny,Knoxville,TN,,Bike Zoo/Sunspot

06/08/2008 Criterium Men Cat 5
Place,License #,First,Last,City,State,Time,Team
1,275277,Kem,Newman,Charlotte,NC,,Unattached
2,277393,Mitchell,Hopkins,Winston Salem,NC,,Unattached
3,226271,Lawrence,Czarnecki,Knoxville,TN,,Bike Zoo/Sunspot
4,0,Jimmy,Hayes,,,,
5,271204,Colin,Stewart,Blacksburg,VA,,Virginia Polytechnic University
6,275272,James,Vibert,Birmingham,AL,,Unattached
7,265604,Timothy,Tidwell,Knoxville,TN,,Knox Velo Club
8,189788,Tony,Benton,Piney Flats,TN,,Tri Cities Road Club
9,271267,Nathan,Hitchcock,Gray,TN,,Tri-Cities Road Club
10,259192,ronald,zannini,Crossville,TN,,Cookeville Bicycles
11,265659,chip,clifton,Chattanooga,TN,,Krystal
12,228181,Greg,Groth,Cookeville,TN,,Upper Cumberland Wheelman
13,0,Brian,Archer,,,,
14,0,James,Winnie,,,,
15,271368,Dennis,Ley,Bristol,TN,,Tri Cities Road Club
16,110987,Michael,Ritter,Greeneville,TN,,Unattached
17,0,Jeremiah,Dyer,,,,Studio7 Multisport
18,258633,Michael,Searcy,Dandridge,TN,,Unattached
19,0,james,hayes,,,,ntmba.org

06/08/2008 Criterium Men Cat 4
Place,License #,First,Last,City,State,Time,Team
1,242839,Huey,Mathews,Madison,AL,,Tristar Cycling Team
2,248426,Caleb,Walton,Amherst,VA,,Unattached
