Commerce Bank Reading Classic in Reading PA Results

06/05/2008 Road Race Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,0,Oscar,SEVILLA,,,02:47:11,Rock Racing
2,0,Edvald,BOASSON HAGEN,,,02:47:17,Team High Road
3,0,Bernhard,EISEL,,,02:47:20,Team High Road
4,164362,K Frank,Pipp,Longmont,CO,02:47:20,Health NEt p/b Maxxis
5,132539,Charles (Brad),Huff,Springfield,MO,02:47:20,Jelly Belly
6,0,Eric,BAUMANN,,,02:47:20,Team Sparkasse
7,0,Anibal,BORRAJO,,,02:47:20,Colavita-Sutter Home
8,0,Franois,PARISIEN,,,02:47:20,Team RACE Pro
9,79555,Antonio,Cruz,Long Beach,CA,02:47:20,BMC Racing
10,83014,Alexander,Candelario,Kamuela,HI,02:47:20,Kelly Benefit Strategies/Medif
11,30322,Freddie,Rodriguez,Berkeley,CA,02:47:20,Rock Racing
12,0,Ciaran,POWER,,,02:47:20,Pezula Racing
13,0,Dominique,ROLLIN,,,02:47:20,Toyota-United Pro Cycling Team
14,0,Martijn,MAASKANT,,,02:47:20,Slipstream/Chipotie p/b H3O
15,0,Greg,HENDERSON,,,02:47:20,Team High Road
16,0,Ricardo,ESCUELA,,,02:47:20,Team Successfulliving
17,0,Alejandro,BORRAJO,,,02:47:20,Colavita-Sutter Home
18,0,Ben,BROOKS,,,02:47:20,Team Type 1
19,0,John Fredy,PARRA,,,02:47:20,Toshiba - Santo p/b Herbalife
20,0,Svein,TUFT,,,02:47:20,Symmetrics Professional Cyclin
21,0,Matt,WILSON,,,02:47:20,Team Type 1
22,0,Yosvany,FALCON,,,02:47:20,Toshiba - Santo p/b Herbalife
23,0,Danilo,WYSS,,,02:47:20,BMC Racing
24,0,Matti,BRESCHEL,,,02:47:20,Team CSC
25,0,Luis,MACIAS,,,02:47:20,Tecos - Trek
26,180179,Taylor,Tolleson,Watsonville,CA,02:47:20,BMC Racing
27,56910,Kirk,O'Bee,Ada,MI,02:47:20,Health NEt p/b Maxxis
28,0,Roger,HAMMOND,,,02:47:20,Team High Road
29,90090,Philip,Zajicek,Tucson,AZ,02:47:20,Health NEt p/b Maxxis
30,182602,Edward,King,Brentwood,NH,02:47:20,Bissell Pro Cycling Team
31,0,Cameron,EVANS,,,02:47:20,Symmetrics Professional Cyclin
32,121621,Tyler,Wren,Burlington,VT,02:47:20,Colavita-Sutter Home
33,0,Rory,SUTHERLAND,,,02:47:20,Health NEt p/b Maxxis
34,114785,William,Frischkorn,Boulder,CO,02:47:20,Slipstream/Chipotie p/b H3O
35,0,Luis Amaran,ROMERO,,,02:47:20,Colavita-Sutter Home
36,0,Vicente,REYNES MIMO,,,02:47:20,Team High Road
37,40956,Andrew,Bajadali,Boulder,CO,02:47:20,Kelly Benefit Strategies/Medif
38,0,Davide,FRATTINI,,,02:47:20,Colavita-Sutter Home
39,0,Predrag,PROKIC,,,02:47:20,Toshiba - Santo p/b Herbalife
40,0,Michael,STEVENSON,,,02:47:20,Amore & Vita-McDonalds Pro Cyc
41,0,Christian,MEIER,,,02:47:20,Symmetrics Professional Cyclin
42,21636,Jeff,Louder,Slc,UT,02:47:20,BMC Racing
43,0,Glen,CHADWICK,,,02:47:20,Team Type 1
44,0,Eric,WOHLBERG,,,02:47:20,Symmetrics Professional Cyclin
45,0,Enrico,FRANZOI,,,02:47:20,Liquigas
46,0,Jonny,CLARKE,,,02:47:20,Toyota-United Pro Cycling Team
47,0,Victor Hugo,PENA,,,02:47:20,Rock Racing
48,0,Micheal,GRABINGER,,,02:47:20,Team Successfulliving
49,0,Jacob,ERKER,,,02:47:20,Symmetrics Professional Cyclin
50,0,Soren,NISSEN,,,02:47:20,Amore & Vita-McDonalds Pro Cyc
51,0,Benjamin,JACQUES-MAYNES,,,02:47:20,Bissell Pro Cycling Team
52,0,Francisco,MATAMOROS,,,02:47:20,Tecos - Trek
53,0,Caleb,MANION,,,02:47:34,Toyota-United Pro Cycling Team
54,0,Kasper,KLOSTERGAARD,,,02:47:34,Team CSC
55,130354,Thaddeus,Dulin,Greenville,SC,02:47:37,DLP Racing
56,0,Claudio,CORIONI,,,02:47:37,Liquigas
57,0,Moises,ALDAPE,,,02:47:37,Team Type 1
58,0,Carlos,OYARZUN,,,02:47:37,Tecos - Trek
59,0,Valeriy,KOBZARENKO,,,02:47:37,Team Type 1
60,0,Lasse,BOCHMAN,,,02:47:37,Team CSC
61,54612,Aaron,Olson,Santa Barbara,CA,02:47:54,Bissell Pro Cycling Team
62,0,Dustin,MACBURNIE,,,02:47:54,Team RACE Pro
63,248033,Jared,Barrilleaux,Petaluma,CA,02:47:54,Jittery Joe's
64,133501,Jacob,Rytlewski,Avon,IN,02:47:54,Rite Aid Pro Cycling p/b Shebe
65,0,Andr,STEENSEN,,,02:47:54,Team CSC
66,0,Miguel,MARTINEZ,,,02:47:54,Amore & Vita-McDonalds Pro Cyc
67,0,Gregorio,LADINO,,,02:47:54,Tecos - Trek
68,149353,Daniel,Bowman,Durango,CO,02:47:54,Kelly Benefit Strategies/Medif
69,0,Andreas,SCHILLINGER,,,02:47:54,Team Sparkasse
70,168259,Robbie,King,New York,NY,02:48:10,Rite Aid Pro Cycling p/b Shebe
71,42023,Jackson,Stewart,San Jose,CA,02:48:10,BMC Racing
72,29107,Daniel,Ramsey,Los Angeles,CA,02:48:23,TIME Pro Cycling
73,0,Yuri,METLUSHENKO,,,02:48:23,Amore & Vita-McDonalds Pro Cyc
74,0,Andrew,RANDELL,,,02:48:23,Symmetrics Professional Cyclin
75,0,Ryan,ROTH,,,02:48:23,Team RACE Pro
76,0,Graziano,GASPARRE,,,02:48:23,Amore & Vita-McDonalds Pro Cyc
77,0,Maciej,BODNAR,,,02:48:23,Liquigas
78,0,Tommy,NANKERVIS,,,02:48:23,DLP Racing
79,0,Brian,JENSEN,,,02:48:23,Team Successfulliving
80,0,Cameron,JENNINGS,,,02:48:23,Pezula Racing
81,0,Mark,HEKMAN,,,02:48:44,Toshiba - Santo p/b Herbalife
82,0,Martin,KOHLER,,,02:48:44,BMC Racing
83,247483,Bradley,White,Holland,MI,02:48:44,Team Successfulliving
84,0,Aaron,TUCKERMAN,,,02:48:44,Jelly Belly
85,0,Omar,CERVANTES,,,02:48:44,Tecos - Trek
86,138067,Douglas,Ollerenshaw,Atlanta,GA,02:48:44,Rock Racing
87,153638,John,Murphy,Horse Shoe,NC,02:48:44,Health NEt p/b Maxxis
88,23245,Jason,McCartney,Coralville,IA,02:48:44,Team CSC
89,0,Matthew,RICE,,,02:48:44,Jelly Belly
90,242630,Andrew,Talansky,Napa,CA,02:49:02,Toshiba - Santo p/b Herbalife
91,188908,Jeremiah,Wiscovitch,Ontario,CA,02:49:02,Rock Racing
92,0,John,DEVINE,,,02:49:02,Team High Road
93,0,Servais,KNAVEN,,,02:49:02,Team High Road
94,0,Lars,WACKERNAGEL,,,02:49:02,Team Sparkasse
95,0,Mark,WALTERS,,,02:49:02,Team RACE Pro
96,135475,Michael,Friedman,Golden,CO,02:49:14,Slipstream/Chipotie p/b H3O
97,0,Fabio,CALABRIA,,,02:49:14,Team Type 1
98,158088,Steven,Cozza,Petaluma,CA,02:49:14,Slipstream/Chipotie p/b H3O
99,0,Bernardo,COLEX,,,02:49:14,Tecos - Trek
100,0,Jeremy,VENNELL,,,02:49:20,Bissell Pro Cycling Team
101,72998,Blake,Caldwell,Knoxville,TN,02:49:27,Slipstream/Chipotie p/b H3O
102,0,Florencio,RAMOS TORRES,,,02:49:47,Tecos - Trek
103,0,Ivan,SANTAROMITA,,,02:49:47,Liquigas
104,25407,Jonathan,Mumford,Baltimore,MD,02:50:23,Kelly Benefit Strategies/Medif
105,102660,Michael,Lange,Golden,CO,02:50:31,Jelly Belly
106,0,Richard,ENGLAND,,,02:50:53,Bissell Pro Cycling Team
107,117328,Jeremy,Powers,Southampton,MA,02:51:30,Jelly Belly
108,0,Matthew,GOSS,,,02:52:01,Team CSC
109,0,Darren,LAPTHORNE,,,02:52:01,Team Sparkasse
110,110159,Tyler,Farrar,Seattle,WA,02:52:01,Slipstream/Chipotie p/b H3O
111,0,Cody,STEVENSON,,,02:52:01,Jittery Joe's
112,0,Michael,CREED,,,02:53:21,Rock Racing
113,0,Andrew,PINFOLD,,,02:53:21,Symmetrics Professional Cyclin
114,172961,Benjamin,Kneller,Durango,CO,02:53:50,Jittery Joe's
115,121800,Justin,Spinelli,Boston,MA,02:53:55,Kelly Benefit Strategies/Medif
