Tour of Atlanta in Atlanta GA Results

05/24/2008 Individual Time Trial Men Pro Cat 1/2/3
Place,License #,First,Last,City,State,Time,Team
1,183117,Kari,Bradley,Sandy,UT,12:18 AM,Outspokin Cycling Team
2,119827,Kerry,Meyers,Atlanta,GA,12:20 AM,RBM Mercedes

05/24/2008 Individual Time Trial Men Pro Cat /1/2/3
Place,License #,First,Last,City,State,Time,Team
11,81356,Robert,McConville,Salt Lake City,UT,12:14 AM,AeroCat/Team Latino
14,2039,Jonathan,Atkins,Peachtree City,GA,12:14 AM,AeroCat/Team Latino
17,206929,Daniel,Karnis,Atlanta,GA,12:14 AM,Cycleworks p/b HDR
26,185065,Leonardo,Martinez,Rancho Mirage,CA,12:14 AM,Preferred Alliance
35,197022,Will,Hoffarth,Charlotte,NC,12:15 AM,Black Sheep Cartel
43,165037,Patrick,Weddell,Boone ,NC,12:15 AM,Team Carolina Triathlon
46,187935,Justin,Beard,Albemarle,NC,12:15 AM,Black Sheep Cartel
47,0,Eduardo,Colon,,,12:15 AM,Blue Star
54,135466,Osiel,Pardo,Miami,FL,12:15 AM,Blue Star
55,198609,Boykin,Lucas,Clemson,SC,12:15 AM,Black Sheep Cartel
56,256705,spencer,gaddy,Charlotte,NC,12:15 AM,Black Sheep Cartel
67,0,Tiago,Depaula,,,12:18 AM,AeroCat/Team Latino
67,209706,Antonio,Quintero,Miami,FL,12:18 AM,Blue Star
67,205527,Sam,Riden,Madison,MS,12:18 AM,S3 Racing

05/24/2008 Individual Time Trial Men Cat 4/5 19-34
Place,License #,First,Last,City,State,Time,Team
1,258337,John,Stowe,Cataula,GA,12:15 AM,Columbus Bike Racing
2,272691,Frank,Marrs,Fort Collins,CO,12:16 AM,Unattached
3,260714,Kenneth,Wood,Atlanta,GA,12:16 AM,Team AVX Bikes
4,204360,Steve,Murray,Columbus,GA,12:16 AM,COLUMBUS BIKE RACING
5,183102,Matthew,Miller,Atlanta,GA,12:16 AM,Locos Cycling
6,276165,Olbap,Rojas,Stockbridge,GA,12:16 AM,Aarons/L5flyers
7,264092,Gary,Lucero,Alpharetta,GA,12:16 AM,Peachtree Bikes
8,238066,John,Best,Saint Louis,MO,12:16 AM,John Deere/Greensouth
9,274824,Chris,Lessing,Alpharetta,GA,12:16 AM,N/A
10,255774,Brian,Sain,Blowing Rock,NC,12:16 AM,North Carolina State University Cycling
11,272360,Kurt,Futral,Griffin,GA,12:16 AM,Southern Crescent Cycling
12,254939,matt,ragan,Columbus,GA,12:16 AM,COLUMBUS BIKE RACING
13,76890,Michael,Pisarri,Miami,FL,12:16 AM,Aarons Cycling/ L5Flyers
14,234674,Jesse,Jones,Lawrenceville,GA,12:17 AM,N2Racing LLC
15,272683,William,Vess,Stone Mountain,GA,12:17 AM,Fulton Flyers Devo
16,153520,Matt,Tynan,Austin,TX,12:17 AM,Steel City Cycling
17,242442,Ryan,Crabbe,Stone Mountain,GA,12:17 AM,Columbus Bike Racing
18,270540,Thomas,Oliver,Cullman,AL,12:17 AM,Cullman Cycling Club
19,251868,Curt,Arey,Atlanta,GA,12:17 AM,Team AVX bikes
20,266809,Adam,Shumaker,Atlanta,GA,12:17 AM,Aaron's/L5Flyers
21,258181,Mouhamed,Niang,Smyrna,GA,12:17 AM,Team Avxbikes
22,238093,Dylan,DeGan,Marietta,GA,12:18 AM,FultonFlyersdevo/FFCC
23,267028,Daniel,Luke,Suwanee,GA,12:18 AM,Iron Data Cycling
24,274936,Jan,Kolar,San Diego,CA,12:23 AM,MELLOW MUSHROOM RACING
24,256502,Adam,Fancher,Charlotte,NC,12:23 AM,Greensouth
24,270145,steve,senn,Anderson,SC,12:23 AM,
24,199639,Stephan,Bolton,Colorado Springs,CO,12:23 AM,Columbus Bike Racing
24,151876,Jeffrey,Blau,Atlanta,GA,12:23 AM,Aarons/L5Flyers
24,257903,Jack,Easter,Smyrna,GA,12:23 AM,Team AVX

05/24/2008 Individual Time Trial Men Cat 4/5 35-39
Place,License #,First,Last,City,State,Time,Team
1,195298,Robert,Jordan,Monticello,GA,12:15 AM,Security Bank
2,197361,Chad,Davies,Barnesville,GA,12:15 AM,Security Bank Cycling Team
3,267979,Randall,Roland,Huntsville,AL,12:15 AM,Antarus/SCCC
4,255560,Benjamin,Owens,Marietta,GA,12:15 AM,Team Cycleworks p/b HDR
5,205029,Michael,Gordon,Dunwoody,GA,12:16 AM,Team Cycleworks p/b HDR
