Freedom Tour 2008 in Stirling NJ Results

07/27/2008 Criterium Men Pro/Cat 1/2 Open
Place,License #,First,Last,City,State,Time,Team
1,211807,Michael,Margarite,New York,NY,,empire cycling
2,0,wendy,cruz,,,,caico
3,203975,William,Dugan,Burlington,VT,,ccb/vw
4,47769,John,Loehner,New York,NY,,empire cycling
5,232069,Alexander,Bremer,Menlo Park,CA,,empire cycling
6,189553,Scott,Jackson,Madison,NJ,,dlp racing
7,218049,Colin,Jaskiewicz,Montclair,NJ,,ccb/vw
8,0,gerardo,fernandez,,,,mikefraysee sports.com
9,55604,Jason,Walters,Old Bridge,NJ,,ysg
10,33370,Jason,Snow,Tallahassee,FL,,wendy's
11,164040,Jermaine,Burrowes,Brooklyn,NY,,ws united
12,0,adam,alexander,,,,foundation
13,0,vidal,paufino,,,,caico
14,280362,Melito,Heredia,Newyork,NY,,inovation
15,206020,Eric,Schildge,Hanover,NH,,fiordifrutta
16,0,joshua,alexander,,,,foundation
17,0,anthony,lowe,,,,
18,36516,Wilson,Vasquez,Piermont,NY,,gs mengoni
19,47684,Anthony,Taylor,Brooklyn,NY,,target training
20,264144,Peter,Fitzpatrick,Voorhess,NJ,,cc evesham
21,0,leandro,butasso,,,,cordobesca
22,53502,John,Durso,Morris Plains,NJ,,liberty
23,81521,David,Martin,Morristown ,NJ,,ne hardware
24,0,vladimir,esteves sanchez,,,,aero & pedal
25,228090,Gregory,Battista,Toms River,NJ,,wendy's
26,0,warren,scott,,,,bexlevy nsw
27,45094,Scott,Bodin,Nanuet,NY,,target training
28,225383,Sean,Melcher,Hoboken,NJ,,ne hardware
29,255885,Austin,Roach,Bloomfield,IN,,princeton
30,57164,Stephan,Dioslaki,Wayne,NJ,,wendy's
31,189818,Jake,Hollenbach,Shelburne,VT,,ccb/vw
32,24736,Kevin,Molloy,New York,NY,,empire cycling
33,42780,Louis,Schimmel,Clifton,NJ,,ne hardware
34,190683,Daniel,Cassidy,San Antonio,TX,,ccb/vw
35,208038,Ryan,Bodge,Madison,WI,,colavita
36,0,marcos,santucco,,,,acer
37,186239,Nick,Bennette,Seattle,WA,,metlife
38,0,paul,burrowes,,,,
39,178966,Michael,Chauner,West Chester,PA,,penn lightening
40,45870,Michael,Rosenhaus,Morristown,NJ,,ne hardware
41,151319,Guillaume,Nelessen,Lambertville,NJ,,van dessel factory
