Utah Harvest Moon Criterium in Ogden UT Results

09/27/2008 Criterium Men Pro 1/2
Place,License #,First,Last,City,State,Time,Team
1,212282,Michael,Booth,Salt Lake City,UT,58:56:00,Park City Jeep - Goble Knee Cl
2,57141,Cameron,Hoffman,Clearfield,UT,58:56:00,American RADD
3,203027,Anthony,Johnson,Salt Lake City,UT,58:56:00,FFKR/SBO P/B Tour of Utah
4,36835,Richard,Vroom,Salt Lake Cty,UT,58:56:00,MiDuole
5,13273,Bart,Gillespie,Salt Lake City,UT,58:56:00,monaviecannondale
6,21636,Jeff,Louder,Slc,UT,58:56:00,UCI PCT: BMC Racing Team
7,77303,Billy,Allen,Sandy,UT,58:56:00,FFKR/SBO P/B Tour of Utah
8,0,Skylere,BINGHAM,,,58:56:00,Bingham's
9,235955,Brandon,Lynch,Hailey,ID,58:57:00,California Giant Cycling
10,216553,Tanner,Putt,Park City,UT,58:57:00,Cole Sport
11,211519,Patrick,Fasse,Elburn,IL,58:57:00,Ski Utah Cycling Team
12,141986,Kris,Henthorn,Austin,TX,58:58:00,Bikers Edge/Destination Homes
13,230024,Nathan,Arnim,Salt Lake City,UT,58:58:00,FFKR/SBO P/B Tour of Utah
14,23665,John,McKone,Park City,UT,58:58:00,X-Men Team Northwave
15,146288,Scott,Patten,Park City,UT,58:58:00,Ski Utah Cycling Team
16,50257,Todd,Hageman,Park City,UT,58:59:00,Northshore CC/Team Binghamsma
17,217116,Zachary,Tittensor,Highland,UT,58:59:00,American R.A.A.D. presented by
18,148432,Eric,Pardyjak,Salt Lake City,UT,58:59:00,Binghams/Northshore
19,156874,Patrick,Ramirez,Salt Lake,UT,59:00:00,Contender Bicycles
20,116598,Kirk,Eck,Smithfield,UT,59:00:00,Park City Jeep - Goble Knee Cl
21,256548,Eric,Moore,Park City,UT,59:00:00,A.R.A.D.D.
22,228832,Eric,Jeppsen,Salt Lake City,UT,59:00:00,Bikers Edge/Destination Homes
23,219095,Mike,Sohm,Salt Lake City,UT,59:01:00,Porcupine/Specialized Racing
24,181440,Aaron,Olsen,Woodscross,UT,59:01:00,FFKR/SBO P/B Tour of Utah
25,52471,Rodney,Smith,Ogden,UT,59:01:00,Contender Bicycle
26,119450,Kyle,Brown,Farmington,UT,59:01:00,Bikers Edge/Destination Homes
27,182569,Jesse,Gordon,Salt Lake City,UT,59:03:00,Contender Bicycles
28,192669,Mitchell,Peterson,Salt Lake City,UT,59:04:00,
29,187537,Travis,Horton,Salt Lake City,UT,59:04:00,FFKR/SBO P/B Tour of Utah
30,0,Chris,HUMBERT,,,59:05:00,Ski Utah Cycling Team
31,145340,Christopher,Pietrzak,Park City,UT,59:05:00,Porcupine/Specialized Racing
32,184083,Kevin,Van Loon,North Salt Lake ,UT,59:12:00,Unattached
33,150518,Alexander,Rock,Salt Lake City,UT,59:13:00,Contender Bicycles
34,91576,Andre,Gonzalez,Lehi,UT,59:31:00,Canyon Bicycles Draper

09/27/2008 Criterium Men Cat 4/5
Place,License #,First,Last,City,State,Time,Team
1,267198,Rob,Squire,Sandy,UT,39:00:00,
2,56255,Andrew,Love,Salt Lake City,UT,39:03:00,THIS SPACE FOR RENT!
3,240920,Cody,Rasmussen,South Jordan,UT,39:04:00,Unattached
4,0,Mike,Pantone,,,39:05:00,
5,253994,Shane,Dunleavy,Sandy,UT,39:06:00,Ski Utah Cycling Team
6,228845,Colby,Tanner,Salt Lake City,UT,39:06:00,Spin Cycle Racing
7,231444,Casey,Ruff,South Jordan,UT,39:07:00,Unattached
8,199388,John,Thomas,Park City,UT,39:07:00,Porcupine Cycling
9,267903,Alan,Stettler,Kaysville,UT,39:07:00,American RADD p/b agel
10,259033,David,Cole,Salt Lake City,UT,39:07:00,Bikers Edge/Destination Homes
11,129769,Michael,Macci,Salt Lake City,UT,39:07:00,Rocky Mountain Cycling Club
12,246962,David,Spainhower,Huntsville,UT,39:07:00,Biker's Edge
13,259282,James,Crawford,West Haven,UT,39:07:00,Binghams/North Shore
14,0,Bryce,Young,,,39:07:00,Binghams-Northshore
15,251652,Justin,Healy,Salt Lake City,UT,39:07:00,RMCC/Cyclesmith
16,247618,Chris,Pullos,Salt Lake City,UT,39:08:00,RMCC/CYCLESMITH
17,237141,Jerrel,Storrud,Corvallis ,MT,39:08:00,Porcupine Cycling
18,237328,Taylor (T.J.),Eisenhart,Lehi,UT,39:09:00,FFKR/SBO P/B Tour of Utah
19,92790,Kevan,Steed,Syracuse,UT,39:09:00,Team Excelerator
20,187510,Richard,Dressen,Ogden,UT,39:09:00,FFKR/SportsBaseOnline P/B Tour
21,211177,Darin,Wilson,Holladay,UT,39:09:00,Spin Cycle Racing
