The New Bethlehem Criterium in Bethlehem PA Results

05/10/2008 Criterium Men Cat 5
Place,License #,First,Last,City,State,Time,Team
1,138770,Michael,Firth,Jackson,NJ,,Pro Pedals
2,244424,Patrik,Dyberg,Morristown,NJ,,Liberty Cycle
3,262202,Kyle,Funk,Macungie,PA,,UNATTACHED
4,275922,Matt,Allyn,Allentown,PA,,UNATTACHED
5,279336,Martin,Eastgate,Trenton,NJ,,UNATTACHED
6,138767,Scott,Sherrer,Califon,NJ,,Liberty Cycle
7,264811,Anthony,Colasurdo,Center Valley,PA,,JVR Sports
8,278972,Frank,Ingraham,Coopersburg,PA,,UNATTACHED
9,0,Wes,BOCHNER,,,,UNATTACHED
10,275853,Mark,Gallagher,Glenside,PA,,Quaker City Wheelmen/Breakaway
11,0,Nicholas,WIERMAN,,,,UNATTACHED
12,0,William,MAVRO,,,,UNATTACHED
13,270557,Robert,Baker,Pennington,NJ,,Tri-State Velo / Amaroso's Raci
14,278559,tim,nunnemacher,Freemansburg,PA,,Jvr Sports
15,223048,Jeff,Lamb,Basking Ridge,NJ,,liberty cycle
16,229485,John,Carpenter,Philadelphia,PA,,Main Line
17,213999,Anthony,Skorochod,Wind Gap,PA,,Gotham Cyclists
18,0,Marten T Roberts,Beels,,,,The I-beam
19,279710,Shawn,McCaulley,Birdsboro,PA,,UNATTACHED
20,232118,Kaitlyn,Lawrence,Banner Elk,NC,,Vortex
21,229481,Robin,Carpenter,San Diego,CA,,Main Line

05/10/2008 Criterium Men Cat 4
Place,License #,First,Last,City,State,Time,Team
1,150073,Gene,Victori,Hackettstown,NJ,,Skylands
2,64571,John,Forgatch,Juno Beach,FL,,Liberty Cycle
3,237411,Eric,Salzer,Chesterbrook,PA,,Chester County Velo - Iron Hill
4,244078,Richard,Mowry,Milford,NJ,,Evolution Racing
5,257355,Benjamin,Storozum,Corpus Christi ,TX,,naval academy cycling team
6,216648,Bryan,Dougherty,Bronxville,NY,,Kissena C/ycling Club
7,235674,Carey,Jackson Yonce,Philadelphia,PA,,UNATTACHED
8,257973,Mark,Kline,West Chester,PA,,Chester County Velo-Iron Hill B
9,5989,Christopher,Candy,Kennett Square,PA,,Chester County Velo - Iron Hill
10,244058,Marc,Wolman,Madison,WI,,Quaker City Wheelmen/Breakaway
11,250196,Paul,Aemisegeo,Easton,PA,,Bike Line
12,194482,Steven,Sillett,Phillipsburg,NJ,,Team Somerset
13,0,John,WILSON,,,,UNATTACHED
14,238020,Michael,Coyle,Philadelphia,PA,,Quaker City Wheelmen/Breakaway
15,218239,Albert,Scharbach,Baltimore,MD,,Quaker City Wheelmen
16,254115,Albert,Anderson,Easton,PA,,BikeLine/LWA Racing
