Hyde Park Blast in Cincinnati OH Results

06/27/2009 Criterium Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,0,Emile,Abraham,,,,AeroCat Cycling Team
2,0,Juan Pablo,Dotti,,,,Aerocat Cycling Team
3,1283,Kirk,Albers,Upper Arlington,OH,,Texas Roadhouse Cycling Team
4,193579,John,Grant,Louisville,KY,,Texas Roadhouse Cycling Team
5,251528,Ryan,Good,Cincinnati,OH,,Team Abundance
6,233613,Robert,Bush,Louisville,KY,,Texas Roadhouse Cycling Team
7,133501,Jacob,Rytlewski,Avon,IN,,KENDA PRO CYCLING Presented by SPINERGY
8,194569,Evan,Fader,Boulder,CO,,EMF Racing
9,173347,Derek,Laan,Bloomington,IN,,Panther/RGF Pb Felt Bicycles
10,190250,Vincent,Roberge,Dearborn,MI,,Panther/ RGF p/b Felt Bicycles
11,256322,Michael,Kennedy,Louisville,KY,,Barbasol/ Rapid Transit
12,202079,John,Eisinger,Louisville,KY,,Ciclismo Racing
13,187082,Jeremy,Grimm,No City,NY,,Panther/RGF Cycling p/b Felt Bicycles
14,259383,Daniel,Campbell,Dayton,OH,,Panther / RGF p/b Felt
15,222682,Tyler,Hawes,Naples,FL,,Team Globalbike
16,179015,John,Minturn,State College,PA,,Empire Cycling
17,193086,Benjamin,Renkema,Greenville,SC,,turin/baker+nestor
18,165037,Patrick,Weddell,Boone ,NC,,Globalbike pb Catoma
19,175925,John,Rowley,Pittsburgh,PA,,Indiana Regional Medical Center
20,201349,Turner,Johnson,Oakland,CA,,Hershey Cancer Institute-GPOA-Cannondale
21,103689,Boyd,Johnson,Greenville,SC,,
22,145551,Chris,Ernst,Fairview,NC,,Myogenesis.com p/b United Health Care
23,207349,Christopher,Chartier,Hamilton,OH,,Alderfer Bergen
24,237344,Mitchell,Kersting,Louisville,KY,,Rapid Transit Racing
25,205611,Scott,Moro,Mechanicsburg,OH,,Ohio Orthopedic-Moro Cycling
26,161927,J Thomas,Smith,Etowah,NC,,Brevard Athletic Club
27,0,Carlos,Calcirrada,,,,AeroCat Cycling Team
28,230698,Noah,Metzler,Greenville,SC,,globalbike p/b Catoma
29,206894,John,Murdock,Cincinnati,OH,,Huntington Bank
30,259337,Emilio,Asconeguy,Lawrenceville,GA,,Aerocat cycling Team
31,186611,Mike,Purvis,Louisville,KY,,Barbasol
32,200850,David,Caughlin,Portland,OR,,NUVO Cultural Trail
33,186412,Gregory,Christian,Bryan,TX,,Panther/RGF pb Felt
34,122674,Chad,Burdzilauskas,Indianapolis,IN,,Kenda pro cycling p/b Spinergy
35,170475,James,Cunningham,Greenville,SC,,Team Globalbike
36,0,Marco,Aledia,,,,KENDA PRO CYCLING p/b Spinergy
37,49665,David,Chernosky,Brecksville,OH,,panther rgf
38,127993,Timothy,Henry,Franklin,TN,,DLP Racing
39,161263,Ryan,Knapp,Bloomington,IN,,Panther/RGF p/b Felt Bicycles
40,226733,Jonathan,Jacob,Indianapolis,IN,,Texas Roadhouse Cycling Team
41,116272,John,Puffer,Indianapolis,IN,,Texas Roadhouse Cycling Team
42,186576,Timothy,Swain,Columbus,OH,,Kenda Pro Cycling P/B Spingery

