Folsom Cyclebration Time Trial in Folsom CA Results

09/11/2009 Individual Time Trial Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,206962,Philip,Mooney,San Rafael ,CA,21:18,METROMINT CYCLING
2,242560,Vincent,Owens,Fresno,CA,21:40,HDR P/B LOMBARDI SPORTS
3,272691,Frank,Marrs,Fort Collins,CO,21:43,DAVIS BIKE CLUB
4,251736,Josh,Rennie,Reno,NV,21:51,TEAM CLIF BAR CYCLING
5,245198,Filip,Vanacht,Los Altos,CA,21:56,SUGARCRM
6,242630,Andrew,Talansky,Napa,CA,22:03,AMORE-VITA/VELO VIE P/B LIFETIME FITNESS
7,206466,Charles,Alexander,Sacramento,CA,22:16,DAVIS BIKE CLUB
8,32481,Mark,Shimahara,Portland,OR,22:26,TEAM CLIF BAR
9,47388,Kevin,Klein,Menlo Park,CA,22:36,KLEIN REAL ESTATE
10,256955,Evan,Huffman,El Dorado Hills,CA,22:46,HDR P/B LOMBARDI SPORTS
11,243069,Dylan,Clark,Auburn,CA,22:50,SAFEWAY/ BICYCLES PLUS
12,63508,Brian,Heneghan,San Jose,CA,23:10,SUGARCRM
13,196233,Collin,Samaan,Fair Oaks,CA,23:17,TEAM SPINE
14,195204,Bryan,Larsen,Santa Rosa,CA,23:21,RIO STRADA
15,234584,Joshua,Carling,El Dorado,CA,23:38,PACIFIC STATE BANK CYCLING TEAM
16,213018,Joe,Feng,Santa Rosa,CA,23:40,TEAM NORCAL BIKE SPORT
17,246669,Gregory,White,Lafayette,CA,23:57,DAVIS BIKE CLUB
18,187667,Raffi,Jilizian,Danville,CA,23:59,TEAM NORCAL BIKE SPORT
19,167796,Adam,Ross,Folsom,CA,24:39,WELLS FARGO RACING TEAM
20,127052,Judd,Van Sickle,Sacramento,CA,24:40,ROCKNASIUM
21,269476,Michael,Jasinski,Rocklin,CA,25:04,CHICO CORSA
22,271541,Nicholas,Oliver,Carmichael,CA,25:41,RIO STRADA RACING
23,217858,Jonathan,Lee,Santa Rosa,CA,26:33,TEAM NORCAL BIKE SPORT
DNS,56660,Kevin,Swanson,Santa Rosa,CA,,SWANCOACHING.COM
DNS,236024,Russell,White,Lafayette,CA,,DAVIS BIKE CLUB

09/11/2009 Individual Time Trial Men PC
Place,License #,First,Last,City,State,Time,Team
1,0,MATT,STRUGAR-FRITSCH,,,36:52,
2,0,CHRIS,HOUDE,,,38:06,
3,0,KENT,GILLIS,,,39:52,
DNS,0,RICK,MASON,,,,

09/11/2009 Individual Time Trial Men Masters Master 45-99
Place,License #,First,Last,City,State,Time,Team
1,47519,Kevin,Metcalfe,Pleasant Hill,CA,21:59,TEAM SPECIALIZED RACING MASTERS
2,102274,John,Novitsky,Woodside,CA,22:19,VOS-CYCLES GLADIATOR
3,74102,Thomas,Coulter,Rocklin,CA,22:35,MORGAN STANLEY/TEAM SPINE/SPECIALIZED
4,195844,John,Hancock,Sacramento,CA,23:01,
5,34735,Benjamin,Swann,Sacramento,CA,23:06,DELTA CASES CYCLING
6,287169,Kevin,McMurtry,Nevada City,CA,23:25,SERT/SHO-AIR
7,28820,Michael,Pugh,Davis,CA,23:32,DAVIS BIKE CLUB
8,221460,Jess,Raphael,Napa,CA,23:38,SAFEWAY/BICYCLES PLUS RACING
9,272237,Cale,Reeder,Albuquerque,NM,23:43,INTERNATIONAL CHRISTIAN CYCLING CLUB
10,32554,Steve,Showler,Carmichael,CA,23:46,ARMSTRONG & ASSOCIATES / FCI COMMERCIAL
11,20327,Donald,Langley,Morgan Hill,CA,23:52,MORGAN STANLEY/TEAM SPINE/SPECIALIZED
12,29458,Tony,Reid,Loomis,CA,24:01,SAFEWAY/BICYCLES PLUS RACING
13,71186,Richard,Juarez,Mill Valley,CA,24:10,VOS-CYCLES GLADIATOR
14,136970,Robert,Pasco,Belmont,CA,24:26,SAFEWAY/BICYCLES PLUS RACING
15,47463,Andrew,Nevitt,Saratoga,CA,24:27,SJBC/SUGARCRM
16,125352,Jay,Kinney,Placerville,CA,24:32,
17,94897,Bernard,Silveria,El Dorado Hills,CA,24:35,UNATTACHED
18,33087,Daniel,Smith,Menlo Park,CA,24:45,MORGAN STANLEY/TEAM SPINE/SPECIALIZED
19,202161,Lance,Newey,Folsom,CA,25:00,TEAM BICYCLES PLUS/SIERRA NEVADA
20,142113,Steven,Olechny,Saratoga ,CA,25:04,TALEO RACING
21,91021,Jeff,Needham,Vacaville,CA,25:17,ROCKNASIUM
22,86651,Spencer,Kenner,Davis,CA,25:24,ARMSTRONG & ASSOCIATES / FCI COMMERCIAL
23,13594,Douglas,Gonda,Truckee,CA,25:49,RENO WHEELMEN
24,59052,Mark,Switters,Folsom,CA,26:35,SACRAMENTO GOLDEN WHEELMEN
25,0,GREG,TEASELEY,,,27:03,
26,0,DUANE,STRAUSER,,,27:12,
27,252241,Gilbert,Tarin,Knightsen,CA,27:52,
28,0,BRIAN,IVIE,,,27:53,
29,274756,Philip,Blay,Eldorado Hills,CA,27:57,
30,230031,Rich,Rozzi,San Jose,CA,28:27,COLAVITA/SUTTERHOME-NORCAL
31,0,RANDY,COLE,,,29:55,
32,0,GARY,ZAHNISER,,,32:36,
33,28533,Jeff,Poulsen,Bend,OR,33:27,SAFEWAY/BICYCLES PLUS RACING
DNS,276168,Robin,McKinney,Lincoln,CA,,
DNS,24781,Timothy,Montagne,Sunnyvale,CA,,SUGARCRM
DNS,39478,Hunter,Ziesing,Bel Tiburon,CA,,ZTEAM
