Shiloh Cyclery Challenge in Government Camp OR Results

06/28/2009 Downhill Men Pro
Place,License #,First,Last,City,State,Time,Team
1,0,J.D.,Swandnen,,,4.02.00,Intense Cycles/ODI/Troy Lee Designs
2,185351,Lars,Sternberg,Ferndale,WA,4.03.54,Transition Bikes/Fox Shox/Dakine
3,228668,Phillip,Wiering,Beaverton,OR,4.03.74,Fluidride/Evil
4,201238,Joey,Schusler,Boulder,CO,4.03.95,Yeti/Fox Shox National Factory Team
5,218052,Brian,Buell,Jamestown,CO,4.05.16,Team Geronimo
6,199509,Brad,Oien,Fountain Valley,CA,4.05.54,ODI/Southridge
7,230743,Eric,Loney,Longview,WA,4.08.44,Project 529
8,0,Camilo,Sanchez,,,4.11.35,Yeti Cycles/fox regional team
9,38543,Jon,Wilson,Carson City,NV,4.11.88,Northstar/Giant
10,159018,Sean,McClendon,Pine Valley,CA,4.11.91,Griz America
11,117452,Heikki,Hall,Durango,CO,4.12.37,e*thirteen
12,90123,Ethan,Mutoli,Granite Falls,WA,4.13.50,Mutoli Racing
13,193517,Boe,McGee,Bellevue,WA,4.14.89,Go-Ride.com
14,104533,James,Johnston,Roseburg,OR,4.15.55,
15,186468,David,Camp,Port Orchard,WA,4.16.44,
16,245733,Alexander,McGuinnis,Fraser,CO,4.16.92,Team Krunk Shox
18,0,Charlie,Sponsel,,,4.17.98,Team Robot
19,117615,Casey,Northern,Port Angeles,WA,4.19.38,Ezlon
20,20586,Simon,Lawton,Seattle,WA,4.20.04,Fluidride/Evil
21,35447,Keith,Thompson,Issaquah,WA,4.20.48,WheelSport East
22,262613,Kyle,Thomas,Bellevue,WA,4.20.57,Transition Factory
23,156697,Ryan,DeLong,Eureka,CA,4.21.11,Another Bike Shop
24,0,Daniel,Hultgen,,,4.21.37,
25,252778,Jerry,Knight,Seattle,WA,4.21.76,Fluidride/Evil
26,0,Trevor,Burke,,,4.22.51,Miss Muffets Exotic Scones and Fables
27,104216,Jared,Hobbs,Portland,OR,4.22.64,FluidRide/Evil
28,202502,Michael,Buell,Nederland,CO,4.23.20,Team Geronimo
29,0,Billy,DeLaCroip,,,4.28.18,Orbit Racing
30,94510,Adam,Craig,Bend,OR,4.29.20,Giant MTB Team
31,198969,Benjamin,Storrar,Tacoma,WA,4.29.23,Cannondale Factory Racing
32,279411,Matty,Komar,Rumson,NJ,4.32.44,Morewood Bikes USA
33,204139,Jesse,Jackson,Portland,OR,4.36.97,
34,199027,Jack,Montgomery,Kirkland,WA,4.48.91,
35,0,Joel,Armstrong,,,4.48.97,River City Bicycles
36,245787,Josh,Stark,Carnation,WA,4.50.91,Cove Bikes
37,226613,Tasso,Koch,Atherton,CA,5.03.87,Thug Mansion Racing
38,191080,Hank,Cadle,Lake Forest,CA,5.30.42,
DNF,97230,Benjamin,Kubas,Eugene,OR,dnf,P.O.C. Racing
DNF,253212,William,McLamb,Boulder,CO,dnf,Thug Mansion Racing
DNF,114586,Bryan,Crum,Spokane,WA,Utopia,WheelSport East/Royal
41697,231811,Will,Collins,West Hartford,CT,Intense Cycles,Jett Mtb

06/28/2009 Downhill Men Cat 1/2/3 Master 50-99
Place,License #,First,Last,City,State,Time,Team
1,19075,William,Kieffer,Puyallup,WA,5.38.06,Psycho
2,258930,George,Smith,Longview,WA,5:54,Foes
3,265010,Roger,Baker,Kingston,ID,6.45.80,Wheelsport East
4,0,James,Koch,,,7.14.25,Habilis Downhill

06/28/2009 Downhill Men Hardtail
Place,License #,First,Last,City,State,Time,Team
1,0,Kyle,Muhonen,,,6.20.27,
2,0,Gideon,Francisco,,,7.57.48,

06/28/2009 Downhill Men Cat 3 Junior 1-14
Place,License #,First,Last,City,State,Time,Team
1,295632,Chase,Jamieson,La Center,WA,9.32.05,Project 529 Legion
2,0,Thomas TJ,Smith,,,13.55.79,Hurricane Racing

06/28/2009 Downhill Men Cat 3 Junior 15-18
Place,License #,First,Last,City,State,Time,Team
1,244772,Mitch,Davis,Maple Valley,WA,8.05.36,Team TAI

06/28/2009 Downhill Men Cat 3 Senior 19-39
Place,License #,First,Last,City,State,Time,Team
1,0,Jeff,Malvern,,,7.59.68,
2,0,Lance,Abbott,,,10.46.26,
3,0,Matthew,Rutten,,,19.27.73,

06/28/2009 Downhill Men Cat 3 Senior 40-99
Place,License #,First,Last,City,State,Time,Team
1,0,Jim,Shaver,,,8.10.06,Quimper Trails Assn.
2,0,Dan,Overman,,,8.30.09,
3,0,Steven,Rogers,,,10.41.02,Mountain Cycle g-force
4,0,cody,pillsbury,,,11.02.97,

06/28/2009 Downhill Men Cat 2 Junior 1-14
Place,License #,First,Last,City,State,Time,Team
1,0,Kevin,Littlefield,,,5.23.56,
2,0,Kole,Wetherell,,,5.36.83,661 sunline royal
3,217149,Hunter,Becker,Santa Barbara,CA,5.53.76,Befler Racing
4,0,Derek,DeYoung,,,5.56.95,Therapeutic Association
5,0,Kevin,Ernsdorf,,,6.00.30,
6,0,Danny,Kruse,,,6.02.82,Shiloh Cyclery/Hurricane Racing/Dakine
7,278776,Dayton,Luna,Lynden,WA,6.20.94,Mom & Dad
9,0,Chance,Hopkins,,,8.04.42,Momentum Bike Hike Board
DNF,0,Cody,Simons,,,Sunline,661

06/28/2009 Downhill Men Cat 2 Junior 15-18
Place,License #,First,Last,City,State,Time,Team
1,0,Anthony,Leonardazzi,,,5.26.16,Syndrome Racing
2,295176,Blake,Bryant,Sequim,WA,5.30.04,Mike's Bikes
4,0,Jonathan,Allyn,,,5.37.23,
5,295635,Scott,Punt,Mount Shasta,CA,,SixSixOne
6,0,Chris,Sanchez,,,5.40.48,
7,0,Jared,Evans,,,5.41.66,
8,0,Gunnar,Farcault,,,5.45.73,Wheelsport East
9,0,Brian,Scott,,,5.55.25,
10,0,Maverick,Evans,,,5.57.46,Syndrome Racing
11,293046,Matt,Lyons,Denver,CO,5.58.87,
12,0,Travis,Moroz,,,6.01.55,
13,295173,Byron,Boots,Sequim,WA,6.02.98,
14,0,Trevor,Parson,,,6.06.88,
15,295179,Hayden,McLaughlin,Hillsboro,OR,6.15.41,Momentum cycle
16,281434,Kolton,Sinskie,Port Angeles,WA,6.21.99,ODS 661
17,0,Max,Piltz,,,7.34.86,
53574,293137,Tyler,Rua,Washougal,WA,Team Short Bus,Boone Dog Bikes

06/28/2009 Downhill Men Cat 2 Senior 19-29
Place,License #,First,Last,City,State,Time,Team
1,0,Aaron,McVay,,,5.04.40,
2,279720,John,Kelly,Boulder,CO,5.06.67,
3,0,Mason,Lacy,,,5.08.96,Joey Schusler Racing
4,0,Sven,Harrison,,,5.09.17,Team Psycho
5,286366,R.D.,Watters,Bellingham,WA,5.12.07,AZONIC / ONEAL
6,295120,Tory,Klonius,Olympia,WA,5.12.80,western riders/ azonic/royal/division26/
7,294579,Matthew,Minick,Lewiston,ID,5.16.78,Follett's Mountain Sports
9,0,Cole,Pruitt,,,5.19.54,POW Gloves
10,285345,Ryan,Zabienski,Fort Collins,CO,5.25.49,Wes. Colorado State University
12,0,Jesse,Ransavage,,,5.26.31,
13,0,Weylin,Rose,,,5.27.06,Team Western Riders
14,292852,Clinton,Overman,Bellingham,WA,5.27.34,
15,293317,Austin,swopes,Lewiston,ID,5.29.75,Ride on bikes
16,0,Matt,Giorgis,,,5.29.96,
17,0,Galen,Burkhart,,,5.32.26,
18,0,Mac,Laws,,,5.33.79,
20,0,Bernie,UNKNOWN,,,5.36.82,
21,0,Michael,Smith,,,5.37.12,Transition Bike Co
22,0,Jesse,Schulte,,,5.40.10,
23,0,Ian,McNish,,,5.42.34,
24,0,Teddy,Robbins,,,5.43.36,Just Making It
25,0,Nathan,Storrs,,,5.49.34,BDP
27,0,Ben,Schepper,,,5.52.31,
28,281429,Tyrell,Hedlund,Kent,WA,5.53.44,Project 529
29,295159,Steve,Vidito,Bellingham,WA,5.53.85,Drop N Zone Bikeworks
31,0,Evan,Nance,,,5.57.45,Flow Cup Events
32,293798,Nathan,Zahn,Arlington,WA,6.03.37,Western Washington University
33,294577,Adam,Dalman,North Bend,WA,6.10.65,BDP
34,0,matthew,scott,,,6.12.23,Grump ventures
35,0,Dwayne,Tiggs,,,6.13.54,
36,0,Wes,Laws,,,6.19.72,
37,0,charles,forkner,,,6.29.81,syndrome racing
38,0,Ryan,Fairclough,,,6.43.77,
39,0,James,Fields,,,7.15.22,
40,207269,Bobby,Terry,Bellingham,WA,8.01.22,Fanatik Bike Co.
661,0,Alex,Eley,,,Spy,Transition
DNF,295116,Ethan,Fortney,Tenino,WA,oneal,Western Riders
DNF,272052,Tyler,Rapp`,Marysville,WA,Sunline,Utopia
DNF,295086,chris,spicer,Cheshire,OR,Life Cycles,Downhill Coalition
DNF,0,Shane,Conwell,,,dnf,Western Riders
DNF,277324,alastair,cox,Portland,OR,dnf,Stumpgardenracing/ride-this
DNF,288066,Kevin,Knorr,Longview,WA,dnf,
DNF,0,Mike,O'sete,,,dnf,Western Riders
52598,0,Skye,Schilhammer,,,661,Transition Bikes

06/28/2009 Downhill Men Cat 2 Master 30-39
Place,License #,First,Last,City,State,Time,Team
1,294769,IAN,DORE,Bellingham,WA,5.31.74,
2,0,Nick,Hansen,,,5.35.64,
3,0,Ben,Hall,,,5.35.70,Grump Ventures
4,198977,Mike,Garcia,Kirkland,WA,5.46.86,Team Mukai
5,291161,John,Henry,Spokane,WA,5.48.60,Wheelsport East
6,0,Shawn,Foley,,,5.49.25,Dirt Corps
7,0,Rodney,Hasty,,,6.08.19,Tribe503.com / Inciter Clothing
8,0,Todd,Rogers,,,6.32.70,Mt. Cycle/G Force Racing
DNF,0,Carey,Hopkins,,,dnf,Momentum Bike Hike & Board

06/28/2009 Downhill Men Cat 2 Master 40-99
Place,License #,First,Last,City,State,Time,Team
1,295169,Todd,McCarthy,Portland,OR,5.22.86,
2,263896,Mike,Estes,Beaverton,OR,5.30.88,Pinkbike.com
3,0,Jim,McCracken,,,5.54.22,Dirt Corps
4,0,Gary,Punt,,,6.01.66,
5,0,Tim,Robbins,,,6.17.98,Just Making It
6,0,Carl,Ledbetter,,,6.22.77,Project 529
7,154077,David,Thoms,Seattle,WA,6.23.56,
DNF,0,Mike,Rinnan,,,arrow,legion of dirt

06/28/2009 Downhill Men Cat 1 Junior 1-18
Place,License #,First,Last,City,State,Time,Team
1,260799,Justin,Wyche,Newbury Park,CA,4.18.70,Division 26
2,243877,Evan,Powell,Boulder,CO,4.19.23,Yeti Fox Regional
3,247503,Evan,Gilsdorf,Sammamish,WA,4.21.32,Downhill Zone Racing
4,162267,Luciano,Worl,Woodinville,WA,,Evil-Fluidride
5,274152,Chase,Schmidt,Snoquamlie,WA,4.27.75,Dirt Corps/Transition
6,262456,Brian,Guse,Fall City,WA,4.30.50,Dirtcorps/Transition Bikes
7,215000,Logan,James,Durango,CO,4.30.58,PTP/E13/Team Krunk Shox
8,295627,Austin,Aldrich,Bend,OR,4.31.12,Allride Academy
