Methodist Medical Center Oak Ridge Velo in Oak Ridge TN Results

08/23/2009 Criterium Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,141477,John,Hart,Murfreesboro,TN,,Krystal-Hincapie Elite Cycling
2,63857,David,Worth,Knoxville,TN,,NashvilleCyclist.com
3,161927,J Thomas,Smith,Etowah,NC,,
4,235379,Cameron,Cogburn,Cambridge,MA,,ChrisCookies/SwanCycles
5,229774,Luke,Servedio,Knoxville,TN,,Krystal-Hincapie Elite Cycling
6,228591,Stefan,Swecker,Asheville,NC,,Melting Pot / Knox Velo
7,160975,Paul,Tower,Birmingham ,AL,,warp9bikes.com / TriStar
8,51532,Dirk,Pohlmann,Knoxville,TN,,Texas Roadhouse
9,220860,Michael,Lanham,Alpharetta,GA,,warp9bikes.com / TriStar
10,45105,Kent,Bostick,Knoxville,TN,,amgen-giant masters
11,259171,Jake,Andrews,Gray,GA,,Security Bank
12,179788,Tim,Hall,Beech Mountain,NC,,NashvilleCyclist.com
13,230019,Jeff,Wright,Elberton,GA,,Team VeloSports
14,272360,Kurt,Futral,Griffin,GA,,Jittery Joes Coffee Development
15,73791,Jason,Jeansonne,Knoxville,TN,,Krystal-Hincapie Elite Cycling
16,224931,Shannon,Williams,Nashville,TN,,NashvilleCyclist.com
17,55034,Dale,Hair,Dalton,GA,,Economy Honda / SCV
18,224049,Patrick,Harkins,Nashville,TN,,NashvilleCyclist.com
19,24392,Gregory,Miller,Knoxville,TN,,Melting Pot / Knox Velo
20,3720,Robert,Binkley,Chattanooga,TN,,warp9bikes.com / TriStar
21,146455,Bradley,Spears,Oak Ridge,TN,,Krystal-Hincapie Elite Cycling
22,93595,Jason,Peters,Chattanooga,TN,,Krystal-Hincapie Elite Cycling
23,227516,Jonathan,Crowson,Oak Ridge,TN,,Melting Pot / Knox Velo

08/23/2009 Criterium Men Masters Master 30-99
Place,License #,First,Last,City,State,Time,Team
1,147542,John,Waggoner,Brentwood,TN,,Team Gran Fondo - Bianchi
2,161927,J Thomas,Smith,Etowah,NC,,
3,256582,Jeffrey,McGrane,Knoxville,TN,,Micro Metals - Bike Zoo / SCO
4,46380,Ronald,Wilson,Rockford,TN,,Micro Metals - Bike Zoo / SCO
5,0,Unknown,Rider,,,,
6,233845,Timothy,Valentine,Knoxville,TN,,Micro Metals - Bike Zoo / SCO
7,224049,Patrick,Harkins,Nashville,TN,,NashvilleCyclist.com
8,51326,Shawn,Hirt,Lenior City,TN,,Team Gran Fondo - Bianchi
9,45364,Thomas,Gates,La Mesa,CA,,Team Gran Fondo - Bianchi
10,53594,Timothy,Tobbe,Zirconia,NC,,Boston Mountain Cyclist
11,2216,Steven,Bacon,Knoxville,TN,,Micro Metals - Bike Zoo / SCO
12,176930,Kenny,Sipes,Flaherty,KY,,CKW Racing
13,197945,Riccardo,Cannone,Nashville,TN,,TriStar Cycling Team
14,0,Unknown,Rider,,,,
15,223488,Kingsley,Rutters,Kingsport,TN,,Tri-Cities Road Club
16,65704,Ryan,Bosio,Cordova,TN,,Smith & Nephew / Memphis Velo
17,63026,Isaac,South,Sanford,NC,,Economy Honda / SCV
18,242795,Tim,Johnson,Elizabethtown,KY,,
19,254271,Bryan,Smith,Elizabethtown,KY,,CKW Racing
20,266453,Marcus,Ambrester,Pegram,TN,,TriStar Cycling Team
21,197148,Eric,Barnett,Nicholasville,KY,,McDonalds Cycling Team
22,55034,Dale,Hair,Dalton,GA,,Economy Honda / SCV
23,95775,Greg,Casteel,Greenback,TN,,Melting Pot / Knox Velo
24,85910,Kent,Williams,Hendersonville,NC,,Blue Chip Racing / ABRC
25,209180,James,Wachter,Sacramento,CA,,Melting Pot / Knox Velo
26,46255,Alex,Collins,Edmond,OK,,Canyon Velo

08/23/2009 Criterium Men Masters Master 50-99
Place,License #,First,Last,City,State,Time,Team
1,45364,Thomas,Gates,La Mesa,CA,,Team Gran Fondo - Bianchi
2,46380,Ronald,Wilson,Rockford,TN,,Micro Metals - Bike Zoo / SCO
3,209180,James,Wachter,Sacramento,CA,,Melting Pot / Knox Velo
4,74121,Douglas,Van Cleef,Oliver Springs,TN,,Melting Pot / Knox Velo
5,190431,Perry,Cannon,Johnson City,TN,,Tri-Cities Road Club
6,48796,Buddy,Stribling,Kingsport,TN,,Tri-Cities Road Club
7,109907,Philip,Bonfiglio,Atlanta,GA,,Velo Voodoo
8,269869,Steve,Stidham,Kingsport,TN,,Tri-Cities Road Club
9,242373,Steve,Pavlovic,Littleton,CO,,Smith & Nephew / Memphis Velo
10,257036,Jack,Evans,Somerset,KY,,Cumberland Cycles
DNS,46255,Alex,Collins,Edmond,OK,,Canyon Velo

08/23/2009 Criterium Men Masters Master 60-99
Place,License #,First,Last,City,State,Time,Team
1,88801,Joe,Holland,Hendersonvlle,TN,,Team Biker's Choice
2,248476,David,Stevens,Vilas,NC,,Veloproject.com
3,273356,Ed,McAlister,Greenville,SC,,Greenville Spinners Racing Team
4,46705,S Durward,Higgins,Chattanooga,TN,,Krystal / SCV
5,70151,Ralph,Schmook,Evensville,TN,,Tri-Cities Road Club

08/23/2009 Criterium Men Junior Junior 10-14
Place,License #,First,Last,City,State,Time,Team
1,257316,Stephen,Bassett,Knoxville,TN,,East TN Jr Cycling
2,271370,Taylor,White,Bristol,TN,,East TN Jr Cycling
3,270613,Jesse,Stidham,Kingsport,TN,,Tri-Cities Road Club
4,282272,Andrew,Bailey,Piney Flats,TN,,Tri-Cities Road Club
5,298437,Nolan,Tankersley,Erwin ,TN,,East TN Jr Cycling
6,265182,Casey,Kadowaki,Bristol,TN,,East TN Jr Cycling
7,298438,Connor,Tankersley,Erwin,TN,,East TN Jr Cycling
8,288387,ShelbyRay,Meyer,Bristol,TN,,East TN Jr Cycling
9,298702,Danae,Kreiss,Bristol,TN,,East TN Jr Cycling
10,0,Garrett,Smith,,,,

08/23/2009 Criterium Men Junior Junior 15-18
Place,License #,First,Last,City,State,Time,Team
1,271461,Alex,Dayton,Kingsport,TN,,Tri-Cities Road Club
2,272407,Timothy,Killelea,Chattanooga ,TN,,TriStar Cycling Team
3,288392,Zach,Maness,Kingsport,TN,,Team Fuji
4,263561,Derek,Hurst,White Pine,TN,,TriStar Cycling Team
5,300238,Joshua,Winston,Gate City,VA,,Team Fuji
6,230419,Jason,Els,Ooltewah,TN,,Krystal / SCV
7,292347,Keven,Trinkle,Bristol,TN,,East TN Jr Cycling

08/23/2009 Criterium Men Cat 5
Place,License #,First,Last,City,State,Time,Team
1,237841,Caleb,Ryan,Signal Mountain,TN,,Micro Metals - Bike Zoo / SCO
2,299220,Tony,Adair,Murfreesboro,TN,,Team OS
3,0,mac,oakes,,,,cycle quest
4,0,andrew,edens,,,,TVB/Tomato Head
5,233809,Jeffrey,Marzolf,Knoxville,TN,,Micro Metals - Bike Zoo / SCO
6,298699,Jeremy,Shaffer,Jonesborough,TN,,Tri-Cities Road Club
7,0,Tom,Snapp,,,,Tri-Cities Road Club
8,0,Unknown,Rider,,,,
9,0,Unknown,Rider,,,,
10,270841,Tracy,Terpstra,Cleveland,TN,,Krystal / SCV
11,296731,Bryan,Thames,Memphis,TN,,
12,300238,Joshua,Winston,Gate City,VA,,Fuji/Athletics Unlimited
13,289952,David,Fedak,Murfreesboro,TN,,
14,295943,Joshua,Rockwood,Chattanooga,TN,,Krystal / SCV
15,293246,Brett,Sobaski,San Diego,CA,,Team Semper Fi

08/23/2009 Criterium Men Cat 4
Place,License #,First,Last,City,State,Time,Team
1,242673,Jonathan,Hickman,Byhalia,MS,,Smith & Nephew / Memphis Velo
2,220768,Philippe,Hanset,Knoxville,TN,,Micro Metals - Bike Zoo / SCO
3,224641,Nicholas,Nichols,Chattanooga,TN,,Krystal / SCV
4,281339,Michael,Carpenter,Memphis,TN,,Smith & Nephew / Memphis Velo
5,288392,Zach,Maness,Kingsport,TN,,Team Fuji
6,284556,steve,crowell,Ooltewah,TN,,Krystal / SCV
7,283077,Brian,Meadowcroft,Herndon,VA,,Rogues Racing
8,295872,Brent,Nowinski,Bloomington,IN,,Melting Pot / Knox Velo
9,259185,Willie,Hamilton,Gate City,VA,,
10,265604,Timothy,Tidwell,Knoxville,TN,,Micro Metals - Bike Zoo / SCO
11,256717,Christopher,Calder,Greenville,SC,,Les Amis
12,214513,Mark,Yoshida,Bartlett,TN,,Smith & Nephew / Memphis Velo
13,273589,Dennis,Sills,Hixson,TN,,Krystal / SCV
14,222544,Robert,Seeley,Post Falls,ID,,Krystal / SCV
15,270613,Jesse,Stidham,Kingsport,TN,,Tri-Cities Road Club
16,242373,Steve,Pavlovic,Littleton,CO,,Smith & Nephew / Memphis Velo
17,220637,Todd,Nichoalds,Abita Springs,LA,,Smith & Nephew / Memphis Velo
18,230796,Charles,Lumsden,Germantown,TN,,Smith & Nephew / Memphis Velo
19,269869,Steve,Stidham,Kingsport,TN,,Tri-Cities Road Club
20,95775,Greg,Casteel,Greenback,TN,,Melting Pot / Knox Velo
21,226271,Lawrence,Czarnecki,Knoxville,TN,,Micro Metals - Bike Zoo / SCO
22,264294,Kurt,Phifer,Sparta,TN,,Cookeville Bicycles
23,233886,Eric,Carlson,Christiansburg,VA,,Rogues Racing
24,166614,Matthew,Reynolds,Oklahoma City,OK,,bicycle store
25,282272,Andrew,Bailey,Piney Flats,TN,,Tri-Cities Road Club
26,230419,Jason,Els,Ooltewah,TN,,Krystal / SCV

08/23/2009 Criterium Men Cat 3
Place,License #,First,Last,City,State,Time,Team
1,245723,Brent,Mahan,Chester,NH,,NashvilleCyclist.com
2,177637,Andrew,Reardon,Franklin,TN,,Starbrite Carwash/MOAB
3,257615,Edward,Krei,Chicago,IL,,Cumberland Transit Cycling
4,140220,Michael,Biegalski,Oak Ridge,TN,,Melting Pot / Knox Velo
5,178240,Dustin,Greer,Chapmansboro,TN,,Wood-N-Wave/Maxxis
6,165544,John,Carr,Nashville,TN,,Cumberland Transit Cycling
7,249535,Evan,Wynn,Asheville,NC,,Hincapie Development Team
8,267424,Jeremy,Nagoshiner,Nashville,TN,,Team Gran Fondo - Bianchi
9,204284,Matt,West,Germantown,TN,,Smith & Nephew / Memphis Velo
10,260795,Calum,Dodson,Weaverville,NC,,Hincapie Development Team
11,172779,William,Fyfe,Huntsville,AL,,BBC / Tristar
12,260212,Mark,Fleishman,San Francisco,CA,,Team Gran Fondo - Bianchi
13,271461,Alex,Dayton,Kingsport,TN,,Tri-Cities Road Club
14,220346,Jeremy,Chandler,Knoxville,TN,,Micro Metals - Bike Zoo / SCO
15,178170,Robbie,Kidd,Knoxville,TN,,Melting Pot / Knox Velo
16,241231,Scott,Harris,Charlotte,NC,,Carolina Flyers
17,2318,Everett,Baker,Johnson City,TN,,Tri-Cities Road Club
18,271187,Justin,Crawford,Richmond,VA,,Virginia Tech Cycling
19,275306,David,Lansden,Birmingham,AL,,Bike Link Racing
20,65704,Ryan,Bosio,Cordova,TN,,Smith & Nephew / Memphis Velo
21,240094,Zachary,Nave,Gray,TN,,Tri-Cities Road Club
22,223488,Kingsley,Rutters,Kingsport,TN,,Tri-Cities Road Club
23,273453,Patrick,Malarkey,Washington,DC,,Hearts Racing Club

08/23/2009 Criterium Women Cat 1-3
Place,License #,First,Last,City,State,Time,Team
1,256188,Andrea,Wilson,Cordova,TN,,Bike Plus
2,261249,Jennifer,Schuble,Homewood,AL,,
3,251160,Rip,Nicholson,Virginia Beach,VA,,Mock Orange Racing
4,271340,Mary,Mayhew,Oak Ridge,TN,,Micro Metals - Bike Zoo / SCO
5,292720,Melinda,Nitz,Elizabethtown,KY,,McDonalds Cycling Team
6,208174,Melissa,Petty,Knoxville,TN,,Giordana Clif Bar
7,275395,Lisa,Starmer,Brentwood,TN,,NashvilleCyclist.com
8,206219,Marsha,White,Nashville,TN,,NashvilleCyclist.com
9,242041,Beth,Travers,Nashville,TN,,Team MedPlan / TriStar Cycling
10,222948,Allison,Greening,Tucson,AZ,,TriStar Cycling Team

08/23/2009 Criterium Women Cat 4
Place,License #,First,Last,City,State,Time,Team
1,293821,Lisa,Check,Murfreesboro,TN,,Team OS
2,293819,Parri,Gilbride,Nolensville,TN,,Team OS
3,274325,Erica,Chard,Charlotte,NC,,Team Velosports
4,274917,Marilyn,Senz,Fletcher,NC,,Team Velosports
5,291432,Laura,Reinert,Nashville,TN,,Team Harpeth/Reliant Banks
6,187030,Janet,Trubey,Fletcher,NC,,North Carolina Cyclocross
7,271999,Valerie,Nagoshiner,Nashville,TN,,NashvilleCyclist.com

08/22/2009 Individual Time Trial Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,141477,John,Hart,Murfreesboro,TN,00:17:20.77,Krystal / SCV
2,229774,Luke,Servedio,Knoxville,TN,00:17:21.83,Krystal / SCV
3,220860,Michael,Lanham,Alpharetta,GA,00:17:22.04,warp9bikes.com / TriStar
4,3720,Robert,Binkley,Chattanooga,TN,00:17:24.49,warp9bikes.com / TriStar
5,160975,Paul,Tower,Birmingham ,AL,00:17:34.72,warp9bikes.com / TriStar
6,51532,Dirk,Pohlmann,Knoxville,TN,00:17:35.06,Texas Roadhouse / Kentucky Flyers
7,73791,Jason,Jeansonne,Knoxville,TN,00:17:53.65,Krystal / SCV
8,146455,Bradley,Spears,Oak Ridge,TN,00:18:08.18,Krystal / SCV
9,235379,Cameron,Cogburn,Cambridge,MA,00:18:10.09,ChrisCookies/SwanCycles
10,230019,Jeff,Wright,Elberton,GA,00:18:36.29,Team Velosports
11,259171,Jake,Andrews,Gray,GA,00:18:49.05,Georgia Cycling LLC
12,272360,Kurt,Futral,Griffin,GA,00:18:55.52,
13,24392,Gregory,Miller,Knoxville,TN,00:19:00.94,Melting Pot / Knox Velo

08/22/2009 Individual Time Trial Men Masters 30-99
Place,License #,First,Last,City,State,Time,Team
1,45105,Kent,Bostick,Knoxville,TN,00:17:20.73,Amgen-Giant Masters
2,256582,Jeffrey,McGrane,Knoxville,TN,00:17:57.26,Micro Metals - Bike Zoo / SCO
