USA Cycling Professional Championship RR & TT in Greenville SC Results

08/30/2009 Road Race Men Pro
Place,License #,First,Last,City,State,Time,Team
1,16251,George,Hincapie,Greenville,SC,,Team Columbia-High Road
2,0,Andrew,BAJADALI,,,,Kelly Benefit Strategies
3,21636,Jeff,Louder,Slc,UT,,BMC Racing Team
4,171977,Brent,Bookwalter,Asheville,NC,,BMC Racing Team
5,0,Matthew,BUSCHE,,,,Kelly Benefit Strategies
6,118846,Jonathan,McCarty,Fort Collins,CO,,OUCH Presented By Maxxis
7,187300,Christopher,Jones,Bend,OR,,Team Type 1
8,90090,Philip,Zajicek,Tucson,AZ,,Fly V Australia
9,149353,Daniel,Bowman,Durango,CO,,Kelly Benefit Strategies
10,147512,Shawn,Milne,Beverly,MA,,Team Type 1
11,0,Neil,SHIRLEY,,,,Kelly Benefit Strategies
12,60077,Michael,Creed,Colorado Springs,CO,,Team Type 1
13,200350,Jason,Donald,Bozeman,MT,,Garmin-Slipstream
14,195652,Max,Jenkins,Davis,CA,,Glud & Marstrand Horsens
15,0,Burke,SWINDLEHURST,,,,Bissell Pro Cycling
16,247483,Bradley,White,Holland,MI,,OUCH Presented By Maxxis
17,73305,Danny,Pate,Colorado Springs,CO,,Garmin-Slipstream
18,0,Jason,McCARTNY,,,,Saxo Bank
19,133501,Jacob,Rytlewski,Avon,IN,,Kenda Pro Cycling p/b Spinergy
20,118740,Andrew,Guptill,Charlottesville,VA,,Colavita-Sutter Homes p/b Cooking Light
21,0,Benjamin,JACQUES-MAYNES,,,,Bissell Pro Cycling
22,227714,Jeremy,Johnson,Ashburn,VA,,OUCH Presented By Maxxis
23,79555,Antonio,Cruz,Long Beach,CA,,BMC Racing Team
24,0,Alexander,CANDELARIO,,,,Kelly Benefit Strategies
25,153638,John,Murphy,Horse Shoe,NC,,OUCH Presented By Maxxis
26,152609,Timothy (Timmy),Duggan,Nederland,CO,,Garmin-Slipstream
27,180664,Craig,Lewis,Boulder,CO,,Team Columbia-High Road
28,130777,Thomas,Peterson,Bellevue,WA,,Garmin-Slipstream
29,182602,Ted,King,Brentwood,NH,,Cervelo Test Team
30,198216,Kiel,Reijnen,Bainbridge Island,WA,,Jelly Belly Cycling Team
31,242630,Andrew,Talansky,Napa,CA,,Amore e Vita - Life Time Fitness
32,220711,Jonathan,Garcia,Fort Collins,CO,,BMC Racing Team
33,20272,Floyd,Landis,Idyllwild,CA,,OUCH Presented By Maxxis
34,0,Andy,JACQUES-MAYNES,,,,Bissell Pro Cycling
35,0,Omer,KEM,,,,Bissell Pro Cycling
36,189118,Morgan,Schmitt,Seattle,WA,,Bissell Pro Cycling
37,153790,Roman,Kilun,Oakland,CA,,OUCH Presented By Maxxis
38,174967,Daniel,Vaillancourt,Saco,ME,,Colavita-Sutter Homes p/b Cooking Light
39,121621,Tyler,Wren,Burlington,VT,,Colavita-Sutter Homes p/b Cooking Light
40,167848,Charles,Marzot,Falmouth,MA,,Team Mountain Khakis
41,203975,William,Dugan,Burlington,VT,,Team Type 1
42,153619,Ivan,Dominguez,Las Vegas,NV,,Rock Racing
43,197155,James,Camut,Pittsburgh,PA,,Land Rover - ORBEA

08/29/2009 Individual Time Trial Men Pro
Place,License #,First,Last,City,State,Time,Team
1,91920,David,Zabriskie,Westlake Village,CA,,Garmin-Slipstream
2,131248,Scott,Zwizanski,West Chester,PA,,Kelly Benefit Strategies
3,171819,Bernard,VanUlden,San Mateo,CA,,Jelly Belly Cycling Team
4,25407,Jonathan,Mumford,Baltimore,MD,,Kelly Benefit Strategies
5,135475,Michael,Friedman,Golden,CO,,Garmin-Slipstream
6,90090,Philip,Zajicek,Tucson,AZ,,Fly V Australia
7,230448,Jonathan,Chodroff,Kennett Square,PA,,OUCH Presented By Maxxis
8,0,Benjamin,JACQUES-MAYNES,,,,Bissell Pro Cycling
9,60077,Michael,Creed,Colorado Springs,CO,,Team Type 1
10,115644,Matthew,Winstead,Huntsville,AL,,Kenda Pro Cycling Presented By Spinergy
11,238694,Paul,Mach,Oakland,CA,,Bissell Pro Cycling
12,153790,Roman,Kilun,Oakland,CA,,OUCH Presented By Maxxis
13,2384,Christopher,Baldwin,Boulder,CO,,OUCH Presented By Maxxis
14,205722,Robert,Sweeting,Asheville,NC,,Land Rover-ORBEA
15,194595,Omer,Kem,Ashland,OR,,Bissell Pro Cycling
16,170399,Matthew,Crane,Richmond,VA,,Jelly Belly Cycling Team
17,211475,Phillip,Gaimon,North Hollywood,CA,,Jelly Belly Cycling Team
18,198216,Kiel,Reijnen,Bainbridge Island,WA,,Jelly Belly Cycling Team
19,180410,Christopher,Monteleone,Winston Salem,NC,,USA Development Team
20,20272,Floyd,Landis,Idyllwild,CA,,OUCH Presented By Maxxis
21,14782,Jonathan,Hamblen,Winston Salem,NC,,DLP Racing
22,200343,Wade,Wolfenbarger,Park City,UT,,Cinelli-Down Under
