Robeson Township State Road Race in Birdsboro PA Results

09/06/2009 Road Race Men Cat 1/2/3
Place,License #,First,Last,City,State,Time,Team
1,238217,Adam,Farabaugh,Boulder,CO,3:31:41,Hershey Cancer Institute-GPOA-Cannondale
2,65819,Bobby,Lea,Mertztown,PA,3:31:46,OUCH presented by Maxxis
3,177933,Joseph,Whitman,State College,PA,3:31:48,Salamander Racing
4,227954,Timothy,Karabin,Phoenixville,PA,3:31:49,Human Zoom-Pabst Blue Ribbon
5,42920,J Alain,Ferry,Boston,MA,3:31:49,
6,179451,Gavriel,Epstein,Englewood,NJ,3:31:49,champion system racing / gladiator wine
7,89187,Ryan,DeWald,Mount Penn,PA,3:31:49,
8,57947,Michael,Miller,Morgantown,PA,3:31:49,Team Alliance Environmental
9,197488,Daniel,Wilson,Cliffside Park,NJ,3:31:49,Team Alliance Environmental
10,163272,Andrew,Johnson,Parkesburg,PA,3:31:49,Mason Dixon Velo/Team Cycle Works
11,119361,Colin,Sandberg,Philadelphia,PA,3:31:49,Hershey Cancer Institute-GPOA-Cannondale
12,185182,Todd,Hesel,Parkville,MD,3:31:49,Kelly Benefit Strategies/LSV Amateur Rac
13,42621,Christopher,Gottwald,Kalamazoo,MI,3:31:49,Hershey Cancer Institute-GPOA-Cannondale
14,197894,Tim,Gresh,West Chester  Pa,PA,3:31:50,Team Alliance Environmental
15,226753,Martin,Mrugal,West Chester,PA,3:31:53,Dynaflo Racing
16,175354,Christopher,Kuhl,Dillsburg,PA,3:31:53,Hershey Cancer Institute-GPOA-Cannondale
17,198410,Brady,Gibney,Philadelphia,PA,3:32:03,Team Alliance Environmental
18,133782,Jamie,Kimberley,Baltimore,MD,3:32:16,Kelly Benefit Strategies/LSV Amateur Tea
19,201399,Justin,Kanter,Moon Twp,PA,3:32:35,Pittsburgh Elite Velo/CAT Racing
20,111890,Vladimir,Borovkov,East Brunswick,NJ,3:35:38,DKNY-Signature Cycles
21,79225,Robert,Moskal,Norristown,PA,3:39:40,
22,275726,Tyler,Bauer,Philadelphia,PA,3:39:40,Breakaway Racing
23,169174,Nick,Price,West Lawn,PA,3:39:41,Dynaflo Racing
24,224432,John,Hunter,Victor,NY,3:39:49,TalkSoft Racing
25,225383,Sean,Melcher,Hoboken,NJ,3:43:11,Hershey Cancer Institute-GPOA-Cannondale
26,197369,Ryan,Mitchell,Troy,NY,3:43:17,Talksoft Racing
27,203786,Blair,Berbert,Cambridge,MA,3:46:32,Kelly Benefit Strategies/LSV Amateur
28,92253,Kevin,Saint Clair,Philadelphia,PA,3:52:50,Main Line Cycling - Bikyle/Mazur coachin
DNF,79443,David,Mitchell,Oreland,PA,,Hershey Cancer Institute-GPOA-Cannondale

09/06/2009 Road Race Men Cat 5
Place,License #,First,Last,City,State,Time,Team
1,277090,Taylor,Lantz,Ronks,PA,1:04:28,
2,290252,Jon,Kaczmarczyk,New Castle,DE,1:04:29,FSVS
3,293074,Eric,Boone,Arnold,MD,1:04:29,Kelly Benefits Strategies/LSV
4,296751,Michael,Green,Wyndmoor ,PA,1:04:29,Bicycle Therapy
5,297942,Gordon,Stone,Kennett Square,PA,1:04:29,
6,0,Rodney,Kauffman,,,1:04:29,
7,241063,Jason,Blome,Wrightsville,PA,1:04:29,Mason Dixon Velo / Team Cycle Works
8,0,Tim,Isle,,,1:04:27,
9,289221,William,Frye,Camp Hill,PA,1:04:30,MBR
10,301399,Bill,Fleming,Morgantown,PA,1:04:30,Dynaflo
11,300237,Scott,Boyance,Chester Springs,PA,1:04:31,
12,293800,Nathan,Cooper,Gilbertsville,PA,1:04:31,
13,297416,Sean,Donmoyer,Towson,MD,1:04:33,
14,235657,Andy,Guy,Philadelphia,PA,1:04:36,Tri-State Velo
15,240931,Mike,Garvey,Washington,DC,1:04:51,Guy's Racing
16,287306,jason,forsell,Doylestown,PA,1:06:06,
17,0,Adam,Duke,,,1:06:44,
18,0,Colby,Clinton,,,1:09:09,Mason Dixon Velo / Team Cycle Works
19,0,Mark,Klimowicz,,,1:09:11,
20,210156,Jeff,Gottesman,Brooklyn,NY,1:09:13,
21,212911,Peter,Flax,Allentown,PA,1:09:26,
22,0,eian,weissman,,,1:09:55,firehouse bicycles
23,0,Andrew,Moore,,,1:11:15,Quaker City Wheelmen/BreakawayBikes.com
24,0,Joseph,Motz,,,1:12:14,
25,305183,David,Heckelsmiller,Iowa City,IA,1:13:48,Unattached
26,298001,John,Wichard,Chesterbrook,PA,1:15:47,Unattached
27,0,James,DeWald,,,1:16:39,Skyline Bikes
28,301222,Tim,Dayton,Haddonfield,NJ,1:18:19,
29,0,Robert,Zappacosta,,,1:18:57,Skyline Bikes
30,256457,William,Roach,Wayne,PA,1:18:57,Quaker City Wheelmen/Breakawaybikes.com
31,213055,Scott,Lyter,Harrisburg,PA,1:20:08,

09/06/2009 Road Race Men Cat 4
Place,License #,First,Last,City,State,Time,Team
1,286845,Calvin,Hoops,Philadelphia,PA,2:40:44,Guy's Racing Club
2,290175,Michael,Maret,Newville,PA,2:40:51,Shippensburg University
3,164376,Bryant,Carter,Philadelphia,PA,2:41:57,Guys Racing
4,291815,Steven,Weaber,Palmyra,PA,2:42:03,ERA Cycling
5,66905,John,Linvill,Philadelphia,PA,2:42:03,Guy's Racing Club
6,248570,Shane,Grogg,Bernville,PA,2:42:03,spokes bike shop
7,278103,Gerald,Adasavage,Brooklyn,NY,2:42:03,Bicycle Therapy
