Aspen Cycling Criterium in Aspen CO Results

05/23/2010 Criterium Men Pro Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,182034,Zachary,Davies,Boulder,CO,57:44,Groove Subaru
2,10984,Jorge,Espinoza,Boulder,CO,57:48,
3,186350,Jonathan,Baker,Chico,CA,57:56,Groove Subaru
4,196817,Phillip,Mann,Fort Collins,CO,58:16,OUCH-Bahati Foundation
5,0,Chuck,COYLE,,,58:17,Groove Subaru
6,190346,Lance,Sulzen,Lone Tree,CO,58:17,Groove Subaru
7,145040,Max,Taam,Aspen,CO,58:17,GS Boulder
8,194859,Troy,Heithecker,Ogden,UT,58:17,Fort Collins Cycling Team
9,255441,Thomas,Githens,Denver,CO,58:18,BCV/SCION
10,15299,Jeffrey,Hartman,Boulder,CO,58:18,Big Shark Racing
11,173228,Alexander,Hagman,Fort Collins,CO,58:18,OUCH-Bahati Foundation
12,184027,Joe,Lewis,Edina,MN,58:18,BCV/SCION
13,69161,Byron,Nix,Centennial,CO,58:19,Rio Grande
14,108501,Nicholas,Traggis,Boulder,CO,58:19,PreRace.com Cycling
15,115958,Scott,Kasin,Waunakee,WI,58:19,MI Aware
16,0,Garrett,PELTONE,,,58:19,Nat'l Grocers p/b Vitamin Cott
17,194687,Corey,Collier,Grand Junciton ,CO,58:19,Ouch-Bahati Foundation
18,259703,Jason,Anderson,Aspen,CO,58:20,GS Boulder/ Trek
19,6406,Todd,Cassan,Boulder,CO,58:27,Westwood Velo

05/23/2010 Criterium Men Master 35-99
Place,License #,First,Last,City,State,Time,Team
1,0,Chuck,CAGLE,,,45:40,
2,186350,Jonathan,Baker,Chico,CA,45:40,
3,190346,Lance,Sulzen,Lone Tree,CO,46:10,
4,188873,Jason,LaPointe,Carbondale,CO,46:11,ESC/ Basalt Bike & Ski
5,69161,Byron,Nix,Centennial,CO,46:11,
6,49024,David,McIntosh,Colorado Springs,CO,46:11,CM Cycling
7,77727,Joel,Mischke,Basalt,CO,46:11,Basalt Bike & Ski
8,49386,Matt,Duncan,Louisville,CO,46:12,
9,115958,Scott,Kasin,Waunakee,WI,46:13,MI Aware
10,300928,Dean,Hill,Aspen,CO,46:14,
11,310012,Peter,Dunlap,Boulder,CO,46:14,
12,23458,Chris,McGee,Lakewood,CO,46:14,
13,61600,Jon,Gallagher,Heber,UT,46:22,Cole Sport
14,315914,Marty,Wacker,Grand Junction,CO,47:39,
15,0,Rich,BURKLEY,,,47:39,
16,0,Mark ,ADAMS,,,47:39,

05/23/2010 Criterium Men Master 45-99
Place,License #,First,Last,City,State,Time,Team
1,10427,Charlie,Eckart,Aspen,CO,46:11,ESC/Basalt Bike & Ski
2,162550,Tim,Sewell,Grand Junction,CO,46:12,Ruby Canyon Cycles
3,46977,William,Soden,Denver,CO,46:17,Great Divide
4,0,Thomas,HAYLES,,,47:11,
5,115426,Michael,Scanlon,Snowmass Vlg,CO,47:39,
6,0,Robert,STUMPUS,,,47:39,
7,0,Danny,PIERCE,,,47:41,
8,245225,Ed,Chamberlin,Grand Junction,CO,47:41,
9,0,Kent,ERICKSEN,,,47:41,
10,0,Patrick,MURTAGH,,,47:41,

05/23/2010 Criterium Men Cat 4/5
Place,License #,First,Last,City,State,Time,Team
1,281426,Mike,Pimm,Littleton,CO,38:09,Green Mtn Sports Velo
2,301253,Garrett,Alexander,Durango,CO,38:13,Aloha Cycles/Carbondale
3,294859,Jason,Young,Colorado Springs,CO,38:13,
4,0,JP,HITCHENY,,,38:13,
5,0,Gus,GRIFFIN,,,38:14,
6,243321,Jan Pieter,Koorn,Carbondale,CO,38:14,
7,0,Mike,GETTINGER,,,38:14,
8,0,Paul,FOWLER,,,38:15,Basalt Bike & Ski
9,0,Justin,TAMPLIN,,,38:55,GS Boulder
10,63384,Quinn,Gallagher,Basalt,CO,38:56,Quinn Gallagher
11,0,Bill,SOMMERS,,,38:57,Two Rivers Cycling
12,0,Chip,CHILSON,,,38:57,
13,314264,Jeremy,Wolf,Carbondale,CO,38:58,
14,315914,Marty,Wacker,Grand Junction,CO,38:58,
15,0,Chris,BILBY,,,39:00,Basalt Bike and Ski
16,311799,Justin,Hemmer,Grand Junction,CO,39:08,Bicycle Outfitter
17,310409,Michael,Zerinskas,Westminster,CO,40:14,PSIMET Racing
18,263614,Keith,Berglund,Basalt,CO,40:19,Basalt Bike and Ski
