Nutmeg Classic Criterium (Master's Regional Champi in New Britain CT Results

06/12/2010 Criterium Men Pro/Cat 1/2/3
Place,License #,First,Last,City,State,Time,Team
1,0,Jerry,Kallenfels,,,1:27:3.00,Dutch team
2,223454,David,Hoyle,Newington,CT,1:27:3.00,CCNS  Charlescoaching.com
3,195075,Patrick,Goguen,Hopedale,MA,1:27:3.00,TEAM CF
4,211744,Joshua,Lipka,Cheshire,MA,1:27:3.00,Berkshire Cycling Association
5,259600,Brad,Warren,Lunenburg,MA,1:27:3.00,Wheelhouse/NCC Cycling Team
6,60318,Chandler,Delinks,Ipswich,MA,1:27:3.00,CCB/Wheelworks
7,293409,Ryan,Serbel,Douglassville,PA,1:27:3.00,CCNS - Charlescoaching.com
8,164040,Jermaine,Burrowes,Brooklyn,NY,1:27:3.00,We Stand United (W.S.)
9,179587,James,Thomas,Erie,CO,1:27:3.00,NEBC/Cycle Loft/Devonshire Dental
10,0,Thomas,Polak,,,1:27:3.00,Dutch team
11,197469,Luciano,Pavan,Fitchburg,MA,1:27:3.00,Optimum Performance
12,205328,Gavin,Robertson,Pemberton,NJ,1:27:3.00,CRCA/Foundation
13,107000,Ernest,Tautkus,Uncasville,CT,1:27:3.00,CCNS-charlescoaching.com
14,36516,Wilson,Vasquez,Piermont,NY,1:27:3.00,GS Mengoni USA
15,196503,Jerome,Townsend,Princeton,MA,1:27:3.00,BikeReg.com / Cannondale
16,216869,Morgan,Hiller,Marion,MA,1:27:3.00,TEAM CF
17,157345,Paul,Chooweenam,Ozone Park,NY,1:27:3.00,Unattached
18,217857,Nathaniel,Ward,Lewisville,NC,1:27:3.00,Tenet Racing
19,55755,Skip,Foley,Concord,MA,1:27:3.00,360 Racing/Landry's
20,47684,Anthony,Taylor,Brooklyn,NY,1:27:3.00,CRCA/Dave Jordan Coaching/Zephyr Graffiti
21,0,Geron,Williams,,,1:27:3.00,Continental Club
22,160538,David,Hildebrand,Ellington,CT,1:27:3.00,Exposition Wheelmen
23,163906,Peter,Petrillo,Fresno,CA,1:27:3.00,CVC/Subaru of New England
24,178460,Kurt,Schmid,Marblehead,MA,1:27:3.00,SALEM CYCLE-COMPREHENSIVE RACING/FELT/RUDY PROJECT
25,199984,Peter,Bell,Cambridge,MA,1:27:3.00,MetLife p/b groSolar
26,0,Mickey,Kallenfels,,,1:27:3.00,Dutch team
27,210129,Connor,Sallee,Dallas,TX,1:27:3.00,Echappe Equipment/CRCA
28,17360,Matt,Inconiglios,Stamford,CT,1:27:3.00,Stage 1 / fusionTHINK
29,186430,Christopher,Kohnle,Manchester,CT,1:27:3.00,CVC/Subaru of New England
30,252888,Jordy,Wetzel,Franklin,TN,1:27:3.00,Comprehensive Racing/ Salem Cycle
31,171134,Kevin,Yarde,Springfield,MA,1:27:3.00,IRSMedic/Berlin Bicycle/Best Cleaners
32,191453,Brian,Cooblall,Massapequa,NY,1:27:3.00,We Stand United (W.S.)
33,179136,Giancarlo,Bianchi,Boulder,CO,1:27:3.00,GS Mengoni USA
34,45369,Dave,Geissert,Columbia,CT,1:27:3.00,NERAC Earth
35,0,Jan,vanVliet,,,1:27:3.00,Dutch team
36,250645,Jeremy,Durrin,Westhampton,MA,1:27:3.00,Wheelhouse / NCC
37,19935,Joe,Kubisek,Southington,CT,1:27:3.00,Cheshire Cycle Racing
38,188623, Som Raj,Seepersaud,North Lauderdale,FL,1:27:3.00,Flying Ace Cycling Club
39,241549,CHAD,DALLES,Aurora,CO,1:27:3.00,Central CT Cycling Club
40,197142,Benjamin,Carbonetti,Manchester,CT,1:27:3.00,NorEast Cycling
41,163984,Aaron,Ross,Scottsdale,AZ,1:27:3.00,Team MMRW/Landry's bicycles
42,243924,Collin,Huston,Kennebunk,ME,1:27:3.00,CL Noonan/Bay Hill Capital/Corner Cycle
43,13030,Jeffrey,Gelt,Farmington,CT,1:27:3.00,Greater Hartford Cycling Club
44,250265,Matt,Muney,Darien,CT,1:27:3.00,Young Medalists / Team Dual Temp
45,212025,Mary,Zider,Norwich,VT,1:27:3.00,Specialized/Mazda/Samson
46,111810,Robert,Carmen,Simsbury,CT,1:27:3.00,Unattached
47,0,Rebecca,Wellons,,,1:27:3.00,Svelte Cycles
48,220545,Christopher,Bailey,Providence,RI,1:27:3.00,Svelte Cycles
49,0,Bob,Verkkijen,,,1:27:3.00,Dutch team
50,104055,Jeffrey,Dixon,Falmouth,ME,1:27:3.00,Base36/SMCC/Gorham Bike
51,194512,Ryan,O'Hara,Ketchum,ID,1:27:3.00,NorEast Cycling
52,205552,David,Chiu,Brookline,MA,1:27:3.00,NEBC/Cycle Loft/Devonshire Dental
53,163893,Timothy,Ratta,Guilford,CT,1:27:3.00,Greater Hartford Cycling Club
54,237597,Landen,Wark-Acebo,Brookline,MA,1:27:3.00,NEBC/Cycle Loft/Devonshire Dental
55,36179,David,Uchenick,Westford,MA,1:27:3.00,Arc en ciel
56,99523,Hunter,Pronovost,Cheshire,CT,1:27:3.00,Cheshire Cycle Racing - cyclistsarenotrockstars.com
57,164128,Aidan,Charles,Middletown,CT,1:27:3.00,CCNS
58,207445,Ryan,Kelly,Atkinson,NH,1:27:3.00,NorEast Cycling
59,242328,David,Fierro,Gales Ferry,CT,1:27:3.00,NEBC/Cycle Loft/Devonshire Dental
60,242892,Matthew,Buckley,Burlington,VT,1:27:3.00,Team Ora presented by I.F.
61,0,Dzmitry,Buben,,,1:27:3.00,CCB/Wheelworks
62,103281,Massimiliano,Accaputo,Rocky Hill ,CT,1:27:3.00,CVC Subaru of New England
63,83498,Sean,Cahill,Burlington,CT,1:27:3.00,Central Wheel - GHCC
64,120937,Joshua,Gewirtz,Bethany,CT,1:27:3.00,Capital Velo Club
65,21706,Jonathan,Lowenstein,North Kingstown,RI,1:27:3.00,NBX/Narragansett Beer/Apex Tech.
66,199084,Adam,Sullivan,North Kingstown,RI,1:27:3.00,Wheelhouse / NCC
67,43989,Daniel,Greenfield,Chevy Chase,MD,1:27:3.00,Wheelhouse/NCC Cycling Team
68,145271,Mukunda,Feldman,Easthampton,MA,1:27:3.00,Wheelhouse/NCC Cycling Team
69,106827,Timothy,Young,Newmarket,NH,1:27:3.00,NorEast Cycling
70,0,Robin,Vanderkiin,,,1:27:3.00,Dutch team

06/12/2010 Criterium Men master Master 30-99
Place,License #,First,Last,City,State,Time,Team
1,60318,Chandler,Delinks,Ipswich,MA,44:22.00,CCB/Wheelworks
2,149234,Horace,Burrowes,Brooklyn,NY,44:22.00,WE STAND UNITED
3,146429,Anthony,Alessio,Beacon Falls,CT,44:22.00,ZCC-ZANES CYCLING
4,43989,Daniel,Greenfield,Chevy Chase,MD,44:22.00,Wheelhouse/NCC Cycling Team
5,145271,Mukunda,Feldman,Easthampton,MA,44:22.00,Wheelhouse/NCC Cycling Team
6,138607,Jacob,Hacker,New Haven,CT,44:22.00,
7,19935,Joe,Kubisek,Southington,CT,44:22.00,Cheshire Cycle Racing
8,56688,Steven,Roszko,Westhampton,MA,44:22.00,BikeReg.com / Cannondale
9,248621,Eric,Merrill,New Haven,CT,44:22.00,Zcc-Zanes cycling
10,55766,Christopher,Naimie,Wilmot,NH,44:22.00,Sunapee/Continental Paving/Revolution Cyclery
11,163893,Timothy,Ratta,Guilford,CT,44:22.00,Greater Hartford Cycling Club
12,0,David,Correria,,,44:22.00,WE STAND UNITED
13,124654,John,Painter,Starksboro,VT,44:22.00,Burris Logistics-Fit Werx
14,220934,Deverell,Smith,New York,NY,44:22.00,CRCA/Luzzo's Coal Fired Pizza
