Tour of the Catskills in Hunter NY Results

08/01/2010 Road Race Men Master Master 40-99
Place,License #,First,Last,City,State,Time,Team
1,12562,John,Funk,South Kent,CT,2:31:12,CYCLE FITNESS
2,157989,Robert,Lattanzi,New York,NY,2:31:12,Westwood Cycle
3,117383,Jonathan,Bold,Marstons Mills,MA,2:31:12,Corner Cycle
4,118576,Troy,Kimball,Austin,TX,2:31:45,Westwood Velo
5,0,David,Gazsi,,,2:31:45,CycleLogikRacing
6,220670,Frederic,Thomas,Cape Elizabeth,ME,2:31:45,OA/Cyclemania
7,172065,David,Taylor,New York,NY,2:31:45,CRCA/Fuoriclasse Racing-Discover Chiropractic
8,83357,Erik,Gutbier,Arlington,VT,2:31:45,CCC Keltic Const/Zanes Cycles
9,281196,Carl,Reglar,Greenwich,CT,2:31:45,Team Danbury Audi/Pedal and Pump
10,146710,Mark,Gunsalus,Dudley,MA,2:32:46,Team FUJI/Clif Bar
11,82034,Monte,Frank,Sandy Hook,CT,2:32:46,Cycle Fitness
12,0,Lorenzo,Caterini,,,2:32:46,HUB RACING
13,97363,Gregg,Galletta,Dobbs Ferry,NY,2:32:46,CRCA/BH Garneau
14,211872,Harry,Stover,Brooklyn,CT,2:32:46,bikebarnracing.com
15,14451,Kurt,Gustafsson,Brooklyn,NY,2:32:46,CRCA/AXIS
16,0,Jon,Gee,,,2:32:46,Ride with Rendall
17,0,Cary,Moretti,,,2:32:46,Project Freeride
18,167407,William,Shattuck,Bridgewater,MA,2:34:11,Corner Cycle
19,52777,Andrew,Melnychenko,Alpine,NY,2:34:11,Maxpowercycling.com
20,92921,John,Winkler,Riverside,CT,2:34:14,
21,189842,Andreas,Runggatscher,Monroe,NY,2:34:32,Westwood Velo
22,119676,Ted,Neu,San Francisco,CA,2:34:32,CRCA/Die Hard-Think Racing
23,0,Andrew,Hannaford,,,2:34:32,Endurosport PFR by Powerwatts
24,0,Andrew,Stewart,,,2:34:32,Endurosport PFR by Power Watts
25,237877,Mark,Pohndorf,Pottersville,NJ,2:35:15,Colavita Racing
26,60376,Paul,Carbonara,Brooklyn,NY,2:35:20,Century Road Club /Axis
27,160291,Paul,McDonnell,Selkirk,NY,2:35:20,CBRC
28,0,Phill,Vermette,,,2:35:20,Eurosports
29,30962,Brett,Rutledge,Westborough,MA,2:35:20,International Bicycle Center
30,206819,Anthony,O'Malley,North Bergen,NJ,2:37:02,CRCA/Diehard-Think Racing
31,299820,James,Wohlgemuth,Carmel,ME,2:37:10,
32,277465,James,Cleary,Montvae,NJ,2:37:18,GS Park Ridge
33,217022,Ray,Manyoky,Bethesda,MD,2:38:22,Clean Currents p/b Don Beyer Volvo
34,0,Robert,Orange,,,2:39:41,Ride with Rendall
35,0,Christopher,Komar,,,2:39:41,P-K Express / HNZ Strategy
36,38702,William,Wisse,Toms River,NJ,2:39:44,Undici Racing / Guardian Coaching
37,178864,Christopher,McHugh,Newton Square,PA,2:41:45,Guys Bicyles Racing
38,0,Gregory,Wellman,,,2:41:48,Project Freeride
39,0,Gary,Weinstein,,,2:41:48,zm cycle and fitness
40,46043,Jackson,Wandres,Brooklyn,NY,2:41:48,Deno's Wonder Wheel Cycling Team
41,189413,Alexis,Demopoulos,Brooklyn,NY,2:44:31,Deno's Wonderwheels
42,47197,Anthony,Settel,South Burlington,VT,2:45:03,Deno's Wonder Wheel
43,46635,Scott,Harding,Rutland,VT,2:45:10,Onion River Sports
44,175763,Emory,Creel,Hamilton,NY,2:56:57,Central New York Cyclist
45,301712,Geoff,Hughes,Herndon,VA,3:01:45,Squadra-Coppi

08/01/2010 Road Race Men Master Master 50-99
Place,License #,First,Last,City,State,Time,Team
1,50217,Douglas,O'Neill,West New York,NJ,2:38:19,Deno's Wonder Wheel
2,16266,Kevin,Hines,East Wareham,MA,2:38:19,Corner Cycle
3,98318,Robert,Roldan,Somerville,MA,2:38:19,CCC Keltic Construct/Zanes Cycles
4,169549,Haluk,Sarci,Cresskill,NJ,2:38:19,Deno's Wonder Wheel
5,53455,Richard,Sorenson,Rutland,VT,2:39:47,Battenkill-United
6,35402,William,Thompson,West Hartford,CT,2:39:47,CCC/Keltic Const/Zanes Cycles
7,147684,Jay,Dodge,Huntingdon Valley,PA,2:39:47,Scott RC MTB Team
8,83266,Mark,Luzio,Brooklyn,CT,2:39:47,CYCLE FITNESS
9,211727,Robert,Meikle,Sayre,PA,2:39:47,Mystic Velo Club
10,276954,kevin,mosher,Voorheesville,NY,2:39:47,CCC/Keltic Construction/Zanes cycles
11,35822,Lawrence,Towner,Boonton,NJ,2:41:23,Liberty Cycle
12,163748,Ernie,Bayles,Brooktondale,NY,2:41:23,FLCC/Chris Cookies/Swan Cycles
13,68336,Philip,Beliveau,St George,VT,2:41:23,Burris Logistics/Fit Werx
14,195218,Ad,Bax,Bethesda,MD,2:41:23,Clean Currents p/b Don Beyer Volvo
15,9768,Bob,Donahue,Princeton,MA,2:41:23,Gearworks/Spinarts
16,255105,Alan,Blanchard,New City,NY,2:41:49,Westwood Velo
17,75172,Bruce,Townend,Windsor,MA,2:42:40,Valley Bike and Ski Werks Racing Team
18,116151,David,Birrell,Adams,MA,2:42:42,Quabbin Cycling Club
19,152618,Scott,Klion,Gardiner,NY,2:42:42,Competitive Edge
20,180511,Thomas,Coleman,Greenwich,CT,2:44:36,Cafeteros Cycling Club
21,296721,Daniel,Wnorowski,Manlius,NY,2:44:38,MaxPower
22,47179,Allan,Bates,Pittsfield,MA,2:44:38,BCA/TOSK
23,19159,David,King,Boxford,MA,2:45:55,ccb racing
24,47733,Robert,Stern,New York,NY,2:45:55,Die-Hard Think Racing/ CRCA
25,63939,Jody,Dean,Hudson,MA,2:46:07,International Bicycle Center
26,241442,Bruce,Schwartz,Armonk,NY,2:46:45,Signature Cycles/Rockstar Games
27,301941,David,Andersen,York,ME,2:46:45,Boston Road Club
28,65169,Robert,Guatelli,New York,NY,2:46:45,CRCA/Houlihan Lokey- Sanchez
29,189103,Mark,Dutka,Uncasville,CT,2:46:45,Mystic Velo
30,47399,Glenn,Swan,Freeville,NY,2:47:08,FLCC Chris's Cookies
31,271482,Stuart,Matthewman,Brooklyn,NY,2:47:16,CRCA/SID'S BIKES NYC
32,266514,Michael,Spinnler,Hagerstown,MD,2:50:38,AVC/Team Hagerstown-Washington County Tourism
33,181341,Robert,McWhorter,Divide,CO,2:57:53,Project M
34,267009,Alessandro,Baldi,Howell,NJ,3:00:16,ysg/cycles 54
35,60235,Joseph,Korzenecki,Westfield,MA,3:08:33,Cyclonauts Racers Inc.
36,247163,Wayne,Miner,Endicott,NY,3:13:44,MaxPowerCycling.com

08/01/2010 Road Race Men Junior Junior 15-18
Place,License #,First,Last,City,State,Time,Team
1,276068,Brandon,Milet,Brevard,NC,2:39:47,FARM TEAM CYCLING
2,261543,Eli,Robinson,Ithaca,NY,2:39:47,Corning Race Team
3,249208,Matthew,Waller,Morgantown,PA,2:39:47,Tri-State Velo
4,272713,David,Brookes,Cabin John,MD,2:39:47,NCVC/UnitedHealth Group
5,297979,Keane,McCullum,Grantham,PA,2:42:40,Team Placid Planet
6,219434,Justin,Mauch,Sterling,VA,2:44:34,NCVC/UnitedHealth Group
7,275973,Derek,Wojtkun,Cambridge,NY,2:47:37,FARM TEAM CYCLING
8,207986,Avery,Wilson,Boulder,CO,2:51:42,NCVC/UnitedHealth Group
9,250355,Zachary,Bender,Glen Rock,NJ,2:58:39,GS Park Ridge/Team Cyclesport
10,309610,Cole,Lalomia,Portland,OR,2:58:46,Jimenez velo sport
11,261086,Hunter,Dansin,Cambridge,NY,3:05:52,Farm Team Cycling

08/01/2010 Road Race Men Cat 5
Place,License #,First,Last,City,State,Time,Team
1,313844,Ted,Culotta,Madison,CT,2:47:52,Laurel
2,320996,Colby,Delbene,Pawling,NY,2:50:07,Pawling Cycle & Sport
3,322932,gabriel,sturges,Catskill,NY,2:50:12,sturgesworld
4,311436,Matthias,Konuralp,New York Ny,NY,2:50:45,
5,312410,Dan,Fronhofer,Saratoga Springs,NY,2:50:45,
6,317582,Randy,Hadzor,Syracuse,NY,2:50:45,Melo Velo / Middle Ages / BTB
7,311554,Vincent,Lore,Bethel,CT,2:50:45,Bethel Cycle Sport
8,292319,Christopher,DeLuco,White Plains,NY,2:50:45,Tarmac Cycling
9,304255,Daniel,Cleiman,Newyork,NY,2:52:07,CRCA/NYVelocity
10,307181,Michael,Parkes,Newyork,NY,2:54:44,CRCA-NYAC
11,307108,Bobby,Kennedy,New York,NY,2:54:44,New York Athletic Club
12,292732,Corey,Morenz,New York,NY,2:54:44,CRCA/NYVelocity
13,300954,Matt,Alexander,Catskill,NY,2:54:44,
14,315346,Caleb,Batchelder,Argyle,NY,2:54:44,Farm Team Cycling
15,293141,Sergey,Buryanenko,Brooklyn,NY,2:54:50,Hudson Furniture Racing Team
16,0,Sean,Gramling,,,2:59:57,Kingston Cyclery
17,296171,Oleg,Bekkerman,Palisades Park,NJ,3:01:29,
18,311316,Joel,Mancini,Freehold,NY,3:03:13,
19,299780,Omri,Roden,Chappaqua,NY,3:04:13,
20,0,Thomas,Warren,,,3:06:09,Huntington Biclyle Club
21,316022,Andrew,Hallett,New York,NY,3:09:47,New York Cycle Club
22,290305,Scott,Wells,Brooklyn,NY,3:11:30,CRCA/NYVelocity
23,139148,Charlie,Bird,Henrico,VA,3:21:34,CRCA/NYVelocity
24,304256,Daniel,Keh,New York,NY,3:24:06,CRCA/NYVelocity
25,318534,Max,Krumpholz,Rocky Rivery,OH,3:26:27,Snake Bite Racing
26,308785,Rick,Babin,Fletcher,OK,3:26:27,

08/01/2010 Road Race Men Cat 5 Master 35-99
Place,License #,First,Last,City,State,Time,Team
1,304856,Hans,Morefield,Katonah,NY,2:52:09,
2,96215,Denis,Finnin,Weehawken,NJ,2:53:18,James Vincent Bicycles/JV Racing
3,292659,Jules,Roazen,Duluth,MN,2:53:20,Alabaster Disaster
4,0,Rejean,Rochette,,,2:53:20,
5,304957,Daniel,Moon,Pittsfield,MA,2:55:22,Housatonic Wheel Club
6,294126,Leonard,Friedman,Marlboro,NJ,2:55:22,
7,296817,Keith,Huntington,Greenlawn,NY,2:55:22,
8,264657,Matthew,Jones,Cooperstown,NY,2:55:22,Paceline Sports/Jackrabbit Racing
9,284137,Jose,Soriano,Newyork,NY,2:55:22,CRCA / Dave Jordan Coaching - Zephyr Graffiti
10,315230,john,tully,Hoboken,NJ,2:55:22,CRCA
11,311336,Bruce,Davie,San Francisco,CA,2:55:22,
12,278031,Peter,O'Hagan,New York,NY,2:55:22,
13,214082,Eliakim,Littell,Greenwich,NY,2:55:26,Cambridge Valley Cycling
14,286475,Jay,Tyler,Mechanicville,NY,2:57:34,Team Genesis Cycling
15,304573,William,Rigler,Boulder,CO,2:57:34,NYC Velocity
16,310556,Joseph,Pelletier,West Shokan,NY,2:57:34,Self
17,312316,Andrew,Valvano,Mount Marion,NY,2:58:25,
18,265253,Mark,Jorgensen,Cherry Hill,NJ,2:59:02,Summit Cycling Club
19,306436,Mark,Inaba,Weehawken,NJ,2:59:10,CRCA
20,100428,Joseph,Dellorusso,Oceanside,NY,2:59:10,
21,0,Bruce,Lapierre,,,2:59:10,
22,308691,john,monroe,Beacon,NY,3:00:16,
23,0,Jeffrey,Jenkins,,,3:02:08,
24,252363,Shai,Cohen,Tenafly,NJ,3:02:08,Tenafly Road Dawgz
25,0,Daniel,Lundenberg,,,3:02:08,
26,307623,Carmelo,Ando,Stanfordville,NY,3:02:34,CRCA
27,316670,Anthony,LaRocca,Windham,NY,3:03:18,Table Rock Tours
28,315344,Terry ,Batchelder,Argyle,NY,3:03:33,Cargill
29,0,Armando,Luis,,,3:07:48,Strictly Bikes
30,281855,Kevin,Maldonado,Windham,NY,3:09:07,windham mountain outfitters
31,301499,Matthew,Rossi,Brooklyn,NY,3:20:15,
32,0,Thomas W.,Cracovia,,,3:30:39,TNT
33,0,Tom,Larison,,,3:30:39,TNT
34,0,Laurent,Proulx,,,3:32:20,
35,0,Denis,Lavallee,,,3:32:20,
