Spring Classic at Driveway Austin in Austin TX Results

02/07/2010 crit Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,110443,Joshua,Carter,Saint Charles ,MO,,
2,202659,Alan,Ting,Houston,TX,,
3,40280,William,Ross,Austin,TX,,
4,271716,Colton,Jarisch,Austin,TX,,
5,194685,G Lawson,Craddock,Austin,TX,,
6,89282,David,Wenger,Austin,TX,,
7,245316,Christian,Helmig,Highland Village,TX,,
8,7243,John,Cody,San Antonio,TX,,
9,168216,Jason,Short,Lakewood,CO,,
10,118846,Jonathan,McCarty,Fort Collins,CO,,
11,190569,Alexi,Martinez,Costa Mesa,CA,,
12,117896,Phil,Wikoff,Asheville,NC,,
13,165768,Sol Ethan,Frost,Austin,TX,,
14,102704,John,Korioth,Austin,TX,,
15,197598,P.J.,Rabice,Austin,TX,,
16,254872,Zach,Bergh,Dripping Springs,TX,,
17,168914,Tyler,Jewell,Austin,TX,,
18,256071,Danny,Robertson,Colorado Springs ,CO,,
19,26581,Ara,Oggoian,Geneva,IL,,
20,198394,Bryan,Fawley,Denton,TX,,
21,188572,Andrew,Dahlheim,Greenville,SC,,
22,206317,Joseph,LaFico,Austin,TX,,
23,157827,Corey,Ray,Mckinney,TX,,
24,248479,Chad,Haga,Fort Collins,CO,,
25,247560,Andrew,Hill,Lakewood,CO,,
26,305309,Rob,Gray,Fulshear,TX,,
27,239971,Evan,Lambert,Austin,TX,,
28,188971,Rick,Wetherald,Wyandotte,MI,,
29,266238,Andrew,Gonzales,Austin,TX,,
30,194640,Kolt,Bates,Bedford,TX,,
31,0,Michael,Joannisse,,,,
32,36785,Igor,Volshteyn,Dallas,TX,,
33,211096,Chris,Lowry,League City,TX,,
34,225276,Collin,Davis,Euless,TX,,
35,195071,Jesse,Moran,Mansfield,TX,,
36,208908,Jeremy,Andrews,Houston,TX,,
37,24324,Max,Miley,Allen,TX,,
38,204437,Kevin,Barton,San Antonio,TX,,
39,177980,Johnathon,Orr,Austin,TX,,
40,240584,Brant,Speed,Austin,TX,,
41,82814,Bill,Short,Boise,ID,,
42,216513,Erick,Benz,Austin,TX,,
43,148318,James,Lawrence,Edmond,OK,,
44,178182,Travis,Wilky,Round Rock,TX,,
45,14246,Wallace,Groda,Santa Fe,TX,,
46,200983,Justin,Wallace,San Francisco,CA,,
47,42330,Kevin,Kremke,Atlanta,GA,,
48,189253,Christopher,Hamilton,Dallas,TX,,
49,201623,Michael,Lalla,Minneapolis,MN,,
50,240752,Christopher,Trickey,Austin,TX,,
51,248703,Ronald,Strange,Pearland,TX,,
52,257640,Ruarri,Day-Stirrat,Katy,TX,,
53,68011,Jason,Bentley,Houston,TX,,
54,0,Gagnon-Brassard,Simon,,,,
55,231733,Scott,Simmons,Cleburne,TX,,
56,61918,Gregg,Ueckert,Austin,TX,,
57,260814,Robert,Biard,Austin,TX,,
58,7964,Brandon,Cowart,Tulsa,OK,,
59,185341,Todd,Elenz,Salem,OR,,
60,168914,Tyler,Jewell,Austin,TX,,
61,226469,Evan,Bybee,Oklahoma City,OK,,
62,152962,Steven,Wheeler,Austin,TX,,
63,222625,Loren,Dodson,Austin,TX,,
64,33069,Chad,Smith,Austin,TX,,
65,205741,Stefan,Rothe,Austin,TX,,
66,104953,Ian,Dille,Austin,TX,,
67,266852,Tomasz,Baginski,Austin,TX,,
68,177122,Carlos,Vargas,Humble ,TX,,
69,245129,Peter,Carey,Silver Spring,MD,,
70,223670,Colt,Trant,Seguin,TX,,
71,189171,Travis,Burandt,Austin,TX,,
72,21569,Doug,Looney,Austin,TX,,
73,188306,Scott,Veggeberg,Austin,TX,,

02/07/2010 crit Men Master 40-99
Place,License #,First,Last,City,State,Time,Team
1,63195,Christopher,Powers,Flower Mound,TX,,
2,58187,Tom,Lattig,Dallas,TX,,
3,14246,Wallace,Groda,Santa Fe,TX,,
4,246080,Justin,Wolfe,Austin,TX,,
5,50855,Stephen,Weber,Mckinney,TX,,
6,21569,Doug,Looney,Austin,TX,,
7,202616,Marc,Bergeron,Austin,TX,,
8,49894,Michael,Reade,Granbury,TX,,
9,137066,Jason,Rivers,Driftwood,TX,,
10,48194,Gregory,Hall,Austin,TX,,
11,168358,Jeff,Park,San Antonio,TX,,
12,182412,Paul,Duva,Albuquerque,NM,,
13,191668,Tony,Johnson,Houston,TX,,
14,204437,Kevin,Barton,San Antonio,TX,,
15,82715,Ted,Nitka,Austin,TX,,
16,214165,Timothy,Burke,Dallas,TX,,
17,201325,Patrick,Burke,Mckinney,TX,,
18,216157,Kevin,Schaefer,Austin,TX,,
19,147252,J.B.,Hager,Austin,TX,,
20,49892,Will,Visser,Austin,TX,,
21,254085,Ken,Germond,Columbia,MO,,
22,70407,Frank,Karbarz,Houston,TX,,
23,219611,Kurt,Bickel,Reno,NV,,
24,88807,Michael,Adams,Buda,TX,,
25,288359,Rafael,Garcia,Round Rock,TX,,
26,10893,Michael,Ereli,Houston,TX,,
27,138208,Patrick,Burke,Plano,TX,,
28,113870,Richard,Miller,Dallas,TX,,
29,294681,Mike,Bufler,Spring Branch,TX,,
30,47069,Robert,Bodamer,Kingwood,TX,,
31,60849,Michael,Brown,Dallas,TX,,
32,73177,Paul,Forderhase,Austin,TX,,
33,20478,Antonio,Latto,Austin,TX,,
34,38177,Mark,Wiggans,Salt Lake City,UT,,

02/07/2010 crit Men Junior 10-18
Place,License #,First,Last,City,State,Time,Team
1,0,Denis,Rugovac,,,,
2,300681,Jonah,Tannos,Leaguecity,TX,,
3,305070,Mino,Giunta,Austin,TX,,
4,268270,Jake,Broyles,San Antonio,TX,,
5,292831,Tommy,Higgins,Austin,TX,,
6,259586,Christian,Bergh,Dripping Springs,TX,,
7,299251,Justin,McQuerry,Athens,GA,,
8,248387,Audrey,Manchester,The Woodlands,TX,,

02/07/2010 crit Men Cat4/5 35-99
Place,License #,First,Last,City,State,Time,Team
1,274610,Dave,McLaughlin,Austin,TX,,
2,266799,Jason,Codianne,Missouri City,TX,,
3,305309,Rob,Gray,Fulshear,TX,,
4,264242,Greg,Binion,Houston,TX,,
5,209915,Michael,Jankowski,Austin,TX,,
6,301167,Sean,Sullivan,Austin,TX,,
7,290034,Glen,Watson,Leaguecity,TX,,
8,301184,Michael,Mitcham,West Monroe,LA,,
9,161001,Jerry,Bueno,Austin,TX,,
10,220829,Rolando,Roman,Ridgeland ,MS,,
11,236841,Eardie,Curry,Austin,TX,,
12,1477,Corvin,Alstot,Houston,TX,,
13,258845,Paul,Fafard,Austin,TX,,
14,269137,Rick,Beckman,Copperas Cove,TX,,
15,16993,Charles,Huckabee,Kingwood,TX,,
16,74461,Enrique,Varela,Austin,TX,,
17,258505,Wolfgang,Bangerth,Fort Collins,CO,,
18,257194,Sean,McManus,Pflugerville,TX,,
19,299872,scott,mabry,Magnolia,TX,,
20,295383,Ned,Frost,Austin,TX,,
21,282239,Steve,McConathy,Houston,TX,,
22,218844,Lemmie,White,Fort Worth,TX,,
23,302885,Philip,Reed,Austin,TX,,
24,156348,Pat,Murphy,Austin,TX,,
25,0,James B.,Miller,,,,
26,203872,Mark,Schusterman,Houston,TX,,
27,241076,Hill,Swift,Houston,TX,,
28,204749,Bob,Cowley,Austin,TX,,
29,270016,Kevin,Herring,Missouri City,TX,,
30,197553,William,Huie,Austin,TX,,
31,286614,Charles,Bippert,Roundrock,TX,,
32,254086,Wayne,Dunlap,Austin,TX,,
33,273762,Michael,Moist,Kingwood,TX,,
34,284279,keith,mcburnett,Austin,TX,,
35,138824,David,Beverly,Coeur D Alene,ID,,
36,33346,W Kent,Snead,Georgetown,TX,,
37,264051,Sean,Doherty,Austin,TX,,
38,60026,Matt,McCullough,Round Rock,TX,,
39,232047,Robert,Martin,Houston,TX,,
40,260066,Marcus,Arredondo,Friendswood,TX,,
41,204536,Doug,Baysinger,Sugar Land,TX,,
42,138637,John,Bartle,Austin,TX,,
43,215738,Phillip,Oldham,Austin,TX,,
44,277963,Donald,Ruthven,Austin,TX,,
45,267114,Jason,Newman,Cedar Park,TX,,
46,247418,Shane,Baldon,Sugar Land,TX,,
47,138636,Oliver,Bond,Austin,TX,,
48,281205,Chris,Langley,Galveston,TX,,
49,203736,Clark,Whitley,Houston,TX,,
50,286355,andy,webb,Hollis,NH,,
51,159240,Steve,Sprinkle,Austin,TX,,
52,201798,Philip,Shama,Houston,TX,,
53,59979,Gary,Obernolte,Wichita,KS,,
54,225431,George,Steeves,Hudson Oaks,TX,,

02/07/2010 crit Men Cat 5
Place,License #,First,Last,City,State,Time,Team
1,291455,Clark,Smithson,Seattle,WA,,
2,291560,Grady,Hodge,Shreveport,LA,,
3,304576,Ryan,Coover,Austin,TX,,
4,307305,Jordan,Patik,Austin,TX,,
5,301073,Tyler,Elings,Beaverton,OR,,
6,282239,Steve,McConathy,Houston,TX,,
7,304325,Thomas,Fad,Austin,TX,,
8,305613,Kyle,Springer,Plano,TX,,
9,306855,Michael,Thornton,Fort Worth,TX,,
10,220829,Rolando,Roman,Ridgeland ,MS,,
11,292128,David,Slocombe,Cedarpark,TX,,
12,115691,Zachariah,Horne,Round Rock,TX,,
13,300219,Alexander,Gibson,Midland,TX,,
14,258845,Paul,Fafard,Austin,TX,,
15,264327,Dennis,McCanless,Fair Oaks Ranch,TX,,
16,306159,John,Landry,Austin,TX,,
17,304040,Panayiotis,Sotiriades,Houston,TX,,
18,300157,Joshua,Webb,Lemoore,CA,,
19,295711,Jonathan,Hughes,Austin,TX,,
20,0,Wayne,Dunlap,,,,
21,163464,Wiley,Mosley,Austin,TX,,
22,304144,Max,Bookman,Austin,TX,,
23,306073,Weston,Giunta,Austin,TX,,
24,292830,Kent,Pendleton,Canyon,TX,,
25,305005,Elisha,Bradley,Wichita Falls,TX,,
26,232047,Robert,Martin,Houston,TX,,
27,306960,Zachary,Istre,Addison,TX,,
28,300768,Andrew,Smerek,Austin,TX,,
29,305187,Cody,Howell,Benbrook,TX,,
30,307490,James,Zapata,Austin,TX,,
31,305876,Dave,Hargis,Austin,TX,,
32,297642,John (Tyler),Cutbirth,Austin,TX,,
33,297328,Zach,Barnes,Temple,TX,,
34,287337,Geoffrey,Maguire,Austin,TX,,
35,306961,David,Dukes,Universalcity,TX,,
36,274963,Louie,Riesch,Austin,TX,,
37,296767,Anthony,McFarlane,Copperas Cove,TX,,
38,0,Brian,Beadle,,,,
39,305551,austin,walker,Austin,TX,,
40,296521,James,McHugh,Houston,TX,,
41,303735,Jeffrey,Christiansen,Sioux Falls,SD,,
42,256739,Thomas Kevin,Golden,Bellaire,TX,,

02/07/2010 crit Men Cat 4
Place,License #,First,Last,City,State,Time,Team
1,296681,Wes,Jerman,Austin,TX,,
2,256266,Addison,McAuley,San Antonio,TX,,
3,153370,Adam,Biechlin,Austin,TX,,
4,290327,Eric,Woodcock,The Woodlands,TX,,
5,287312,Christopher,Stanton,Austin,TX,,
6,293369,Adrian "Phoenix",Flores,Austin,TX,,
7,280049,Brandon,Smith,Austin,TX,,
8,266799,Jason,Codianne,Missouri City,TX,,
9,276837,James,Day,Austin,TX,,
10,275246,Brian,Hoard,Austin,TX,,
11,229748,John,Cascio,Houston,TX,,
12,290034,Glen,Watson,Leaguecity,TX,,
13,285848,John,Turlington,Austin,TX,,
14,275429,Chad,Hardt,Austin,TX,,
15,288382,Chad,Springer,Austin,TX,,
16,103849,Larry,Blanchard,Monroe,LA,,
17,16993,Charles,Huckabee,Kingwood,TX,,
18,286355,andy,webb,Hollis,NH,,
19,270016,Kevin,Herring,Missouri City,TX,,
20,197553,William,Huie,Austin,TX,,
21,286614,Charles,Bippert,Roundrock,TX,,
22,274895,Tyruss,Cramer,Austin,TX,,
23,209098,Roman,Lobkovsky,Austin,TX,,
24,297951,Robert,Larkin,Austin,TX,,
25,278430,Daniel,Sato,Austin,TX,,
26,244253,Jeremy,Hill,San Antonio,TX,,
27,295713,Michael,Klein,Austin,TX,,
28,293689,Nick,Baird,Philadelphia,PA,,
29,273762,Michael,Moist,Kingwood,TX,,
30,267114,Jason,Newman,Cedar Park,TX,,
31,264242,Greg,Binion,Houston,TX,,
32,283811,Ken,Greene,Austin,TX,,
33,223524,Adam,Rodriguez,Austin,TX,,
34,241046,Michael,Harris,Cedar Park,TX,,
35,215738,Phillip,Oldham,Austin,TX,,
36,282092,Brian,Wolfe,Mc Kinney,TX,,
37,203736,Clark,Whitley,Houston,TX,,
38,269137,Rick,Beckman,Copperas Cove,TX,,
39,236148,Tracy,McGrath,Dallas,TX,,
40,173520,Michael,Nadason,Granbury,TX,,
41,297384,Jesse,Edwards,Austin,TX,,
42,59979,Gary,Obernolte,Wichita,KS,,
43,239805,Kyle,Davenport,Missouri City,TX,,
44,281205,Chris,Langley,Galveston,TX,,
45,260066,Marcus,Arredondo,Friendswood,TX,,
46,297902,Ben,Davis,Spring,TX,,
47,247418,Shane,Baldon,Sugar Land,TX,,
48,159240,Steve,Sprinkle,Austin,TX,,
49,251856,Chris,Davis,Houston,TX,,
50,280773,Matthew,Mahon,Austin,TX,,
51,232684,Trent,Boyd,Cypress,TX,,

02/07/2010 crit Men Cat 3
Place,License #,First,Last,City,State,Time,Team
1,291724,Nicholas,Boulle,Dallas,TX,,
2,249581,Christopher,Haga,Mckinney,TX,,
3,272210,Jordan,Nguyen,Austin,TX,,
4,287621,Shawn,Daurelio,Laguna Beach,CA,,
5,260451,Mark,Saucedo,Pflugerville,TX,,
6,196720,Michael,Morgovnik,Austin,TX,,
7,201905,William,Rader,Dallas,TX,,
8,252728,Patrick,Newell,Portland,OR,,
9,24157,Russell,Metoyer,Austin,TX,,
10,243668,Glen,Love,Allen,TX,,
11,256471,Blake,Voges,Santa Claus,IN,,
12,252726,Brian,McGrath,Austin,TX,,
13,220074,Euan,Mackay,Katy,TX,,
14,284976,Joel,Hawks,Plano,TX,,
15,92827,Tim,Caglarcan,Bastrop,TX,,
16,216724,Andy,Andreasen,Houston,TX,,
17,274863,Imari,Miller,Fort Worth,TX,,
18,203134,Bert,Cross,Humble,TX,,
19,113482,Stefan,Hardie,Austin,TX,,
20,249328,Tron,Witt,New York,NY,,
21,235059,Steven,Guzman,Austin,TX,,
22,103971,Todd,Farrell,Keller,TX,,
23,48194,Gregory,Hall,Austin,TX,,
24,177873,Jeff,Turner,Richardson,TX,,
25,243733,Kyle,Sigl,Fort Worth,TX,,
26,262278,Jesse,Slate,Austin,TX,,
27,196749,Mark,Moeller,Bee Cave,TX,,
28,260481,Michael,Wilder,Albuquerque,NM,,
29,129022,Marc,Mayo,Boulder,CO,,
30,287417,Jonathan,Perry,Austin,TX,,
31,56687,David,Ryther,Austin,TX,,
32,281231,Ethan,Moorhead,Austin,TX,,
33,4551,Michael,Braden,Richardson,TX,,
34,280880,Nathan,Penland,San Antonio,TX,,
35,225020,Aaron,Nelson,San Antonio,TX,,
