Tour de Grove in St Louis MO Results

06/13/2010 Criterium Men Pro/Cat 1
Place,License #,First,Last,City,State,Time,Team
1,131248,Scott,Zwizanski,West Chester,PA,02:14:06.00,Kelly Benefit Strategies
2,0,David,VEILLEUX,,,02:14:06.00,Kelly Benefit Strategies
3,232977,Mike,Sherer,Boulder,CO,02:14:26.00,Verizon U23 p/b ABD
4,135475,Michael,Friedman,Golden,CO,02:14:26.00,JELLY BELLYP/B KENDA
5,83014,Alexander,Candelario,Kamuela,HI,02:14:26.00,Kelly Benefit Strategies
6,279249,Ryan,Freund,Lake In The Hills,IL,02:14:27.00,Verizon U23 p/b ABD
7,0,Mike,NORTHEY,,,02:14:27.00,Rubicon-ORBEA;Benefiting LIVES
8,35753,Brian,Toone,Birmingham,AL,02:14:27.00,Tria Market p/b DonohooAuto.co
9,66615,Jeffrey,Schroetlin,Argenta,IL,02:14:27.00,Texas Roadhouse P/B Motorex
10,195267,Nicholas,Coil,Prairie Village,KS,02:14:28.00,TradeWind Energy / Trek Stores
11,161263,Ryan,Knapp,Bloomington,IN,02:14:28.00,Panther/ Competitive Cyclist
12,258778,William,Nowak,Wallingford,CT,02:14:28.00,Verizon U23 p/b ABD
13,149353,Daniel,Bowman,Durango,CO,02:14:28.00,Kelly Benefit Strategies
14,25407,Jonathan,Mumford,Baltimore,MD,02:14:28.00,Kelly Benefit Strategies
15,0,Zach,BELL,,,02:14:30.00,Kelly Benefit Strategies
16,40956,Andrew,Bajadali,Boulder,CO,02:14:31.00,Kelly Benefit Strategies
17,196405,Sean,Mazich,Yuma,AZ,02:15:33.00,JELLY BELLYP/B KENDA
18,197714,Joseph,Schmalz,Lawrence,KS,02:15:47.00,Mercy Elite Cycling
19,132539,Charles ,Huff,Springfield,MO,02:15:47.00,JELLY BELLYP/B KENDA
20,238111,Erik,Hamilton,Boulder,CO,02:15:47.00,Nuvo/Cultural Trail
21,174108,Guy,East,Chula Vista,CA,02:15:47.00,Kelly Benefit Strategies
22,198216,Kiel,Reijnen,Bainbridge Island,WA,02:15:47.00,JELLY BELLYP/B KENDA
23,54434,Aaron,Hubbell,Durham,NH,02:15:47.00,NUVO Cultural Trail
24,70612,Andrew,Crater,Greenville ,SC,02:15:47.00,Aero Cat Cycling Team
25,54845,David,Henderson,Columbia,MO,02:15:48.00,CBC
26,226733,Jonathan,Jacob,Indianapolis,IN,02:15:48.00,NUVO / Cultural Trail
27,138402,Shadd,Smith,Overland Park,KS,02:15:48.00,Mercy Elite Cycling
28,0,Ben,CHADDOCK,,,02:15:48.00,Rubicon-ORBEA; Benefiting LIVE
29,189613,Anthony,Dust,Edwardsville,IL,02:15:48.00,Dogfish Racing Team
30,0,Roman,VANUDEN,,,02:15:48.00,Rubicon-ORBEA; Benefiting LIVE
31,179788,Tim,Hall,Beech Mountain,NC,02:15:48.00,NashvilleCyclist.com
32,206320,Brad,Schaeffer,Indianapolis,IN,02:15:48.00,NUVO / Cultural Trail
33,102467,Adam,Mills,San Diego,CA,02:15:48.00,Mercy Elite Cycling
34,75343,Joshua,Johnson,Columbia,MO,02:15:49.00,Michelob Ultra - Big Shark Rac
35,126190,Brian,Dziewa,Saint Louis,MO,02:15:49.00,Verizon U23 p/b ABD
DNF,117328,Jeremy,Powers,Southampton,MA,,JELLY BELLYP/B KENDA
DNF,0,Will,DICKESON,,,,JELLY BELLYP/B KENDA
DNF,29688,Nathan,Rice,Durham,NC,,Michelob Ultra-Big Shark
DNF,78680,Andrew,Chocha,Kansas  City ,MO,,US Military Cycling Team
DNF,159712,Johnny,Merli,Kirkwood,MO,,
DNF,199884,Justin,Maciekowicz,Saint Louis,MO,,Dogfish Racing Team
DNF,29400,Zach,Reed,Edwardsville,IL,,Dogfish Racing Team
DNF,34328,Karl,Stover,St. Louis,MO,,Green Street Cycling Team
DNF,0,Taylor,GUNMAN,,,,Rubicon-ORBEA; Benefiting LIVE

06/13/2010 Criterium Men Cat 4/5
Place,License #,First,Last,City,State,Time,Team
1,306850,Brett,Bohanan,Washington,IL,13:44:00.00,Proctor Cycling Team
2,276999,Nick,Milla,Oklahoma City,OK,13:44:00.00,Momentum
3,232037,Michael,Christian,University City,MO,13:44:00.00,Unattached
4,299934,Matthew,Mahaffey,Webster Groves,MO,13:56:00.00,Big Shark
5,280844,Luke,Bligh,Saint Louis,MO,14:03:00.00,Dogfish Racing Team
6,271607,B.J.,Keane,Defiance,MO,14:04:00.00,Momentum Racing
7,306769,Timothy,Chumley,Saint Louis,MO,14:04:00.00,Dogfish
8,275501,Robert,Mayfield,Saint Louis,MO,14:04:00.00,Unattached
9,290490,Jason,Murphy,Saint Peters,MO,14:05:00.00,Momentum Racing
10,291668,Roy,Doskal,Stpeters,MO,14:05:00.00,Momentum Racing
11,29802,Mike,Rickey,Columbia,IL,14:05:00.00,Wild Card Cycling St. Louis
12,292273,Jeffrey,Langford,Columbia,MO,14:05:00.00,Dogfish Racing Team
13,183765,Theodore,Araneta,Kirkwood,MO,14:05:00.00,Michelob Ultra - Big Shark Rac
14,268844,Lee,Van Norman,Ballwin,MO,14:05:00.00,Unattached
15,299599,chris,egan,Edwardsville,IL,14:05:00.00,metro-east cycling
16,268887,Louis,Naes IV,Saint Louis,MO,14:05:00.00,Big Shark Bicycle Company
17,277071,Brian,Smith,Ofallon,MO,14:05:00.00,Momentum Racing
18,6954,Marc,Ciufolo,St. Louis,MO,14:05:00.00,Big Shark Bicycle Company
19,264089,Bryan,Sauter,High Ridge,MO,14:05:00.00,The Hub Cycling Team
20,295145,Pierre,Dimaggio,Carmi,IL,14:05:00.00,Carmi Cycling Club
21,306822,Matthew,Hynes,Saintlouis,MO,14:06:00.00,Michelob Ultra - Big Shark Rac
22,4030,Michael,Bobelak,Ballwin,MO,14:06:00.00,
23,309536,chuck,barwick,Cape Girardeau,MO,14:06:00.00,
