Merco Team Time Trial in Merced CA Results

03/05/2010 Individual Time Trial Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,0,Jeremy,VENNELL,,,00:38:37.00,BISSELL Pro Cycling
1,305668,Robert,Britton,Santa Rosa,CA,00:38:37.00,BISSELL Pro Cycling
1,23057,Benjamin,Jacques-Maynes,Corralitos,CA,00:38:37.00,BISSELL Pro Cycling
1,17590,Andy,Jacques-Maynes,Watsonville,CA,00:38:37.00,BISSELL Pro Cycling
2,242630,Andrew,Talansky,Napa,CA,00:39:42.00,California Giant Berry Farms/S
2,248033,Jared,Barrilleaux,Petaluma,CA,00:39:42.00,California Giant Berry Farms/S
2,133288,Steve,Reaney,Santa Cruz,CA,00:39:42.00,California Giant Berry Farms/S
2,204739,Jesse,Moore,Sacramento,CA,00:39:42.00,California Giant Berry Farms/S
3,127093,Adam,Switters,Citrus Heights,CA,00:39:49.00,Yahoo Cycling Team
3,220414,Ryan,Parnes,Stockton,CA,00:39:49.00,Yahoo! Cycling Team
3,206962,Philip,Mooney,San Rafael ,CA,00:39:49.00,Yahoo! Cycling Team
3,205861,Tyler,Dibble,Oakland,CA,00:39:49.00,Yahoo! Cycling Team
4,206466,Charles,Alexander,Sacramento,CA,00:42:02.00,Davis Bike Club
4,272691,Frank,Marrs,Fort Collins,CO,00:42:02.00,Davis Bike Club
4,236024,Russell,White,Lafayette,CA,00:42:02.00,Davis Bike Club
4,246669,Gregory,White,Lafayette,CA,00:42:02.00,Davis Bike Club
5,32481,Mark,Shimahara,Portland,OR,00:43:24.00,TEAM CLIF BAR Cycling
5,251736,Josh,Rennie,Reno,NV,00:43:24.00,TEAM CLIF BAR Cycling
5,86484,Nathan,Freed,Carlsbad,CA,00:43:24.00,TEAM CLIF BAR Cycling
DNS,238694,Paul,Mach,Oakland,CA,00:00:00.00,BISSELL Pro Cycling
DNS,181725,Daniel,Holloway,Boulder,CO,00:00:00.00,BISSELL Pro Cycling
DNS,216155,Ian,Boswell,Bend,OR,00:00:00.00,BISSELL Pro Cycling
DNS,246309,Eric,Fischer,Berkeley,CA,00:00:00.00,TEAM CLIF BAR Cycling

03/05/2010 Individual Time Trial Women Cat 1/2/3
Place,License #,First,Last,City,State,Time,Team
1,0,Chole,HOSKING,,,000:43:53.0,HTC Columbia
1,0,Ina,TEUTENBERG,,,000:43:53.0,HTC Columbia
1,0,Evelyn,STEVENS,,,000:43:53.0,HTC Columbia
1,0,Kim,ANDERSON,,,000:43:53.0,HTC Columbia
2,0,Katheryn,MATTIS,,,00:44:48.00,Other Team
2,225855,Cara,Gillis,Los Angeles,CA,00:44:48.00,Other Team
2,105201,Jane,Despas,Menlo Park,CA,00:44:48.00,Other Team
2,0,Molly,VANHOUWELING,,,00:44:48.00,Other Team
