Bicycles Plus Spring Criterium in Denton TX Results

03/07/2010 crit Men Pro/Cat 1/2/3/4/5
Place,License #,First,Last,City,State,Time,Team
1,291724,Nicholas,Boulle,Dallas,TX,,
2,69378,Warney,Crosby,Dallas,TX,,
3,237869,Daniel,Parks,Dallas,TX,,
4,276550,Elkin,Arteaga,Anchorage,AK,,
5,263901,Greg,Andersen,Chesterfield,MO,,
6,224500,Mario,Arroyave,Waxahachie,TX,,
7,89918,Gerardo,Chaparro,Allen,TX,,
8,111657,Walter,Megura,Plano,TX,,

03/07/2010 crit Men Pro/Cat 1/2/3
Place,License #,First,Last,City,State,Time,Team
1,69378,Warney,Crosby,Dallas,TX,,
2,291724,Nicholas,Boulle,Dallas,TX,,
3,6135,Chris,Carlson,Plano,TX,,
4,193295,Austin,Stewart,Dallas,TX,,
5,201905,William,Rader,Dallas,TX,,
6,178970,Mat,Stephens,Dallas,TX,,
7,0,Jonathan,Sundt,,,,
8,95282,Nicklaus,Kiernan,Euless,TX,,
9,50855,Stephen,Weber,Mckinney,TX,,
10,245682,Robb,Bush,Austin,TX,,
11,59059,Joshua,Barton,Eagle,ID,,
12,5255,Lucas,Brusseau,Denton,TX,,
13,189253,Christopher,Hamilton,Dallas,TX,,
14,24084,Jorge,Merle,Garland,TX,,
15,178625,Brad,Price,Mc Kinney,TX,,
16,49022,Jimmy,Olsen,Dallas,TX,,
17,19138,Michael,Kincaid,Dallas,TX,,
18,188971,Rick,Wetherald,Wyandotte,MI,,
19,199977,Clay,Hobson,Richardson,TX,,
20,213665,Russell,Wiseman,Fishers,IN,,

03/07/2010 crit Men Junior 10-18
Place,License #,First,Last,City,State,Time,Team
1,306764,Kyle,Parrott,Plano,TX,,
2,261561,Nicholas,Cash,Frisco,TX,,
3,308095,Brett,Fene,Mckinney,TX,,
4,293509,Connor,Herrington,Dallas,TX,,
5,269515,Zachary,Koeppe,Mc Kinney,TX,,

03/07/2010 crit Men Cat4/5
Place,License #,First,Last,City,State,Time,Team
