2011 Kissena Velodrome Opening Weekend in Flushing NY Results

05/07/2011 Track Men Cat 1/2/3/4/5 Junior 10-18
Place,License #,First,Last,City,State,Time,Team
1,236412,Joseph,Toth,Stephentown,NY,24,Capital Bicycle Racing Club
2,0,Kwesi,Daniel,,,19,StarTrak
3,351208,Andy,Chui,Jamaica,NY,8,StarTrak
4,325504,Peye,Wong,Flushing,NY,5,StarTrak
5,322504,Bobbi,Cordero,Bronx,NY,5,StarTrak
6,0,Benjamin,Kasavan,,,5,StarTrak
7,351204,Matthew,Harrison,Freeport,NY,3,StarTrak

05/07/2011 Track Men Master Master
Place,License #,First,Last,City,State,Time,Team
4,70439,Robert,Black,York,SC,12,Saroff Racing Team
7,70112,Andrew,Brennan,Manasquan,NJ,9,Team EPS/CSS p/b Shebell & Shebell
8,167365,Alan,Buday,Manorville,NY,7,CRCA / L-Raphael.com - Leopard Cycles.com
17,342640,Sebastian,White,New York,NY,0,

05/07/2011 Track Men Master Master 40-99
Place,License #,First,Last,City,State,Time,Team
1,57655,Michael,Wilpizeski,Forest Hills,NY,25,Affinity
2,52410,Derrick,Davis,Brooklyn,NY,18,Squiggle
3,45118,Joseph,Brennan,Warren,NJ,12,Century Road Club of America
5,150400,Todd,Stodolski,Brooklyn,NY,11,Undici/Guardian Coaching
6,322452,Gabriel,Thomas,Fair Lawn,NJ,9,Team Affinity
9,186387,Thomas,Worster,Boston,MA,5,545 Velo
10,98311,Kent,Sante,Queensbury,NY,3,
11,248003,Michael,Mahesh,Richmond Hill,NY,2,Visit Guyana
11,195529,Scott,Demel,Brooklyn,NY,2,Brooklyn Velo Force / Gorilla Coffee
11,105923,Raymond,Tirado,Brooklyn,NY,2,Brooklyn Velo Force/G
11,162097,michael,howard,Brooklyn,NY,2,Brooklyn Velo Force
15,300138,Stephen,Pelletier,Amesbury,MA,1,Comprehensive Racing/Salem Cycle
16,18269,Dave,Jordan,New York,NY,1,CRCA / L-Raphael.com - Leopard Cycles.com
17,172960,Peter,Rizzo,Martinsville,NJ,0,Watchung Wheelmen - High Gear
17,45790,Christopher,Peterson,West Orange,NJ,0,CRCA/Houlihan-Lokey Sanchez
17,312798,Joey,Armetta,West Islip,NY,0,Kissena Cycling
17,41711,Laura,Summers,Southington,CT,0,Central Wheel/GHCC

05/07/2011 Track Men Cat 5
Place,License #,First,Last,City,State,Time,Team
1,0,Sugai,Jun,,,35,Chari & Co.
2,277156,John,Sanderson,New York,NY,23,Kissena Cycling Club
3,321622,Takahiro,Kudo,Brooklyn,NY,14,Chari & Co.
4,351166,Daniel,Monge,Queens,NY,13,StarTrak
5,269625,Corey,Williams,New York,NY,12,Columbia University
6,314038,Keith,Garrison,Brooklyn,NY,11,Affinity Cycles
7,341076,Joshua,Thiel,Brooklyn,NY,8,Affinity Cycles
8,345838,Troy,Miles,Gardena,CA,3,Kissena
9,293601,Andreas,Katehis,Franklin Square,NY,1,
10,236412,Joseph,Toth,Stephentown,NY,0,Capital Bicycle Racing Club
10,295323,Cardain,Williams,Brooklyn,NY,0,
10,288655,Tomas,Gonzalez,Brooklyn,NY,0,StarTrak/Kissena

05/07/2011 Track Men Cat 5 Master 35-99
Place,License #,First,Last,City,State,Time,Team
1,304788,javier,mereles,Montclair,NJ,42,Cycle Craft Racing
2,98311,Kent,Sante,Queensbury,NY,19,
3,310861,gilbert,marrero,Surprise ,AZ,18,
4,318126,Avelino,Pereira,Rego Park,NY,14,unattached
5,342640,Sebastian,White,New York,NY,9,
6,120427,Michael,Robinson,Brooklyn,NY,6,Kissena Cycling Club
7,279704,Lance,Sniadowski,Staten Island,NY,5,CRCA/Organic Athlete

05/07/2011 Track Men Cat 4
Place,License #,First,Last,City,State,Time,Team
1,253551,Mark,Wagner,Brooklyn,NY,35,East End/Kreb Cycle
2,261749,Brean,Shea,New York,NY,23,Chicago Cuttin Crew
3,126675,Stephen,Frattini,Wingdale,NY,18,Cornell Cycling
4,291351,Siraaj,Khandkar,Brooklyn,NY,15,Affinity Cycles
5,308579,Andrew,Da Silva,Highland Mills,NY,11,Kissena Cycling Club
6,186387,Thomas,Worster,Boston,MA,9,545 Velo
7,299800,Aaron,Hauck,Ridgewood,NY,6,
8,311892,Lance,Gordon,Brooklyn,NY,3,CRCA
9,105923,Raymond,Tirado,Brooklyn,NY,2,Brooklyn Velo Force/G
9,148420,Joseph,Pedata,New York,NY,2,L.Raphael-Leopard Cycles p/b Dave Jordan
11,300055,Christopher,Ell,Brooklyn,NY,0,
11,172960,Peter,Rizzo,Martinsville,NJ,0,Watchung Wheelmen - High Gear

05/07/2011 Track Men Cat 1/2/3
Place,License #,First,Last,City,State,Time,Team
1,274257,Colin,Prensky,New York,NY,37,CRCA/L.Raphael-Leopard Cycles
2,286939,Alexander,Barouh,Brooklyn,NY,33,CRCA/BH Garneau
3,289044,Jody,Pogue,Brooklyn,NY,16,Affinity
4,167365,Alan,Buday,Manorville,NY,14,CRCA / L-Raphael.com - Leopard Cycles.com
5,280462,Lucca,Zeray,Brooklyn,NY,10,CRCA Junior Development
6,70439,Robert,Black,York,SC,5,Saroff Racing Team
7,18269,Dave,Jordan,New York,NY,4,CRCA / L-Raphael.com - Leopard Cycles.com
8,300138,Stephen,Pelletier,Amesbury,MA,2,Comprehensive Racing/Salem Cycle
8,70112,Andrew,Brennan,Manasquan,NJ,2,Team EPS/CSS p/b Shebell &Shebell
10,45118,Joseph,Brennan,Warren,NJ,1,Century Road Club of America
11,185511,David,Correia,Maspeth,NY,0,W.S. United

05/07/2011 Track Women Cat 4
Place,License #,First,Last,City,State,Time,Team
1,284417,Julia,Sante,Queensbury,NY,40,Farm Team Cycling
2,285253,Lily,Richeson,Somerville,MA,28,Cambridge Bicycle
3,210046,Teresa,DiSessa,Jackson,NJ,12,Team EPS/CSS p/b Shebell & Shebell
4,289568,Elizabeth,Marcello,Newyork,NY,10,CRCA:L.Raphael-Leopard Cycles p/b Dave Jordan Coaching
5,195494,Donna,Davis,Windsor,CT,8,Cycling Concepts Racing Team
6,295371,Anisa,Khandkar,Brooklyn,NY,4,
7,322504,Bobbi,Cordero,Bronx,NY,3,StarTrak
8,325504,Peye,Wong,Flushing,NY,2,StarTrak

05/07/2011 Track Women Cat 1/2/3
Place,License #,First,Last,City,State,Time,Team
1,269772,Stephanie,Torres,East Elmhurst,NY,33,Affinity Cycles
2,263393,Kimberly,Edwards,Clinton,CT,32,CVC/Subaru of New England
3,41711,Laura,Summers,Southington,CT,20,Central Wheel/GHCC
4,280476,BrittLee,Bowman,New York,NY,18,CRCA/NYVelocity Women's Racing Team
5,178877,Nanci,Modica,New York,NY,4,Radical Media
6,203648,Kristy,Swope,Bethlehem,PA,0,Team EPS/CSS p/b Shebell & Shebell
7,283960,Claudia,Penaloza,York,SC,0,EPS/CSS/ Riptide Cycling
