SRAM Tour of the  Gila in Silver City NM Results

05/01/2011 Road Race Men Pro/Cat 1
Place,License #,First,Last,City,State,Time,Team
1,334418,Francisco,Mancebo,Dahlonega,GA,4:23:24,Realcyclist.com Cycling Team
2,0,Lachlan,MORTON,,,4:24:36,Chipotle Development Team
3,259375,Joseph,Dombrowski,Marshall,VA,4:24:38,Trek-LIVESTRONG
4,334896,Dale,Parker,Boulder,CO,4:24:38,Trek-LIVESTRONG
5,138150,Alex,Howes,Boulder,CO,4:24:38,Chipotle Development Team
6,190900,Matthew,Cooke,Boulder,CO,4:24:38,Team Exergy
7,334670,Andres,Diaz Corrales,Boise,ID,4:24:45,Team Exergy
8,0,Glen,CHADWICK,,,4:24:48,Pure Black Racing
9,0,Chris,BALDWIN,,,4:24:55,BISSELL Pro Cycling
10,305668,Robert,Britton,Santa Rosa,CA,4:25:59,BISSELL Pro Cycling
11,334898,George,Bennett,Boulder,CO,4:27:03,Trek-LIVESTRONG
12,167682,Alfredo,Cruz,San Ysidro,CA,4:27:26,Chipotle Development Team
13,270977,Benjamin,Day,Boulder,CO,4:27:26,Kenda/5-Hour Energy Pro Cycling p/b Geargrinder
14,258309,Nathaniel,English,Berkeley,CA,4:27:32,Yahoo! Cycling Team
15,133375,Michael,Olheiser,Huntsville,AL,4:27:34,Team juwi solar/First Solar
16,121621,Tyler,Wren,Burlington,VT,4:27:34,Jamis Sutter Home p/b Colavita
17,220473,Christopher,Parrish,Bend,OR,4:27:34,Hagens Berman LLP
18,23057,Benjamin,Jacques-Maynes,Corralitos,CA,4:27:40,BISSELL Pro Cycling
19,248479,Chad,Haga,Fort Collins,CO,4:27:40,Team Rio Grande
20,256955,Evan,Huffman,El Dorado Hills,CA,4:27:42,California Giant/Specialized
21,0,Luis,AMARAN,,,4:28:12,Jamis Sutter Home p/b Colavita
22,401944,Cesar,Grajales,Longmont,CO,4:33:25,Realcyclist.com Cycling Team
23,209308,Tom,Zirbel,Boulder,CO,4:33:41,Hotel San Jose/ACME
24,0,Michael,FREIBERG,,,4:37:38,V australia Pro Cycling
25,238694,Paul,Mach,Oakland,CA,4:37:38,BISSELL Pro Cycling
26,133501,Jacob,Rytlewski,Avon,IN,4:37:38,Kenda/5-Hour Energy Pro Cycling p/b Geargrinder
27,0,Hayden,BROOKS,,,4:37:38,V australia Pro Cycling
28,200350,Jason,Donald,Bozeman,MT,4:37:38,KBS-OptumHealth
29,25407,Jonathan,Mumford,Baltimore,MD,4:37:38,KBS-OptumHealth
30,0,Michael,NORTHEY,,,4:37:38,Pure Black Racing
31,0,Andrei,KRASILNIKAU,,,4:37:38,Chipotle Development Team
32,164362,K Frank,Pipp,Longmont,CO,4:37:38,BISSELL Pro Cycling
33,160019,Trevor,Connor,Boulder,CO,4:37:38,Team Rio Grande
34,228474,Joshua,Berry,Ketchum,ID,4:37:38,Realcyclist.com Cycling Team
35,230799,James,Stemper,Boulder,CO,4:37:38,Kenda/5-Hour Energy Pro Cycling p/b Geargrinder
36,0,Jeremy,VENNELL,,,4:37:38,BISSELL Pro Cycling
37,282569,Stephen,Leece,Goleta,CA,4:37:38,NOW MS-Society
38,237917,John,Bennett,El Cerrito,CA,4:37:38,California Giant/Specialized
39,208321,Sam,Johnson,Boise,ID,4:37:38,Team Exergy
40,211475,Phillip,Gaimon,North Hollywood,CA,4:37:38,Kenda/5-Hour Energy Pro Cycling p/b Geargrinder
41,255940,Greg,Krause,Littleton,CO,4:37:38,Team juwi solar/First Solar
42,0,Darren,ROLFE,,,4:37:38,V australia Pro Cycling
43,178103,Ian,Holt,Arroyo Grande,CA,4:39:00,Team Rio Grande
