CAMBr Palos Meltdown in Willow Springs IL Results

08/14/2011  Men Cat 3 15-99
Place,License #,First,Last,City,State,Time,Team
1,326892,John,Neal,Chicago,IL,42:57.3,
2,365676,jacob,heldt,Madison,WI,43:56.9,
3,348532,Jake,Ralfs,Davenport,IA,44:16.4,
4,0,Jan,Krupa,,,44:30.4,
5,379545,Ian,Ziarko,Mokena,IL,44:33.4,
6,0,Benjamin,Reynolds,,,44:52.2,
7,0,Jan,Zielinski,,,44:58.9,
8,0,jeff,fager,,,45:03.2,
9,0,Tomasz,Kapusciak,,,45:06.4,
10,279458,aaron,mielke,Davenport,IA,45:18.4,
11,331596,mark,baranowski,Cary,IL,45:22.6,xXx Racing
12,0,Kevin,Wolfberg,,,46:03.1,
13,0,Julius,Buhawe,,,46:13.4,
14,0,Dan,Ziegler,,,46:21.8,
15,0,Joseph,Dizenzo,,,46:36.3,
16,0,Peter,Nosal,,,46:46.4,
17,0,Sean,Elder,,,47:17.4,
18,83429,stephen,bremer,Hickory Hills,IL,47:32.2,
19,173425,Roberto,Ramirez,Palos Verdes,CA,47:49.6,
20,0,Eric,Alexander,,,48:01.6,
21,0,Petr,Zidek,,,48:08.3,
22,0,daniel,prokop,,,48:08.5,
23,350486,joe,szymanski,Lockport,IL,48:10.3,
24,0,Michael,Kinney,,,48:26.6,
25,0,martin,machala,,,48:26.9,
26,0,Tomasz,Mariak,,,48:49.9,
27,0,Steve,Amann,,,49:31.9,
28,376352,John,Peronto,Chicago,IL,49:39.2,
29,0,Marcin,Hawryla,,,49:49.9,
30,0,Brian,Hauk,,,50:12.9,
31,0,Bronek,Tylka,,,50:26.9,
32,0,Rob,Brown,,,50:37.8,
33,402612,Rick,Mahr,South Wilmington,IL,50:54.4,
34,0,Joe,Videtti,,,50:57.5,
35,0,francis,tam,,,51:23.8,
36,0,Scott,Wainwright,,,51:26.4,
37,0,Matthew,Zielinski,,,51:32.3,
38,0,Adam,Mildfelt,,,51:33.2,
39,0,Ricardo,Eugenio,,,51:57.1,
40,0,David,Kavalauskas,,,52:11.3,
41,0,Edgardo,Cruz,,,52:32.3,
42,0,David,Olson,,,52:33.9,
43,0,Kevin,Adams,,,52:38.6,
44,0,Herb,Klingelschmitt,,,52:44.3,
45,0,Marcin,Zientarski,,,52:48.4,
46,0,Mark,Duque,,,52:52.8,
47,0,sherwin,jaculbe,,,52:55.1,
48,372850,greg,witek,Schererville,IN,53:02.1,
49,52308,Mark,Herman,Warsaw,NY,53:04.1,
50,0,Nolan,Kraft,,,53:13.5,
51,0,Regie,Aurelio,,,53:14.9,
52,0,Brad,Dorick,,,53:23.5,
53,0,Francis,Galang,,,53:27.9,
54,0,john,mdowell,,,53:30.6,
55,0,Dean,Abate,,,53:40.8,
56,0,Kevin,Debelak,,,53:42.1,
57,0,Michael,Paul,,,53:51.7,
58,307070,john,felke,Elmwood Park,IL,53:58.4,Kinky Llama Racing
59,0,Ed,Lockwood,,,54:27.2,
60,0,Mario,Barrios,,,54:37.4,
61,160150,MARK,BAUTISTA,Chicago,IL,54:42.6,
62,0,Brian,Zapchenk,,,54:51.6,
63,0,Joe,LoPresti,,,54:51.9,
64,0,brett,baldasari,,,54:56.6,
65,0,james,griff,,,55:05.8,
66,373945,Ruperto,Caminar,Bolingbrook,IL,55:11.9,
67,0,Frank,Deloncker,,,55:19.4,
68,0,Roger,Schlogel,,,55:29.1,
69,0,Francis,De Asis,,,55:35.6,
70,367220,Jim,Drummond,Highland Park,IL,55:35.8,Activator Cycle Club
71,0,Mike,O'Rourke,,,55:38.1,
72,0,Garett,Presson,,,55:38.5,
73,0,Jason,Kummelehne,,,55:45.4,
74,0,sergio,guerra,,,56:04.5,
75,0,Vic,Juskus,,,56:21.1,
76,0,Stephen,Murphy,,,56:34.2,
77,0,David,Watt,,,56:37.1,
78,0,Mark Anthony,Go,,,57:00.6,
79,0,Dan,Pulvermacher,,,57:04.1,
80,0,Tim,Marando,,,57:10.4,
81,0,Erwin,Ricohermoso,,,57:57.9,
82,0,Michael,Smith,,,58:07.5,
83,0,David,Jakobik,,,58:07.9,
84,0,David,Hensler,,,58:08.6,
85,221948,michael,urias,Homewood,IL,58:09.3,
86,0,Drazen,Revelo,,,58:10.3,
87,345848,Stewart,Seaholm,Elk Grove Village,IL,58:17.1,Cyclocrossracing.com
88,0,Jacob,Ciesielski,,,58:19.5,
89,0,john,servies,,,58:23.8,
90,396670,Patrick,OBoyle,Shorewood,IL,58:25.6,
91,0,Nikolai,Nadela,,,58:29.9,
92,342908,Dan,Joy,Broken Arrow,OK,58:32.2,
93,391432,Ryley,Zeller,Wheaton,IL,58:38.3,
94,0,john,szymanski,,,58:46.4,
95,0,Graham,Pommerehn,,,58:46.6,
96,394753,Dushan,Stevich,Chicago,IL,59:40.4,
97,181372,Scott,Douglas,Clovis ,NM,59:41.4,
98,0,Jim,Davis,,,59:56.2,
99,0,Juanito,Blanco,,,59:57.8,
100,345990,Brandon,Rodriguez,Santa Fe ,NM,1:00:01.3,
101,0,Joel,Kruppa,,,1:00:06.6,
102,0,Aaron,Pilcher,,,1:00:32.4,
103,0,Powers,Tom,,,1:00:41.3,
104,0,Mervin,Gacula,,,1:01:13.6,
105,0,joseph  von,laserna,,,1:01:20.3,
106,0,Michael,Fitton,,,1:01:49.4,
107,0,Matthew,Linane,,,1:02:01.5,
108,0,levi,harper,,,1:02:02.4,
109,0,John,Coburn,,,1:02:10.4,
110,0,mike,gleason,,,1:03:59.3,
111,0,Andrew,Hartmann,,,1:04:16.4,
112,0,Carmelo,Caminar,,,1:04:38.6,
113,0,Angelo,Ciolino,,,1:04:53.7,
114,0,Nathan,Remaly,,,1:05:35.2,
115,0,robert,horvath,,,1:06:22.3,
116,0,andrew,marando,,,1:06:24.4,
117,399194,Marvin,Go,Chicago,IL,1:06:27.8,
118,94649,Geoff,Myers,Eureka,CA,1:06:28.3,
119,0,Reynald,Blanco,,,1:06:28.5,
120,0,Blaine,Schneider,,,1:06:58.8,
121,0,Vince,Griff,,,1:06:59.6,
122,0,Geoffrey,Bevington,,,1:07:36.9,
123,0,Jake,Schroeder,,,1:07:54.5,
124,0,Jim,Bachman,,,1:07:57.9,
125,372883,AMADO,CRUZ,Carol Stream,IL,1:08:08.8,
126,369840,Arthur,Kardatzke,Downers Grove,IL,1:08:14.8,
127,0,Joshua,Zilm,,,1:08:31.8,
128,0,John,Valdes,,,1:08:37.4,
129,0,William,Pilcher,,,1:08:49.5,
130,81430,Jason,Stevenson,Baltimore,MD,1:08:49.6,
131,373562,tom,baginskis,Downers Grove,IL,1:10:10.3,
132,0,Tom,Swierczewski,,,1:10:31.5,
133,0,John,Bishop,,,1:10:47.1,
134,360861,Conor,Lamb,Burridge,IL,1:11:02.4,
135,0,chris,menzynski,,,1:11:10.6,
136,0,Michael,Studnicka,,,1:11:14.5,
137,0,Michael,Monroe,,,1:12:09.6,
138,0,vito,lirosi,,,1:12:17.1,
139,0,Rob,Serdar,,,1:12:35.1,
140,0,Norman Max,Pyka,,,1:14:12.5,
141,0,Steve,Blessing,,,1:14:26.1,
142,0,Steve,Herbst,,,1:16:47.4,
143,0,Craig,Bresof,,,1:20:26.5,
144,0,Collin,Marwitz,,,1:23:34.4,
145,0,seth,hurd,,,1:26:52.1,
146,0,Stephen,Taylor,,,1:26:57.1,
147,0,mark,parsons,,,1:33:13.9,
148,0,Patrick,Kennedy,,,1:36:58.9,

08/14/2011  Men Cat 2 15-99
Place,License #,First,Last,City,State,Time,Team
1,0,daniel,szymanski,,,1:36:12.9,
1,0,ladislav,vasak,,,1:10:40.6,
2,328356,Dominic,Bosco,Durango,CO,1:37:34.5,Rbikes.com / FleetTruckParts.com
2,100010,Brian,Knutson,Aurora,IL,1:11:10.4,
3,240028,Kevin,Herman,Schaumburg,IL,1:11:41.3,
3,0,bos,bryan,,,1:37:48.5,
4,0,Michael,Campbell,,,1:11:47.2,
4,309422,Brian,Kulak,Bolingbrook,IL,1:40:40.7,
5,0,EmmanuelJr.,Tinga,,,1:12:26.6,
5,0,mattew,kelley,,,1:41:14.5,
6,159233,Tom,Norvilas,Lagrange Park,IL,1:41:36.1,
6,307557,Shon,Zeller,Wheaton,IL,1:13:40.7,The Bike Shop- IL
7,224090,Bryan,Kennedy,Kankakee,IL,1:13:44.1,
8,300572,Erik,Enyedy,Libertyville,IL,1:42:10.5,Village-Verdigris Cycling Team
8,326150,nathan,schneeberger,Lake In The Hills,IL,1:14:54.9,Johnny Sprockets
9,310413,Dave,Blanke,N. Barrington,IL,1:15:18.6,
9,255556,Joel,Breems,Seattle,WA,1:42:31.2,
10,278155,alex,nemeth,Lockport,IL,1:15:23.8,
10,362142,james,ye,Chicago,IL,1:42:35.3,
11,350356,Michael,Pero,Aurora,IL,1:15:49.5,
11,149853,krystian,pac,Chicago,IL,1:43:00.2,Rbikes.com / FleetTruckParts.com
12,76352,thomas,babinski,Chicago,IL,1:15:50.5,Iron Cycles
12,286106,jerome,jeslis,Palos Heights,IL,1:43:16.2,
13,325322,Timothy,Lim,Chicago,IL,1:15:54.6,Iron Cycles
13,253503,Peter,Chrapkowski,Chicago,IL,1:44:18.3,
14,340438,Rob,Capps,Chicago,IL,1:16:24.6,
14,375452,mike,daish,Chicago,IL,1:44:46.1,
15,356852,Christopher,McArdle,Greendale,WI,1:16:24.6,
15,206188,Liam,Donoghue,Boulder,CO,1:45:22.2,
16,359583,max,tenclay,Homewood,IL,1:16:54.8,
16,286420,Paul-Brian,McInerney,Chicago,IL,1:46:34.7,Half Acre Cycling
17,182670,chris,clausen,St Louis,MO,1:17:13.6,Michelob Ultra - Big Shark Racing
17,342278,marek,kulesza,Phoenix,AZ,1:46:51.3,
18,0,greg,clausen,,,1:17:17.9,
18,245734,eric,pompeo,Naperville,IL,1:46:55.5,The Bike Shop- IL
19,0,curt,villadsen,,,1:17:27.4,
19,0,Brent,Palmer,,,1:47:01.4,
20,0,tony,marcianelli,,,1:17:29.7,
20,211843,cullom,radvillas,Chicago,IL,1:47:02.8,Tuxedo Thunder Cycling
21,191741,Thomas,Kabacinski,Calidonia,IL,1:17:55.9,xXx Racing
21,280253,Brent,Wegscheid,Colorado Springs,CO,1:47:16.6,Johnny Sprockets
22,348798,Cory,Freund,Naperville,IL,1:17:58.1,
22,0,Kurt,Schauwecar,,,1:47:17.6,
23,379577,Chris,finn,Orland Park,IL,1:18:09.5,
23,285481,Bob,Anderson,Raleigh,NC,1:48:14.7,Inland Construction
24,343996,edwin,feliciano,Irvine,CA,1:18:10.3,
24,0,ed,dutczak,,,1:49:05.7,
25,290392,matthew,stevenson,Evergreen Park,IL,1:19:14.1,xXx Racing
25,217121,Lee,Messersmith,Benton,IL,1:49:18.5,Wheel Fast Racing
26,304214,Felbert,Edrada,Plainfield,IL,1:19:18.4,
