Tek Park Circuit Race in Breinigsville PA Results

05/07/2011 Criterium Men Cat 1/2/3/4/5 Junior 10-12
Place,License #,First,Last,City,State,Time,Team
1,299802,Tyler,Mower,Pittsburgh,PA,0:27:09,Pro Bikes
2,313578,Stuart,Witkowski,Elizabethtown,PA,0:27:09,Young Medalists/ Team Rothrock
3,295295,Ian,Baun,Pittsburgh,PA,0:27:09,UPMC/ProBikes
4,300523,Ian,Kleinguenther,Sellersville,PA,0:27:09,vortex cycling club
5,305555,Marcello,Cesario,Downingtown,PA,0:27:09,Young Medalists / Team ROTHROCK
6,310898,Alec,Ratzell,Blandon,PA,0:27:09,Young Medalists / Team Rothrock
7,293372,William,Krempa,Chalfont,PA,0:27:09,Vortex
8,319976,Brandon,Krasley,Emmaus,PA,0:27:09,Young Medalists/Team Rothrock
9,0,Travis,Pozzi,,,0:27:09,Young Medalists
10,312822,Sierra,Watkins,West Chester,PA,0:27:09,Young Medalists
11,346566,Callum,Smith,Sinking Spring,PA,0:27:09,Vortex
12,305636,Jonathan,Krause,Allentown,PA,0:27:09,Young Medalists/Team Rothrock

05/07/2011 Criterium Men Cat 1/2/3/4/5 Junior 10-18
Place,License #,First,Last,City,State,Time,Team
1,230201,Gregory,Ratzell,State College,PA,0:47:53,Young Medalists / Team Rothrock
2,297555,Christopher,Meacham,Mooresville,NC,0:47:53,YOUNG MEDALISTS/TEAM ROTHROCK
3,346432,Erik,Danielewicz,Bensalem,PA,0:47:53,Bike King Racing
4,241677,Teddy,Kozlowski,Bridgewater,NJ,0:47:53,Liberty Cycle
5,344506,Alec,White,Upper Darby,PA,0:47:53,Breakawaybikes.com -IFRACTAL
6,296256,Zachary,Houlik,Breinigsville,PA,0:47:53,Young Medalists/Team Rothrock
7,309604,Sean,Conway,Basking Ridge,NJ,0:47:53,Colavita-Baci U19
8,240336,Nadia,Latzgo,Fogelsville,PA,0:47:53,Young Medalists/Team Rothrock
9,313492,Justin,Thompson,Philadelphia,PA,0:47:53,Breakawaybikes.com-IFRACTAL
10,294929,Joshua,Case,Philadelphia,PA,0:47:53,Breakawaybikes.com-IFRACTAL
11,313494,Festus,Aigbokhai,Philadelphia,PA,0:47:53,Breakawaybikes.com-IFRACTAL
12,257427,Brandon,Niskala,Blakeslee,PA,0:47:53,
