St Mary's Child Center CycloCross in Indianapolis IN Results

09/25/2011 Cyclo-cross Men Junior 10-14
Place,License #,First,Last,City,State,Time,Team
1,324300,Alexander,Christian,Cincinnati,OH,00:22:00,Lionhearts
2,300752,Jack,Hardin,Louisville,KY,00:22:04,Red Zone Cycling
3,327052,Thomas,Francisco,Louisville,KY,00:22:17,Red Zone Juniors Cycling
4,325072,Nicholas,Petrov,Mckinney,TX,00:22:32,QCW Lionhearts
5,329312,Eli,Woodard,New Hill,NC,00:22:40,Lionhearts
6,301226,Nathan,Ross,Cincinnati,OH,00:22:56,QCW Lionhearts
7,324656,Gabriel,Dobrozsi,Loveland,OH,00:25:11,Queen City Wheels
8,359561,Lucas,Stierwalt,Maineville,OH,00:25:42,Lion Hearts - QCW
9,302078,Cameron,Fisk,Louisville,KY,00:25:45,RedZone
10,285651,Kate,Dietrich,Prospect,KY,00:25:52,Red Zone Cycling
11,341996,Will,Johnson,Pendleton,IN,00:25:52,DRT racing
12,301021,Zane,Ash,Cincinnati,OH,00:26:06,QCW Lionhearts
13,0,Jacob,KRYNOCK,,,00:26:27,QCW Lionhearts
14,0,BRENDAN,NIFONG,,,00:29:48,
15,358698,Garrett,McNear,Louisville,KY,-1LAP,Red Zone Cycling
16,0,WILLIAM,SCHUMACHER,,,-1LAP,
17,358563,Chloe,Christian,Cincinnati,OH,-1LAP,QCW Lionhearts

09/25/2011 Cyclo-cross Men Elite Men
Place,License #,First,Last,City,State,Time,Team
1,261876,Andrew,Dillman,Fairdale,KY,01:02:40,Red Zone Cycling
2,245927,Michael,Mihalik,Sewickley,PA,01:03:00,Freddie Fu Cycling Team
3,170108,Travis,Mullen,Lexington,KY,01:03:36,Shamrock Cycles
4,259716,Luke,Haley,Santa Rosa,CA,01:03:47,Red Zone Cycling
5,117036,Robert,Kendall,Georgetown,IN,01:03:52,Bob's Red Mill
6,232237,Matthew,Weeks,Rocky River,OH,01:04:00,Carbon Racing
7,104934,Brian,Schworm,Morehead,KY,01:04:01,Pedal Power Cycling
8,42611,Eric,Anderson,Indianapolis,IN,01:05:38,Nuvo/cultural trail
9,301502,John,Proppe,Cleveland,OH,01:05:53,Team Lake Effect
10,290524,Micah,Fritzinger,Georgetown,IN,01:06:00,Schellers Fitness & Cycling
11,30553,Frederick,Rose,Bloomington,IN,01:06:49,BikeReg.com
12,291433,Andrew,Boneff,Fairborn,OH,01:07:27,J's Bikes Racing
13,259511,Christopher,Nevitt,Buffalo,NY,01:07:30,Scheller's Racing Team
14,57060,Timothy,Beirne,Goshen,KY,01:08:17,Better Cycling of Louisville
15,133936,Jason,Karew,Cincinnati,OH,01:08:30,Revolution Fitness
16,292526,Raymond,Smith,Apo,AE,01:08:38,Bob's Red Mill
17,167200,Adam,Rodkey,Bloomington,IN,01:09:10,Speedway Wheelmen
18,275805,Brian,Andriot,Louisville,KY,01:09:37,Bicycle Sport Inc.
19,277488,cory,swihart,Indianapolis,IN,01:09:48,team indiebike P/B Angies List
20,225964,Josh,Gerlach,Louisville,KY,01:09:57,clarksville/backwoods racing
21,117544,Peter,Hills,Westmoreland ,NH,01:10:21,Fuji Cycling
22,257617,Steve,Bivens,Evansville,IN,01:10:22,Breck's Bicycle Shop
23,259605,Michael,Chewning,Cincinnati,OH,01:11:06,Team Hungry!
24,28616,Joshua,Prater,Indianapolis,IN,01:11:14,Speedway Wheelmen / Shamrock
25,0,Bruce,PISAREK,,,01:11:15,COBC National Engineering
26,309572,Kirk,Grynwald,Little Rock,AR,,Bob's Red Mill
27,285273,James,Billiter,Cincinnati,OH,01:11:59,BioWheels/Reece-Campbell Racing
28,235804,Samuel,Dobrozsi,Loveland,OH,01:12:00,Queen City Wheels
29,150266,Corey,Green,Mason,OH,01:14:21,ZWS Cycle Sport
30,153866,John,Gatch,Terrace Park,OH,01:14:40,Cleveland Clinic Sports Health/RGF pb Felt Bicycle
31,11159,Lance,Fagerberg,Louisville,KY,01:15:30,Papa John's Racing Team
32,280756,Nathan,Mirus,Batavia,OH,01:19:26,Bio Wheels Racing
33,220260,Ryan,Kiel,Eden,UT,-1LAP,
34,274433,Matthew,Kiel,Indianapolis,IN,-2LAP,

09/25/2011 Cyclo-cross Men Cat 4 Master
Place,License #,First,Last,City,State,Time,Team
1,309946,Doug,Voss,Goshen,KY,00:28:51,BikeClicks/Team Louisville
2,14742,William,Hallberg,Indianapolis,IN,00:29:04,Team Nebo Ridge
3,303145,Mike,Shipman,Centerville,IN,00:29:10,Cycling & Fitness Warehouse
5,256440,Jason,Pope,Greencastle,IN,00:29:30,Team Nebo Ridge
6,264914,Mike,Johnson,Pendleton,IN,00:29:32,DRT racing
7,0,Kory,George,,,00:29:37,
8,305928,James,Foster,Indianapolis,IN,00:29:39,Team Nebo Ridge
9,0,Curtis,Williams,,,00:29:41,
10,303940,Joseph,Biss,Beaver,PA,00:29:45,Beaver Valley Velo
11,292177,steve,matherly,Lexington,KY,00:29:56,Main Street Velo
12,286402,John,Wischmeier,Columbus,IN,00:29:56,Century21
13,208296,Scott,Perry,Indianapolis,IN,00:30:03,Speedway Wheelmen
14,272379,Scott,Snyder,Westfield,IN,00:30:07,Team Nebo Ridge
15,283637,Robert,Prewitt,Loveland,OH,00:30:07,Queen City Wheels
16,331390,Robert,Annis,Indianapolis,IN,00:30:20,Team Nebo Ridge
17,304080,John,Petrov,Mason,OH,00:30:27,Queen City Wheels
18,254981,John,Weber,Richmond,IN,00:30:27,Colavita Racing
19,310471,Josh,Kline,Zionsville,IN,00:30:31,Team Higher Gear
20,282137,Chad,Nay,Carmel,IN,00:30:33,
21,0,Eric,SCHILLING,,,00:30:34,Speedway Wheelmen
22,357631,Jason,Cox,Plainfield,IL,00:30:47,Rogue Racing Project
