Mike Nields Memorial Bannock Street Criterium in Denver CO Results

08/05/2012 Criterium Men Pro/Cat 1/2/3/4/5 10-12
Place,License #,First,Last,City,State,Time,Team
1,362861,Luke,Hanlin,Denver,CO,20:23,Groove Subaru-Alpha Bicycle Co
2,522560,Torin,Bickmore,Longmont,CO,20:23,Boulder Junior Cycling
3,362707,Ethan,Wright,Boulder,CO,20:26,Boulder Junior Cycling
4,362912,Zane,Worrell,Vail,CO,20:26,
5,318530,Nolan,Brunner,Boulder,CO,20:26,Boulder Junior Cycling
6,363197,Nelson,Oxley,Winter Park,CO,21:29,Front Rangers Cycling Club
7,362752,Tate,Warner,Golden,CO,21:29,Black Sheep Junior Cycling
8,375436,William,Scavuzzo,Highlands Ranch,CO,22:24,
9,363312,Davis,Livingston,Centennial,CO,22:24,ColoBikeLaw.com
10,385034,Michael,Dudzic,Greenwood Village,CO,22:24,
11,379737,Nathan,Pawlak,Boulder,CO,22:55,
12,363053,Martin,Prchal,Lakewood,CO,23:03,
13,363247,Charleton,Sagrillo,Lafayette,CO,23:10,
14,318174,Oliver,Hart,Boulder,CO,23:18,Boulder Junior Cycling
15,363910,Gregory,Townsend,Bennett,CO,23:19,

08/05/2012 Criterium Men Pro/Cat 1/2/3/4/5 10-14
Place,License #,First,Last,City,State,Time,Team
1,277074,Gage,Hecht,Parker,CO,18:04,International Christian Cycling Club
2,283751,Maxl,Freeman,Lakewood,CO,18:18,Black Sheep Junior Cycling
3,293997,Jacques,de Curnou,Boulder,CO,18:18,Boulder Junior Cycling
4,362582,Simon,Castagneri,Littleton,CO,18:18,Black Sheep Junior Cycling
5,351364,Joshua,Schroeder,Lakewood,CO,18:18,International Christian Cycling Club
6,303535,Robert,Wright,Denver,CO,18:18,Boulder Junior Cycling
7,377539,Trevor,Christofferson,Greenwood Village,CO,18:18,IC3Colorado
8,364511,Reade,Warner,Golden,CO,18:18,Black Sheep Junior Cycling
9,286308,Cade,Bickmore,Longmont,CO,18:18,Boulder Junior Cycling
10,298963,Eric,Brunner,Boulder,CO,18:54,Boulder Junior Cycling
11,368692,Jack,Doherty,Denver,CO,19:41,Black Sheep Junior Cycling
12,363261,Joseph,Sagrillo,Lafayette,CO,19:41,
13,378906,Nolan,Herzog,Avon,CO,19:41,
14,302581,Peter,Whitesel,Golden,CO,20:45,Green Mountain Sports Velo
15,364571,Trevor,Way,Lakewood,CO,20:47,
