Tour of Vail Criterium in Vail CO Results

09/30/2012 Criterium Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,229135,Luke,Keough,Colorado Springs,CO,1:13:00,Mock Orange Racing
2,194969,Ken,Hanson,San Diego,CA,1:13:00,California Giant Berry Farms/Specialized
3,0,Raphael,Meran,,,1:13:01,
4,135475,Mike,Friedman,Golden,CO,1:13:01,Allegheny Cycling Association
5,237586,Kevin,Mullervy,Centennial,CO,1:13:01,
6,380704,Euris,Vidal,New York ,NY,1:13:02,
7,201456,Isaac,Howe,San Diego,CA,1:13:02,
8,221975,Oscar,Clark,Athens,GA,1:13:02,The 706 Project
9,276415,Jesse,Goodrich,Louisville,CO,1:13:02,Juwi Solar Cycling
10,52850,Colby,Pearce,Boulder,CO,1:13:02,Horizon Organic / Panache Elite Cycling
11,254025,Robin,Eckmann,Boulder,CO,1:13:03,California Giant Berry Farms/Specialized
12,401945,Jeanmichel,Lachance,,,1:13:03,
13,309411,Alexey,Shmidt,Cumming,GA,1:13:03,Team Type 1
14,295788,Jeff,Perrin,Lakewood,CO,1:13:04,Juwi Solar Cycling
15,367520,Sean,Sullivan,Boulder,CO,1:13:04,Elbowz Racing
16,46856,keith,Harper,Boulder,CO,1:13:04,BOO Bicycles
17,178103,Ian,Holt,Arroyo Grande,CA,1:13:04,Juwi Solar Cycling
18,218049,Colin,Jaskiewicz,Montclair,NJ,1:13:04,Champion System p/b Stan's NoTubes
19,211114,Taylor,Shelden,Breckenridge,CO,1:13:04,
20,274367,Allan,Rego,New York,NY,1:13:05,Champion System p/b Stan's NoTubes
21,191242,Jake,Wells,Avon,CO,1:13:05,
22,266626,Michael,Dessau,Boulder,CO,1:13:05,Slipstream-Craddock Junior Development
23,179451,Gavriel,Epstein,Englewood,NJ,1:13:05,Champion System p/b Stan's NoTubes
24,211435,Zack,Allison,Fort Collins ,CO,1:13:06,Mercy Cycling Team
25,52569,Don,Powell,Boulder,CO,1:13:07,GS Ciao
26,177906,David,Guttenplan,Clearwater,FL,1:13:07,Team United Healthcare Georgia/The 706 P
27,337040,Stephan,Hirsch,Oklahoma City,OK,1:13:07,The 706 Project
28,359191,Mark,Hyatt,Arlington,VA,1:13:08,National Capital Velo Club/UnitedHealthcare
29,158772,Ryan,Mele,Washington,PA,1:13:08,Stan's NoTubes/AXA Equitable
30,10984,Jorge,Espinoza,Boulder,CO,1:13:08,GS Ciao
31,291239,Brett,Peters,Boulder,CO,1:13:09,
