Thompson Bucks County Classic in Doylestown PA Results

09/15/2012 Road Race Men Pro/Cat 1
Place,License #,First,Last,City,State,Time,Team
1,315980,Patrick,BEVIN,Santa Rosa,CA,12:31.4,Bissell Pro Cycling Team
2,0,Logan,HUTCHINS,,,12:32.2,Elbowz Racing
3,305668,Robert,Britton,Santa Rosa,CA,12:32.4,Garneau-Quebecor
4,270977,Benjamin,Day,Boulder,CO,12:32.5,United Healthcare
5,366920,Heath,BLACKGROVE,Austin,TX,12:33.1,Elbowz Racing
6,2384,Christopher,BALDWIN,Boulder,CO,12:43.4,Bissell Pro Cycling Team
7,0,Diego,MILAN,,,13:30.9,Firefighters Racing p/b ADVOCAR
8,212698,Eric,MARCOTTE,Scottsdale,AZ,13:30.9,Elbowz Racing
9,271162,Rory,SUTHERLAND,Boulder,CO,13:33.3,United Healthcare
10,40956,Andrew,BAJADALI,Boulder,CO,14:06.4,Team Optum p/b Kelly Benefit St
11,150549,Jackie,SIMES,Alburtis,PA,14:55.9,Jamis/Sutter Home
12,357834,Sebastian,SALAS,,,15:51.2,Team Optum p/b Kelly Benefit St
13,194799,Danny,SUMMERHILL,Centennial,CO,18:02.4,United Healthcare
14,121621,Tyler,WREN,Burlington,VT,18:09.1,Jamis/Sutter Home
15,0,Bruno,LANGLOIS,,,18:09.2,Garneau-Quebecor
16,286536,Coulton,HARTRICH,Thousand Oaks,CA,18:10.0,Firefighters Racing p/b ADVOCAR
17,238217,Adam,FARABAUGH,Boulder,CO,18:10.0,Ekoi?.com/Gaspesien
18,249909,Gabe,VARELA,Coeur D' Alene,ID,18:19.2,Hagens Berman
19,467842,Clay,MURFET,Knoxville,TN,18:52.8,Team SmartStop / Mountain Khaki
20,247483,Bradley,WHITE,Holland,MI,18:52.8,United Healthcare
21,83014,Alex,CANDELARIO,Kamuela,HI,18:52.9,Team Optum p/b Kelly Benefit St
22,164362,Frank,PIPP,Longmont,CO,18:53.4,Bissell Pro Cycling Team
23,208805,Davide,FRATTINI,Asheville,NC,18:54.1,United Healthcare
24,0,Marsh,COOPER,,,18:54.3,Team Optum p/b Kelly Benefit St
25,304747,Jeremy,VENNELL,Santarosa,CA,21:45.2,Bissell Pro Cycling Team
26,222644,Carter,JONES,Short Hills,NJ,21:45.3,Bissell Pro Cycling Team
27,0,James,SCHUMAN,,,22:11.9,Firefighters Racing p/b ADVOCAR
28,193457,Nick,BAX,Stanford,CA,22:12.0,XO Communications p/b Cisco
29,309411,Alexey,SHMIDT,Cumming,GA,23:39.3,Team Type 1 Devo
30,0,Matteo,DAL-CIN,,,23:39.5,Ride with Rendall
31,161583,Travis,LIVERMON,Winston Salem,NC,23:39.8,Team SmartStop / Mountain Khaki
32,203786,Blair,BERBERT,Cambridge,MA,23:39.9,Kelly Benefit Strategies / Late
33,0,Paul,MARTIN,,,23:40.2,Team Panther p/b Competitive Cy
34,0,Aaron,FILLION,,,23:40.4,Ride with Rendall
35,291272,Andrew,SEITZ,New York,NY,23:42.6,Team Panther p/b Competitive Cy
36,153790,Roman,KILUN,Oakland,CA,23:44.7,Kenda / 5-Hour Energy
37,184284,Ian,CRANE,Seattle,WA,26:43.2,Hagens Berman
38,204225,Steve,FISHER,Bellingham,WA,26:44.7,Hagens Berman
