Oklahoma City Pro-Am Classic in Oklahoma City OK Results

06/02/2012 Criterium Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,66580,Jacob,Lasley,Broken Arrow,OK,1:27:48,Team Soundpony
2,366920,Heath,Blackgrove,Austin,TX,1:27:48,Elbowz Racing
3,381170,Logan,Hutchings,Austin,TX,1:27:48,Team Hotel San Jose - BONESHAKE
4,205741,Stefan,Rothe,Austin,TX,1:27:48,Tulsa Wheelmen
5,185340,Brian,Jensen,Broomfield,CO,1:27:49,TradeWind Energy Cycling Team
6,266817,Phillip,Snodgrass,Lubbock,TX,1:28:13,DNA Racing
7,141654,Chad,Cagle,Tulsa,OK,1:28:26,Tulsa Tough Racing pb ICEdot/Tu
8,110309,Jason,Waddell,Oklahoma City,OK,1:28:26,Tulsa Tough Racing pb ICEdot
9,178970,Mat,Stephens,Dallas,TX,1:28:26,Elbowz Racing
10,198394,Bryan,Fawley,Denton,TX,1:28:26,Road Racing Team/Dallas Bike Wo
11,69378,Warney,Crosby,Dallas,TX,1:28:26,Elbowz Racing
12,50919,Bryan,Duvall,Jenks,OK,1:28:26,Team Soundpony
13,381172,Chad,Adair,Austin,TX,1:28:27,Team Hotel San Jose - BONESHAKE
14,291724,Nicholas,Boulle,Dallas,TX,1:28:27,DNA Racing
15,145867,Mathew,Ankney,Tulsa,OK,1:28:27,Tulsa Wheelmen
16,201623,Michael,Lalla,Minneapolis,MN,1:28:27,Plano Athletic Cycling Club/PAC
17,259064,Nicholas,Rogers,Arlington ,VA,1:28:27,Boston Mountain Cyclists
18,259780,Nathaniel,Beams,Fort Collins,CO,1:28:28,PARK PLACE DEALERSHIPS/Dallas R
19,211435,Zack,Allison,Fort Collins ,CO,1:28:28,Mercy Cycling Team
20,69669,Garret,Grow,Tulsa,OK,1:28:28,Team Soundpony
21,195267,Nicholas,Coil,Prairie Village,KS,1:28:29,Mercy Cycling Team
22,208544,Tim,Srenaski,Boulder,CO,1:28:29,GS Boulder/Trek Store
23,205462,Michael,Dawdy,Sunnyvale,TX,1:28:30,Rockwall Cycling
24,272180,Jacob,White,Pauls Valley,OK,1:28:31,Tulsa Wheelmen
25,259043,John,ShalekBriski,Spokane,WA,1:28:31,US Military Cycling Team Fueled
26,208878,Hunter,Stewart,Dallas,TX,1:28:31,GS Tenzing
27,238136,Kyle,Anderson,Wichita Falls,TX,1:28:32,PARK PLACE DEALERSHIPS/Dallas R
28,152094,Timothy,Cook,Ft. Worth,TX,1:28:32,TBi - Dedicated Race Team
29,276726,Robert,Cummings,Rose Hill,KS,1:28:33,Dallas Racing
30,233873,Levi,Baker,Fayetteville,AR,1:28:34,Fayetteville Wheelmen
31,381173,Ryan,Wills,Austin,TX,1:28:38,Team Hotel San Jose - BONESHAKE
32,234129,Trevor,Johnson,Tucson,AZ,1:28:38,US Military Cycling Team Fueled
33,51422,James,Soto,Norman,OK,1:28:40,CRRC/Canadian River
34,102467,Adam,Mills,San Diego,CA,1:28:49,Mercy  Cycling Team/Mercy Cycli
35,164011,Benjamin,Silk,Broken Arrow,OK,1:28:53,Bicycles of Tulsa
36,249006,Chris,Zenthoefer,Tulsa,OK,1:28:56,Tulsa Tough Racing pb ICEdot/Tu
37,179001,Jay,Blankenship,Bel Aire,KS,1:29:49,Tulsa Tough Racing pb ICEdot/Tu

06/02/2012 Criterium Men Master Cat 3/4/5 35-99
Place,License #,First,Last,City,State,Time,Team
1,20450,John,LASORSA,Lawton,OK,38:54:00,Oklahoma City Velo Club
2,5020,Buster,BROWN,Bixby,OK,38:54:00,Oklahoma City Velo Club
3,0,Eugene,VERSH,,,39:50:00,Dickson Street Cycling Club
4,54718,Stan,KRUSE,Arlington,TX,39:52:00,FCS Cycling
5,45045,Thomas,BAIN,San Antonio,TX,39:52:00,Geri Atrix
6,85353,Carter,JOHNSTON,Oklahoma City,OK,39:52:00,Oklahoma Bicycle Racing Union
7,143238,Mark,FOSENBURG,Phoenix,AZ,39:53:00,Honeywell Cycling
8,121088,Phil,HARRIS,Springfield,MO,39:53:00,Oklahoma City Velo Club
9,57918,Anthony,LASORSA,Cache,OK,39:53:00,Oklahoma City Velo Club
10,99298,Bill,CLINESMITH,Cimarron,KS,39:54:00,Chamois Butt'r Cycling Team
11,201589,Joel,SHEWRY,Arlington,TX,39:54:00,TBi - Dedicated Race Team/Team
12,358795,Stacey,BAILEY,Edmond,OK,39:56:00,
13,116011,Kevin,FARMER,Edmond,OK,39:57:00,Team PG13
