Racing Rapides in Alexandria LA Results

05/05/2013 Criterium Men Cat 1/2/3/4/5 Junior 10-18
Place,License #,First,Last,City,State,Time,Team
1,378825,Lance,Abshire,Baton Rouge,LA,,GEAUX Race Antique Woods/JimStone
2,404275,Matthew,Rose,West Monroe,LA,,Vantage Health Plan/Team Colvin
3,400790,Hunter,Keyes,Monroe,LA,,Vantage Health Plan/Team Colvin
4,325480,Joseph,Monahan,Covington,LA,,New Orleans Bicycle Club Inc Apolline Racing
5,325482,Jacob,Monahan,Covington,LA,,New Orleans Bicycle Club Inc Apolline Racing
6,382326,Tyler,Fontana,West Monroe,LA,,Vantage Health Plan/Team Colvin
7,404765,Patton,Sims,Sterlington,LA,,Vantage Health Plan/Team Colvin
8,299020,Quinton,McMickens,Boyce,LA,,S3 Racing team

05/05/2013 Criterium Men Cat 1/2/3/4/5 Master 55+
Place,License #,First,Last,City,State,Time,Team
1,45586,Randall,Legeai,New Orleans,LA,0:48:53,Apolline Racing New Orleans Bicycle Club Inc
2,237710,Grant,Dona,Monroe,LA,0:51:57,Vantage Health Plan/Team Colvin
3,307546,Gary,Todd,Bossier City,LA,0:51:57,Team LaS'port
4,320064,Joseph,Fritz,Panama City Beach,FL,0:52:05,VeloBrew Cycling Club
5,290827,John,Scripture,Bossiercity,LA,0:55:16,Team LaS'port
6,95831,Joe,French,Shreveport,LA,0:58:20,Team LaS'port

05/05/2013 Criterium Men Cat 1/2/3/4 Master 40+
Place,License #,First,Last,City,State,Time,Team
1,77897,Kevin,Landry,Youngsville,LA,0:49:20,Acadiana Bicycle Company Racing
2,50922,Mark,McMurry,La Place,LA,0:49:28,Apolline Racing New Orleans Bicycle Club Inc
3,186366,Scott,Gurganus,Bossier City,LA,0:49:28,Team LaS'port
4,307161,Charles,Kibbe,New Iberia,LA,0:49:34,Cajun Cyclists/ABC Racing Acadiana Bicycle Company Racing
5,57794,Michael,Fontana,West Monroe,LA,0:49:34,Vantage Health Plan/Team Colvin
6,201550,Donald,Davis,Pensacola,FL,0:49:28,Team Truly Spokin
7,308797,Alex,Habbit,Youngsville,LA,0:49:38,Cajun Cyclists/ABC Racing Acadiana Bicycle Company Racing
8,238039,Glenn,Richard,Lafayette,LA,0:51:24,Cajun Cyclists/ABC Racing Acadiana Bicycle Company Racing
9,240412,Richard,Cottrell,West Monroe,LA,0:55:01,Vantage Health Plan/Team Colvin
10,299447,Charles,Bell,New Orleans,LA,1:30:00,S3 Racing team

05/05/2013 Criterium Men Cat 1/2/3
Place,License #,First,Last,City,State,Time,Team
1,10367,Hunter,East,Little Rock,AR,0:57:52,Oklahoma City Velo Club
2,193992,Woody,Boudreaux,Westwego,LA,0:57:54,Herring Gas Cycling Team Herring Gas Cycling
3,275771,John,Brizzard,Pensacola,FL,0:57:58,Bikes Plus Racing
4,281103,Stephen,Mire,Covington,LA,0:58:02,Team LaS'port Team LaS'port
5,281156,Dustin,Drewes,Ponchatoula,LA,0:58:02,4D Racing 4th Dimension Fitness
6,166132,Tracy,Martin,Alexandria,LA,0:57:56,S3 Racing team
7,228798,Wylie,Bagley,West Monroe,LA,0:58:02,S3 Racing Team S3 Racing team
8,298696,Robert,Monahan,Covington,LA,0:58:02,Apolline Racing New Orleans Bicycle Club Inc
9,345978,Evan,East,Little Rock,AR,0:58:02,Slipstream-Craddock Junior Development Slipstream-Craddock Junior Development
10,297469,Jordan,Lambert,New Orleans,LA,0:58:02,Herring Gas Cycling
11,271440,Edward,Novak,New Orleans,LA,0:58:02,S3 Racing Team S3 Racing team
12,367647,ryan,barnes,Buffalo,NY,0:58:02,S3 Racing team
13,54226,John,Dias,Luling,LA,0:58:02,S3 Racing Team S3 Racing team
14,53859,Kenneth,Bellau,New Orleans,LA,0:58:02,Herring Gas Cycling Team Herring Gas Cycling
15,314514,Blair,Krogh,Baton Rouge,LA,0:57:58,4D Racing 4th Dimension Fitness
16,213476,Andrew,Hammond,Jackson,MS,0:58:02,Herring Gas Cycling Team Herring Gas Cycling
17,157827,Corey,Ray,Mckinney,TX,0:58:02,Herring Gas Cycling Team Herring Gas Cycling
18,41597,Frank,Moak,Brookhaven,MS,0:58:02,Herring Gas Cycling Team Herring Gas Cycling
19,298245,Jason,Bordelon,Baton Rouge,LA,0:58:02,S3 Racing Team S3 Racing team
20,278514,Michael,McBrien,Milton,FL,0:58:27,Bikes Plus Racing
21,260014,Daniel,Wisner,Metairie,LA,1:04:00,4D Racing 4th Dimension Fitness
22,334916,Alex,Schueckler,San Diego,CA,1:04:37,US Military Cycling Team Fueled by FRS
23,230524,Ed,Kendrick,New Orleans,LA,1:06:11,Acadiana Bicycle Company Racing

05/05/2013 Criterium Men Cat 5
Place,License #,First,Last,City,State,Time,Team
1,381675,Stanton,Pearson,Jefferson,LA,,
2,347118,Bronson,Breaux,Saint Martinville ,LA,,Cajun Cyclists/ABC Racing Acadiana Bicycle Company Racing
3,380653,MICHAEL,DUPIN,Lake Charles,LA,,Lake Charles Racing
4,367631,Delton,Richey,Lake Charles,LA,,Lake Charles Racing
5,393921,Heath,Sweat,Prairieville,LA,,GEAUX Race
6,382007,Chad,Hassenpflug,Vinton,LA,,Lake Charles Racing
7,399913,chad,andrus,Broussard,LA,,Cajun Cyclists/ABC Racing Acadiana Bicycle Company Racing
8,394889,Robert,Webb,Aberdeen ,NC,,
9,276705,Jarrett,Keller,Baton Rouge,LA,,Antique Woods/JimStone GEAUX Race
10,375747,Thomas,Sugg,Baton Rouge,LA,,Antique Woods/JimStone GEAUX Race
11,239093,Jeffery,O'Keefe,Lake Charles,LA,,Lake Charles Racing
12,236959,Michael,Buchanan,New Orleans,LA,,
13,392856,Jordan,Istre,Erath,LA,,Acadiana Bicycle Company Racing
14,400683,Andrew,Larson,Baton Rouge,LA,,
15,404764,Cole,Sims,Sterlington,LA,,Vantage Health Plan/Team Colvin

05/05/2013 Criterium Men Cat 4
Place,License #,First,Last,City,State,Time,Team
1,342604,Lance,McCann,Baton Rouge,LA,0:48:42,4th Dimension Fitness
2,331560,Stefan,Smith,Lake Charles,LA,0:48:42,Lake Charles Racing
3,307451,Ty,Trammell,Kansas City,MO,0:48:48,Vantage Health Plan/Team Colvin
4,379783,evan,mcmanus,Westlake,LA,0:48:52,Lake Charles Racing
5,314156,Sonny,Restivo,Denham Springs,LA,0:48:52,Antique Woods/JimStone GEAUX Race
6,354668,Jonathan,Newman,Metairie,LA,0:48:52,S3 Racing Team S3 Racing team
7,325074,Raland,Burks,Hattiesburg,MS,0:48:52,Fairhope Cycling Project
8,323080,Justin,Ford,Gulfport,MS,0:48:52,GEAUX Race
9,259102,Matthew,Erchull,Easthampton,MA,0:48:46,Raising Cane's Racing
10,303584,JAMIE,FREEMAN,Monroe,LA,0:48:50,Vantage Health Plan
11,306481,Joshua,Hudson,Shreveport,LA,0:48:52,Team LaS'port
12,374783,Taylor,Hanegan,Haughton,LA,0:48:52,S3 Racing Team S3 Racing team
13,219753,Brooks,Abel,Hattiesburg,MS,0:48:52,Fairhope Cycling Project
14,366829,Brent,Mayeaux,Houston,TX,0:48:52,4D Racing 4th Dimension Fitness
15,362056,Jason,Dunford,Zachary,LA,0:49:12,S3 Racing team
16,375733,Alexander,Stachow,Ruston,LA,0:49:48,Vantage Health Plan/Team Colvin
17,354550,Wesley,Morgan,Shreveport,LA,0:55:02,Team LaS'port
18,288498,Keith,Miller,Baton Rouge,LA,1:03:20,Antique Woods/JimStone GEAUX Race
19,349110,Floyd,Carrier,Baton Rouge,LA,1:20:00,Antique Woods/JimStone GEAUX Race
20,240744,Michael,Lyons,Lake Charles,LA,1:30:00,Lake Charles Racing

05/05/2013 Criterium Women Cat 1/2/3/4
Place,License #,First,Last,City,State,Time,Team
1,330890,Louise,Cheetham,Baton Rouge,LA,0:29:53,S3 Racing team
2,106272,Stacey,McMickens,Boyce,LA,0:30:33,S3 Racing team
3,247536,Ashley,Leach,Baton Rouge,LA,0:30:39,
4,64143,Mary,Jimenez,Shreveport,LA,0:30:41,Team LaS'port
5,317618,Roberta,Beckers,Covington,LA,0:30:50,New Orleans Bicycle Club Inc

05/05/2013 Criterium Women Cat 4
Place,License #,First,Last,City,State,Time,Team
1,382344,Tammy,Hassenpflug,Hoboken,GA,,Lake Charles Racing
2,237040,Judith,Kendrick,Pineville,LA,,Acadiana Bicycle Company Racing
3,402621,Shannon,Martin,Taylors,SC,,GEAUX Race
4,255840,Elisabeth,Elder,Ball,LA,,S3 Racing team

05/05/2013 Stage Race Men Cat 1/2/3/4/5 Junior 10-18
Place,License #,First,Last,City,State,Time,Team
1,378825,Lance,Abshire,Baton Rouge,LA,,GEAUX Race Antique Woods/JimStone
2,400790,Hunter,Keyes,Monroe,LA,,Vantage Health Plan/Team Colvin
3,404275,Matthew,Rose,West Monroe,LA,,Vantage Health Plan/Team Colvin
4,325482,Jacob,Monahan,Covington,LA,,New Orleans Bicycle Club Inc Apolline Racing
5,325480,Joseph,Monahan,Covington,LA,,New Orleans Bicycle Club Inc Apolline Racing
6,382326,Tyler,Fontana,West Monroe,LA,,Vantage Health Plan/Team Colvin
6,404765,Patton,Sims,Sterlington,LA,,Vantage Health Plan/Team Colvin
8,299020,Quinton,McMickens,Boyce,LA,,S3 Racing team

05/05/2013 Stage Race Men Cat 1/2/3/4/5 Master 55+
Place,License #,First,Last,City,State,Time,Team
1,45586,Randall,Legeai,New Orleans,LA,3:49:01.0,Apolline Racing New Orleans Bicycle Club Inc
2,237710,Grant,Dona,Monroe,LA,3:51:38.4,Vantage Health Plan/Team Colvin
3,320064,Joseph,Fritz,Panama City Beach,FL,3:52:10.1,VeloBrew Cycling Club
4,307546,Gary,Todd,Bossier City,LA,3:52:44.0,Team LaS'port
5,95831,Joe,French,Shreveport,LA,3:59:13.0,Team LaS'port
6,290827,John,Scripture,Bossiercity,LA,4:08:14.2,Team LaS'port

05/05/2013 Stage Race Men Cat 1/2/3/4 Master 40+
Place,License #,First,Last,City,State,Time,Team
1,201550,Donald,Davis,Pensacola,FL,3:48:50.3,Team Truly Spokin
2,307161,Charles,Kibbe,New Iberia,LA,3:49:18.9,Cajun Cyclists/ABC Racing Acadiana Bicycle Company Racing
3,50922,Mark,McMurry,La Place,LA,3:49:20.1,Apolline Racing New Orleans Bicycle Club Inc
4,77897,Kevin,Landry,Youngsville,LA,3:49:27.0,Acadiana Bicycle Company Racing
5,186366,Scott,Gurganus,Bossier City,LA,3:49:55.1,Team LaS'port
6,57794,Michael,Fontana,West Monroe,LA,3:50:43.7,Vantage Health Plan/Team Colvin
7,238039,Glenn,Richard,Lafayette,LA,3:51:57.1,Cajun Cyclists/ABC Racing Acadiana Bicycle Company Racing
8,240412,Richard,Cottrell,West Monroe,LA,4:08:22.5,Vantage Health Plan/Team Colvin
9,308797,Alex,Habbit,Youngsville,LA,4:24:53.9,Cajun Cyclists/ABC Racing Acadiana Bicycle Company Racing
10,299447,Charles,Bell,New Orleans,LA,4:30:27.4,S3 Racing team
11,294506,David,Hesser,Alexandria,LA,,S3 Racing Team S3 Racing team

05/05/2013 Stage Race Men Cat 1/2/3
Place,License #,First,Last,City,State,Time,Team
1,166132,Tracy,Martin,Alexandria,LA,4:34:08.5,S3 Racing team
2,275771,John,Brizzard,Pensacola,FL,4:34:11.2,Bikes Plus Racing
3,193992,Woody,Boudreaux,Westwego,LA,4:34:11.8,Herring Gas Cycling Team Herring Gas Cycling
4,345978,Evan,East,Little Rock,AR,4:34:12.9,Slipstream-Craddock Junior Development Slipstream-Craddock Junior Development
5,213476,Andrew,Hammond,Jackson,MS,4:34:32.9,Herring Gas Cycling Team Herring Gas Cycling
6,271440,Edward,Novak,New Orleans,LA,4:36:04.0,S3 Racing Team S3 Racing team
7,281103,Stephen,Mire,Covington,LA,4:36:22.6,Team LaS'port Team LaS'port
8,10367,Hunter,East,Little Rock,AR,4:36:31.0,Oklahoma City Velo Club
9,314514,Blair,Krogh,Baton Rouge,LA,4:38:58.0,4D Racing 4th Dimension Fitness
10,41597,Frank,Moak,Brookhaven,MS,4:38:59.9,Herring Gas Cycling Team Herring Gas Cycling
11,297469,Jordan,Lambert,New Orleans,LA,4:39:06.3,Herring Gas Cycling
12,157827,Corey,Ray,Mckinney,TX,4:39:06.4,Herring Gas Cycling Team Herring Gas Cycling
13,54226,John,Dias,Luling,LA,4:39:10.5,S3 Racing Team S3 Racing team
14,228798,Wylie,Bagley,West Monroe,LA,4:39:28.3,S3 Racing Team S3 Racing team
15,367647,ryan,barnes,Buffalo,NY,4:39:31.1,S3 Racing team
16,298696,Robert,Monahan,Covington,LA,4:41:13.6,Apolline Racing New Orleans Bicycle Club Inc
17,260014,Daniel,Wisner,Metairie,LA,4:45:26.1,4D Racing 4th Dimension Fitness
18,334916,Alex,Schueckler,San Diego,CA,4:46:26.8,US Military Cycling Team Fueled by FRS
19,278514,Michael,McBrien,Milton,FL,4:47:38.3,Bikes Plus Racing
20,281156,Dustin,Drewes,Ponchatoula,LA,4:48:24.9,4D Racing 4th Dimension Fitness
21,298245,Jason,Bordelon,Baton Rouge,LA,4:57:58.6,S3 Racing Team S3 Racing team
22,53859,Kenneth,Bellau,New Orleans,LA,4:58:25.9,Herring Gas Cycling Team Herring Gas Cycling
23,230524,Ed,Kendrick,New Orleans,LA,5:28:32.3,Acadiana Bicycle Company Racing

05/05/2013 Stage Race Men Cat 5
Place,License #,First,Last,City,State,Time,Team
1,381675,Stanton,Pearson,Jefferson,LA,,
2,380653,MICHAEL,DUPIN,Lake Charles,LA,,Lake Charles Racing
3,347118,Bronson,Breaux,Saint Martinville ,LA,,Cajun Cyclists/ABC Racing Acadiana Bicycle Company Racing
4,393921,Heath,Sweat,Prairieville,LA,,GEAUX Race
5,236959,Michael,Buchanan,New Orleans,LA,,
6,375747,Thomas,Sugg,Baton Rouge,LA,,Antique Woods/JimStone GEAUX Race
7,367631,Delton,Richey,Lake Charles,LA,,Lake Charles Racing
8,276705,Jarrett,Keller,Baton Rouge,LA,,Antique Woods/JimStone GEAUX Race
9,239093,Jeffery,O'Keefe,Lake Charles,LA,,Lake Charles Racing
10,394889,Robert,Webb,Aberdeen ,NC,,
11,382007,Chad,Hassenpflug,Vinton,LA,,Lake Charles Racing
12,399913,chad,andrus,Broussard,LA,,Cajun Cyclists/ABC Racing Acadiana Bicycle Company Racing
13,392287,Seth,Jones,Lake Charles,LA,,Lake Charles Racing
14,138904,Michael,Abshire,Baton Rouge,LA,,Antique Woods/JimStone GEAUX Race
15,392856,Jordan,Istre,Erath,LA,,Acadiana Bicycle Company Racing
16,400683,Andrew,Larson,Baton Rouge,LA,,
17,404764,Cole,Sims,Sterlington,LA,,Vantage Health Plan/Team Colvin

05/05/2013 Stage Race Men Cat 4
Place,License #,First,Last,City,State,Time,Team
1,342604,Lance,McCann,Baton Rouge,LA,4:45:22.5,4th Dimension Fitness/4D Racing
2,379783,evan,mcmanus,Westlake,LA,4:46:10.6,Lake Charles Racing
3,306481,Joshua,Hudson,Shreveport,LA,4:46:46.8,Team LaS'port
4,331560,Stefan,Smith,Lake Charles,LA,4:46:57.8,Lake Charles Racing
