Midtown Grand Prix in St Louis MO Results

05/10/2013 Criterium Men Men Pro/1/2
Place,License #,First,Last,City,State,Time,Team
1,394632,Ricardo,Van der Velde,San Marcos,CA,,Jelly Belly P/B Kenda
2,221190,Adam,Leibovitz,Indianapolis,IN,,Texas Roadhouse Cycling Team P/B Motorex
3,63559,Daniel,Holt,Atlanta,GA,,Team United Healthcare Georgia/The 706 P
4,186238,Devin,Clark,St. Louis,MO,,Qdoba p/b Bushwhacker
5,305979,Ryan,Sullivan,Nashville,TN,,The 706 Project
6,282590,Griffin,Easter,Upland,CA,,Gateway Harley-Davidson
7,269412,Adam,Koble,Tulsa,OK,,GIANT Bicycles - South
8,237586,Kevin,Mullervy,Centennial,CO,,Champion System p/b Stan's NoTubes
9,396475,Alexander,Ray,Birmingham,AL,,IsCorp Intelligentsia Coffee
10,197162,Robert,White,Cedarburg,WI,,Sharecare Cycling p/b Wheeland Sprocket.com
11,201456,Isaac,Howe,San Diego,CA,,UCI CT: Team SmartStop p/b Mountain Khakis
12,224589,Colton,Barrett,Indianapolis,IN,,Texas Roadhouse Cycling Team P/B Motorex
13,192584,Shane,Kline,Bally,PA,,UCI CT: Team SmartStop p/b Mountain Khakis
14,222021,Emile,Abraham,Atlanta,GA,,Predator Cycling
15,110309,Jason,Waddell,Oklahoma City,OK,,Tulsa Tough Racing pb ICEdot
16,201118,Brendan,Cornett,Athens,GA,,Team United Healthcare Georgia/The 706 P
17,188572,Andrew,Dahlheim,Greenville,SC,,UCI CT: Bissell Cycling
18,274367,Allan,Rego,New York,NY,,Champion System p/b Stan's NoTubes
19,237726,Conor,Mullervy,Boulder,CO,,Champion System p/b Stan's NoTubes
20,158772,Ryan,Mele,Washington,PA,,Stans No Tubes p/b Proferrin
21,211435,Zack,Allison,Fort Collins ,CO,,Think Finance p/b Trek Bike Stores
22,126996,Chad,Hartley,Milwaukee,WI,,RACC pb GG
23,235209,Jacob,Hill,Saint Petersburg,FL,,Stan's NoTubes P/b Proferrin
24,337040,Stephan,Hirsch,Oklahoma City,OK,,Team United Healthcare Georgia/The 706 P
25,380704,Euris R.,Vidal,New York ,NY,,CRCA/Foundation
26,399595,Geron,Williams,Reading,PA,,Foundation
27,380705,Rafael  A.,Meran,New York,NY,,CRCA/Foundation
28,204225,Steve,Fisher,Bellingham,WA,,Hagens Berman Cycling
29,239743,Michael,Sencenbaugh,Toccoa,GA,,Sakari Race Team
30,286105,Ryan,Gabriel,Tulsa,OK,,Tulsa Tough Racing pb ICEdot
31,528230,Alberto,Covarrubias,Springdale,AR,,fayetteville whellmen
32,198394,Bryan,Fawley,Denton,TX,,GIANT Bicycles - South
33,249743,Chris,Stastny,Vacaville,CA,,Hagens Berman Cycling
34,117328,Jeremy,Powers,Southampton,MA,,Jelly Belly P/B Kenda
35,390002,Augusto,Sanchez,Fort Lee,NJ,,Park Place Dealerships/Sun & Ski
36,272180,Jacob,White,Pauls Valley,OK,,Tulsa Tough Racing pb ICEdot
37,176226,David,Fleischhauer,Seattle,WA,,Hagens Berman Cycling
38,325110,Timothy,Jenkinson,Mars Hill,NC,,Cleveland Clinic Sports Health Cycling
39,291573,Andrew,Buntz,West Des Moines,IA,,Astellas Oncology Cycling Team
40,271372,Jos,Chalmers,Indian Harbour Beach,FL,,Gateway Harley-Davidson
41,193035,Brandon,Feehery,Knoxville,TN,,Astellas Oncology Cycling Team
42,385931,Corentin,Cherhal,Cumming,GA,,Team Novo Nordisk Development
43,178109,Andrew,Scarano,Athens,GA,,Team United Healthcare Georgia/The 706 P
44,196405,Sean,Mazich,Yuma,AZ,,Jelly Belly P/B Kenda
45,289623,Martin,Vecchio,Detroit,MI,,Panther/Bakehouse
46,296749,Nicholas,Ramirez,Normal,IL,,Texas Roadhouse Cycling Team P/B Motorex
47,110443,Joshua,Carter,Saint Charles ,MO,,Predator Carbon Repair
48,282064,Isaiah,Newkirk,Boulder,CO,,Gateway Harley-Davidson
49,225407,William,Zellmer,Missoula,MT,,Gateway Harley-Davidson
50,353458,Gevan,Samuel,Ocoee,FL,,
51,0,Jean Michel,LeChance,,,,Team Predator Carbon Repair
52,201874,Sergio,Hernandez,Rancho Cucamonga,CA,,Predator Cycling
53,254352,Christopher,Bogedin,Rochester Hills,MI,,McDonalds Cycling Team
54,259780,Nathaniel,Beams,Fort Collins,CO,,Think Finance p/b Trek Bike Stores
55,238008,Alejandro,Guzman,New York,NY,,Foundation
56,311256,Rob,Thompson,Lakewood,OH,,Panther/Bakehouse
57,132539,Charles,Huff,Springfield,MO,,Jelly Belly P/B Kenda
58,260405,Benjamin,Wolfe,Niantic,CT,,Jelly Belly P/B Kenda
59,177637,Andy,Reardon,Franklin,TN,,Cumberland Transit Cycling/FS Cycling
60,240005,Kyle,Perry,Muncie,IN,,Team Upland Brewing
61,290397,Ryan,Shean,Indianapolis,IN,,Team Upland Brewing
62,277388,Chris,Moore,Woodridge,IL,,Sammy's Bike
63,297948,Richard,Stuart,Indianapolis,IN,,Kentucky Flyers Cycling Inc
64,262949,Cortlan,Brown,Woods Cross,UT,,Astellas Oncology Cycling Team
65,263324,Parker,Kyzer,Spartanburg,SC,,Cleveland Clinic Sports Health Cycling
66,393753,Samuel,Croft,Wichita Falls,TX,,Giant Bicycles- SOUTH
67,200545,Ross,White,Holmen,WI,,RACC pb GG
68,63857,David,Worth,Knoxville,TN,,Cumberland Transit Cycling/FS Cycling
69,282543,Christopher,Curran,Maryland Heights,MO,,Bloomington Cycle Racing Team
70,159867,Travis,Werts,Brentwood,TN,,Sonic Cycling
71,243878,Cameron,Rex,Shawnee,KS,,GATEWAY HARLEY-DAVIDSON/TREK
72,64883,Jeremy,Bock,Lake St. Louis,MO,,Qdoba p/b Bushwhacker
73,128064,James,VanDeven,De Soto,MO,,Dogfish Racing Team
74,179001,Jay,Blankenship,Bel Aire,KS,,Tulsa Wheelmen
75,192024,Jim,Farasy,Springfield,MO,,Mercy Kuat
76,189613,Anthony,Dust,Edwardsville,IL,,Dogfish Racing Team
77,259719,Gavin,Haley,Santa Rosa,CA,,ISCorp Cycling/NCSF
78,311693,Austin,Vinton,Springfield,MO,,Think Finance p/b Trek Bike Stores
79,157100,Michael,Giem,Colorado Springs,CO,,Pedal p/b Cannondale Development Team
80,287030,Charles (Mac),Cassin,Boulder,CO,,Gateway Harley-Davidson
81,271716,Colton,Jarisch,Austin,TX,,Think Finance p/b Trek Bike Stores
82,246297,Clayton,Chase,Mequon,WI,,Sharecare Cycling p/b Wheeland Sprocket.com
83,128172,Geoff,Godsey,Plano,TX,,GIANT Bicycles - South
84,308035,Kevin,Henschel,Columbus,OH,,Cleveland Clinic Sports Health Cycling
85,226733,Jonathan,Jacob,Indianapolis,IN,,BISSELL-ABG-GIANT
86,150549,John (Jackie),Simes,Alburtis,PA,,UCI CT: Team SmartStop p/b Mountain Khakis
87,52534,Adam,Myerson,Dorchester,MA,,Team SmartStop-Mountain Khakis
