Mengoni Grand Prix in New York NY Results

08/10/2013 Road Race Men Men Championship 123 Open
Place,License #,First,Last,City,State,Time,Team
1,0,Adam,Alexander,,,701,
2,0,Rafael  A.,Meran,,,755,
3,297263,Scott,Savory,Ny,NY,780,We Stand United (W.S.)
4,220839,Lisban,Quintero,New York,NY,773,We Stand United (W.S.)
5,0,Stephen,Alexander,,,700,
6,307825,Stalin,Quiterio Cuello,Fort Lee,NJ,774,
7,0,Zach,Koop,,,743,
8,0,Roselvert,Marte,,,754,
9,378614,Lynn,Murray,Brooklyn,NY,759,Dave Jordan Racing
10,53895,Oscar,Pineda,River Vale,NJ,771,GS Gotham
12,345430,Juan Carlos,Polanco,Tenafly,NJ,772,Strictly Bicycles Cycling
13,36516,Wilson,Vasquez,Piermont,NY,792,Lupus Racing Team
14,164040,Jermaine,Burrowes,Brooklyn,NY,713,We Stand United (W.S.)
15,311768,Everhard,Paredes,Edgewater,NJ,763,Champion System p/b Stan's NoTubes
16,0,No BIB Number,,,,901,
17,204958,Daniel,Zmolik,New York,NY,799,Stan's NoTubes P/b Proferrin
18,309396,Stephan,Hoffman,Soquel,CA,734,Century Road Club Assoc
19,192750,Ted,Horwitz,Haverhill,MA,735,C C Evesham
20,0,Franklin,Burgos,,,711,
21,0,Bill,Elliston,,,724,
22,251325,Andrew,Walsh,Hackensack,NJ,794,Century Road Club Assoc
23,282121,Mitchell,Jacaruso,New York,NY,737,Champion System p/b Stan's NoTubes
24,83254,Chad,Butts,Montrose,NY,850,enduranceWERX
25,382132,Paskal,Lamour,New York,NY,744,Century Road Club Assoc
26,317990,Jonathan,Giahn,New York,NY,728,Asphalt Green Cycling Team
27,238008,Alejandro,Guzman,New York,NY,733,Foundation
28,157345,Paul,Chooweenam,Ozone Park,NY,718,Alanis/Team Alanis
29,115836,Paul,Debartolo,Pound Ridge,NY,722,FinKraft Cycling
30,0,Erlin,Garcia,,,727,
31,0,Oleg,Tanovitchi,,,790,
32,57055,Kirk,Corsello,Lilburn,GA,720,Lupus Racing Team
33,240153,Glenn,Ferreira,Manville,NJ,725,Team Metra / Cycles 54
34,0,Keith,Snyder,,,782,
35,203753,Roger,Montes,New York,NY,757,Brooklyn Velo Force
36,0,Michael,Zak,,,798,
37,0,Juan Carlos,Pineda,,,769,
38,286637,Jorge,Orrego,Ridgefield Park,NJ,762,Team Cosmic - Carve Systems
39,0,J.P.,Partland,,,765,
40,149234,Horace,Burrowes,Brooklyn,NY,712,We Stand United (W.S.)
41,251037,Abraham,Soler,Greenwich,CT,784,Foundation
42,25626,Rod,Myers,Etters,PA,760,Phenix Velo Club
43,0,Willie,Payton,,,766,
44,0,James,Stevens,,,785,
45,211781,Francisco,Liuzzi,New York,NY,748,Rapha Racing
46,261409,Igor,Rudalev,Alpharetta,GA,777,Lupus Racing Team
47,53820,Mynor,Pineda,Union,NJ,770,Century Road Club Assoc
48,399595,Geron,Williams,Reading,PA,796,Foundation
49,41767,Dave,Kim,Chappaqua,NY,741,Christian Cycling-Hammer Nutrition
50,97363,Gregg,Galletta,Dobbs Ferry,NY,852,BH/Comedy Central
51,274223,Brian,Breach,Brooklyn,NY,707,GS Mengoni U.S.A.
52,0,Jeff,Young,,,797,
53,198228,Johann,Burrowes,Brooklyn,NY,714,We Stand United (W.S.)
54,109196,George,Suter,New York,NY,789,DieHard-Think Racing
55,0,Karl Michael,Rahn,,,775,
