Tacchino Cyclocross in Upper Marlboro MD Results

10/13/2013 Cyclo-cross Men OPEN SINGLESPEED
Place,License #,First,Last,City,State,Time,Team
1,220150,Jared,Nieters,Haymarket,VA,49:56.2,SEAVS/Haymarket
2,301191,Luther,Swift,Falls Church,VA,51:13.8,National Capital Velo Club/UnitedHealthcare
3,230804,Timothy,Pope,Norfolk,VA,51:45.4,Rogue Velo Racing
4,0,Andrew,Webster,,,52:03.3,Wooden Wheels Racing
5,296544,jeffrey,hellner,Seaford,VA,53:31.5,757cx
6,60194,Jonathan,Seibold,Crofton,MD,53:43.0,Family Bike Shop/DCMTB/Staples Corner Liquors
7,323984,Benjamin,Toll,Hyattsville,MD,54:02.9,Route 1 Velo/Arrow Bicycle
8,414406,Jacob,Gordon,Arlington,VA,54:53.5,
9,268349,Callum,Ingram,Boulder,CO,55:01.9,The November Bicycles CX Experience
10,0,Daniel,Hadley,,,55:18.2,
11,260474,Matt,Dantas-McCutcheon,Silver Spring,MD,55:29.6,NCVC
12,218663,Albert,Greene,Woodbridge,VA,55:56.5,DCMTB
13,141704,Evans,Rohrbaugh,Dallastown,PA,1 Lap,Keystone Velo P/B Nuts About Granola & Hoffman Diecast
14,308958,Alexander,Castro,Ashburn,VA,1 Lap,Crosshairs/Spy/Bike Dr. Waldorf
15,143936,kevin,horvath,Chesapeake,VA,1 Lap,RunRideRace
16,390745,Dave,Provine,Millersville,MD,1 Lap,Sportif Coaching Group
17,321868,Shauna,Sweet,Washington,DC,1 Lap,
18,289426,Jennifer,Pope,Norfolk,VA,1 Lap,Rogue Velo Racing
19,187243,Paul,Evans,Park Hall,MD,1 Lap,Bayside Velo/Bike Doctor
20,0,PAUL,WOLFE,,,1 Lap,
21,0,JASON,BLADES,,,2 Lap,

10/13/2013 Cyclo-cross Men Masters CAT 1/2/3 35+
Place,License #,First,Last,City,State,Time,Team
1,58994,Jerzy,Wozniak,Winchester,VA,46:28.7,Winchester Wheelmen
2,263489,Raul,Rojas,Rockville,MD,46:40.8,DCMTB
3,2065,Kristopher,Auer,Baltimore,MD,47:09.9,C3-Twenty20 Cycling co.
4,253808,Jay,Lazar,Baltimore,MD,47:38.0,C3-Twenty20 Cycling Co.
5,9439,Jeff,Dickey,Arlington,VA,48:37.8,Scott Pro Mountain Bike Team
6,358550,John,Mcgreevy,Reston,VA,48:54.2,
7,140403,johnny,may,Baltimore,MD,48:56.0,C3 Twenty20 Cycling
8,57561,Michael,Birner,Woodbine,MD,49:16.1,Sportif Coaching Group/Patapsco Bike and Sport
9,241286,Joe,Lillibridge,Finksburg,MD,49:21.9,C3 - Twenty20Cycling
10,250286,Daryl,Grissom,Reston,VA,49:27.2,Celerity Cycling p/b Brooks Systems
11,191682,Matt,Carroll,Ashburn,VA,49:35.2,Evolution Cycling Club p/b Long & Foster
12,8975,Jimmy,Deaton,Virginia Beach,VA,49:41.7,Rogue Velo Racing
13,23467,Chris,MCGIll,Brentwood,MD,49:42.2,Crosshairs/Spy/Bike Dr. Waldorf
14,205055,Michael,Hosang,Virginia Beach,VA,49:53.4,757CX
15,282645,Neil,Schirmer,Boulder,CO,50:14.3,Clean Currents p/b Beyer Kia
16,0,Chris,Harshman,,,50:30.3,Sportif Coaching Group/Patapsco Bike & Sport
17,159286,Steve,Fife,Herndon,VA,50:44.1,BIKE DOCTOR p/b DigiSource
18,111782,Brian,Rist,Crownsville,MD,51:07.1,BIKE DOCTOR p/b DigiSource
19,95748,Michael,Vanderbilt,Arlington,VA,51:15.1,V-Day
20,157667,Evan,Ellicott,Riverdale,MD,51:33.9,Bike Doctor p/b DigiSource
21,136519,Erik,Leaver,Silver Spring,MD,51:55.6,NCVC/UnitedHealthcare
22,386030,Daniel,Proulx,Ellicott City,MD,53:01.8,Kelly Benefit Strategies/LSV
23,58598,Dave,Fuentes,Herndon,VA,53:02.7,SEAVS/Haymarket p/b Soigneur
24,123810,Mike,Seek,Norfolk,VA,53:29.5,Rogue velo racing
25,252843,Joseph,Ashman,Silver Spring,MD,53:30.6,Walts Bicycle & Fitness
26,301319,Michael,Webber,Mill Valley,CA,53:56.3,C3-Twenty20 Cycling Company
27,72125,Jeff,Chun,Gambrills,MD,53:58.7,BIKE DOCTOR p/b DigiSource
28,155623,Jerry,Hadley,Chesapeake,VA,55:10.5,RogueVelo Racing
29,93522,Will,Mahler,Lancaster,PA,1 Lap,Team Max Power

10/13/2013 Cyclo-cross Men Masters CAT 3/4/5 35+ 45+
Place,License #,First,Last,City,State,Time,Team
1,70353,Eric,Sorensen,Annandale,VA,40:13.2,VeloWorks / Spokes Etc.
2,82690,Tony,Doll,Dallastown,PA,40:15.2,Keystone Velo P/B Nuts About Granola & Hoffman Diecast
3,242152,Paul,Bayne,Annapolis,MD,40:15.5,Kelly Benefit Strategies/LSV
4,359167,Jon,Anderson,Silver Spring,MD,40:18.1,Route 1 Velo/Arrow Bicycle
5,70009,Constantinos,Tombras,Arlington,VA,40:18.3,Squadra Coppi/Vapiano USA
6,83935,Charles,Biro,Washington,DC,40:45.5,Route 1 Velo/Arrow Bicycle
7,42896,John,Hostetter,Perryville,MD,40:51.5,C3-Twenty 20 Cycling Co.
8,143961,Mark,Sypher,Fairfax,VA,40:57.9,SEAVS/Haymarket
9,351658,Daniel,Klaussen,Arlington,VA,41:04.6,Squadra Coppi/Vapianos
10,267703,Mark,Stahl,Vienna,VA,41:17.5,Haymarket Bicycles/SEAVS Racing
11,368766,Matthew,Buckleman,Bel Air,MD,41:25.8,Adventures For The Cure
12,95106,Brandon,Lumm,Bethesda,MD,41:35.6,Route 1 Velo
13,343090,Robert,Strohmeyer,Mount Airy,MD,41:41.0,Sportif Coaching Group/Patapsco Bike and Sport
14,378913,Ivan,Baker,Silver Spring,MD,41:41.2,Crosshairs/Spy/Bike Dr. Waldorf
15,6668,Chris,Chase,Arlington,VA,42:08.6,Contender Bicycles
16,383996,Matthew,O'Byrne,Ellicott City,MD,42:22.1,Adventures for the Cure
17,17003,Scott,Huddleston,Arlington,VA,42:24.6,1412 Velo Club
18,229567,John,Rohrer,Baltimore,MD,42:30.3,Team BBC
19,308843,Ryan,Jenkins,Reston,VA,42:31.1,The Bike Lane
20,339120,Jason,Stephens,Silverspring,MD,42:32.2,Syn-Fit Race Team
21,308958,Alexander,Castro,Ashburn,VA,42:33.7,Crosshairs/Spy/Bike Dr. Waldorf
22,282922,Michael,Thaxton,Annapolis,MD,42:53.5,Annapolis Bicycle Racing Team
23,300362,Mike,Hoffman,York,PA,42:58.5,Keystone Velo Club
24,301032,Guilherme,Roschke,Silver Spring,MD,43:10.5,Sportif Coaching Group/Patapsco Bike & Sport
25,31862,George,Schulz,Alexandria,VA,43:15.5,The Bike Lane
26,233114,Brian,Schmierer,Washington,DC,43:17.1,DCMTB
27,25988,Ryan,Newill,Alexandria,VA,43:26.0,Crosshairs/Spy/Bike Dr. Waldorf
28,221236,Brian,Geary,Rockville,MD,43:36.9,Sportif Coaching Group/Patapsco Bike & Sport
29,291750,David,Jenkinson,Haymarket,VA,43:53.6,Haymarket bike
30,180654,Jeffrey,Sheehan,California,MD,44:01.4,Bike Doctor Waldorf / SoMD Crew
31,227404,Iain,Banks,Bowie,MD,44:04.5,Annapolis Bicycle Racing Team
32,233394,Scott,Renda,Seattle,WA,44:05.4,NCVC/UnitedHealthcare
33,360991,michael,brenneman,York,PA,44:11.8,Keystone Velo-P/B Nuts About Granola & Hoffman Diecast
34,259726,Jason,Glitz,Baltimore,MD,44:17.4,C3-Twenty20 Cycling Co.
35,6677,Robert,Chase,Arlington,VA,44:39.5,Contender Bicycles
36,121627,Shane,McCready,York,PA,44:48.2,Keystone Velo P/B Nuts About Granola & Hoffman Diecast
37,288789,Ron,Edwards,Washington,DC,44:52.8,DCMTB
38,263491,David,Tucker,Broadlands,VA,44:57.3,Bicycle Outfitters Racing Team
39,388129,Stuart,Wright,College Park,MD,45:04.6,
40,163959,William,McCarthy,Washington,DC,45:20.7,Crosshairs/Spy/Bike Dr. Waldorf
41,199059,Charlie,Kearns,Washington ,DC,45:30.6,Crosshairs/Spy/Bike Dr. Waldorf
42,325628,Jonathan,Hanson,Middletown,VA,45:49.1,Winchester Wheelmen
43,75368,Denzil,Hathway,Millersville,MD,45:50.3,Annapolis Bicycle Racing Team
44,171470,David,Tambeaux,Columbia,MD,45:56.2,Crosshairs/Spy/Bike Dr. Waldorf
45,334202,Eric,Crandell,Suffolk,VA,46:00.7,Rogue Velo Racing
46,171051,Robert,Helms,Baltimore,MD,46:04.3,Kelly Benefit Strategies/LSV
