Rick Newhouse Ninigret Criterium in Charlestown RI Results

04/20/2013 Criterium Men pro/1/2/3
Place,License #,First,Last,City,State,Time,Team
1,197469,Luciano,Pavan,Fitchburg,MA,1:12:36,MetLife - NorEast Cycling Team
2,293161,Andrew,Goodale,Maynard,MA,1:12:36,C.F. Racing | racecf.org
3,305773,stephen,hyde,Easthampton,MA,1:12:36,JAM FUND/NCC/VITTORIA
4,283275,John,Harris,Ledyard,CT,1:12:36,Aetna Cycling Team P/B Charles Coaching
5,46238,Peter,Vollers,Reading,VT,1:12:46,KMS/Start House Cycling Team
6,226301,Austin,Vincent,Simsbury,CT,1:12:46,C.F. Racing
7,99994,John,Badessa,Warwick,RI,1:12:46,Arc En Ciel Racing Team
8,223454,David,Hoyle,Newington,CT,1:12:46,Aetna Cycling Team p/b Charlescoaching.com
9,47974,William,Yabroudy,Coventry,RI,1:12:50,NBX Bikes
10,234564,Peter,Goguen,Hopedale,MA,1:12:54,C.F. Racing | racecf.org
11,299661,Stefano,Zanotti,New Britain,CT,1:13:01,Createx - Benidorm - Eastern Bloc
12,209949,Emmanuel,Goguen,Hopedale,MA,1:13:09,C.F. Racing | racecf.org
13,301686,Sam,Rosenholtz,Brookline,MA,1:13:09,Green Line Velo
14,278956,Sean,McCarthy,Easthampton,MA,1:13:09,Champion System p/b Stan's NoTubes
15,293409,Ryan,Serbel,Douglassville,PA,1:13:09,Aetna Cycling Team p/b The CCAP
16,163893,Timothy,Ratta,Guilford,CT,1:13:09,Cheshire Cycle Racing
17,54411,Jeremy,Brazeal,Manchester,CT,1:13:09,Bethel Cycle Sport Club
18,311452,Alec,Cunningham,Cheshire,CT,1:13:09,C.F. Racing | racecf.org
19,199984,Peter,Bell,Cambridge,MA,1:13:09,MetLife - NorEast Cycling Team
20,55755,Skip,Foley,Concord,MA,1:13:09,TIME - Velo Pasadena Team
21,318898,Chad,Young,Newmarket,NH,1:13:09,Hot Tubes Development Cycling Team Inc.
22,48893,Todd,Buckley,Richmond,RI,1:13:09,Arc En Ciel Racing Team
23,349570,Geoffrey,Bouchard,Coventry,RI,1:13:09,NBX/Narragansett Beer/Apex
24,259600,Brad,Warren,Lunenburg,MA,1:13:09,J.A.M FUND / NCC
25,349800,Christopher,Merola,Northampton,MA,1:13:09,GREEN LINE VELO Driven by Zipcar
26,48618,Richard,Rusk,Exeter,RI,1:13:09,Arc-En-Ciel Racing Team
27,326702,Timothy,Ahearn,Woodstock,CT,1:13:09,
28,21706,Jonathan,Lowenstein,North Kingstown,RI,1:13:09,Clif Bar/Pactimo
29,199084,Adam,Sullivan,North Kingstown,RI,1:13:09,Embrocation/Gaulzetti Cicli
30,145271,Mukunda,Feldman,Easthampton,MA,lap,J.A.M FUND / NCC
31,243844,Dan,Ouellette,Westminster,MA,lap,J.A.M. FUND/NCC

04/20/2013 Criterium Men Master Master 30-99
Place,License #,First,Last,City,State,Time,Team
1,129914,Alec,Donahue,Easthampton,MA,0:52:38,JAM fund / NCC
2,132031,David,Potter Jr,Tiverton,RI,0:52:38,Arc En Ciel Racing Team
3,167407,Bill,Shattuck,Bridgewater,MA,lap,Corner Cycle
4,62457,Jason,Croteau,Webster,MA,lap,Clif Bar/Pactimo
5,236181,Chris,Grady,Douglas,MA,lap,Arc-en- Ciel Racing
6,145271,Mukunda,Feldman,Easthampton,MA,lap,JAM fund / NCC
7,174497,Anthony,Giguere,Winslow,ME,lap,
8,236879,Mike,Nadeau,Montgomery,MA,lap,TYC Racing
9,349968,Jason,Candee,Lenox ,MA,lap,Berkshire Bike and Board

04/20/2013 Criterium Men Master Master 40-99
Place,License #,First,Last,City,State,Time,Team
1,127424,Tobi,Schultze,Foxboro,MA,0:55:45,Sports T.E.A.M.
2,132031,David,Potter Jr,Tiverton,RI,0:55:45,Arc En Ciel Racing Team
3,167407,Bill,Shattuck,Bridgewater,MA,0:55:45,Corner Cycle
4,38789,Kyle,Wolfe,Brattleboro,VT,0:55:45,Unattached
5,12620,John,Gadrow,South Kingstown,RI,0:56:43,Cox Communications / WE Stedman
6,48618,Richard,Rusk,Exeter,RI,0:56:43,Arc-En-Ciel Racing Team
7,20786,Richard,Legault,Sterling,CT,0:56:43,Arc En Ciel Racing Team
8,27519,Eric,Pearce,Tucson,AZ,0:56:43,Arc En Ciel Racing Team
9,82034,Monte,Frank,Sandy Hook,CT,0:57:50,Verge Sport
10,48893,Todd,Buckley,Richmond,RI,0:57:50,Arc En Ciel Racing Team
11,8380,Paul,Curley,Taunton,MA,0:57:50,Spin Arts Cycling
12,75105,David,Kellogg,Providence,RI,0:57:50,Arc-En-Ciel Racing Team
13,0,Gary,Aspnes,,,lap,ccb
14,25187,Samuel,Morse,Cohasset,MA,lap,Corner Cycle Cycling Club
15,240990,John,Laupheimer,Lincoln,MA,lap,Bikeway Source/Bell Lap Racing
16,221594,Amy,McGuire,Jamaica Plain,MA,lap,FCS|Zngine p/b Mr. Restore
17,146541,Steven,Bonadio,San Diego,CA,lap,Arc En Ciel Racing Team
18,46677,Jim,Peters,North Kingstown,RI,lap,NBX/Narragansett Beer/Apex
19,63938,Eucledes,Amado,Pawtucket,RI,lap,Cox Communications / WE Stedman
20,236181,Chris,Grady,Douglas,MA,lap,Arc-en- Ciel Racing

04/20/2013 Criterium Men Master Master 50-99
Place,License #,First,Last,City,State,Time,Team
1,22572,Eiric,marro,Nashua,NH,0:56:18,Sunapee/SRT
2,65025,Michael,Maloney,Chepachet,RI,0:56:18,Cyclonauts Racers Inc.
3,27519,Eric,Pearce,Tucson,AZ,0:56:18,Arc En Ciel Racing Team
4,204148,Kevin,Hays,Newton,MA,0:56:18,Arc-En-Ciel Racing Team
5,305051,Mitchell,Favreau,Mystic,CT,0:58:31,Mystic Velo Club
6,91637,James,Themig,Niantic,CT,0:58:36,Mystic Velo Club
7,32365,Timothy,Shea,Amherst,NH,0:58:36,BLUE STEEL CYCLERY
