Mike Horgan Hill Climb in Boulder CO Results

06/16/2013 Hill Climb Men JM 10-12
Place,License #,First,Last,City,State,Time,Team
1,363511,Colin,Szuch,Evergreen,CO,0:18:46.0,Altitude Cycling
2,379737,Nathan,Pawlak,Boulder,CO,0:19:17.0,Boulder Junior Cycling
3,318174,Oliver,Hart,Boulder,CO,0:20:52.0,Boulder Junior Cycling
4,402152,Caleb M,Schroder,Highlands Ranch,CO,0:22:25.0,
DNF,363839,Joshua,Judson,Boulder,CO,DNF,IC3Colorado

06/16/2013 Hill Climb Men JM 13-14
Place,License #,First,Last,City,State,Time,Team
1,377539,Trevor,Christofferson,Greenwood Village,CO,0:16:00.0,International Christian Cycling Club
2,362707,Ethan,Wright,Boulder,CO,0:16:25.0,Boulder Junior Cycling
3,362582,Simon,Castagneri,Littleton,CO,0:16:33.0,Black Sheep Junior Cycling
4,363910,Gregory,Townsend,Bennett,CO,0:21:29.0,
DNF,399736,Jack M,Stenson,Denver,CO,DNF,Black Sheep Junior Cycling

06/16/2013 Hill Climb Men JM 15-16
Place,License #,First,Last,City,State,Time,Team
1,284765,Stephen J,Haas,Lakewood,CO,1:39:54.0,Black Sheep Junior Cycling
2,327650,Colby,Lange,Edwards,CO,1:40:41.0,
3,278243,Aaron,Sigman,Highlands Ranch,CO,1:44:42.0,Black Sheep Junior Cycling
4,378385,Isaac,Sheets,Loveland,CO,1:44:54.0,
5,384101,Jackson,Hootman,Denver,CO,1:44:58.0,ColoBikeLaw.com
6,367662,Evan,Kjosen,Littleton,CO,1:46:19.0,Black Sheep Junior Cycling
7,283751,Maxl R,Freeman,Lakewood,CO,1:48:23.0,Black Sheep Junior Cycling
8,347622,Landry,Bobo,Colorado Springs,CO,1:53:52.0,Front Rangers Junior Cycling
9,351364,Joshua,Schroeder,Lakewood,CO,1:54:07.0,International Christian Cycling Club
10,400384,Chase A,Klug,Aurora,CO,2:03:00.0,ColoBikeLaw.com

06/16/2013 Hill Climb Men JM 17-18
Place,License #,First,Last,City,State,Time,Team
1,363173,Max,Schmidtmann,Nederland,CO,2:11:55.0,Black Sheep Junior Cycling

06/16/2013 Hill Climb Men SM 3
Place,License #,First,Last,City,State,Time,Team
1,277074,Gage,Hecht,Parker,CO,1:30:33.0,Team Specialized Racing Juniors
2,202401,Brett A,Rindt,Fort Collins,CO,1:30:37.0,Rocky Mountain Road Club
3,329220,John R,Babcock,Arvada,CO,1:31:05.0,
4,161897,Spencer,Powlison,Boulder,CO,1:32:56.0,Evol Elite Racing
5,310677,Andrew J,Loaiza,Plattsburgh,NY,1:35:34.0,Rocky Mountain Road Club
6,224217,Kevin,Flanagan,Denver,CO,1:35:46.0,Cycleton
7,184012,Mark,Erickson,Denver,CO,1:37:11.0,Lathram Financial/MHCS
8,32306,Mike,Sharkey,Arvada,CO,1:38:23.0,Boulder Cycle Sport
9,224450,Frederick,Dreier,Golden,CO,1:40:32.0,Century Road Club Assoc
10,361094,Kyle,Erickson,Morgan Hill,CA,1:41:40.0,Natural Grocers Cycling Team
11,358390,Andy,Johnson,Louisville,CO,1:43:00.0,Sonic Boom Racing Team
12,121746,Nick B,Payne,Henderson,CO,1:45:59.0,
13,376368,Ian K,London,Denver,CO,1:49:31.0,Primal Wear - McDonald-Audi
14,126532,Daimeon,Shanks,Boulder,CO,1:52:27.0,GS Panache
15,353060,Joseph,Teynor,Denver,CO,1:56:00.0,Primal Wear - McDonald-Audi
DNF,342900,Thomas,Wavrin,Belle Plaine,MN,DNF,Minnesota Junior Cycling Inc.

06/16/2013 Hill Climb Men SM 35+ 1-2
Place,License #,First,Last,City,State,Time,Team
1,260369,Frank D,Zoldak,Boulder,CO,1:28:05.0,Groove Subaru-Alpha Bicycle Co
2,224161,Matthew,Segur,Golden,CO,1:30:00.0,Rocky Mountain Cancer Centers Cycling Team
3,123682,Marc,Holbert,Boulder,CO,1:30:00.0,Rocky Mountain Cancer Centers Cycling Team
4,109998,Matthew M,Gates,Boulder,CO,1:31:03.0,Rocky Mountain Cancer Centers Cycling Team
5,14262,Phillip B,Gronniger,Castle Rock,CO,1:31:28.0,Groove Subaru-Alpha Bicycle Co
6,154867,Eric B,Jones,Westminster,CO,1:34:49.0,Rally Sport Cycling Team
7,59443,Brian,Krombein,Highlands Ranch,CO,1:35:54.0,Groove Subaru-Alpha Bicycle Co
8,52318,Brent,Webb,Highlands Ranch,CO,1:38:55.0,Groove Subaru-Alpha Bicycle Co
9,78794,Patrick,Gallegos,Boulder,CO,1:44:03.0,8 Sixteen Racing
DNF,173244,Grant,Holicky,Boulder,CO,DNF,Boulder Orthopedics

06/16/2013 Hill Climb Men SM 35+ 3
Place,License #,First,Last,City,State,Time,Team
1,363465,Gary,Holt,Highlands Ranch,CO,1:31:22.0,VOLO Cycling p/b RMSS
2,363079,Michael,Brill,Evergreen,CO,1:36:24.0,Racer X Cycling
3,359081,Eric R,Long,Boulder,CO,1:36:47.0,Real D-Amgen Masters Cycling
4,238074,James,Bedrosian,Boulder,CO,1:37:22.0,Boulder Cycle Sport
5,370843,Mark,Johnson,Boulder,CO,1:37:35.0,
6,188785,Andrew,Johnson,Erie,CO,1:37:42.0,
7,364432,Jon,Smela,Loveland,CO,1:38:20.0,Team Rio Grande
8,338,Jon W,Alegranti,Superior,CO,1:39:58.0,
9,286890,Mike,Schaumloeffel,Boulder,CO,1:41:23.0,Team Rio Grande
10,59942,Kevin S,Chadwick,Denver,CO,1:42:20.0,Prestige Imports/ZUMXR
11,167284,Shawn,Kingrey,Pueblo,CO,1:43:17.0,Team Body Sync
12,47922,Steven,Alschuler,Albuquerque,NM,1:44:35.0,High Desert Bicycles Team
13,364256,Scott,Meadows,Erie,CO,1:48:12.0,Louisville Velo Club/ Team Louisville Cyclery
14,364413,Bryce,Wemple,Fort Collins,CO,1:51:07.0,Team Rio Grande
DNF,362506,Ralph,Toka,Lakewood,CO,DNF,Racer X Cycling
DNF,370845,John,Coletta,Orinda,CA,DNF,Real D-Amgen Masters Cycling

06/16/2013 Hill Climb Men SM 35+ 4
Place,License #,First,Last,City,State,Time,Team
1,363292,Chris,Burke,Boulder,CO,1:34:46.0,Real D-Amgen Masters Cycling
2,392362,Robert T,Jacobs,Littleton,CO,1:35:04.0,Twin Peaks CyclingInc
3,363289,Matt,Davies,Boulder,CO,1:38:53.0,Boulder Cycle Sport
4,363702,Aaron,Macarelli,Golden,CO,1:38:53.0,Twin Peaks Racing
5,363376,Kevin,Poziombke,Wheat Ridge,CO,1:39:07.0,Racer X Cycling
6,367857,Eric,Brodis,Littleton,CO,1:39:41.0,Racer X Cycling
7,331160,Clyde,Wright,Denver,CO,1:42:50.0,Rocky Mountain Road Club
8,363047,Adam,Sloan,Denver,CO,1:43:00.0,Rocky Mountain Road Club
9,392791,dan,berger,Denver,CO,1:43:53.0,Louisville Velo Club/ Team Louisville Cyclery
10,363048,Jeff,Cox,Arvada,CO,1:44:00.0,Team Rocky Mountain Health Plans
11,349652,Jamy,Bacchus,Denver,CO,1:44:17.0,Berkeley Bicycle Club (BBC)
12,367439,Michael,Magluilo,Boulder,CO,1:44:49.0,Rocky Mountain Road Club
13,364107,Robert,Cope,Erie,CO,1:47:03.0,Sonic Boom Racing Team
14,363491,El,Najjar,Denver,CO,1:47:47.0,Sonic Boom Racing Team
15,363572,Rudy,Schuster,Fort Collins,CO,1:54:58.0,Peloton-Specialized Cycling Team
16,246657,Christopher,Smith,Boulder,CO,1:55:56.0,
17,375273,Shawn D,Rucks,Boulder,CO,1:57:52.0,Real D-Amgen Masters Cycling

06/16/2013 Hill Climb Men SM 4
Place,License #,First,Last,City,State,Time,Team
1,362842,Samuel,Long,Boulder,CO,1:34:20.0,
2,389935,Jason J,Kiefer,Boulder,CO,1:35:42.0,Sports Garage Cycling
3,362754,Ian,Guthrie,Boulder,CO,1:36:32.0,Blue Sky Velo
4,370837,Edwin,Supple,Golden,CO,1:37:35.0,Mines Cycling
5,376387,Bob,Africa,Boulder,CO,1:37:57.0,
6,374594,Darren,Meyer,Parker,CO,1:38:02.0,Prestige Imports/ZUMXR
7,363692,Stuart,Mcknight,Boulder,CO,1:38:49.0,BJC/Panache
8,364249,Fleetwood,Mathews,Boulder,CO,1:41:12.0,Sonic Boom Racing
9,389688,Jesse,Euton,Boulder,CO,1:41:21.0,Boulder Cycle Sport
10,268017,Andrew C,Passmore,Parker,CO,1:41:21.0,VOLO Cycling p/b RMSS
11,364220,Justin,Naab,Boulder,CO,1:41:27.0,Sonic Boom Racing Team
12,263575,Matt P,Dawley,Lafayette,CO,1:42:14.0,xXx Racing
13,303675,Aaron,Buechter,Colorado Springs,CO,1:42:20.0,
14,396464,Luis,Soto,Thornton,CO,1:45:37.0,TheCyclist-Lawyer.com
15,380030,Daniel T,Prutz,Colorado Springs,CO,1:45:59.0,
16,364346,Andrew,Castagneri,Littleton,CO,1:46:06.0,Black Sheep Junior Cycling
17,362695,Connor,Livingston,Centennial,CO,1:48:37.0,ColoBikeLaw.com
18,346390,Jeff,Brown,Highlands Ranch,CO,1:48:59.0,Primal Wear - McDonald-Audi
19,309189,Joseph T,Chiavetta,Fort Collins,CO,1:52:00.0,Colorado State University
20,359756,Cameron B,Brown,Littleton,CO,1:53:08.0,CU Cycling-Boulder
21,389143,Andrew,Lincoln,Denver,CO,1:54:48.0,
22,321678,Malcolm,Tassi,Denver,CO,1:59:57.0,
DNF,361711,Eric,Gregg,Boise,ID,DNF,Twin Peaks Racing

06/16/2013 Hill Climb Men SM 45+ 1-2-3
Place,License #,First,Last,City,State,Time,Team
1,340838,Nate,Llerandi,Lafayette,CO,1:31:42.0,Sonic Boom Racing Team
2,52176,Robert,Dahl,Lafayette,CO,1:33:32.0,Boulder Orthopedics
3,167158,Danny,Suter,Boulder,CO,1:33:36.0,Rally Sport Cycling Team
4,209859,Todd,Robertson,Boulder,CO,1:35:17.0,FRANCO Bicycles Racing
5,8250,Steve T,Crowley,Castle Rock,CO,1:35:32.0,Peloton Racing
6,50587,Joseph,Cooper,Ashland,OR,1:35:51.0,Twin Peaks CyclingInc
7,17448,Peter,Ismert,Denver,CO,1:35:58.0,Rocky Mountain Cancer Centers Cycling Team
8,363052,Gary,Mulder,Boulder,CO,1:36:06.0,Boulder Orthopedics
9,178763,Larry,Marti,Evergreen,CO,1:36:12.0,FRANCO Bicycles Racing
10,61804,Bill,Stalhuth,Boulder,CO,1:36:18.0,Rocky Mountain Cancer Centers Cycling Team
11,46820,Jim,Copeland,Denver,CO,1:36:28.0,Saturn Cycling Team TTIII
12,56261,Marco,Vasquez,Castle Rock,CO,1:38:04.0,Groove Subaru-Alpha Bicycle Co
13,159157,Matt,Vawter,Boulder,CO,1:38:31.0,Rocky Mountain Cancer Centers Cycling Team
14,362716,Steve,Fangman,Lafayette,CO,1:40:19.0,Foxtrot Racing
15,50427,James P,Howe,Lakewood,CO,1:40:38.0,Real D-Amgen Masters Cycling
16,363673,Jeff,Ofsanko,Louisville ,CO,1:43:23.0,Rally Sport Cycling Team
DNF,331184,gary,sharp,Boulder,CO,DNF,Real D-Amgen Masters Cycling
DNF,59361,Tim M,Godby,Louisville,CO,DNF,

06/16/2013 Hill Climb Men SM 45+ 4
Place,License #,First,Last,City,State,Time,Team
1,362505,Bryan,Cook,Highlands Ranch,CO,1:37:17.0,TLR Cycling
2,376700,Mac,Johansen,Longmont,CO,1:37:24.0,
3,363333,Mark,Piquette,Longmont,CO,1:37:31.0,
4,363979,Robert,Dwyer,Denver,CO,1:37:52.0,ColoBikeLaw.com
5,374457,patrick,sullivan,Bailey,CO,1:38:13.0,International Christian Cycling Club
6,363768,Chris,Deigert,Ft. Collins,CO,1:41:38.0,
7,363717,Jeff,Fithian,Boulder,CO,1:41:39.0,Real D-Amgen Masters Cycling
8,364317,Chris,Jezek,Lakewood,CO,1:42:09.0,
9,377290,Frank,Knuettel,Centennial,CO,1:42:42.0,ColoBikeLaw.com
10,362711,Kevin,Eldredge,Denver,CO,1:42:49.0,IC3Colorado
11,189359,G.Scott,Walden,Aurora,CO,1:42:49.0,ColoBikeLaw.com
12,363762,Jeff,Phelps,Sidney,NE,1:44:38.0,Peloton-Specialized Cycling Team
13,374719,Robert,ODonnell,Longmont,CO,1:44:39.0,Rally Sport Cycling Team
14,377351,Marco S,Cornacchione,Boulder,CO,1:44:54.0,
15,384100,Tom,Hootman,Denver,CO,1:45:51.0,ColoBikeLaw.com
16,362839,Rick,Petersen,Bow Mar,CO,1:46:06.0,ColoBikeLaw.com
17,396359,Kenneth,Altshuler,Longmont,CO,1:46:55.0,Racer X Cycling
18,362712,Terry,Gill,Boulder,CO,1:48:06.0,Real D-Amgen Masters Cycling
19,328136,Ralph W,Hart,Boulder,CO,1:48:31.0,Boulder Cycle Sport
20,363315,Murray S.,Willis,Lakewood,CO,1:48:46.0,Altitude Cycling
21,371676,Kurt,Wieck,Laporte,CO,1:49:04.0,
22,200904,Sean P,Foley,Boulder,CO,1:50:14.0,Boulder Cycle Sport
23,363279,Steve,Baird,Highlands Ranch,CO,1:51:28.0,
24,237487,Brad,Tucker,Bow Mar,CO,1:51:33.0,ColoBikeLaw.com
25,127895,Christopher T,Gilbert,Longmont,CO,1:56:05.0,
26,375125,Mark,Templeman,Parker,CO,1:59:09.0,CRC Racing
27,374938,jim c,reagan,Boulder,CO,2:01:13.0,Real D-Amgen Masters Cycling
28,47006,Jeffrey G,Sczechowski,Boulder,CO,2:04:29.0,Sports Garage Cycling
29,158974,Mark,Feeley,Nederland,CO,2:11:23.0,
30,368799,Andrew,Labout,Littleton,CO,2:21:22.0,Racer X Cycling

06/16/2013 Hill Climb Men SM 5
Place,License #,First,Last,City,State,Time,Team
1,289831,Michael,Dunbar,Lakewood,CO,1:37:06.0,Lathram Financial/MHCS
2,232335,Daniel,Rowe,Evergreen,CO,1:39:36.0,
3,362581,Garett,Graubins,Lafayette,CO,1:39:39.0,
4,394485,Michael,Nightingale,Boulder,CO,1:40:04.0,Boulder Running Company Cycling Team
5,401708,Brian J,Sullivan,Boulder,CO,1:44:31.0,
6,296320,Joshua,Metzl,Denver,CO,1:45:15.0,Century Road Club Assoc
7,0,Noel,Bennett,,,1:45:50.0,
8,22790,Damon,Marxer,Boulder,CO,1:48:13.0,
9,382900,Robin,Blenden,Longmont,CO,1:50:52.0,TheCyclist-Lawyer.com
10,392067,Joshua,Lensen,Denver,CO,1:51:14.0,Audi
11,382578,Brenden T,Rowe,Catle Rock,CO,1:54:28.0,Prestige Imports/ZUMXR
12,0,Ryan,Lewis,,,1:54:32.0,
13,407328,Michael E,Stender,Boulder,CO,1:54:58.0,
14,405436,Josh,Benjamin,Denver,CO,1:55:31.0,
15,139263,Ryan,Hoeft,Brighton,MI,1:59:49.0,
16,0,James,Ruger,,,1:59:52.0,
17,309524,JOSE,DELGADO JR,Longmont,CO,1:59:53.0,Sports Garage Cycling
18,0,Steve,Remmert,,,2:00:47.0,
19,75749,Ron,Wright,Boulder,CO,2:01:59.0,
20,0,Robert,Unger,,,2:02:30.0,
21,29064,Rawleigh,Ralls,North Andover,MA,2:02:56.0,
22,229540,Phil,Ragsdale,Lakewood,CO,2:05:39.0,
23,406640,Scott,Silver,Boulder,CO,2:06:31.0,
24,0,Michael,Boud,,,2:07:44.0,
25,395522,Greg,Spahn,Boulder,CO,2:08:33.0,
26,407701,Jon,Robichaud,Boulder,CO,2:28:21.0,
DNF,362906,Ed,Havranek,Denver,CO,DNF,
DNF,27641,John,Pendergraft,Louisville,CO,DNF,
DNF,396013,Eric,Shuemake,Aurora,CO,DNF,TLR Cycling
DNF,0,Brian,Coleman,,,DNF,
DNF,369463,Liam T,OBrien,Highlands Ranch,CO,DNF,IC3Colorado
DNF,243624,Allan,Seabolt,Littleton,CO,DNF,

06/16/2013 Hill Climb Men SM 55+
Place,License #,First,Last,City,State,Time,Team
1,137278,Chris,Leggere,Boulder,CO,1:37:07.0,Rocky Mountain Cancer Centers Cycling Team
2,305328,Steve,Matous,Boulder,CO,1:37:17.0,Rocky Mountain Cancer Centers Cycling Team
3,362715,James,Weir,Denver,CO,1:37:31.0,Real D-Amgen Masters Cycling
4,45530,William,Kellagher,Boulder,CO,1:39:28.0,Rocky Mountain Cancer Centers Cycling Team
5,24665,Rip,Mobus,Denver,CO,1:40:26.0,Great Divide Brewing Company
6,53629,David H,Kruger,Louisville,CO,1:42:06.0,Boulder Orthopedics
7,363359,Callen,Borgias,Centennial,CO,1:42:51.0,Prestige Imports/ZUMXR
8,379690,Will s,Bashan,Steamboat Springs,CO,1:45:35.0,
9,120345,Lennard,Zinn,Boulder,CO,1:47:11.0,Boulder Cycle Sport
10,0,Derek,Davis,,,1:49:40.0,
11,364420,Kim,Workman,Fort Collins,CO,1:50:22.0,Real D-Amgen Masters Cycling
