University of Central Oklahoma Endeavor Games in Edmond OK Results

06/06/2014 Time Trial Men Cat 1/2/3/4/5
Place,License #,First,Last,City,State,Time,Team
1,382392,Jorge,Avalos,Windcrest,TX,,Paralyzed Veterans Racing
2,430855,Jeremy,Mendiaz,Oceanside,CA,,
3,0,Josh,Staads,,,,
4,0,Steven,Olsen,,,,
5,430880,Edgardo,Gonzalezchacon,Miami,FL,,Pro-Cycling Miami
6,429823,Jacob,Waters,Ragley,LA,,Lake Charles Racing
7,375584,Adam,McCann,Oberlin,OH,,Ride 2 Recovery
8,0,Jeff,Waldmuller,,,,
9,48184,John,Masters,Spring,TX,,
10,438344,Omar,Bermejo,Ketchum,ID,,
11,0,Joseph,Gallegos,,,,
12,0,Gerald,Jennax,,,,
13,407058,Frank,Matzke,Saint Augustine,FL,,
14,0,Andy,McCaffery,,,,
15,423582,Jerry,Hochstedler,Fayetteville,NC,,
16,0,Keven,Debois,,,,
17,376259,David,Neumer,Kingston,TN,,Paralyzed Veterans Racing
18,304919,Chris,Stephenson,Pacific Palisades,CA,,
19,0,Timmothy,Conner,,,,
20,0,Mike,Sanders,,,,
21,0,Daryl,Farler,,,,
22,0,Christopher,Tracht,,,,
23,0,James,Johnson,,,,
24,0,Jeremy,Boston,,,,
25,0,Amy,Bruecks,,,,
26,0,Solomon,Revils,,,,
27,0,Emily,Shryock,,,,
28,0,Franz,Walkup,,,,
29,434488,Carl,Morgan,Conyers,GA,,Paralyzed Veterans Racing
30,431639,Rony,Carolus,Hampton,GA,,
31,0,Tai,Du,,,,
