Nordic Valley Grand Opening in Eden UT Results

07/25/2014 Eliminator Men
Place,License #,First,Last,City,State,Time,Team
1,292637,Brett,Denney,Salt Lake City,UT,,
2,114040,Aaron,Phillips,Salt Lake City,UT,,
3,190924,Robert,Saffell,Salt Lake City,UT,,
4,365457,MichaelJohn,Turner,Park City,UT,,Summit Utah Devo
5,440900,Jonathan,Balk,Salt Lake City,UT,,
5,434580,Trace,Williams,Orem,UT,,Summit Utah Devo
5,340240,Kodey,Myers,Logan,UT,,Harristone/Sun Valley Mortgage Cycling T
5,428711,Skylar,Patten,Park City,UT,,Summit Utah Devo
9,427600,Joe,Benson,Murray,UT,,
9,423083,Corey,Spencer,West Haven,UT,,
9,368033,Mike,Turner,Park City,UT,,Summit Utah Devo
9,381411,Mila,Leger Redel,Park City,UT,,Summit Utah Devo
DNS,177354,Rick,Morris,Park City,UT,,
DNS,381988,Bruce,Argyle,Alpine,UT,,

07/25/2014 Cross Country Men Beginner
Place,License #,First,Last,City,State,Time,Team
1,440797,AJ,Heaton,Bountiful,UT,00:31:59.023,
2,306156,Keith,Heaton,Bountiful,UT,00:32:16.446,
3,0,Kaden,Satterthwaite,,,00:53:28.938,
4,371839,Richard,Schneider,Lake Orion,MI,01:07:21.331,

07/25/2014 Cross Country Men Expert/Pro
Place,License #,First,Last,City,State,Time,Team
1,440918,Jacob,Mathewson,Ogden,UT,00:51:59.787,
2,114040,Aaron,Phillips,Salt Lake City,UT,00:52:45.848,
3,292637,Brett,Denney,Salt Lake City,UT,00:54:05.988,
4,278601,Grant,Baron,Cottonwood Heights,UT,00:55:12.748,
5,434580,Trace,Williams,Orem,UT,00:58:29.782,Summit Utah Devo
6,190924,Robert,Saffell,Salt Lake City,UT,00:59:05.961,
7,177354,Rick,Morris,Park City,UT,01:12:33.528,

07/25/2014 Cross Country Men Sport
Place,License #,First,Last,City,State,Time,Team
1,428711,Skylar,Patten,Park City,UT,00:44:27.191,Summit Utah Devo
2,295057,Dustin,Nielsen,Ogden,UT,00:44:40.684,LiVe Well p/b Bountiful Bicycle
3,431720,Estin,Hicke,Park City,UT,00:46:00.133,
4,432180,Daniel,Truong,Salt Lake City,UT,00:47:53.833,
5,440922,Brian,Hicke,Park City,UT,00:48:21.492,
6,440900,Jonathan,Balk,Salt Lake City,UT,00:50:40.539,
7,354446,Joel,Quinn,South Jordan,UT,00:51:03.516,
8,440700,Bowen,Satterthwaite,Eden,UT,00:53:30.178,
9,381411,Mila,Leger Redel,Park City,UT,00:53:41.037,Summit Utah Devo
10,406462,Karen,Holmes,Huntsville,UT,00:53:59.610,
11,432216,John,Twitchell,Saratoga Springs,UT,00:54:55.109,
12,368033,Mike,Turner,Park City,UT,00:56:03.132,Summit Utah Devo
13,381988,Bruce,Argyle,Alpine,UT,00:56:18.889,
14,427600,Joe,Benson,Murray,UT,00:57:07.966,
15,423083,Corey,Spencer,West Haven,UT,00:59:27.777,
16,381659,Gene,Poncelet,North Ogden,UT,01:06:42.929,
DNS,68005,Tyler,Servoss,Farmington,UT,,LiVe Well p/b Bountiful Bicycle

07/25/2014 Cross Country Men Kids 10 & Under
Place,License #,First,Last,City,State,Time,Team
1,0,Colton,Satterthwaite,,,,
2,0,Houston,Lindley,,,,
DNS,439436,Luke,Mueller,South Weber,UT,,
