31st Chris Thater Memorial in Binghamton NY  13902-1766 NY Results

08/24/2014 Criterium Men PRO/1
Place,License #,First,Last,City,State,Time,Team
1,181725,Daniel,Holloway,Boulder,CO,,Athlete Octane
2,52534,Adam,Myerson,Dorchester,MA,,Team SmartStop
3,0,Deivy,Capellan,,,,Team Somerville Bicycle Shop
4,399595,Geron,Williams,Reading,PA,,Champion Systems
5,0,Marc,Hester,,,,Riwal/Upsala
6,177906,David,Guttenplan,Clearwater,FL,,SeaSucker / Guttenplan Coaching
7,380705,Rafael  A.,Meran,New York,NY,,CRCA/Foundation
8,0,James,Williamson,,,,L&M Group Ricoh New Zealand
9,201456,Isaac,Howe,San Diego,CA,,Champion Systems
10,285756,Ian,Keough,Sandwich,MA,,Hot Tubes
11,307642,Evan,Murphy,Portland,OR,,CRCA/Foundation
12,307825,Stalin,Quiterio Cuello,Fort Lee,NJ,,CRCA/Dave Jordan Racing
13,196503,Jerome,Townsend,Princeton,MA,,Joe's Garage CX p/b BikeReg.com
14,126996,Chad,Hartley,Milwaukee,WI,,Athlete Octane
15,0,Christian,Grasmann,,,,Maloja Pushbiker - Fuji
16,0,Stephen,Alexander,,,,CRCA/Foundation
17,186783,Colton,Valentine,Philadelphia,PA,,QCW Cycling
18,0,Grayson,Napier,,,,L&M Group Ricoh New Zealand
19,0,Martin,Hacecky,,,,Maloja Pushbiker - Fuji
20,127239,Brad,Evans,Grand Junction,CO,,Calder Stewart NZ
21,240153,Glenn,Ferreira,Manville,NJ,,Metracycles 54
22,345430,juan carlos,polanco,Tenafly,NJ,,GS Mengoni USA
23,229606,Jesse,Keough,Sandwich,MA,,CRCA/Foundation
24,347396,Chase,Goldstein,Los Angeles,CA,,Stan's NoTubes p/b Proferrin
25,358808,Jonah,Mead Van Cort,Ithaca,NY,,KMS Cycling
26,193035,Brandon,Feehery,Knoxville,TN,,Astellas Cycling Team
27,0,Timothy,Chapman,,,,L&M Group Ricoh New Zealand
28,247838,Thomas,Barnett,Freehold,NJ,,CRCA/Lupus Racing Team
29,0,Cristian,Torres,,,,Montecci
30,291272,Andrew,Seitz,New York,NY,,Kelly Benefit Strategies
31,174590,Joshua,Dillon,Stowe,VT,,Bikereg.com
