Madera County Stage Race in Madera CA Results

03/09/2014 Road Race Men Pro-1-2
Place,License #,First,Last,City,State,Time,Team
1,434257,Garrett,McLeod,,,03:15:20.0,Team H&R BLOCK
2,294912,Zeke,Mostov,San Francisco,CA,03:15:22.0,Hagens Berman U-23
3,256539,Connor,Spencer,San Francisco,CA,03:15:25.0,Fresh Air Bicycles - Focus
4,287487,Bryan,Duke,San Luis Obispo,CA,03:15:29.0,Bear Development Team
5,233607,Samuel,Cerruti,Watsonville,CA,03:15:30.0,Family Cycling Center
6,195008,Scot,Ferguson,Minneapolis,MN,03:15:30.0,Velo Reno Cycling Team
7,289282,Brian,Funk,Menlo Park,CA,03:15:30.0,Metromint Cycling
8,193177,Brennan,Percy,Chico,CA,03:15:30.0,Chico elite p/b Sierra Nevada
9,242560,Vincent,Owens,Fresno,CA,03:15:30.0,Dayka Hackett
10,271685,David,Benkoski,Menlo Park,CA,03:15:30.0,VuMedi Elite Cycling Team
11,255576,Matt,Valencia,Los Altos,CA,03:15:30.0,NCCF/Team Specialized Juniors
12,225407,Willy,Zellmer,Missoula,MT,03:15:30.0,Specialized/NCCF
13,259427,Brent,Emoff,Oakland,CA,03:15:30.0,
14,289582,Tayler,Wiles,Fairfax,CA,03:15:30.0,Specialized Lululemon
15,331752,Sean,McElroy,Palmdale,CA,03:15:30.0,NCCF/Team Specialized Jrs
16,296167,Adrien,Costa, Bend,OR,03:15:30.0,Hagens Berman U23
17,243257,david,mesa,Crockett,CA,03:15:30.0,Fresh Air Bikes - Focus
18,328624,Ryan,Wei,Bethlehem,PA,03:15:30.0,OTR Racing
19,291414,jonathan,Teeter,Santa Rosa,CA,03:15:30.0,Marc pro-strava
20,263055,Torey,Philipp,El Dorado Hills,CA,03:15:30.0,California Giant / Specialized
21,237712,Sam,Bassetti,Santa Rosa,CA,03:15:30.0,5-hour ENERGY/Kenda Racing Team
22,272559,AJ,Snovel,Sacramento,CA,03:15:30.0,Folsom Bike/ VW/ Raley's
23,0,christopher,prendergast,,,03:15:30.0,Team H&R Block
24,402703,Kristofer,Dahl,Winston Salem,NC,03:15:38.0,Team SmartStop
25,311588,Ansel,Dickey,Woodstock,VT,03:15:46.0,California Giant / Specialized
26,234067,Michael,Larson,Bloomington,IN,03:16:00.0,Velo Reno
27,254024,Yannick,Eckmann,Boulder,CO,03:16:08.0,California Giant / Specialized
28,180747,Tyler,Thompson,Reno,NV,03:16:23.0,Velo Reno
29,72893,Rob,Evans,Mill Valley,CA,03:17:34.0,Bear Development Team
30,187296,Nick,Schaffner,Reno,NV,03:29:06.0,Marc Pro - Strava
31,320490,Corey,Duren,Chico,CA,03:39:37.0,Chico elite p/b Sierra Nevada

03/09/2014 Road Race Men Master Master 55-99
Place,License #,First,Last,City,State,Time,Team
1,195443,Erik,Salander,Belmont,CA,02:31:36.0,Peninsula Velo Racing
2,51637,Tracy,Muegge,Fair Oaks,CA,02:31:37.0,3ft - It's The Law
3,235126,Greg,Bollella,Redwood City,CA,02:31:37.0,LuxVue-SunPower Racing / Alto Velo Racing Club
4,46799,josef,lemire,Daly City,CA,02:31:37.0,Team Hammer Nutrition
5,192774,Kevin,Willitts,S Lake Tahoe,CA,02:31:37.0,3Ft - It's The Law
6,276007,Bob,Montague,Aptos,CA,02:31:37.0,Spokesman Bicycles
7,302935,dave,montgomery,Olympic Valley,CA,02:31:37.0,3ft- It's the law
8,304936,Tom,Cesar,Fresno,CA,02:31:37.0,Off The Front Racing Team
9,252241,G Boyd,Tarin,Knightsen,CA,02:31:37.0,Ca Technologies Racing
10,271499,robert,napieralski,Springville,CA,02:31:37.0,Sacramento Golden Wheelmen
11,201588,Douglas,McKenzie,Santa Rosa,CA,02:31:37.0,Fightin' Bobas
12,20326,Jim,Langley,Santa Cruz,CA,02:31:37.0,Spokesman Bicycles
13,195431,Allen,Brumm,San Mateo,CA,02:31:39.0,LuxVue-SunPower Racing
14,13594,Douglas,Gonda,Truckee,CA,02:31:59.0,3Ft - It's The Law
15,304326,Igor,Bulatov,Fresno,CA,02:32:10.0,Off The Front
16,383318,Gregory,Cullen,Los Altos,CA,02:32:10.0,LuxVue-SunPower Racing
17,365060,Mark,Bailey,Los Altos Hills,CA,02:32:11.0,LuxVue-SunPower Racing/Alto Velo Racing Club
18,60756,Steve,Grusis,Madera,CA,02:32:11.0,Off The Front Racing Team
19,130228,Yehuda Packman,Packer,Valley Vlg,CA,02:37:09.0,OTR Los Angeles

03/09/2014 Road Race Men Cat 4/5 Master 35-99
Place,License #,First,Last,City,State,Time,Team
1,393173,Chirag,Asaravala,Alamo,CA,05:32:33.0,Audi
2,393262,Rich,Gellert,Soquel,CA,05:32:33.0,Cycles Fanatic Racing
3,285465,Rolland,Jurgens,Walnut Creek,CA,05:32:33.0,CA Technologies Racing
4,155869,John,Olsen,Pismo Beach,CA,05:32:33.0,ArtsCyclery.com
5,421186,Tony,Rago,Las Vegas,NV,05:32:33.0,Mandalay Bay / McGhies
6,366123,Ben,French,Merced,CA,05:32:33.0,Topsport
7,58416,Gregg,Roh,Sacramento,CA,05:32:33.0,Sacramento Golden Wheelmen
8,135679,Pritpal,Singh,Danville,CA,05:32:33.0,Kovarus / Wells Fargo Racing Team
9,207749,Jerry,Snow,Sacramento,CA,05:32:33.0,Sacramento Golden Wheelmen
10,238691,Troy,Underwood,Reno,NV,05:32:33.0,Sacramento Golden Wheelmen
11,250959,Gregg,Lehman,Vacaville,CA,05:32:40.0,Team Velo Wrench
12,272384,Julio C,Esqueda,Oakland,CA,05:32:40.0,Team Hammer Nutrition
13,376137,Thomas,Higgins,Clovis,CA,05:32:40.0,Dayka-Hackett
14,411062,hoffman,cortes,South Gate,CA,05:32:43.0,
15,335464,Kevin,Davidson,Danville,CA,05:33:43.0,Audi
16,132197,Patrick,O'Rourke,Fresno,CA,05:33:50.0,SBR p/b Steven's Bicycle Shop
17,0,Csaba,Toth,,,05:41:06.0,Decade Software LLC

03/09/2014 Road Race Men Cat 4/5 Master 45-99
Place,License #,First,Last,City,State,Time,Team
1,396886,Darin,Land,Clovis,CA,05:37:51.0,
2,258865,dan,goldsmith,Grass Valley,CA,05:37:51.0,SHO-AIR/SERT
3,195999,Scott,Calley,Monterey,CA,05:37:51.0,MOnterey Bay Racing Team
4,9958,Ken,Doyle,Santa Barbara,CA,05:37:51.0,Polli Veloce
5,375609,Joe,Hicks,Las Vegas,NV,05:37:51.0,Mandalay Bay McGhie's
6,16663,Winson,Hong,Fresno,CA,05:37:51.0,SBR p/b Stevens Bicycles/
7,295313,John,Gates,Goleta,CA,05:37:51.0,Polli Veloce
8,290732,Toby,Katz,Salinas,CA,05:37:51.0,Don Chapin MBRT
9,347700,peter,brisbo,Walnut Creek,CA,05:37:51.0,CA Technologies Racing
10,304119,Keith,Reed,Pleasanton,CA,05:37:51.0,Cushman & Wakefield
11,56304,Peter,Gemmell,Sacramento,CA,05:37:51.0,Body Concepts
12,294020,Jeff,Tanforan,Orangevale,CA,05:37:51.0,Team BP/Sierra Nevada/Reliable
13,205902,Mitch,Karno,Santa Barbara,CA,05:37:51.0,Polli Veloce
14,201760,Wes,Barton,Redondo Beach,CA,05:37:55.0,
15,257941,Stephen,Mason,Folsom,CA,05:37:55.0,SJBC
16,242028,Kevin,O'Donnell,Greenbrae,CA,05:37:56.0,Cushman Wakefield Racing
17,195944,Matt,Conidaris,Gold River,CA,05:38:02.0,Body Concepts
18,361188,Peter,Soelkner,San Ramon,CA,05:38:33.0,CA Technologies Racing
19,216231,Jeffrey,Kato,San Rafael,CA,05:38:37.0,
20,388340,DAVID,VENESKI,Fresno,CA,05:39:08.0,Off The Front Racing Team
21,332694,Marc,Trucano,Vacaville,CA,05:40:10.0,Team Velo Wrench
22,3543,David,Bertram,Fairfield,CA,05:40:10.0,
23,378462,Paul,Young,Morgan Hill,CA,05:51:27.0,SJBC
24,229180,Bob,Ebe,Lafayette,CA,05:51:35.0,Cushman & Wakefield Racing
25,300211,Lance,Burger,Fresno,CA,05:58:03.0,Dayka-Hackett

03/09/2014 Road Race Men Cat 1/2/3 Master 35-99
Place,License #,First,Last,City,State,Time,Team
1,6109,Matthew,Carinio,San Luis Obispo,CA,02:48:50.0,ArtsCyclery.com
2,80925,Craig,Roemer,Petaluma,CA,02:48:50.0,Team Specialized/Touchstone
3,26205,Lawrence,Nolan,Fremont,CA,02:48:50.0,Team Specialized Racing Masters
4,304360,Oliver,Ryan,Mill Valley,CA,02:48:50.0,Team Mike's Bikes p/b Equator Coffees
5,250319,Michael,Ricks,Stockton,CA,02:48:50.0,Michael David Winery Cycling Team
6,197844,Jonathan,Eropkin,Fresno,CA,02:48:50.0,SAFEWAY/PureRED/Bicycles Plus
7,360114,Noah,Grassi,Las Vegas,NV,02:48:50.0,Les Rois
8,204739,Jesse,Moore,Sacramento,CA,02:48:50.0,Folsom Bike/VW/Raley's
9,35297,Nick,Theobald,Burlingame,CA,02:48:50.0,SAFEWAY/PureRED/Bicycles Plus
10,236346,scott,herring,Sausalito,CA,02:48:50.0,Team Specialized Racing Masters
11,331322,Scott,Bromstead,Walnut Creek,CA,02:48:50.0,Team Mike's Bikes p/b Equator Coffees
12,248052,Michael,Claudio,West Sacramento,CA,02:48:50.0,Red Peloton
13,29369,Blake,Reed,Grover Beach,CA,02:48:50.0,ArtsCyclery.com
14,48984,Patrick,McClurg,Citrus Heights,CA,02:48:50.0,Folsom Bike/VW/Raley's
15,195929,Dan,Bryant,Carmichael,CA,02:48:50.0,Folsom Bike/VW/Raley's
16,40657,Curtis,Eastin,Clovis,CA,02:48:50.0,Dayka-Hackett
17,27378,David,Passmore,Redwood City,CA,02:48:50.0,Specialized/Touchstone Masters
18,333136,Sean,Brandt,Alameda,CA,02:48:50.0,Studio Velo
19,208769,Hanns,Detlefsen,Concord,CA,02:48:50.0,CA Technolgies
20,291426,Christian,Hobbs,Corte Madera,CA,02:49:04.0,Team Mike's Bikes p/b Equator Coffee
21,127804,Jeffrey,Galland,Paradise,CA,02:49:52.0,ZIPZ CYCLING TEAM
22,267171,Chris,Lyman,Napa,CA,02:49:52.0,Folsom Bike/VW/Raley's
23,288732,Scott,Cox,El Sobrante,CA,02:50:40.0,Team Mike's Bikes p/b Equator Coffees
24,218958,Patrick,Hampton,Cambria,CA,02:56:37.0,ArtsCyclery.com

03/09/2014 Road Race Men Cat 1/2/3 Master 45-99
Place,License #,First,Last,City,State,Time,Team
