Redlands Bicycle Classic Criteriums  in Redlands CA Results

04/06/2014 Criterium Men Cat 1/2/3/4/5 Master 55+
Place,License #,First,Last,City,State,Time,Team
1,45364,Thomas,Gates,La Mesa,CA,,Moab/Middle Tennessee Velo
2,52086,Cyril,Hunte,Rancho Cucamonga,CA,,
3,285925,David,Fetah,Laguna Niguel,CA,,Pinnaclife Racing Team
4,54084,Lothar,Cramer,Laguna Niguel,CA,,
5,107559,Rodney,Malloy,Los Angeles,CA,,Bahati-WTR
6,294469,David,Burks,Big Bear City,CA,,Team Redlands
7,148853,Dale,Raymond,Corona,CA,,Swami's Cycling Club
8,120335,Dan,DeMuth,Redlands,CA,,Team Redlands
9,391237,Russ,Hall,Redlands,CA,,Citrus Valley Velo
10,377963,jim,williamson,Fontana,CA,,
11,167453,Bob,Estupinan,Redlands,CA,,Citrus Valley Velo

04/06/2014 Criterium Men Cat 1/2/3/4/5 Master 60+
Place,License #,First,Last,City,State,Time,Team
1,47255,Michael,Birditt,Escondido,CA,,SKLZ-Swami's Cycling Team
2,47262,Dale,Luedtke,Oceanside,CA,,SKLZ-Swami's Cycling Team
3,54522,Kalman,Szkalak,Capistrano Beach,CA,,UC Cyclery/JW Floors
4,104553,Paul,Rodriguez,Fremont,CA,,
5,219074,Leo,Pettus,Yorba Linda,CA,,Paramount Racing
6,52251,Ricky,Shorts,Long Beach,CA,,Team Velocity
7,180386,John,McKee,Westminster,CA,,Paramount Racing
8,61193,John,Wagenaar,La Mesa,CA,,SDBC/EMERALD TEXTILES
10,34753,Rick,Swanson,Corona,CA,,SKLZ-Swami's Cycling Team
11,189814,Leo,Longo,Lomita,CA,,South Bay Wheelmen
12,48278,Donald,Davidson,Redlands,CA,,PR Velo
13,277180,John,Roest,Fontana,CA,,SKLZ-Swami's Cycling Team
14,140826,Robert,Mosier,Malibu,CA,,Bahati Foundation/WinTeam Racing
15,271566,Alex,Gonzalez,Alhambra,CA,,Bahati Foundation/WinTeam Racing
16,49424,Howard,Miller,Long Beach,CA,,OCW/Paramount Racing
17,228631,James,Swigart,San Diego,CA,,SDBC/EMERALD TEXTILES

04/06/2014 Criterium Men Cat 1/2/3 Master 35+
Place,License #,First,Last,City,State,Time,Team
1,429625,Silver,Lazzari,,,,
2,216760,Charon,Smith,Signal Hill,CA,,Surf City Cyclery/STERLING BMW
3,293557,Derek,Brauch,Manhattan Beach,CA,,SPY GIANT RIDE p/b MRI
4,58272,Kayle,Leo Grande,Upland,CA,,Surf City Cyclery/STERLING BMW
5,9156,Chris,DeMarchi,Chino,CA,,Monster Media Elite Masters
6,195952,Aaron,Wimberley,Redondo Beach,CA,,SPY GIANT RIDE p/b MRI
7,48052,Randall,Coxworth,San Diego,CA,,Monster Media Elite Masters
8,55670,Steven,Muhle,Scottsdale,AZ,,Athlete Octane
9,35877,Ben,Travis,Cardiff By The Sea,CA,,Surf City Cyclery/STERLING BMW
10,429631,Devis,Cinni,,,,
11,58194,Robert,Kamppila,Cerritos,CA,,Surf City Cyclery/STERLING BMW
12,72715,Patrick,Bos,Valencia,CA,,Surf City Cyclery/STERLING BMW
13,156086,Shawn,VanGassen,San Diego,CA,,Surf City Cyclery/STERLING BMW
14,110745,Michael,Johnson,Mission Viejo,CA,,Monster Media Elite Masters
15,277673,Salvador,Maciel,Chula Vista,CA,,S2C/Primal
16,208896,Tod,Smith,La Crescenta,CA,,Encino Velo Cycling Club
17,0,Elkins,Sean,,,,
18,58752,Andre,Ptak,Las Vegas,NV,,Carefast
19,259408,Marcos,Corona,Irvine,CA,,Paramount Racing
20,397425,Israel,Tapia,Rialto,CA,,Bahati Foundation/WinTeam Racing
21,49283,Michael,Stroud,Irvine,CA,,R5 - Rock Racing
22,160366,Aaron,Gallardo,Woodland Hills,CA,,Serious Cycling
23,259142,Aaron,Goodale,Murrieta,CA,,S2C/Primal
24,3316,Christopher,Bennett,Valley Center ,CA,,S2C/Primal
25,172215,Matthew,Freeman,Redlands,CA,,Team Redlands
26,7230,Scott,Cochran,Riverside,CA,,Monster Media Elite Masters
27,393346,Javier,Urias,Pomona,CA,,S2C/Primal

04/06/2014 Criterium Men Cat 1/2/3 Master 45+
Place,License #,First,Last,City,State,Time,Team
1,112571,Gregory,Lonergan,Manhattan Beach ,CA,,SPY GIANT RIDE p/b MRI
2,424042,Craig,Miller,San Diego,CA,,Swami's Cycling Club
3,263807,Bart,Clifford,Thousand Oaks ,CA,,Monster Media Elite Masters
4,96655,Armin,Rahm,S Pasadena,CA,,ICE SPORTSWEAR Masters Racing
5,15179,Bill,Harris,Garden Grove,CA,,BBI-SIC Cycling
6,69735,John,Slover,Camarillo,CA,,Breakaway from Cancer Masters
