Cherry Blossom Challenge in Newark NJ Results

04/11/2015 Circuit Race Men Masters 35-99
Place,License #,First,Last,City,State,Time,Team
1,149234,Horace,Burrowes,Brooklyn,NY,58:29,We Stand United (W.S.)
1,149234,Horace,Burrowes,Brooklyn,NY,58:29,We Stand United (W.S.)
1,149234,Horace,Burrowes,Brooklyn,NY,58:29,We Stand United (W.S.)
2,47232,William,Elliston,Easton,PA,s.t.,EC Devo
2,47232,William,Elliston,Easton,PA,s.t.,EC Devo
2,47232,William,Elliston,Easton,PA,s.t.,EC Devo
3,35249,Shawn,Teske,Marlton,NJ,s.t.,Pro Pedals Bike Shop
3,35249,Shawn,Teske,Marlton,NJ,s.t.,Pro Pedals Bike Shop
3,35249,Shawn,Teske,Marlton,NJ,s.t.,Pro Pedals Bike Shop
4,52604,Steven,Ward,Rockaway,NJ,s.t.,High Gear/Trek/WW
4,52604,Steven,Ward,Rockaway,NJ,s.t.,High Gear/Trek/WW
4,52604,Steven,Ward,Rockaway,NJ,s.t.,High Gear/Trek/WW
5,362349,Chris,McGinley,Sewell,NJ,9,PS Racing/BTB
5,362349,Chris,McGinley,Sewell,NJ,9,PS Racing/BTB
5,362349,Chris,McGinley,Sewell,NJ,9,PS Racing/BTB
6,282234,Michael,DeGeorge,Washington,NJ,17,High Gear/Trek/WW
6,282234,Michael,DeGeorge,Washington,NJ,17,High Gear/Trek/WW
6,282234,Michael,DeGeorge,Washington,NJ,17,High Gear/Trek/WW
7,282121,Mitchell,Jacaruso,New York,NY,s.t.,The Weather Channel Giant Cycli
7,282121,Mitchell,Jacaruso,New York,NY,s.t.,The Weather Channel Giant Cycli
7,282121,Mitchell,Jacaruso,New York,NY,s.t.,The Weather Channel Giant Cycli
8,230507,Christopher,Fritz,West Creek,NJ,s.t.,Pro Pedals Bike Shop
8,230507,Christopher,Fritz,West Creek,NJ,s.t.,Pro Pedals Bike Shop
8,230507,Christopher,Fritz,West Creek,NJ,s.t.,Pro Pedals Bike Shop
9,31697,Glenn,Schneider,Lake Worth,FL,s.t.,CPO Bikes
9,31697,Glenn,Schneider,Lake Worth,FL,s.t.,CPO Bikes
9,31697,Glenn,Schneider,Lake Worth,FL,s.t.,CPO Bikes
10,17360,Matt,Inconiglios,Stamford,CT,s.t.,Stage 1 / fusionTHINK-VOSS
10,17360,Matt,Inconiglios,Stamford,CT,s.t.,Stage 1 / fusionTHINK-VOSS
10,17360,Matt,Inconiglios,Stamford,CT,s.t.,Stage 1 / fusionTHINK-VOSS
11,211564,Marcello Daniel,Rodio,Clifton,NJ,22,DNK Cycling
11,211564,Marcello Daniel,Rodio,Clifton,NJ,22,DNK Cycling
11,211564,Marcello Daniel,Rodio,Clifton,NJ,22,DNK Cycling
12,230099,John,Landino,Ridgewood,NJ,25,DRV/RCS/DRISCOLL
12,230099,John,Landino,Ridgewood,NJ,25,DRV/RCS/DRISCOLL
12,230099,John,Landino,Ridgewood,NJ,25,DRV/RCS/DRISCOLL
13,89168,Chris,Samuel,Haddonfield,NJ,29,PSCC-Peddler's Shop Cycling Clu
13,89168,Chris,Samuel,Haddonfield,NJ,29,PSCC-Peddler's Shop Cycling Clu
13,89168,Chris,Samuel,Haddonfield,NJ,29,PSCC-Peddler's Shop Cycling Clu
14,290411,Nathan,Archibald,Brooklyn,NY,40,Deno's Wonder Wheel Cycling
14,290411,Nathan,Archibald,Brooklyn,NY,40,Deno's Wonder Wheel Cycling
14,290411,Nathan,Archibald,Brooklyn,NY,40,Deno's Wonder Wheel Cycling
15,60376,Paul,Carbonara,Brooklyn,NY,1:46,Axis Theatre
15,60376,Paul,Carbonara,Brooklyn,NY,1:46,Axis Theatre
15,60376,Paul,Carbonara,Brooklyn,NY,1:46,Axis Theatre
16,65794,Herb,Jimenez,Montclair,NJ,1:47,Finkraft
16,65794,Herb,Jimenez,Montclair,NJ,1:47,Finkraft
