The Plan2Peak Empire Classic Road Race in Java NY Results

06/07/2015 Road Race Men Masters 45+
Place,License #,First,Last,City,State,Time,Team
1,194738,Peter,Hoag,Dansville,NY,2:19:32,CNB/Country Malt Group
2,467295,Jacques,Rusinek,,,2:19:32,Pedalinx - Team Zuck
3,224464,Volodymyr,Spantchak,Fairport,NY,2:24:38,Genesee Vally Cycling Club.
4,291065,Mark,Bartsch,Horseheads,NY,2:29:13,The Bike Zone / Dansville Collision
5,85533,Thomas,Emrich,Henrietta,NY,2:29:18,
6,344084,Richard,Camping,Victor,NY,,Team Towpath/GVCC
7,308270,Nick,Papagni,Buffalo,NY,,Toms pro bike
8,392817,Ed,Hutton,East Aurora,NY,,TBS Racing

06/07/2015 Road Race Men CAT 4/5
Place,License #,First,Last,City,State,Time,Team
1,431612,Matthew,Ronan,Amherst,NY,2:19:32,Independent Health
2,360311,Jason,Quagliata,Rochester,NY,2:19:32,CycleweRx of Rochester / GVCC
3,405642,Alex,Davies,Buffalo,NY,2:19:33,Campus WheelWorks
4,391333,Wilson,Stevens,Buffalo,NY,2:19:33,Campus Wheelworks
5,396644,Robert,Hengel,North Tonawanda,NY,2:19:33,Campuswheelworks
6,250895,Paul,Mattison,Lima,NY,2:19:33,Bristol Mountain Road Race Team
7,383117,Spencer,Perry,Nassau,NY,2:19:34,CBRC
8,311934,Jonathan,Capozzi,Buffalo,NY,2:19:43,Independent Health/Buffalo Bicycling Club
9,378441,Jonathan,Baker,Honeoye Falls,NY,2:22:23,Bristol Mountain Road Racing
10,382105,Fred,Bulken,Syracuse,NY,2:24:39,Syracuse Bicycle Racing
11,414325,Glen,Wallace,Fairport,NY,2:24:39,Once Again Nut Butter Multi-Sport Racing p/b LCC
12,211238,Peter,Pelychaty,Rochester,NY,2:24:39,EFP Rotenberg Cycling Team
13,434376,Trevor,Vowles,Buffalo,NY,2:24:39,TBS Racing
14,367477,Marit,Ogin,Orchard Park,NY,2:24:39,Nickel City Cycles
15,439053,nick,demarchi,Buffalo,NY,2:24:42,Campus Wheelworks
16,424960,Stephen,D'Amico,Spencerport,NY,2:28:45,GVCC
17,360368,Gregory,Cherr,Buffalo,NY,2:29:37,campus wheelworks
18,427752,Zachary,Shine,Geneseo,NY,2:30:36,Once Again Nut Butter Multi-Sport Racing/Livingston Cycling Club
19,59062,Joe,Giovenco,Buffalo,NY,2:31:15,Buffalo Cycling  / Buffalo Bicycling Club
20,425152,Rob,McCarty,,,2:31:43,
21,0,Jeff,Sipos,,,2:41:18,Campus WheelWorks
22,373927,Stephen,rupp,Grand Rapids,MI,2:42:47,
23,383346,Shyri,Marazita,Buffalo,NY,,Campus WheelWorks
24,473227,Dan,Serianni,Rochester,NY,,GVCC
25,423481,Robert,Hoppough,Honeoye,NY,,Once Again Nut Butter Muti-Sport Racing/Livingston Cycling Club
26,157071,John,Crumlish,Buffalo,NY,,campus wheelworks
27,473907,Trevor,McCabe,Avon,NY,,Once Again Nut Butter Multi Sports Race Team
28,427577,Kurt,Lucas,Nunda,NY,,ONCE AGAIN NUT BUTTER RACING
DNF,269136,Patrick,Capuson,St Charles,IL,,TBS Racing
DNF,198115,Traci,Cummings,Williamsville,NY,,TomsProBike/Plan2Peak
DNF,316234,Daniel,Jeske,Marcellus,NY,,
DNF,392055,Jon,Chmielowiec,South Wales,NY,,Campus Wheelworks

06/07/2015 Road Race Men CAT 3
Place,License #,First,Last,City,State,Time,Team
1,424110,Sean,Meyer,Pittsford,NY,2:48:00,Bristol Mountain Road Racing
2,401577,Steven,Mongielo,Buffalo,NY,2:48:01,Campus WheelWorks
3,273302,Ben,Barnhardt,Buffalo,NY,2:49:47,Projekt
4,265565,David,Van Horn,Amherst,NY,2:51:26,Projekt
5,272987,Adam,Trost,Buffalo,NY,2:51:26,TBS Racing
6,387892,Eric,Ingalsbe,Amherst,NY,2:51:30,TBS Racing
7,379553,Jonathan,Siuta,Sanborn,NY,2:54:06,Campus WheelWorks
8,0,Sarah Anne,Rasmussen,,,3:01:29,Independent
9,64690,Dirk,Biemans,Albion,NY,3:01:33,Rust Belt  Racing
10,380463,David,Tate,Camillus,NY,3:01:43,Syracuse Bicycle Racing
11,340222,Rick,Dalton,Rochester,NY,,Bristol Mountain Road Racing
12,382897,Garrett,Lucas,Nunda ,NY,,ONCE AGAIN NUT BUTTER
13,386438,Scott,Cimato,East Concord,NY,,TBS Racing
