NW Cup #2 in Port Angeles WA Results

05/17/2015 Downhill Men Pro
Place,License #,First,Last,City,State,Time,Team
1,181052,Luke,Strobel,Issaquah,WA,00:02:36.35,Evil
2,230753,Charlie,Sponsel,Lake Oswego,OR,00:02:39.56,Gravity/
3,0,Bryce,Stirling,,,00:02:41.30,Oak bay bikes
4,265425,Jake,Grob,Renton,WA,00:02:41.69,Gravity/ Transition racing
5,424874,Weston,Potter,East Wenatchee,WA,00:02:41.88,Diety/ Streamline
6,311006,Kevin,Littlefield,Auburn,WA,00:02:44.68,Specialized/ Gravity/ stevens Pass
7,0,Dale,Russell,,,00:02:45.56,steve peat syndicate
8,0,Trevor,Thew,,,00:02:45.66,Dunbar Cycles
9,375721,Alec,Watts,Vancouver,WA,00:02:45.87,Streamline Bike/ PBR
10,295526,Matt,Orlando,Gig Habor,WA,00:02:45.96,Gravity/ Transition
11,310603,Kole,Wetherell,Clatskanie,OR,00:02:46.63,Transition/ DVO/ Butchard/ Diety
12,327768,Kent,Billingsley,Missoula,MT,00:02:46.93,Missoula bike source
13,0,Colin,Grant,,,00:02:48.11,cowichan cycles
14,287787,Eben,Kiehl,Bellevue,WA,00:02:48.35,
15,302528,Cameron,Hoefer,Bothell,WA,00:02:48.42,Pivot/ Bikesale.com
16,368537,Lucas,Chalcraft,Bonney Lake,WA,00:02:49.26,Gravity Components/ GHY
17,401245,Takoda,Crawford,,,00:02:49.57,Arrowsmith bikes/ Spank Ind.
18,334728,Nikolas,Clarke,Redmond,WA,00:02:50.02,Bikesale.com/ Pivot
19,193517,Boe,McGee,Bellevue,WA,00:02:53.09,
20,292601,Adam,Ransavage,North Bend,WA,00:02:54.19,
21,228041,Tyler,Gilsdorf,Sammamish,WA,00:02:54.85,DHZ seattle racing
22,408224,Luke,Carroll,Florence,OR,00:02:54.97,Norco Cycles/ Natures quest/ Veal bikes plus
23,104216,Jared,Hobbs,Portland,OR,00:02:55.28,River city bicycles/ fox/ oakley
24,286964,Rhys,Ewing,Eugene,OR,00:02:55.60,Diety
25,430893,Gabe,Stark,Bow,WA,00:02:56.40,Kona
26,0,Hayden,Genoud,,,00:02:58.25,Derailed Sports/Santa Cruz
27,185267,Geoff,Ayr,Westfield,MA,00:02:59.49,Trek Renthal Nelson Treehouse
28,114586,Bryan,Crum,Spokane,WA,00:03:01.67,West Coast Racing/ 509/ Fox Shocks/ Bike Hub/ LFDJ/ Gravity Cartel
29,371953,Trevor,Altizer,Kirkland,WA,00:03:01.72,
30,403318,Kasper,Dean,Olympia,WA,00:04:57.26,Bell/ Giro/ Gravity Components
DNF,279077,Rob,Stenson,Bothell,WA,,Bikesale.com/pivot/1oo%

05/17/2015 Downhill Men Cat 3 Junior 0-14
Place,License #,First,Last,City,State,Time,Team
1,0,Dawson,Young,,,00:03:54.78,
2,477751,KAI,Spafford,Bend,OR,00:04:06.60,
3,474256,Talon,Northern,Port Angeles,WA,00:04:09.40,Ndub
4,0,Matt,Mangano,,,00:04:11.78,
5,473755,Michael,Buckley,Monroe,WA,00:04:13.56,
6,430015,Kyle,Strom,Whitefish,MT,00:04:23.99,Great Northern Bike Shop/ Espresso Chalet
7,474258,Morris,Vasser,Seattle,WA,00:04:32.67,
8,474259,Zach,Cohen,Bellevue,WA,00:04:34.86,
9,403733,Braden,Delzer,Gresham,OR,00:04:49.65,Lil shredder bikes/ LOD
10,483486,Cam,Gibb,Redmond,wa,00:04:50.49,Gibb Nation
11,0,Carter,Russell,,,00:05:10.95,Transition Bikes
DNS,0,jake,donovan,,,,mt si mtb

05/17/2015 Downhill Men Cat 3 Junior 15-18
Place,License #,First,Last,City,State,Time,Team
1,483893,Blaise,Hutcheson,Bend,or,00:04:19.03,Sage brush cycles
2,0,Lukas,McWilliam,,,00:04:20.94,
3,476595,Orrich,Waddell,Port Angeles,WA,00:04:38.61,
4,482794,Cooper,Treadwell,Oak Harbor,WA,00:05:03.08,N/A

05/17/2015 Downhill Men Cat 3 Senior 19-39
Place,License #,First,Last,City,State,Time,Team
1,484433,Jonathan,Glasson,Stanwood,WA,00:03:49.49,
2,0,Thomas,Cole,,,00:04:03.22,
3,483135,Andy,Wade,Seattle,wa,00:04:10.13,
4,434163,Mitchell,klungle,Rockford,MI,00:04:13.73,
5,483346,Erik,Zoba,Woodinville,wa,00:04:14.38,
6,0,Nicholas,Omte,,,00:04:48.24,
7,0,Guru,Sunder,,,00:06:15.64,
DNS,0,Christopher,Woodard,,,,

05/17/2015 Downhill Men Cat 3 Master 40-49
Place,License #,First,Last,City,State,Time,Team
1,418149,Marc,Garoutte,Auburn,WA,00:03:50.26,Epic Racing
2,0,Keith,Loeger,,,00:04:01.37,
3,0,Doug,Russell,,,00:04:01.70,Russell sign company
4,432013,Scott,Graversen,Puyallup,WA,00:04:12.09,
5,0,Mike,Sumpter,,,00:04:20.26,
6,5704,Paul,Butorajac,Lake Tapps,WA,00:04:28.57,
7,474268,Aaron,Seufert,Snohomish,WA,00:04:31.76,Tims Bike Shop
8,474267,Peter,Szenasi,Seattle,WA,00:04:52.56,

05/17/2015 Downhill Men Cat 2 Junior 0-14
Place,License #,First,Last,City,State,Time,Team
1,460616,Ethan,Lieb,Bellevue,WA,00:02:57.83,Jr Progression Racing / Fanatik / Deity / TLD
2,394067,Zach,McCracken,Snoqualmie,WA,00:03:00.28,
3,503313,Dawson,Ingram,Camas,WA,00:03:08.38,Camas Freedom Riders
4,431365,Jack,Ryan,Bellingham,WA,00:03:14.49,Jr Progression Racing
5,478275,Declan,Ervin,Bellevue,WA,00:03:15.46,
6,474210,Ezra,Northern,Port Angeles,WA,00:03:20.28,Ndub
7,316444,Andre,Strom,Whitefish,MT,00:03:24.23,Great Northern Cycle/ Espresso Chalet

05/17/2015 Downhill Men Cat 2 Junior 15-18
Place,License #,First,Last,City,State,Time,Team
1,474213,Caleb,Harapnuik,,,00:02:45.41,Gt Bikes
2,498933,Sebastian,Belkin,Bainbridge Island,WA,00:02:54.88,
3,425183,Jacob,Gervais,Bellingham,WA,00:02:55.02,Fanatik
4,432205,Peter,Buckley,Woodinville,WA,00:02:58.10,All out racing
5,473801,Jake,Bassett,Wenatchee,WA,00:02:58.50,Arlberg Sports
6,452832,Ruandy,Albisurez,Vancover,WA,00:02:58.60,Hi-5 Bikes
7,450611,Dominick,van Veen,Bellingham,WA,00:03:01.17,
8,431725,Colton,Wiersum,Anacortes,WA,00:03:01.75,Canfield Brothers
9,466259,Andrew,Gore,Amboy,WA,00:03:04.23,Singletrack Mind Cyclery/Transition /Royal /SPANK /iXS
10,453374,Spencer,Sumpter,Bellingham,WA,00:03:05.22,
11,432152,Jacob,Coon,Bellingham,WA,00:03:07.70,Fanatik bike co
12,0,Nathan,Moore,,,00:03:08.03,Issaquah Composite
13,432204,stephen,matthes,Bellingham,WA,00:03:17.89,Fanatik
14,483744,Simon,Patamia,Seattle,WA,00:03:20.07,
15,0,Joey,Rodriguez,,,00:03:23.89,West Coast Racing
16,394153,Adam,Simpson,New Haven,CT,00:03:28.40,
17,473168,Nick,Fasano,Sammamish,WA,00:03:32.44,
18,468989,Quinan,Jordan,Chattaroy,WA,00:03:42.19,Knolly Bikes
19,428861,Sam,Stevenson,Port Angeles,WA,00:06:13.00,Bike Garage/ Nwcup
DNS,431278,Jack,Donahue,Kenmore,WA,,Gravity Unit/Recycled Cycles

05/17/2015 Downhill Men Cat 2 Senior 19-29
Place,License #,First,Last,City,State,Time,Team
1,0,Arnaud,Buffat,,,00:02:40.51,Chuck Norris
2,474224,Levi,Harapnuik,,,00:02:42.31,GT Bikes/ Obsession Bikes/ Fiveten/ Crankbrothers
3,478276,Carson,Eiswald,Bellingham,WA,00:02:43.20,Tims bike shop/ Anvil components
4,472724,Jordan,Watts,Livingston,MT,00:02:45.37,Timber Trails The Outdoor Company
5,0,Mitchell,Bryan,,,00:02:47.06,Arlberg bikes
6,470385,Sergii,Semenov,Kirkland,WA,00:02:50.32,
7,474230,Rye,Livingston,Corvallis,OR,00:02:51.37,
8,476540,Sean,Beloussow,Portland,OR,00:02:52.57,
9,452596,Zach,Fraser,Port Angeles,WA,00:02:52.88,Gravity/ FSA/ ODS
10,458890,Logan,Feeney,Seattle,WA,00:02:56.01,Cyclepath
11,429022,Cody,North,Bellingham,WA,00:02:56.75,Wheres Bryson?
12,396608,Tim,Staton,Seattle,WA,00:02:57.18,Tims Bike Shop/ Kona/ DVO
13,429005,Griffin,Beeston,Camano Island,WA,00:02:58.05,Arlington velo sport
14,0,Nick,Locke,,,00:02:58.74,
15,473116,Brendan,Boyer,Bellingham,WA,00:02:59.96,
16,429547,Yannick,Mets,Bellevue,WA,00:03:00.16,
17,453707,Tyler,Loeber,Snohomish,WA,00:03:02.75,Airborne
18,0,Ian,McNish,,,00:03:03.63,Eastern States Paving
19,292573,Ryan,Hayles,Kirkland,WA,00:03:03.98,
20,0,Ryan,Sherbeck,,,00:03:04.67,
21,471896,Ben,Aton,Portland,OR,00:03:04.90,Cyclepath
22,437978,Ian,Morgan,Bozeman,MT,00:03:05.47,
23,482764,Austin,Littlefield,Auburn,wa,00:03:06.51,
24,392963,Michael,Howe,Bellingham,WA,00:03:06.88,
25,483211,James,Kauffman,Port Angeles,wa,00:03:06.91,Bike Garage/ Thomas Cole Racing
26,428967,Iegor,Denysov,Bellevue,WA,00:03:08.30,
27,482951,Devon,Sims,Maryville,wa,00:03:08.94,Tims Bike Shop
28,380468,Jonathan,Lamb,Mystic,CT,00:03:10.96,
29,0,Cody,Christophersen,,,00:03:11.13,
30,474260,Zach,Zinter,Seattle,WA,00:03:13.87,
31,0,John,Davis,,,00:03:17.63,
32,449483,Adam,Carossino,Olympia,WA,00:03:17.80,
33,0,Rylan,Herdt,,,00:03:18.59,NIA
34,364848,Philip,Schneider,Claremont,NH,00:03:20.44,
35,0,Manuel,Frias,,,00:03:20.84,
36,407344,Scott,Gallagher,Oviedo,FL,00:03:23.67,
37,483243,Conor,Murnane,Olalla,wa,00:03:25.78,
38,472746,Bryan,Boliek,Carnation,WA,00:03:26.15,
39,143829,David,Schulman,Minneapolis,MN,00:03:27.00,
40,472928,Kyle,Dominick,Bellevue,WA,00:03:34.15,
41,0,Kurt,Van Ness,,,00:03:46.97,
42,0,Michael,Chamserlain,,,00:03:47.37,
43,403741,Chris,Sellers,Snoqualmie,WA,00:03:55.44,
DNS,100849,Bryan,Kieffer,Puyallup,WA,,Team Psycho

05/17/2015 Downhill Men Cat 2 Master 30-39
Place,License #,First,Last,City,State,Time,Team
1,453339,George,Smilov,Seattle,WA,00:02:57.10,
2,474235,Chris,Shalbot,Seattle,WA,00:02:57.25,
3,474236,Glen,WADE,Port Angeles,WA,00:02:58.22,NW cup
4,470412,Brian,Gisle,Lake Stevens,WA,00:03:00.18,
5,0,Cameron,Pierce,,,00:03:04.19,Tims Bike shop
6,0,Paul,Gannon,,,00:03:04.98,G.H.Y Bikes
7,438928,Aaron,Buck,Rochester,WA,00:03:05.40,
8,397520,Phil,Lewis,Wenatchee,WA,00:03:05.75,Full Circle Cycle
9,374803,Pete,Kinsey,Benton City,WA,00:03:06.30,West coast racing
10,0,Jesse,Murdock,,,00:03:08.64,
11,213213,Ray,Dotterer,San Diego,CA,00:03:09.04,Nuun
12,491837,Patrick,Zuest,Seattle ,WA,00:03:09.09,Gravity
13,483941,Travis,Klaas,Shoreline,wa,00:03:09.17,Rubber knucks
14,474239,Eric,VanSteen,Mercer Island,WA,00:03:12.19,
15,371031,Mitch,Falkner,Camano Island,WA,00:03:12.60,
16,474143,Stuart,Perillo,Marysville,WA,00:03:14.84,
17,0,Adam,Day,,,00:03:15.21,GPR
18,0,Bryan,Campbell,,,00:03:15.37,
19,279246,Roger,Murphy,Portland,OR,00:03:16.51,Walken Enduro
20,474145,Kent,Perillo,Marysville,WA,00:03:19.96,
21,469074,Todd,Huhman,Bothell,WA,00:03:21.97,
22,366895,Brett,Porter,Camano Island,WA,00:03:24.66,Tims bike shop
23,0,David,Wissikle,,,00:03:25.32,Slag Clothing
24,450429,Dante,Ruiz,Port Angeles ,WA,00:03:25.66,Olympic Dirt Society
25,458523,Maxwell,Merkle,Portland,OR,00:03:28.46,Ruckus test team
26,0,Jesse,Briffen,,,00:03:28.97,
27,451205,Ian,Hume,Spokan,WA,00:03:39.65,Bear creek Racing
28,474262,Scott,Eckert,Port Orchard,WA,00:03:44.61,
DNF,0,Matt,Overby,,,,GHY

05/17/2015 Downhill Men Cat 2 Master 40-49
Place,License #,First,Last,City,State,Time,Team
1,0,Darren,Larson,,,00:02:58.26,Rippers Lounge Racing/ Race face/ different Bikes/ Emperica
2,0,david,overman,,,00:02:59.79,Stumptown Wrecking Crew
3,0,Kevin,Fowlie,,,00:03:02.51,Rippers Lounge Racing
4,433870,jason,mcfarland,Garden City,ID,00:03:02.74,Fly Racing MTB/Kore North Bicycles
5,473331,Michael,Naselow,Bellingham,WA,00:03:05.44,Cascadia Huckers
6,391731,Anthony,Barlow,Marysville,WA,00:03:07.18,Everett Bicycle Center
7,0,Mattiew,Denuelle,,,00:03:09.73,Joy Ride Bike Shop
8,428963,lance,woodke,Gig Harbor,WA,00:03:12.52,
9,0,Justin,Self,,,00:03:13.85,Bike Garage PA
10,474250,Guy,Sims,Marysville,WA,00:03:14.54,Tims Bike Shop
11,0,Brent,Smith,,,00:03:14.82,Hi-5
12,468098,Tim,Lieb,Bellevue,WA,00:03:17.52,
13,473468,Todd,Wiersum,Anacortes,WA,00:03:17.83,Encompass
14,0,Brett,Carels,,,00:03:18.60,Rippers Lounge Racing/Empirica/Raceface/Different Bikes
15,0,Jason,Heister,,,00:03:19.83,Tims Bike Shop
16,460963,Jay,Naylor,Everett,WA,00:03:24.83,Tims Bike Shop
17,150667,Mitchell,Schmidt,Portland,OR,00:03:28.91,West Coast Racing
18,473279,William,Ryan,Bellingham,WA,00:03:29.95,Independent
19,449546,Alex,Altizer,Bothell,WA,00:03:30.09,
20,362255,Brian,Still,Renton,WA,00:03:36.15,Solo
21,483134,Andy,LeVeque,Everett,wa,00:03:42.02,
DNS,78442,preston,peterson,Kirkland,WA,,Evergreen
DNS,253249,Matthew,Macartney,Fall City,WA,,

05/17/2015 Downhill Men Cat 2 Master 50+
Place,License #,First,Last,City,State,Time,Team
1,0,Michael,Mooney,,,00:02:58.87,team darkhorse
2,394067,Jim,McCracken,Snoqualmie,WA,00:03:06.32,Dozer
3,474251,Ian,Rudd,,,00:03:12.50,Bicyclehub.com
4,430641,Russell,Lancaster,Central Point,OR,00:03:13.21,Unreal Cycles
5,0,Jim,Denison,,,00:03:19.99,
6,452676,Paul,Fidrych,Portland,OR,00:03:20.21,Cycle Dog
7,19075,Bill,Kieffer,Puyallup,WA,00:03:23.06,Team Psycho
8,119867,Kerith,Pool,Duvall,WA,00:03:26.56,Knolly
9,451053,Gary,Goodspeed,North Bend,WA,00:03:36.58,

05/17/2015 Downhill Men Cat 1 Junior 0-18
Place,License #,First,Last,City,State,Time,Team
1,474181,Magnus,Manson,,,00:02:42.54,Norco
2,0,Henry,Fitgerald,,,00:02:46.89,Steve peat syndicate
3,474186,Daniel,Shaw,,,00:02:47.49,Banshee/ major cycles
4,0,Simon,Tellier,,,00:02:47.81,Trek pro city shop
5,474188,Nic,Rodgers,,,00:02:49.11,Dunbar Cycles
