Tucson Bicycle Classic in Tucson AZ Results

03/15/2015 Circuit Race Men Men Pro/1
Place,License #,First,Last,City,State,Time,Team
1,212698,Eric,Marcotte,Scottsdale,AZ,1:56:41.0,UCI CT: Team SmartStop
1,212698,Eric,Marcotte,Scottsdale,AZ,1:56:41.0,UCI CT: Team SmartStop
1,212698,Eric,Marcotte,Scottsdale,AZ,1:56:41.0,UCI CT: Team SmartStop
2,467558,Juan,Magallanes,,,1:56:46.0,
2,467558,Juan,Magallanes,,,1:56:46.0,
2,467558,Juan,Magallanes,,,1:56:46.0,
3,467553,Hector,Rangel,,,1:57:23.0,
3,467553,Hector,Rangel,,,1:57:23.0,
3,467553,Hector,Rangel,,,1:57:23.0,
4,201456,Isaac,Howe,San Diego,CA,1:57:23.0,UCI CT: Champion System - Stans NoTubes
4,201456,Isaac,Howe,San Diego,CA,1:57:23.0,UCI CT: Champion System - Stans NoTubes
4,201456,Isaac,Howe,San Diego,CA,1:57:23.0,UCI CT: Champion System - Stans NoTubes
5,267198,Robert,Squire,Sandy,UT,1:57:23.0,UCI CT: Hincapie Racing Team
5,267198,Robert,Squire,Sandy,UT,1:57:23.0,UCI CT: Hincapie Racing Team
5,267198,Robert,Squire,Sandy,UT,1:57:23.0,UCI CT: Hincapie Racing Team
6,155190,Chad,Beyer,Scottsdale,AZ,1:57:23.0,Superissimo
6,155190,Chad,Beyer,Scottsdale,AZ,1:57:23.0,Superissimo
6,155190,Chad,Beyer,Scottsdale,AZ,1:57:23.0,Superissimo
7,427879,Matteo,DalCin,,,1:57:23.0,
7,427879,Matteo,DalCin,,,1:57:23.0,
7,427879,Matteo,DalCin,,,1:57:23.0,
8,292402,William,Buick,Boulder,CO,1:57:26.0,Primal - Audi Denver
8,292402,William,Buick,Boulder,CO,1:57:26.0,Primal - Audi Denver
8,292402,William,Buick,Boulder,CO,1:57:26.0,Primal - Audi Denver
9,334408,Sam,Warford,Culver City,CA,1:57:26.0,SPY GIANT RIDE p/b GQ-6
