Knights Ferry road race in Knights Ferry  CA Results

02/07/2015 Road Race Men Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,321408,Chris,EVANS,Redwood City,CA,00:00:00.00,SquadraSF
1,321408,Chris,EVANS,Redwood City,CA,00:00:00.00,SquadraSF
1,321408,Chris,EVANS,Redwood City,CA,00:00:00.00,SquadraSF
2,304735,Byron,ANSON,San Francisco,CA,00:00:00.00,VuMedi Cycling Team
2,304735,Byron,ANSON,San Francisco,CA,00:00:00.00,VuMedi Cycling Team
2,304735,Byron,ANSON,San Francisco,CA,00:00:00.00,VuMedi Cycling Team
3,272559,Aj,SNOVEL,Sacramento,CA,00:00:00.00,Folsom Bike/VW/Raley's
3,272559,Aj,SNOVEL,Sacramento,CA,00:00:00.00,Folsom Bike/VW/Raley's
3,272559,Aj,SNOVEL,Sacramento,CA,00:00:00.00,Folsom Bike/VW/Raley's
4,245266,Luciano,SPONZA,Mill Valley,CA,00:00:00.00,Red Peloton
4,245266,Luciano,SPONZA,Mill Valley,CA,00:00:00.00,Red Peloton
4,245266,Luciano,SPONZA,Mill Valley,CA,00:00:00.00,Red Peloton
5,356530,Robert,LANDER,Sacramento,CA,00:00:00.00,Amain.com Cycling Team
5,356530,Robert,LANDER,Sacramento,CA,00:00:00.00,Amain.com Cycling Team
5,356530,Robert,LANDER,Sacramento,CA,00:00:00.00,Amain.com Cycling Team
6,271933,Matt,MIKUL,Sunnyvale,CA,00:00:00.00,SquadraSF p/b Terun
6,271933,Matt,MIKUL,Sunnyvale,CA,00:00:00.00,SquadraSF p/b Terun
6,271933,Matt,MIKUL,Sunnyvale,CA,00:00:00.00,SquadraSF p/b Terun
7,218099,Tyler,LOCKE,Canyon Country,CA,00:00:00.00,PAA/Empire
7,218099,Tyler,LOCKE,Canyon Country,CA,00:00:00.00,PAA/Empire
7,218099,Tyler,LOCKE,Canyon Country,CA,00:00:00.00,PAA/Empire
8,268577,Jason,SNOVEL,Sacramento,CA,00:00:00.00,Folsom Bike/VW/Raley's
8,268577,Jason,SNOVEL,Sacramento,CA,00:00:00.00,Folsom Bike/VW/Raley's
8,268577,Jason,SNOVEL,Sacramento,CA,00:00:00.00,Folsom Bike/VW/Raley's
9,347820,Joshua,COX,Fresno,CA,00:00:00.00,XMX Racing p/b Valley Children
9,347820,Joshua,COX,Fresno,CA,00:00:00.00,XMX Racing p/b Valley Children
9,347820,Joshua,COX,Fresno,CA,00:00:00.00,XMX Racing p/b Valley Children
10,306411,David,BANGOR,Diamond Bar,CA,00:00:00.00,Cortech Elite
10,306411,David,BANGOR,Diamond Bar,CA,00:00:00.00,Cortech Elite
10,306411,David,BANGOR,Diamond Bar,CA,00:00:00.00,Cortech Elite
11,283185,Anthony,FERRETTI,Oroville,CA,00:00:00.00,Amain.com Cycling Team
11,283185,Anthony,FERRETTI,Oroville,CA,00:00:00.00,Amain.com Cycling Team
11,283185,Anthony,FERRETTI,Oroville,CA,00:00:00.00,Amain.com Cycling Team
12,310212,Zachary,ISAACS,Oakland,CA,00:00:00.00,Middlebury College
12,310212,Zachary,ISAACS,Oakland,CA,00:00:00.00,Middlebury College
12,310212,Zachary,ISAACS,Oakland,CA,00:00:00.00,Middlebury College
13,303224,Erik,CAMACHO,San Jose,CA,00:00:00.00,iRT-Reactor p/b JL Velo
13,303224,Erik,CAMACHO,San Jose,CA,00:00:00.00,iRT-Reactor p/b JL Velo
13,303224,Erik,CAMACHO,San Jose,CA,00:00:00.00,iRT-Reactor p/b JL Velo
14,223230,Brian,SCHUSTER,San Francisco,CA,00:00:00.00,SquadraSF
