Trooper Brinkerhoff Memorial Race Series in Coxsackie NY Results

04/11/2015 Road Race Mixed Pro/Cat 1/2/3 13-99
Place,License #,First,Last,City,State,Time,Team
1,273689,COLE,ARCHAMBAULT,Northampton ,MA,2.29.00,Green Line Velo
1,273689,COLE,ARCHAMBAULT,Northampton ,MA,2.29.00,Green Line Velo
1,273689,COLE,ARCHAMBAULT,Northampton ,MA,2.29.00,Green Line Velo
2,226301,AUSTIN,VINCENT,Simsbury,CT,2.29.00,Airgas SAFEWAY Cycling
2,226301,AUSTIN,VINCENT,Simsbury,CT,2.29.00,Airgas SAFEWAY Cycling
2,226301,AUSTIN,VINCENT,Simsbury,CT,2.29.00,Airgas SAFEWAY Cycling
3,234696,CURTIS,WHITE,Delanson,NY,2.29.00,UCI CT/WPT: Team Optum p/b Kelly Benefit Strategies
3,234696,CURTIS,WHITE,Delanson,NY,2.29.00,UCI CT/WPT: Team Optum p/b Kelly Benefit Strategies
3,234696,CURTIS,WHITE,Delanson,NY,2.29.00,UCI CT/WPT: Team Optum p/b Kelly Benefit Strategies
4,413052,BARIS,AYTAN,Brooklyn,NY,2.29.00,e2Value
4,413052,BARIS,AYTAN,Brooklyn,NY,2.29.00,e2Value
4,413052,BARIS,AYTAN,Brooklyn,NY,2.29.00,e2Value
5,126915,MAX,LIPPOLIS,Greenwich,CT,2.29.00,Team Danbury Audi
5,126915,MAX,LIPPOLIS,Greenwich,CT,2.29.00,Team Danbury Audi
5,126915,MAX,LIPPOLIS,Greenwich,CT,2.29.00,Team Danbury Audi
6,356256,JOSEPH,SIEGEL,Manchester,NH,2.29.00,Grinta Cycling Team
6,356256,JOSEPH,SIEGEL,Manchester,NH,2.29.00,Grinta Cycling Team
6,356256,JOSEPH,SIEGEL,Manchester,NH,2.29.00,Grinta Cycling Team
7,135665,CHRISTIAN,FAVATA,Rosendale ,NY,2.30.44,
7,135665,CHRISTIAN,FAVATA,Rosendale ,NY,2.30.44,
7,135665,CHRISTIAN,FAVATA,Rosendale ,NY,2.30.44,
