2015 Bethel CDR Gold Race - Aetna Nutmeg Spring Series in Bethel CT Results

03/22/2015 Criterium Men Pro/Cat 1/2/3 Senior
Place,License #,First,Last,City,State,Time,Team
1,347396,Chase,Goldstein,Los Angeles,CA,,CRCA/The Weather Channel Giant Cycling Team
1,347396,Chase,Goldstein,Los Angeles,CA,,CRCA/The Weather Channel Giant Cycling Team
1,347396,Chase,Goldstein,Los Angeles,CA,,CRCA/The Weather Channel Giant Cycling Team
2,223454,David,Hoyle,Newington,CT,,CCAP
2,223454,David,Hoyle,Newington,CT,,CCAP
2,223454,David,Hoyle,Newington,CT,,CCAP
3,146736,Eneas,Freyre,Redding,CT,,TTEndurance
3,146736,Eneas,Freyre,Redding,CT,,TTEndurance
3,146736,Eneas,Freyre,Redding,CT,,TTEndurance
4,377303,Chris,Strumolo,Cranford,NJ,,CRCA/Blue Ribbon
4,377303,Chris,Strumolo,Cranford,NJ,,CRCA/Blue Ribbon
4,377303,Chris,Strumolo,Cranford,NJ,,CRCA/Blue Ribbon
5,384013,alex,sanborn,New York,NY,,CRCA/Foundation
5,384013,alex,sanborn,New York,NY,,CRCA/Foundation
5,384013,alex,sanborn,New York,NY,,CRCA/Foundation
6,299661,Stefano,Zanotti,New Britain,CT,,Team ERRACE p/b DSO Manufacturing
6,299661,Stefano,Zanotti,New Britain,CT,,Team ERRACE p/b DSO Manufacturing
6,299661,Stefano,Zanotti,New Britain,CT,,Team ERRACE p/b DSO Manufacturing
7,413052,BARIS,AYTAN,Brooklyn,NY,,CRCA / e2Value
7,413052,BARIS,AYTAN,Brooklyn,NY,,CRCA / e2Value
7,413052,BARIS,AYTAN,Brooklyn,NY,,CRCA / e2Value
8,309324,Dominic,Caiazzo,Bronx,NY,,GREEN LINE VELO driven by Zipcar
8,309324,Dominic,Caiazzo,Bronx,NY,,GREEN LINE VELO driven by Zipcar
8,309324,Dominic,Caiazzo,Bronx,NY,,GREEN LINE VELO driven by Zipcar
9,310968,Jayson,Jacobs,Boulder,CO,,CRCA/The Weather Channel Giant Cycling Team
9,310968,Jayson,Jacobs,Boulder,CO,,CRCA/The Weather Channel Giant Cycling Team
9,310968,Jayson,Jacobs,Boulder,CO,,CRCA/The Weather Channel Giant Cycling Team
10,320000,Derek,Cote,Burlington,CT,,CT Cycling Advancement Program Pro-Am Team
10,320000,Derek,Cote,Burlington,CT,,CT Cycling Advancement Program Pro-Am Team
10,320000,Derek,Cote,Burlington,CT,,CT Cycling Advancement Program Pro-Am Team
11,231409,Lucas,Fortini,Fairfield,CT,,BikeReg.com
11,231409,Lucas,Fortini,Fairfield,CT,,BikeReg.com
11,231409,Lucas,Fortini,Fairfield,CT,,BikeReg.com
12,120157,alessandro,matteucci,Brooklyn,NY,,Healthy and Happy Racing
12,120157,alessandro,matteucci,Brooklyn,NY,,Healthy and Happy Racing
12,120157,alessandro,matteucci,Brooklyn,NY,,Healthy and Happy Racing
13,214122,Michael,Shinall,Cambridge,MA,,GREEN LINE VELO driven by Zipcar
13,214122,Michael,Shinall,Cambridge,MA,,GREEN LINE VELO driven by Zipcar
13,214122,Michael,Shinall,Cambridge,MA,,GREEN LINE VELO driven by Zipcar
14,144319,Todd,Bowden,Glastonbury,CT,,Aetna-Expo Wheelmen
14,144319,Todd,Bowden,Glastonbury,CT,,Aetna-Expo Wheelmen
