Kingsport Cyclo-cross Cup in Kingsport TN Results

09/25/2016 Cyclo-cross Women Women Cat 4/Cat 4 40+/Juinor Women 15-18
Place,License #,First,Last,City,State,Time,Team
DNF,274282,Karen,Wells-Hamilton,Fairborn,OH,15,BioWheels/Perrino Landscape

09/18/2016 Cyclo-cross Men Men Cat 3/Cat 3 40+/Boys Elite U19
Place,License #,First,Last,City,State,Time,Team
55,198036,Doug,Hamilton,Fairborn,OH,Inc.,BioWheels/Perrino Landscaping

09/18/2016 Cyclo-cross Women Women Cat 4/Cat 4 40+/Juinor Women 15-18
Place,License #,First,Last,City,State,Time,Team
24,274282,Karen,Wells-Hamilton,Fairborn,OH,Inc.,BioWheels/Perrino Landscape

09/11/2016 Cyclo-cross Men Cat 3/Cat 3 40+ /Boys U19
Place,License #,First,Last,City,State,Time,Team
46,198036,Doug,Hamilton,Fairborn,OH,Inc.,BioWheels/Perrino Landscaping

09/11/2016 Cyclo-cross Women Cat 4/Cat 4 40+
Place,License #,First,Last,City,State,Time,Team
14,274282,Karen,Wells-Hamilton,Fairborn,OH,Inc.,BioWheels/Perrino Landscape

07/20/2016 Criterium Women Cat 3/4
Place,License #,First,Last,City,State,Time,Team
1,475292,Ariel,Wyant,Tulsa,OK,,

07/06/2016 Criterium Women Cat 3/4 Women
Place,License #,First,Last,City,State,Time,Team
475292,475292,Ariel,Wyant,Tulsa,OK,,

06/21/2016 Criterium  3,4 MEN
Place,License #,First,Last,City,State,Time,Team
0,49410,Michael,Gilb,Albuquerque,NM,,
0,255292,Erick,Fernandez,Albuquerque,NM,,
0,402583,Noah,Jacobson,Albuquerque,NM,,
0,74277,Greg,Krause,Albuquerque,NM,,
0,355982,Michael,Hunter,Edgewood,NM,,
0,294890,Shannon,Stromberg,Albuquerque,NM,,
0,0,,,,,,
1,0,COLE,PAGE,,,,
1,284769,JONAH,THOMPSON,Albuquerque,NM,,
1,402583,Noah,Jacobson,Albuquerque,NM,,
1,6701,Dennis,Chavez,Rio Rancho,NM,,
1,53480,Randall,Bradford,Albuquerque,NM,,

01/02/2016 Cyclo-cross Men UCI Elite
Place,License #,First,Last,City,State,Time,Team
1,117328,Jeremy,Powers,Southampton,MA,01:02:01.000,ASPIRE RACING
2,264350,Kerry,Werner,Birdsboro,PA,01:02:42.000,UCI CT/WPT: Team Optum p/b Kelly Benefit
3,250645,Jeremy,Durrin,Westhampton,MA,01:02:44.000,Neon Velo Cycling Team
4,161583,Travis,Livermon,Winston Salem,NC,01:02:57.000,UCI CT: Team SmartStop
5,324234,Ben,Frederick,Harrisonburg ,VA,01:03:00.000,beyondCX
6,220084,Tristan,Cowie,Mills River,NC,01:03:01.000,
7,163112,James,Driscoll,Park City,UT,01:03:44.000,Raleigh/Clement
8,281380,Anthony,Clark,Feeding Hills,MA,01:03:50.000,Squid Bikes
9,389699,Philip,Short,Greensboro,NC,01:03:51.000,Hearts Racing Club
10,111687,Greg,Wittwer,Richmond,VA,01:04:31.000,C3-Twenty20cycling.com
11,283705,Cooper,Willsey,Hinesburg,VT,01:04:48.000,Cannondale Cyclocrossworld
12,52534,Adam,Myerson,Dorchester,MA,01:05:21.000,Cycle-Smart Inc.
13,220597,Robert,Marion,Mount Airy,NC,01:05:30.000,Carpediem Racing
14,153440,Ryan,Woodall,Ocala,FL,01:05:31.000,
15,255729,Charlie,Hough,Travelers Rest,SC,01:05:32.000,UCI CT: Holowesko | Citadel Racing Team p/b Hincapie Racing
16,129914,Alec,Donahue,Easthampton,MA,01:05:36.000,JAM / NCC / Vittoria
17,341006,Spencer,Whittier,Chattanooga,TN,01:05:38.000,Privateer Cyclocross Chattanooga
18,268394,Dylan,Mcnicholas,Stratham,NH,01:05:42.000,
19,293469,jordan,snyder,Rochester,PA,01:05:55.000,
20,191242,Jake,Wells,Avon,CO,01:06:19.000,Stan's NoTubes Elite CX
21,358709,Dylan,Postier,Stillwater,OK,01:06:55.000,EVOKE Racing
22,177637,Andrew,Reardon,Franklin,TN,01:07:09.000,Sonic Cycling
23,245927,Michael,Mihalik,Sewickley,PA,01:07:18.000,J Mac Cycling LLC
24,377510,Josh,Bauer,Richfield,MN,01:07:35.000,Twin Six
25,376904,Scott,Smith,Westhampton,MA,01:07:53.000,JAM / NCC / Vittoria
26,288002,Byron,Rice,Durham,NC,01:08:05.000,Clemmons Bicycle Racing
27,211512,David,Reyes,Chicago,IL,01:08:11.000,Heritage Race Club
28,282272,Andrew,Bailey,Piney Flats,TN,,Provision PEAK Performance Team p/b Visit Knoxville
29,390937,Abe,Goorskey,Floyd,VA,,
30,387921,Alec,Hoover,Kingston ,NY,,
31,206349,Molly,Cameron,Portland,OR,,Portland Bicycle Studio
32,173542,Alex,Ryan,Lewisville,NC,,MOB PRO CYCLING TEAM
33,315400,Hunter,Resek,East Dover,VT,,
34,367557,Trent,Blackburn,Easthampton,MA,,
35,149656,Ryan,Gamm,Bexley ,OH,,
36,235910,Robert,Rimmer,Friendsville,TN,,Provision PEAK Performance Team p/b Visit Knoxville
37,375352,Will,Barnes,Raleigh,NC,,Berger Hardware Bikes
38,250355,Zach,Bender,Glen Rock,NJ,,Cycle-Smart Inc.
39,264871,Gunnar,Bergey,Banner Elk,NC,,Lees-McRae College
40,215179,Brian,Staby,Santa Rosa,CA,,CX Nation
41,239294,Katriel,Statman,Houston,TX,,Bayou City Racing
42,317704,Dillen,Maurer,Marina Del Rey,CA,,Kona Bikes
43,11877,Anastasio,Flores,La Selva Beach,CA,,
44,63849,John,Thompson,Shoreview,MN,,Mt. Borah Epic Team
45,13042,Jim,Gentes,Soquel,CA,,buy-cell.com
46,62921,Steve,Hindman,Los Altos,CA,,Pen Velo Racing/Summit Bicycles
47,392099,Matthew,Reeves,Atlanta,GA,,LNC Racing p/b Octane
48,40227,Robert,Meighan,San Jose,CA,,	Cal Giant Berry Farm Specialized
DNS,330472,Lance,Haidet,San Luis Obispo,CA,,
DNF,35613,Matthew,Timmerman,Fulton,NY,,
DNF,79102,Dan,Timmerman,Trumansburg,NY,,Stan's NoTubes Elite CX
DNF,235572,Nathaniel,Morse,Cohasset,MA,,Cyclocrossworld.com Devo Team

01/02/2016 Cyclo-cross Men Cat 1/2/3/4/5 Juniors 15-18
Place,License #,First,Last,City,State,Time,Team
1,309307,Thomas,Carey,Chesapeake,VA,00:30:21.000,Rogue Velo Racing
2,284055,Benjamin,King,Anacortes,WA,00:30:34.000,Rad Racing NW
3,285631,Ethan,DellaMaestra,Apex,NC,00:31:23.000,Storm Racing Team
4,324600,Anthony,Bailey,Piney Flats,TN,00:31:59.000,AYC Junior Development Race Team

01/02/2016 Cyclo-cross Men Cat 1/2/3/4/5 Juniors 9-14
Place,License #,First,Last,City,State,Time,Team
1,393999,Brooks,Wienke,Greenville,SC,00:34:54.000,
2,352258,Christopher,Grice,Asheville,NC,00:35:45.000,
3,493980,William,Pooser,Asheville,NC,00:37:21.000,Downtown Asheville Racing Club (DARC)
4,360249,Parker,King,Anacortes,WA,00:37:48.000,Rad Racing NW
5,404981,Connor,Smith,Asheville,NC,00:39:34.000,
6,403121,David,Carey,Chesapeake,VA,,Rogue Velo Racing
7,473105,Zachary,Lowe,Dover,TN,,Lift Center Racing
8,485165,David,Hubbs,Piney Flats,TN,,Tri Cities Road Club

01/02/2016 Cyclo-cross Women UCI Elite
Place,License #,First,Last,City,State,Time,Team
1,228513,Amanda,Miller,Fort Collins,CO,00:48:51.000,Boulder Cycle Sport/ YogaGlo
2,282412,Ellen,Noble,Kennebunkport,ME,00:49:20.000,JAM Fund / NCC
3,284803,Jena,Greaser,Barkhamsted,CT,00:49:22.000,
4,240239,Arley,Kemmerer,Palmerton,PA,00:49:39.000,
5,324758,Cassandra,Maximenko,Watertown,CT,00:49:40.000,Van Dessel Factory Team
6,258102,Ally,Stacher,Horse Shoe,NC,00:51:18.200,Stan's NoTubes Elite CX
7,201838,Laurel,Rathbun,Monument,CO,00:51:18.500,Raleigh/Clement
8,158992,Jessica,Cutler,Seattle,WA,00:51:44.000,Jamis Pro Cyclocross
9,244090,Laura,Winberry,Bend,OR,00:51:51.400,Speedvagen Family Racing
10,289289,Julie,Wright,Florence,MA,00:51:51.800,
11,261947,Corey,Coogan Cisek,Minneapolis,MN,00:51:56.000,Power Fix CX
12,401780,Jenna,Blandford,Louisville,KY,00:52:25.000,VO2
13,330656,Joanne,Grogan,Hinesburg,VT,00:52:33.000,NEXT-BMB
14,429486,Jennifer,Malik,Columbus,OH,00:52:38.000,Granville Brewing - Stanridge CX Team
15,211756,Carol,Seipp,Eagan,MN,00:52:44.000,
16,158858,Avanell,Schmitz,Newport News,VA,00:52:58.000,Mermaid Winery
17,176014,Rebecca,Gross,Golden,CO,00:53:05.000,
18,280476,BrittLee,Bowman,New York,NY,00:53:10.000,HOUSE INDUSTRIES - WITHINGS - SIMPLEHUMA
19,285753,Shannon,Mallory,Bellingham,WA,00:53:50.000,Jamis Pro Cyclocross
20,541527,Alijah,Beatty,Washington,IA,00:54:00.000,NorthStar Development
21,220875,Emily,Shields,Advance,NC,00:54:11.000,Hearts Racing Club
22,261012,Erin,Faccone,Medford,MA,00:54:19.000,Back Bay Cycling Club
23,310691,Kennedy,Adams,Stow,OH,00:55:09.000,Women's CX Project
24,337936,melissa,presnell,Norfolk,VA,00:55:45.000,SEAVS/Haymarket
25,220876,Katherine,Shields,Advance,NC,00:56:48.000,Hearts Racing Club
26,300251,Mackenzie,Green,Mason,OH,00:57:09.000,Women's CX Project
27,405,Kelly,Chang,Oakland,CA,,
28,220598,Philicia,Marion,Mount Airy,NC,,
29,281925,Victoria,Gates,Southampton,MA,,King University
30,294895,Mason,Hopkins,Richmond,VA,,
31,411742,Danielle,Arman,Boulder,CO,,Tenspeed Hero

01/02/2016 Cyclo-cross Women Pro/Cat 1/2/3
Place,License #,First,Last,City,State,Time,Team
1,381950,Turner,Ramsay,Rutland,VT,00:32:30.000,KMS Cycling-Killington Mountain School
2,104027,Rosemary,Penta,Bloomington,IN,00:32:32.000,VO2
3,416400,Brittany,Montgomery,Atlanta,GA,00:33:08.000,Sorella Cycling p/b Hincapie Sportswear
4,363223,Petra,Schmidtmann,Nederland,CO,00:33:46.000,Rage Cycling Team
5,390274,Rhys,May,Easthampton,MA,00:34:01.000,LNC Racing p/b Octane
6,394463,Sarah,Maloney,Boone,NC,00:34:14.000,Happy Tooth Women's Racing
7,413104,Lily,Peck,Shelbyville,IN,00:34:23.000,Midwest Devo
8,387005,Ali,Whittier,Chattanooga,TN,00:35:54.000,Privateer Cyclocross Chattanooga
9,288099,Stephanie,Cucaz,Johnson City,TN,00:41:40.000,Finish Strong Elite Cycling Team p/b Pal

01/02/2016 Cyclo-cross Women Cat 1/2/3/4 Juniors 15-18
Place,License #,First,Last,City,State,Time,Team
1,457452,Lupine,Cramer,Logan,UT,,Rooster's Bikers Edge

01/02/2016 Cyclo-cross Women Cat 1/2/3/4 Juniors 9-14
Place,License #,First,Last,City,State,Time,Team
1,413796,Keren,Bennett,Lenoir,NC,,Evolution Jr. Devo Team
2,474379,Abigail,Smith,Asheville,NC,,Asheville Youth Cycling Club

01/02/2016 Cyclo-cross Women Cat 4
Place,License #,First,Last,City,State,Time,Team
1,457452,Lupine,Cramer,Logan,UT,00:34:18.000,Rooster's Bikers Edge
2,440712,Emily,Funk,Mills River,NC,00:37:41.000,
3,327888,Julie,Thompson,Saint Paul,MN,00:39:00.000,Borah Epic Team
4,278343,Lisa,Fitzgerald,Salt Lake City,UT,00:39:57.000,
5,422279,Julie,Woodburn,Johnson City,TN,,Patuxent Velo
6,419163,Marie,Tutterow,Johnson City,TN,,Team Heroes- MOB
7,226695,Julie,Lockhart,Dunstable,MA,,Northeast Bicycle Club (NEBC)

01/02/2016 Cyclo-cross Mixed Pro/Cat 1/2
Place,License #,First,Last,City,State,Time,Team
1,359849,Michael,Potter,Winston Salem,NC,00:43:10.000,High Country Development Team
2,370961,william,johnson,Brooklyn,NY,00:43:23.000,
3,340986,George,Garvick,New Bern,NC,00:44:00.000,Boone Area Cyclists
4,394299,Zachary,Young,Cincinnati,OH,00:44:11.000,Cincinnati Cyclocross
5,362159,Joshua,Cole,Asheville,NC,00:44:19.000,
6,396875,Andrew,Luettgen,Milton,GA,00:44:21.000,
7,371577,Trever,Kingsbury,Petoskey,MI,00:45:41.000,
8,358574,Dylan,Rockwood,Loveland,OH,00:45:59.000,Lionhearts Junior Racing
9,328148,Luke,Woodard,Blacksburg,VA,00:47:29.000,
10,314224,Jordan,Lewis,Gray,TN,00:47:36.000,Cycle-Smart Inc.
11,62921,Steve,Hindman,Los Altos,CA,00:47:55.000,Pen Velo Racing/Summit Bicycles
12,364974,Gavin,Kline,Christainsburg,VA,,BSlow Racing
13,32468,Kerry,Shields,Advance,NC,,Hearts Racing Club

01/02/2016 Cyclo-cross Mixed Cat 1/2/3/4/5 Single Speed
Place,License #,First,Last,City,State,Time,Team
1,206349,Molly,Cameron,Portland,OR,00:27:43.000,Portland Bicycle Studio
2,210874,Mike,Stewart,Abingdon,VA,00:28:13.000,Tri Cities Road Club
3,361211,David,Thompson,New Canaan,CT,00:29:27.000,Cycle-Smart Inc.
4,298155,Anthony,Williams,Kingsport,TN,00:30:00.000,Reedy Creek Bicycles
5,248592,Michael,Walters,Johnson City,TN,00:30:18.000,
6,399457,Murphy,Davis,Atlanta,GA,00:30:45.000,Toyota Forklifts of Atlanta
7,364974,Gavin,Kline,Christainsburg,VA,00:31:24.000,BSlow Racing
8,206490,Steven,Jones,Johnson City,TN,00:31:27.000,Reedy Creek Bicycles
9,226271,Lawrence,Czarnecki,Knoxville,TN,00:31:32.000,Southern Cycling Operations (SCO)
10,328148,Luke,Woodard,Blacksburg,VA,00:31:50.000,
11,43368,Hans,Kellner,Oakland,CA,00:32:23.000,
12,448669,Alex,Laifer,New Preston Marble Dale,CT,00:33:43.000,
13,422279,Julie,Woodburn,Johnson City,TN,,Patuxent Velo
14,123810,Michael,Seek,Norfolk,VA,,Rogue Velo Racing

01/02/2016 Cyclo-cross Mixed Cat 3/4/5 Masters 45+
Place,License #,First,Last,City,State,Time,Team
1,383965,Sanford,Webster,Lenoir City,TN,00:45:19.000,KnoxVelo Club
2,271297,Michael,Tennyson,Winston Salem,NC,00:46:22.000,
3,376474,Randy,Miller,Lebanon,VA,00:46:44.000,
4,253699,Eddie,Branch,Bristol,TN,00:46:48.000,
5,71675,Frank,Haranzo,Roanoke,VA,00:48:33.000,
6,440487,Phillip,Jerome,Pisgah Forest,NC,00:48:41.000,All Terrain Cycling
7,255531,William,Macy,Statesville,NC,00:48:56.000,
8,43368,Hans,Kellner,Oakland,CA,00:49:05.000,
9,110848,Jeffrey,Linnen,Bristol,TN,,MSG Cyclocross
10,384949,William,Ramsay,Rutland,VT,,KMS Cycling-Killington Mountain School
11,180445,Trevor,Harrison,Rochester,NY,,Park Ave Bike Shop
12,288106,Michael,Mallory,Bellingham,WA,,Shuksan Velo Club
13,272135,Bill,Tellman,Brevard,NC,,Transylvania County Schools
DNF,387445,David,Brumfield,Boone,NC,,BAC Racing Team

01/02/2016 Cyclo-cross Mixed Cat 1/2/3/4 Masters 35+
Place,License #,First,Last,City,State,Time,Team
1,52322,James,Cochran,Iowa City,IA,00:41:15.000,Atlas/Other Films
